"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem"
"15","2021-03-15 18:27:29-03","USP","SPF","77061","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, RM; Giulietti, AM; Stannard, BL; Hind, DJN; Cavalcanti, TB","1988","11","12",NA,"Brasil","Bahia","Pico das Almas, Vertente leste. Subida do pico do Campo do Queiroz. Afloramento de rocha conglomerada com campo pedregoso. Base das pedras, solo arenoso.",NA,NA,"Subarbusto até 1 m. de altura com folhas perfumadas. Inflorescência viscosa. Cálice roxo-escuro. Corola violeta-intenso com padrão de estrias escuras sobre faixa branca na base do lábio superior.","SPF00077061",NA,NA,"Harley","holotype","26420","Rio de Contas","-41.8114013671875","-13.5789003372192",NA,NA,"SPF00077061","Harley, RM","1991","49773","auto",NA,NA,NA,NA,NA,NA
"16","2020-07-03 15:41:13-03","UEFS","HUEFS","14499","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Ganev, W.","1993","07","21",NA,"Brasil","Bahia",NA,NA,NA,NA,"HUEFS0014499","Angiospermae","Lamiales","Harley",NA,"1912","Abaíra","-42.366667","-13.85","1930","1930","HUEFS0014499_e1","C.L.Silva-Luz","2009",NA,NA,"42W22'","13S51'","05",NA,"Asteranae",NA
"17","2019-10-07 09:16:03-03","UEFS","HUEFS","12358","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Ganev, W.","1992","10","19",NA,"Brasil","Bahia",NA,NA,NA,NA,"HUEFS0012358","Angiospermae","Lamiales","Harley",NA,"1294","Abaíra","-41.883333","-13.316667","1890","1890","HUEFS0012358",NA,NA,NA,NA,"41W53'","13S19'",NA,NA,"Asteranae",NA
"18","2019-10-07 09:16:03-03","UEFS","HUEFS","203963","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, R.M.","2013","12","01",NA,"Brasil","Bahia","Mato Grosso Distrito de Mato Grosso: 200 m antes da Fazenda do Pedrão Rodrigues.",NA,NA,"Beira da estrada, com afloramento rochoso alto com campo rupestre.","HUEFS0203963","Angiospermae","Lamiales","Harley",NA,"56823","Rio de Contas","-41.828611","-13.451389","1544","1544","HUEFS0203963",NA,NA,NA,NA,"41W49'43''","13S27'5''",NA,NA,"Asteranae",NA
"19","2019-10-07 09:16:03-03","UEFS","HUEFS","25027","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, R.M.","1996","09","06",NA,"Brasil","Bahia","Abaíra-Catolés. Encosta da Serra do Barbado, após Catolés de Cima.",NA,NA,NA,"HUEFS0025027","Angiospermae","Lamiales","Harley",NA,"28335","Piatã","-41.9","-13.283333","1719","1719","HUEFS0025027",NA,NA,NA,NA,"41W54'","13S17'",NA,NA,"Asteranae",NA
"20","2020-07-03 15:41:13-03","UEFS","HUEFS","53641","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, R.M.","1992","01","06",NA,"Brasil","Bahia","Campo da Pedra Grande.",NA,NA,"Entre rochas.","HUEFS0053641","Angiospermae","Lamiales","Harley",NA,"H50644","Abaíra","-41.9","-13.233333","1550","1550","HUEFS0053641_e1","C.L.Silva-Luz","2009",NA,NA,"41W54'","13S14'","05",NA,"Asteranae",NA
"21","2019-10-07 09:16:03-03","UEFS","HUEFS","64957","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Giulietti, A.M.","2002","05","22",NA,"Brasil","Bahia","Caminho para o Pico das Almas, acima do Queiroz.",NA,NA,"Campo rupestre.","HUEFS0064957","Angiospermae","Lamiales","Harley",NA,"2101","Rio de Contas","-41.964444","-13.526111","1794","1794","HUEFS0064957",NA,NA,NA,NA,"41W57'52''","13S31'34''",NA,NA,"Asteranae",NA
"22","2019-10-07 09:16:03-03","UEFS","HUEFS","69763","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Ferreira, M.C.","2003","01","18",NA,"Brasil","Bahia","Pico das almas, lado esquerdo da trilha sentido topo.",NA,NA,"Campo Rupestre.","HUEFS0069763","Angiospermae","Lamiales","Harley",NA,"1289","Rio de Contas","-41.964444","-13.526111","1816","1816","HUEFS0069763",NA,NA,NA,NA,"41W57'52''","13S31'34''",NA,NA,"Asteranae",NA
"23","2019-10-07 09:16:03-03","UEFS","HUEFS","53620","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Harley, R.M.","1992","02","12",NA,"Brasil","Bahia","Campo do Cigano.",NA,NA,"Entre Rochas.","HUEFS0053620","Angiospermae","Lamiales","Harley",NA,"H51095","Abaíra","-41.916667","-13.25","1780","1780","HUEFS0053620",NA,NA,NA,NA,"41W55'","13S15'",NA,NA,"Asteranae",NA
"24","2019-10-07 09:16:03-03","UEFS","HUEFS","41205","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Conceição, A.S.","1999","10","23",NA,"Brasil","Bahia","Mata, Subida do barbado.",NA,NA,"Campo rupestre. Solo argiloso com muitas rochas.","HUEFS0041205","Angiospermae","Lamiales","Harley",NA,"420","Abaíra","-41.6636009216309","-13.2496995925903","1485","1485","HUEFS0041205","R.M.Harley","2005","26531","auto",NA,NA,"09",NA,"Asteranae",NA
"25","2019-09-04 18:18:25-03","F","FMNH-SEEDPLANTS","V0060954F","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","R. Harley & et al.","1988","11","12","South America","Brazil",NA,NA,NA,NA,NA,"V0060954F","Spermatophyta",NA,NA,"Isotype","26420",NA,"-52.8731","-10.8339",NA,NA,"V0060954F_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA
"26","2020-07-23 12:09:20-03","CEPLAC","CEPEC","96527","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","A. S. Conceição","1999","10","23",NA,"Brasil","Bahia","Subida do barbado.",NA,NA,NA,NA,NA,NA,NA,NA,"420","ABAÍRA","-41.6636009216309","-13.2496995925903",NA,NA,NA,"A. S. Conceição",NA,"26531","auto",NA,NA,NA,NA,NA,"30/12/1999"
"27","2020-07-23 12:09:10-03","CEPLAC","CEPEC","21102","PreservedSpecimen","Plantae","Labiatae","Eriope","anamariae","Eriope anamariae","R. M. Harley","1999","11","22",NA,"Brasil","Bahia","25Km WNW Vila do Rio de Contas.Meio/acima rampa Pico das Almas,penultima ponte.",NA,NA,NA,NA,NA,NA,NA,NA,"19668","RIO DE CONTAS","-41.95","-13.55",NA,NA,NA,"R. M. Harley",NA,NA,NA,"41W57'","13S33'",NA,NA,NA,"30/12/1994"
"28","2020-07-23 12:09:20-03","CEPLAC","CEPEC","46396","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","R. M. Harley","1988","12","12",NA,"Brasil","Bahia","Pico das Almas. Vertente leste, subida do Campo do Queiroz. Base das pedras.",NA,NA,NA,NA,NA,NA,NA,"Isótipo","26420","RIO DE CONTAS","-41.966667","-13.533333",NA,NA,NA,"R. M. Harley",NA,NA,NA,"41W58'0","13S32'0",NA,NA,NA,"30/12/1991"
"29","2020-07-23 12:09:10-03","CEPLAC","CEPEC","47113","PreservedSpecimen","Plantae","Labiatae","Eriope","anamariae","Eriope anamariae","R. M. Harley","1988","11","26",NA,"Brasil","Bahia","A W de Catoles, perto do catoles de Cima, nas vertentes das serras.",NA,NA,NA,NA,NA,NA,NA,NA,"27806","ABAÍRA","-41.883333","-13.3",NA,NA,NA,"R. M. Harley",NA,NA,NA,"41W53'","13S18'",NA,NA,NA,"30/12/1994"
"30","2020-11-12 17:00:27-03","UEL","FUEL","35145","PreservedSpecimen","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae","Conceição, AS; et al.","1999","10","23",NA,"Brasil","Bahia","Barbado, subida do",NA,NA,NA,"FUEL013447","Tracheophyta","Lamiales","Harley",NA,"420","Abaíra","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA,NA
"31","2019-08-06 10:39:37-03","FMM","FMM","885","MachineObservation","Plantae","Lamiaceae","Eriope","anamariae","Eriope anamariae",NA,"2013","01","03",NA,"Brasil","Bahia","Chapada Diamantina",NA,NA,"Hábito: Arbusto; Domínio Fitogeográfico: Cerrado; Vegetação: Campo rupestre","FMM00885",NA,NA,"Harley",NA,NA,"Lençóis","-41.401872","-12.562119",NA,NA,"FMM00885_v1 FMM00885_v2 FMM00885_v3",NA,NA,NA,NA,"41°24'06.74W","12°33'43.63S",NA,NA,NA,NA
