"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","coordinatePrecision","geoFlag","typeStatus","relationshipType","relatedCatalogItem","class"
"11","2021-04-07 11:42:27-03","UFMS","CGMS","50999","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I. Wood & R.W. Scotland","V.J. Pott; E. Scremin-Dias; A. Pott","8471","2005","12","08",NA,"Brasil","Mato Grosso do Sul","Fazenda Baía das Garças, divisa com Fazenda Princezinha.",NA,"Flor arroxeada. Fruto castanho. Habitat: Campo graminoso úmido em vale próximo a capim navalha. Solo argiloso de origem calcária. Relevo plano. Habito: Trepadeira. Ocasional.","CGMS1080984",NA,"Bonito","-56.8338889","-21.05","G. Staples","550","550",NA,NA,NA,"-56,8338889","-21,05",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-21 19:33:50-03","UFC","EAC","16546","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F. Austin","Otoch, R.","s.n.","1990","09","21","Southern America","Brasil","Pará","Serra do Carajás",NA,"Trepadeira, flor lilás.","EAC0016546","EAC0016546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:34:44-03","UFMG","BHCB","130690","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Viana, PL; Versieux, LM; Garcia, LC; Giorni, VT; Silva, LVC; Silva, DF","4089","2009","03","17","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11D.",NA,NA,"BHCB020607",NA,"Canaã dos Carajás","-50.370278","-6.398333",NA,"743","743",NA,NA,NA,"-50.370278","-6.398333",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:34:44-03","UFMG","BHCB","157742","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Arruda, AJ; Viana, PL; Marino, F; Meyer, PB; Jorge, TB; Arruda, LJ","858","2012","03","25","Southern America","Brasil","Pará","Floresta Nacional de Carajás, N7.",NA,"Campo graminoso sobre canga.","BHCB020608",NA,"Parauapebas","-50.1725","-6.153611",NA,"692","692",NA,NA,NA,"-50.1725","-6.153611",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:34:44-03","UFMG","BHCB","157954","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Arruda, AJ; Marino, F; Arruda, LJ; Jorge, TB","947","2012","04","19","Southern America","Brasil","Pará","Floresta Nacional de Carajás, N2.",NA,"Campo graminoso sobre canga.","BHCB020609",NA,"Parauapebas","-50.244722","-6.0575",NA,"697","697",NA,NA,NA,"-50.244722","-6.0575",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-11 11:34:44-03","UFMG","BHCB","158973","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Meyer, PB; Arruda, AJ; Viana, PL; Marino, F; Jorge, TB; Arruda, LJ","1154","2012","03","22","Southern America","Brasil","Pará","Floresta Nacional de Carajás, S11C.",NA,"Borda de campo graminoso, e campo rupestre, canga.","BHCB020610",NA,"Canaã dos Carajás","-50.382778","-6.375556",NA,"715","715",NA,NA,NA,"-50.382778","-6.375556",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:34:44-03","UFMG","BHCB","159039","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Meyer, PB; Arruda, AJ; Viana, PL; Marino, F; Jorge, TB; Arruda, LJ","1231","2012","03","26","Southern America","Brasil","Pará","Floresta Nacional de Carajás, N1.",NA,"Campo graminoso alagado, sobre canga couraçada.","BHCB020611",NA,"Parauapebas","-50.290278","-6.031111",NA,"688","688",NA,NA,NA,"-50.290278","-6.031111",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:34:44-03","UFMG","BHCB","159048","PreservedSpecimen","Plantae","Dicotyledon",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Meyer, PB; Arruda, AJ; Viana, PL; Marino, F; Jorge, TB; Arruda, LJ","1246","2012","03","27","Southern America","Brasil","Pará","Floresta Nacional de Carajás, N3.",NA,"Campo graminoso entremeado próximo a brejo.","BHCB020612",NA,"Parauapebas","-50.207778","-6.041667",NA,"694","694",NA,NA,NA,"-50.207778","-6.041667",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-03-02 04:36:00-03","MO","MOBOT","100363244","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","aequiloba","Ipomoea aequiloba","J.R.I. Wood & Scotland","W. D. Stevens|Isabel Basualdo|O. M. Montiel J.|Christopher Davidson|Sharon R. Christoph","Stevens 31298","2011","3","21","South America","Paraguay","Concepción","Estancia Garay Cuê, 5.5 km NW of Casa Estancia; forest-pasture margin, on limestone",NA,NA,NA,NA,NA,"-57.3813889","-22.645","J. Wood (OXF)","185.00000000",NA,NA,NA,NA,NA,NA,"1420","1",NA,NA,NA,NA,NA,NA
"20","2010-07-20 15:24:00-03","MO","MOBOT","2776069","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F. Austin","Timothy C. Plowman","Plowman 9277","1980","2","28","South America","Brazil","Tocantins","Transania-zonian Highway (BR-230). 6 km W of Estreito (Rio Tocantins).",NA,NA,NA,NA,"Tocantinópolis","-47.5333333","-6.5333333","D.F. Austin","300.00000000",NA,NA,NA,NA,NA,NA,"29","11",NA,NA,NA,NA,NA,NA
"21","2014-01-23 05:32:00-02","MO","MOBOT","2833949","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F. Austin","Ricardo S. Secco|Calvin R. Sperling|M. Condon|A.L. Mesquita|B.G. Ribeiro|Lucival R. Marinho","Secco 132","1982",NA,NA,"South America","Brazil","Pará","Marabá, Alto da Serra, arredores do N5, solo de canga (ferro).",NA,NA,NA,NA,NA,NA,NA,"J.R.I. Woods (OXF)",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"22","2015-08-10 05:49:00-03","MO","MOBOT","2838947","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F. Austin","Amaro Macedo","Macedo 1666","1949","2","13","South America","Brazil","Minas Gerais","Faz. S. Terezinha.",NA,NA,NA,NA,"Ituiutaba","-49.4650001525879","-18.968900680542","J.R.I. Woods (OXF)",NA,NA,NA,NA,NA,NA,NA,NA,"1","50022","auto",NA,NA,NA,NA
"23","2019-06-30 00:27:00-03","MO","MOBOT","101138712","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I. Wood & Scotland","J.R.I. Wood|D. Villarroel","Wood 25474","2008","11","21","South America","Bolivia","Santa Cruz","Rincón del Tigre, portón de la entrada a la Misión, sobre el camino hacia Carmen Rivero Tórrez",NA,NA,NA,NA,"Germán Busch","-58.1919444","-18.2033333","fide Wood et al.","208.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"Holotype",NA,NA,NA
"24","2020-08-31 08:59:41-03","INPA","INPA","139269","S","Plantae","Dicotyledon Asterids","Solanales","Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Silva, ASL da","1798","1984","03","14","Southern America","Brasil","Pará","Serra dos Carajás, Serra dos Carajás, N-4, mina piloto para exploração de ferro. Local onde foi realizado inventário em 05/83. Campo rupestre, solo de canga.",NA,NA,"INPA0139269","INPA0139269 INPA0139269_e","Marabá","-50.4","-5.8","Silva, ASL da","700","750","1984","04",NA,"-50.4","-5.8",NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-04-26 14:54:08-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Silva, NG; Bahia, R","3003","1973","02","03","Southern America","Brazil","Pará","Serra dos Carajás, Para Maraba, Serra dos Carajas, estrada para o 1. arredores de seroporto, selo pedregose. Cipo rasteiro flor roxa.",NA,"usbgn","CONV008080",NA,NA,"-51.2","-6","Austin, DF",NA,NA,"2009",NA,NA,"-51.2","-6",NA,NA,NA,NA,NA,NA,NA,NA
"26","2018-04-26 14:54:08-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Silva, NG; Bahia, R","3003","1973","02","03","Southern America","Brazil","Pará","Serra dos Carajás, Para Maraba, Serra dos Carajas, estrada para o 1. arredores de seroporto, selo pedregose. Cipo rasteiro flor roxa.",NA,"usbgn","CONV008079",NA,NA,"-51.2","-6","Austin, DF",NA,NA,"2009",NA,NA,"-51.2","-6",NA,NA,NA,NA,NA,NA,NA,NA
"27","2018-04-26 14:54:07-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Sperling, CR; Secco, RS; Condon, M; Mesquita, AL; Ribeiro, BGS; Marinh, LR","5610","1978","05","11","Southern America","Brazil","Pará","AMZA camp, AMZA camp N-5, 6°4'S, 50°08'W. Alt. ca. 700-750 m. Scrubby vegetation around the camp on ferric rock outcrops.",NA,"Vine climbing over rocks and shrubs, corolla lavender.","CONV008213",NA,NA,"-50.08","-6.04","Austin, DF",NA,NA,"2009",NA,NA,"-50.08","-6.04",NA,NA,NA,NA,NA,NA,NA,NA
"28","2018-04-26 14:54:07-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Sperling, CR; Secco, RS; Condon, M; Mesquita, AL; Ribeiro, BGS; Marinh, LR","5610","1978","05","11","Southern America","Brazil","Pará","AMZA camp, AMZA camp N-5, 6°4'S, 50°08'W. Alt. ca. 700-750 m. Scrubby vegetation around the camp on ferric rock outcrops.",NA,"Vine climbing over rocks and shrubs, corolla lavender.","CONV008212",NA,NA,"-50.08","-6.04","Austin, DF",NA,NA,"2009",NA,NA,"-50.08","-6.04",NA,NA,NA,NA,NA,NA,NA,NA
"29","2018-04-26 14:54:08-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Silva, NG; Bahia, R","3003","1973","02","03","Southern America","Brazil","Pará","Serra dos Carajás, Para Maraba, Serra dos Carajas, estrada para o 1. arredores de seroporto, selo pedregose. Cipo rasteiro flor roxa.",NA,"usbgn","CONV008078",NA,NA,"-51.2","-6","Austin, DF",NA,NA,"2009",NA,NA,"-51.2","-6",NA,NA,NA,NA,NA,NA,NA,NA
"30","2018-04-26 14:54:08-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Plowman, T; Davidse, G; Rosa, NA; Rosario, CS; Santos, MR dos","9277","1976","02","27","Southern America","Brazil","Goiás","Rio Tocantins, Municipio Tocantinopolis: Transamazonian highway (BR-230), 6 km W of Estreito ( Rio Tocantins). Approx. 6°32'S, 47°32'W. Alt. 300 m.",NA,"Creeping prostrate vine in open place in scrub woodland in cerrado. Corolla light magenta, deeper magenta at throat.","CONV008065",NA,NA,"-47.32","-6.32","Austin, DF",NA,NA,"2009",NA,NA,"-47.32","-6.32",NA,NA,NA,NA,NA,NA,NA,NA
"31","2018-04-26 14:54:07-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Sperling, CR; Secco, RS; Condon, M; Mesquita, AL; Ribeiro, BGS; Marinh, LR","5610","1978","05","11","Southern America","Brazil","Pará","AMZA camp, AMZA camp N-5, 6°4'S, 50°08'W. Alt. ca. 700-750 m. Scrubby vegetation around the camp on ferric rock outcrops.",NA,"Vine climbing over rocks and shrubs, corolla lavender.","CONV008211",NA,NA,"-50.08","-6.04","Austin, DF",NA,NA,"2009",NA,NA,"-50.08","-6.04",NA,NA,NA,NA,NA,NA,NA,NA
"32","2018-04-26 14:54:08-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Plowman, T; Davidse, G; Rosa, NA; Rosario, CS; Santos, MR dos","9277","1976","02","27","Southern America","Brazil","Goiás","Rio Tocantins, Municipio Tocantinopolis: Transamazonian highway (BR-230), 6 km W of Estreito ( Rio Tocantins). Approx. 6°32'S, 47°32'W. Alt. 300 m.",NA,"Creeping prostrate vine in open place in scrub woodland in cerrado. Corolla light magenta, deeper magenta at throat.","CONV008066",NA,NA,"-47.32","-6.32","Austin, DF",NA,NA,"2009",NA,NA,"-47.32","-6.32",NA,NA,NA,NA,NA,NA,NA,NA
"33","2018-04-26 14:54:08-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Plowman, T; Davidse, G; Rosa, NA; Rosario, CS; Santos, MR dos","9277","1976","02","27","Southern America","Brazil","Goiás","Rio Tocantins, Municipio Tocantinopolis: Transamazonian highway (BR-230), 6 km W of Estreito ( Rio Tocantins). Approx. 6°32'S, 47°32'W. Alt. 300 m.",NA,"Creeping prostrate vine in open place in scrub woodland in cerrado. Corolla light magenta, deeper magenta at throat.","CONV008064",NA,NA,"-47.32","-6.32","Austin, DF",NA,NA,"2009",NA,NA,"-47.32","-6.32",NA,NA,NA,NA,NA,NA,NA,NA
"34","2018-04-26 14:54:22-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & R.W.Scotland","Pott, VJ; Pott, A; Sartori, ALB; Lima, LCP; Aragaki","445","2001","04","03","Southern America","Brazil","Mato Grosso do Sul","Fazenda Formoso, Lagoa das Pedras, Lagoa das Pedras, Fazenda Formoso.",NA,"Projeto CNPq 520850-99-8.; Trepadeira. Muito Frequente. Flor rosada. Tubo da corola arroxeada.; Borda de lagoa alagada com vegetação herbácea. Solo argiloso, calcário. Relevo plano.","CONV020161",NA,"Bonito","-56.548943","-21.250747","Staples, G",NA,NA,"2016","04",NA,"-56.548943","-21.250747",NA,NA,NA,NA,NA,"voucher","HMS (249)",NA
"35","2018-04-26 14:54:22-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & R.W.Scotland","Pott, A; Pott, VJ; Hatschbach, G; Silva, J","1089","2002","11","21","Southern America","Brazil","Mato Grosso do Sul","entre Aldeia Taunay e Fazenda Santa Cruz, 1,5 km N da Aldeia Taunay e 8,5 km SE da Fazenda Santa Cruz.",NA,"Projeto CNPq 520.850-99-8.; Erva prostrada ou volúvel. Esp Flor rosa.; Campo (pastagem) de Hyparrhenia rufa, queimado, mal drenado. Solo areno-siltoso. Relevo planície em suave ondulado.","CONV020134",NA,"Aquidauana","-57.200129","-18.541145","Staples, G",NA,NA,"2016","04",NA,"-57.200129","-18.541145",NA,NA,NA,NA,NA,NA,NA,NA
"36","2018-04-26 14:54:22-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & R.W.Scotland","Pott, A; Pott, VJ; Hatschbach, G; Silva, J","1089","2002","11","21","Southern America","Brazil","Mato Grosso do Sul","entre Aldeia Taunay e Fazenda Santa Cruz, 1,5 km N da Aldeia Taunay e 8,5 km SE da Fazenda Santa Cruz.",NA,"Projeto CNPq 520.850-99-8.; Erva prostrada ou volúvel. Esp Flor rosa.; Campo (pastagem) de Hyparrhenia rufa, queimado, mal drenado. Solo areno-siltoso. Relevo planície em suave ondulado.","CONV020135",NA,"Aquidauana","-57.200129","-18.541145","Staples, G",NA,NA,"2016","04",NA,"-57.200129","-18.541145",NA,NA,NA,NA,NA,"voucher","HMS (4895)",NA
"37","2018-04-26 15:49:18-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & R.W.Scotland","Pott, A; Pott, VJ; Moreira, SN; Francener, A","1568","2009","10","08","Southern America","Brazil","Mato Grosso do Sul","Guaicurus, Fazenda Jandaia, Entrada da Fazenda Jandaia, Rodovia MS-243, a 9,6 km SW da Rodovia BR-262 (Guaicurus).",NA,"Projeto GEO-MS Vegetação.; Trepadeira. Flor rosa lilás. Tubo floral arroxeado.; Transição floresta decidual/cerradão. Solo argiloso. Esparsa.","CONV020322,52999",NA,"Miranda","-56.75","-20.083333","Staples, G",NA,NA,"2016","04",NA,"-56.75","-20.083333",NA,NA,NA,NA,NA,"voucher","CGMS (52999)",NA
"38","2018-04-26 15:49:18-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & R.W.Scotland","Pott, VJ; Pott, A; Sartori, ALB; Lima, LCP; Aragaki","445","2001","04","03","Southern America","Brazil","Mato Grosso do Sul","Fazenda Formoso, Lagoa das Pedras, Lagoa das Pedras, Fazenda Formoso.",NA,"Projeto CNPq 520850-99-8.; Trepadeira. Muito Frequente. Flor rosada. Tubo da corola arroxeada.; Borda de lagoa alagada com vegetação herbácea. Solo argiloso, calcário. Relevo plano.","CONV020160,41646",NA,"Bonito","-56.548943","-21.250747","Staples, G",NA,NA,"2016","04",NA,"-56.548943","-21.250747",NA,NA,NA,NA,NA,"voucher","CGMS (41646)",NA
"39","2018-04-26 14:54:22-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & R.W.Scotland","Pott, VJ; Scremin-Dias, E; Pott, A","8471","2005","12","08","Southern America","Brazil","Mato Grosso do Sul","Fazenda Baía das Garças, Municipio Bonito, MS. Local Fazenda Baía das Garças, divisa com Fazenda Princezinha. Campo graminoso úmido em vale próximo a capim navalha. Solo argiloso de origem calcária. Relevo plano.",NA,"Ocasional. Trepadeira. Flor arroxeada. Fruot: castanho.","CONV018863",NA,"Bonito munic.","-56.833889","-21.05","Staples, G",NA,NA,"2016","04","30","-56.833889","-21.05",NA,NA,NA,NA,NA,"voucher","CGMS50999",NA
"40","2018-04-26 15:49:18-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & R.W.Scotland","Pott, A; Pott, VJ; Hatschbach, G; Silva, J","1089","2002","11","21","Southern America","Brazil","Mato Grosso do Sul","entre Aldeia Taunay e Fazenda Santa Cruz, 1,5 km N da Aldeia Taunay e 8,5 km SE da Fazenda Santa Cruz.",NA,"Projeto CNPq 520.850-99-8.; Erva prostrada ou volúvel. Esp Flor rosa.; Campo (pastagem) de Hyparrhenia rufa, queimado, mal drenado. Solo areno-siltoso. Relevo planície em suave ondulado.","CONV020133,41633",NA,"Aquidauana","-57.200129","-18.541145","Staples, G",NA,NA,"2016","04",NA,"-57.200129","-18.541145",NA,NA,NA,NA,NA,"voucher","CGMS (41633)",NA
"41","2020-09-12 05:00:02-03","US","US","2967537","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F. Austin","T. C. Plowman, G. Davidse, N. A. Rosa, C. S. Rosário & M. R. Santos","9277","1980","2","28","South America - Neotropics","Brazil","Goiás","Município Tocantinópolis: Transamazonian highway (BR-230), 6 km. west of Estreito (Rio Tocantins).",NA,NA,"US03152235","US03152235_01",NA,"-47.53","-6.53",NA,"300",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
