"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"17","2020-07-23 12:00:56-03","CEPLAC","CEPEC","56633","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E. M. C. Leme","A. M. de Carvalho","4092","1992","10","21",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada KM 46 BA-001 Ilheus/Una.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,"30/04/1995"
"18","2020-07-23 12:00:56-03","CEPLAC","CEPEC","56785","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E. M. C. Leme","W. W. Thomas","9441","1992","11","14",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão. Entr. KM 46 ao N BA-001 Ilheus/Una.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,"30/04/1995"
"19","2020-07-23 12:00:56-03","CEPLAC","CEPEC","57041","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E. M. C. Leme","J. G. Jardim","27","1993","02","09",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada KM 46 BA-001 Ilheus/Una.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,"30/04/1995"
"20","2020-07-23 12:00:56-03","CEPLAC","CEPEC","57351","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E. M. C. Leme","A. M. Amorim","1077","1993","03","08",NA,"Brasil","Bahia","UNA","Reserva Biologica do Mico-leão. Entr. KM 46 BA-001 Ilheus/Una. Estr. paralela rumo da Reserva.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,"30/04/1995"
"21","2020-07-23 12:00:56-03","CEPLAC","CEPEC","58311","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E. M. C. Leme","A. M. Amorim","1203","1993","04","14",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada KM 46 BA-001 Ilheus/Una. Picada paralela ao rumo da Reserva.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,"30/04/1995"
"22","2020-07-23 12:00:56-03","CEPLAC","CEPEC","58702","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"E. M. C. Leme","A. M. Amorim","1392","1993","09","14",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão. Entr. KM 46 BA-001 Ilheus/Una. Picada paralela ao rumo da Rserva.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'0","15S9'0",NA,NA,NA,"30/04/1995"
"23","2020-07-23 12:00:56-03","CEPLAC","CEPEC","69034","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"A. M. Amorim","A. M. Amorim","1983","2000","05","09",NA,"Brasil","Bahia","UNA","Res. Bio. Do Mico-leão. Entr. Km 46 BA-001 Ilheus/Una.Ramal que leva a Faz. Jaqueiral, Conj. Esperança ca. 10Km a partir","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W5'","15S9'",NA,NA,NA,"30/12/1996"
"24","2020-07-23 12:00:56-03","CEPLAC","CEPEC","83733","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"G. M. Sousa","G. M. Sousa","305","2000","02","09",NA,"Brasil","Bahia","UNA","Reserva Biologica de Una, trilha do marimbondo.","-39.083333","-15.15",NA,NA,NA,"<ll>dwc_commonname:</ll> Gravata",NA,NA,NA,NA,NA,"39W5'","15S9'",NA,NA,NA,"07/02/2000"
"25","2020-07-23 12:00:56-03","CEPLAC","CEPEC","86822","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"L. O. F. de Sousa","J. G. Jardim","3024","2003","05","01",NA,"Brasil","Bahia","UNA","Reserva Biológica de Una, ao W Rod. Una/São José, entrada ca. 26Km de Una/ Vila Brasil, ca; 10Km da entrada.","-39.151111","-15.179444",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W9'4","15S10'46",NA,NA,NA,"14/10/2002"
"26","2020-07-23 12:00:56-03","CEPLAC","CEPEC","8934","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"L. O. F. de Sousa","R. S. Pinheiro","1938","1972","10","25",NA,"Brasil","Bahia","ILHÉUS","Ramal da Faz. Ipiranga a 21km de Olivença.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","61245","auto",NA,"14/10/2002"
"27","2020-07-23 12:00:56-03","CEPLAC","CEPEC","55432","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"L. O. F. de Sousa","A. M. Amorim","531","2008","11","05",NA,"Brasil","Bahia","UNA","Ca. 6Km na estrada de Comandatuba para a praia de Una.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,"14/10/2002"
"28","2020-07-23 12:00:56-03","CEPLAC","CEPEC","23632","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"L. O. F. de Sousa","J. L. Hage","796","1981","06","01",NA,"Brasil","Bahia","UNA","Km 35 Rod. Olivença/Una, prox. Reserva Biológica do Mico-leão, ca. 2Km ao S entrada.","-39.0752983093262","-15.2932996749878",NA,NA,NA,"<ll>dwc_commonname:</ll> Gravatá",NA,NA,NA,NA,NA,"0W0'0","0S0'0","36070","auto",NA,"14/10/2002"
"29","2020-07-23 12:00:56-03","CEPLAC","CEPEC","95338","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"T. Fontoura","A. Martini","165","2000","03","16",NA,"Brasil","Bahia","UNA","Reserva Biológica de Uma. Sede da Piedade.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W8'78","15S10'66","36070","auto",NA,"06/10/2011"
"30","2020-07-23 12:00:56-03","CEPLAC","CEPEC","94200","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea",NA,"L. O. F. de Sousa","L. O. F. de Sousa","406","2002","10","09",NA,"Brasil","Bahia","UNA","Reserva Biológica de Una.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,"30/12/2002"
"31","2019-11-21 10:02:37-03","IBt","SP","344033","S","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","Sousa, GM","Sousa, GM; et al.","305","2000","02","07",NA,"Brasil","Bahia","Una","Reserva Biológica de Una, Trilha do Marimbondo.","-39.083333","-15.15",NA,NA,NA,NA,"SP051870","SP051870","2000","02","07","-39.083333","-15.15",NA,NA,NA,NA
"32","2019-11-21 10:02:37-03","IBt","SP","266717","S","Plantae",NA,NA,"Bromeliaceae","Lymania","azurea","Lymania azurea","Leme","Forzza, RC","Esteves, GL; Kameyama, C","2593","1993","05","23",NA,"Brasil","Bahia","Una","Estrada Olivença/Lena, 27km de Olivença, Maruim.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"SP051871","SP051871","2005",NA,NA,NA,NA,"36070","auto",NA,NA
