"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","barcode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","imagecode","continentOcean","class","relatedCatalogItem","typeStatus"
"11","2019-08-20 09:59:13-03","UNICAMP","UEC","86553","S","Plantae","Liliopsida",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Leme, EMC","1995","04","Sazima, M; Sazima, I","1995","02","02","Brazil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.5900001525879","-22.7299995422363","21048",NA,"Brácteas vermelhas, flores brancas com ápice azulado e arroxeado claro.","auto","32326","UEC057966",NA,NA,NA,NA,NA,"UEC057966",NA,NA,NA,NA
"12","2020-12-21 16:19:25-03","MBM","MBM","429295","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Moreira, B.A.","2019",NA,"Lozano, E.D.; Canestraro, B.K.; Canestraro, B.K.","2019","01","25","Brazil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão, trilha do Campo","-45.473944","-22.691111",NA,NA,"Terrícola, 70 cm, brácteas avermelhadas, flores róseas, interior da mata. Margem de riacho. Prensada com álcool.; Floresta Ombrófila Mista Montana.",NA,"4340","MBM429295",NA,NA,NA,"-45.473944","-22.691111",NA,"Southern America",NA,NA,NA
"13","2020-12-11 11:43:32-03","UFMG","BHCB","47861","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-11 11:43:32-03","UFMG","BHCB","147112","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,"Venda, AKL; Forzza, RC; Stehmann, JR; Amorim, AMA","2010","12","03","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Mata Nbular da Cachoeira Bonita.","-41.837694","-20.40575",NA,NA,"Terrestre. Folhas com bainha levemente avermelhadas e com listas castanhas. Escapo alvo, brácteas do escapo esverdeados, bráctea primária vermelha, bráctea floral com base esverdeada e ápice vermelho. Sépala esverdeada ou com o ápice vermelho, pétal",NA,"56",NA,"1849","1849",NA,"-41.837694","-20.40575",NA,"Southern America",NA,NA,NA
"15","2020-12-11 11:43:32-03","UFMG","BHCB","147699","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,"Giacomin, LL; Massensini Júnior, A; A.; Assis, FC; Paixão, LC; Batista, JAN","2011","03","17","Brasil","Minas Gerais","Delfim Moreira","Fazenda da Onça (área mantida pelo Exército Brasil, Trilha de subida para o Pico do Carrasco.","-45.342778","-22.608306",NA,NA,"Erva terrestre ou epífita. Em subosque de floresta ombrófila densa. Brácteas do escapo roseas, com ápice verde. Flores alvas.",NA,"1451",NA,"1752","1752",NA,"-45.342778","-22.608306",NA,"Southern America",NA,NA,NA
"16","2020-12-11 11:43:32-03","UFMG","BHCB","8215","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,"Grandi, TSM; et al.","1987","02","25","Brasil","Minas Gerais","Ouro Preto","Itacolomi.","-43.5080986022949","-20.2875003814697","44599",NA,"Campo rupestre;herbáceo;ilha de vegetal de mata;","auto","2366",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","1953798","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,"A. C. Brade","1937","3",NA,"Brazil","Rio de Janeiro",NA,"Itatiaia. Pedra Assentada sobre pedras na mata.",NA,NA,NA,"1",NA,NA,"15725",NA,"2300",NA,NA,NA,NA,NA,"South America - Neotropics","Monocotyledonae",NA,NA
"18","2020-09-12 05:00:02-03","US","US","1932438","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,"L. Smith","1929","1","9","Brazil","Rio de Janeiro",NA,"Matto, vicinity of Macieiras, Mt. Itatiaya, Estação Biologica.","-44.67","-22.43",NA,"1",NA,NA,"1775",NA,"1960",NA,NA,NA,NA,NA,"South America - Neotropics","Monocotyledonae",NA,NA
"19","2020-07-23 12:01:00-03","CEPLAC","CEPEC","132137","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi",NA,"R. C. Forzza",NA,NA,"A. K. L. Venda","1979","05","04","Brasil","Minas Gerais","Alto caparaó","Parque Nacional do Caparaó. Mata da Cachoeira Bonita.","-41.837778","-20.405833",NA,NA,NA,NA,"56",NA,NA,NA,NA,"41W50'16","20S24'21",NA,NA,NA,"30/12/2010",NA
"20","2021-03-04 15:41:58-03","IF","SPSF","47882","PreservedSpecimen","Plantae","Magnoliophyta","Bromeliales","Bromeliaceae","Nidularium","marigoi","Nidularium marigoi",NA,NA,NA,NA,"T.E.Barreto","2013","02","19","Brasil","SP","Campos do Jordão","PECJ","-45.766667","-23.183333",NA,NA,"COLETA: Epífita.&nf;1 Duplicata; GEOGRAFIA: FOD Altomontana;",NA,"197",NA,NA,NA,NA,NA,NA,NA,"América do Sul","Liliopsida",NA,NA
"21","2019-11-21 10:02:40-03","IBt","SP","387923","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Leme, E","1990","10","Martinelli, G; et al.","1976","11","06","Brasil","Rio de Janeiro",NA,"Parque Nacional de Itatiaia",NA,NA,NA,NA,NA,NA,"1090","SP052210","1650","1650",NA,NA,NA,"SP052210",NA,NA,NA,NA
"22","2019-11-21 10:02:40-03","IBt","SP","423661","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Wanderley, MGL",NA,NA,"Wanderley, MGL; Abondanza, BF; Louzada, RB","2009","03","20","Brasil","São Paulo","Campos do Jordão","Trilha dos Campos.","-45.476222","-22.694542",NA,NA,NA,NA,"2789","SP052204",NA,NA,NA,"-45.476222","-22.694542","SP052204",NA,NA,NA,NA
"23","2019-11-21 10:02:40-03","IBt","SP","423661a","Extra","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Wanderley, MGL",NA,NA,"Wanderley, MGL; Abondanza, BF; Louzada, RB","2009","03","20","Brasil","São Paulo","Campos do Jordão","Trilha dos Campos.","-45.476222","-22.694542",NA,NA,NA,NA,"2789","SP052205",NA,NA,NA,"-45.476222","-22.694542","SP052205",NA,NA,NA,NA
"24","2019-11-21 10:02:40-03","IBt","SP","246359","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Leme, EMC","1990",NA,"Leme, EMC; Menescal, R; Bello, R","1986","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, p'roximo à divisa com Minas Gerais","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto","937","SP001803","2000","2000",NA,NA,NA,"SP001803",NA,NA,NA,"Isotype"
"25","2019-11-21 10:02:40-03","IBt","SP","101696","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Leme, EMC","1991","04","Mattos, J; Mattos, N","1967","07","26","Brasil","São Paulo","Campos do Jordão","Fazenda da Guarda.","-45.5900001525879","-22.7299995422363","21048",NA,NA,"auto","15001","SP052211",NA,NA,NA,NA,NA,"SP052211",NA,NA,NA,NA
"26","2020-05-07 17:13:59-03","IBt","SP","401904","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme",NA,NA,NA,"Sazima, M","1995","02","02","Brasil","São Paulo","Campos do Jordão","Parque Estadual de Campos do Jordão","-45.5900001525879","-22.7299995422363","21048",NA,NA,"auto","32326","SP052206",NA,NA,NA,NA,NA,"SP052206",NA,NA,NA,NA
"27","2019-11-21 10:02:40-03","IBt","SP","340564","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Moreira, BA","2003","09","Nicolau, SA; et al.","1998","01","23","Brasil","São Paulo","Pindamonhangaba","Fazenda São João do Ribeirão Grande, São José dos Alpes.","-45.4599990844727","-22.9200000762939","24176",NA,NA,"auto","1662","SP052212",NA,NA,NA,NA,NA,"SP052212",NA,NA,NA,NA
"28","2019-11-21 10:02:40-03","IBt","SP","357748","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Moreira, BA","2003","09","Nicolau, SA; et al.","1998","01","24","Brasil","São Paulo","Pindamonhangaba","São José dos Alpes, divisa com Campos do Jordão.","-45.4599990844727","-22.9200000762939","24176",NA,NA,"auto","3079","SP052213",NA,NA,NA,NA,NA,"SP052213",NA,NA,NA,NA
"29","2019-11-21 10:02:40-03","IBt","SP","374437","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Moreira, BA","2004","06","Moreira, BA; Martins, SE","2004","12","23","Brasil","São Paulo","Piquete","Estrada para o Morro do Ataque-Sanatório.","-45.1699981689453","-22.6100006103516","13434",NA,NA,"auto","251","SP052208","1600","1600",NA,NA,NA,"SP052208",NA,NA,NA,NA
"30","2019-11-21 10:02:40-03","IBt","SP","370298","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Moreira, BA","2004","06","Moreira, BA; Martins, SE","2004","06","30","Brasil","São Paulo","Piquete","Morro do Careca, Trilha para o Pico dos Marins.","-45.1699981689453","-22.6100006103516","13434",NA,NA,"auto","248","SP052207","1800","1800",NA,NA,NA,"SP052207",NA,NA,NA,NA
"31","2019-11-21 10:02:40-03","IBt","SP","374436","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","marigoi","Nidularium marigoi","Leme","Moreira, BA","2004","06","Moreira, BA; Martins, SE","2004","12","23","Brasil","São Paulo","Piquete","Morro do Careca, Trilha para o Pico dos Marins.","-45.1699981689453","-22.6100006103516","13434",NA,NA,"auto","248a","SP052209","1800","1800",NA,NA,NA,"SP052209",NA,NA,NA,NA
