nome_aceito_correto,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp
Actinostemon verticillatus,"NA",LC,"NA","NA","NA","NA"
Adamantinia miltonioides,"NA","NA","NA",CR,"NA","NA"
Adelothecium bogotense,"NA","NA","NA","NA",LC,"NA"
Adenocalymma dichilum,"NA","NA","NA",EN,"NA","NA"
Adenocalymma divaricatum,"NA","NA","NA",EN,"NA","NA"
Adenocalymma hypostictum,"NA","NA","NA",EN,"NA","NA"
Adenocalymma paulistarum,"NA","NA","NA","NA",LC,"NA"
Adenocalymma ubatubense,"NA","NA","NA",CR,CR,CR
Adenophaedra cearensis,"NA","NA","NA",CR,"NA","NA"
Adesmia paranensis,"NA","NA","NA","NA",NT,"NA"
Adiantum diphyllum,"NA","NA","NA",CR,"NA","NA"
Adiantum discolor,"NA","NA","NA",EN,"NA","NA"
Adiantum mynsseniae,"NA","NA","NA",EN,EN,"NA"
Adiantum papillosum,"NA","NA","NA",EN,"NA","NA"
Adiantum tetragonum,"NA","NA","NA",EN,"NA","NA"
Aechmea alopecurus,"NA","NA","NA",EN,"NA","NA"
Aechmea amicorum,"NA","NA","NA",EN,"NA","NA"
Aechmea apocalyptica,"NA","NA","NA",VU,"NA",EX
Aechmea azurea,"NA","NA","NA",VU,"NA","NA"
Aechmea bambusoides,"NA","NA","NA",VU,"NA","NA"
Aechmea bromeliifolia,"NA","NA","NA","NA",LC,"NA"
Aechmea bromeliifolia var. albobracteata,"NA","NA","NA","NA",LC,"NA"
Aechmea candida,"NA","NA","NA","NA",DD,"NA"
Aechmea capixabae,"NA","NA","NA","NA",DD,"NA"
Aechmea cariocae,"NA","NA","NA",EN,"NA","NA"
Aechmea castanea,"NA","NA","NA",EN,"NA","NA"
Aechmea caudata,"NA","NA","NA","NA",LC,"NA"
Aechmea cylindrata,"NA","NA","NA","NA",LC,"NA"
Aechmea distichantha,"NA","NA","NA","NA",LC,"NA"
Aechmea echinata,"NA","NA","NA",EN,"NA","NA"
Aechmea entringeri,"NA","NA","NA","NA",DD,"NA"
Aechmea fosteriana,"NA","NA","NA",EN,"NA","NA"
Aechmea gamosepala,NA-NA,NA-NA,NA-NA,NA-NA,LC-NA,EX-EX
Aechmea gracilis,"NA","NA","NA","NA",LC,"NA"
Aechmea kertesziae,"NA","NA","NA",EN,"NA","NA"
Aechmea kleinii,"NA","NA","NA",EN,"NA","NA"
Aechmea lingulata,"NA","NA","NA","NA",DD,VU
Aechmea macrochlamys,"NA","NA","NA",EN,"NA","NA"
Aechmea marginalis,"NA","NA","NA",CR,"NA","NA"
Aechmea muricata,"NA","NA","NA",EN,"NA","NA"
Aechmea mutica,"NA","NA","NA",EN,"NA","NA"
Aechmea nudicaulis,"NA","NA","NA","NA",LC,"NA"
Aechmea orlandiana,"NA","NA","NA",CR,"NA","NA"
Aechmea pectinata,"NA","NA","NA","NA",LC,"NA"
Aechmea pedicellata,"NA","NA","NA","NA",DD,"NA"
Aechmea pimenti-velosoi,"NA","NA","NA","NA",DD,"NA"
Aechmea podantha,"NA","NA","NA","NA",DD,"NA"
Aechmea recurvata,"NA","NA","NA","NA",DD,VU
Aechmea recurvata var. ortgiesii,"NA","NA","NA","NA",DD,"NA"
Aechmea roberto-seidelii,"NA","NA","NA","NA",DD,"NA"
Aechmea rubrolilacina,"NA","NA","NA","NA",DD,"NA"
Aechmea setigera,"NA","NA","NA","NA",LC,EX
Aechmea sphaerocephala,"NA","NA","NA",EN,"NA","NA"
Aechmea triangularis,"NA","NA","NA",EN,"NA","NA"
Aechmea vanhoutteana,"NA","NA","NA",VU,VU,"NA"
Aechmea werdermannii,"NA","NA","NA",EN,"NA","NA"
Aechmea winkleri,"NA","NA","NA",CR,"NA","NA"
Aechmea wittmackiana,"NA","NA","NA","NA","NA",VU
Aegiphila australis,"NA","NA","NA","NA",NE,"NA"
Aegiphila brachiata,"NA",LC,"NA","NA","NA","NA"
Aegiphila capitata,"NA","NA","NA","NA","NA",EX
Aegiphila duckei,"NA","NA","NA","NA",DD,"NA"
Aegiphila fluminensis,"NA",LC,"NA","NA","NA","NA"
Aegiphila integrifolia,"NA",LC,"NA","NA","NA","NA"
Aegiphila mediterranea,"NA",LC,"NA","NA","NA","NA"
Aegiphila obducta,"NA",LC,"NA","NA","NA","NA"
Aegiphila verticillata,"NA",LC,"NA","NA","NA","NA"
Aegiphila vitelliniflora,"NA",LC,"NA","NA","NA","NA"
Aeschynomene ciliata,"NA",LC,"NA","NA","NA","NA"
Aeschynomene denticulata,"NA","NA","NA","NA",LC,"NA"
Aeschynomene fructipendula,"NA","NA","NA",EN,"NA","NA"
Aeschynomene selloi,"NA","NA","NA","NA",LC,"NA"
Aeschynomene sensitiva var. hispidula,"NA","NA","NA","NA",DD,"NA"
Agalinis bandeirensis,"NA","NA","NA",CR,"NA","NA"
Agalinis brachyphylla,"NA","NA","NA",VU,"NA","NA"
Agalinis communis,"NA","NA",EN,"NA",LC,EN
Agalinis itambensis,"NA","NA","NA",EN,"NA","NA"
Agalinis nana,"NA","NA","NA",EN,"NA","NA"
Agalinis ramulifera,"NA","NA",EX,EN,EN,EX
Agalinis schwackeana,"NA","NA","NA",CR,"NA","NA"
Agarista chlorantha,"NA","NA","NA","NA",LC,"NA"
Agarista niederleinii,"NA","NA","NA","NA",LC,EN
Agarista nummularia,"NA","NA",EX,"NA",LC,EX
Agarista oleifolia,"NA",LC,"NA","NA","NA","NA"
Agarista pulchra,"NA","NA","NA","NA",NT,EN
Agenium leptocladum,"NA","NA",EN,"NA",LC,EN
Agonandra brasiliensis,"NA",LC,"NA","NA","NA","NA"
Agrianthus almasensis,"NA","NA","NA",EN,"NA","NA"
Agrianthus giuliettiae,"NA","NA","NA",EN,"NA","NA"
Agrimonia parviflora,"NA","NA",EX,"NA",DD,EX
Agrostis lenis,"NA","NA","NA",VU,VU,VU
Agrostis longiberbis,"NA","NA",EN,EN,EN,EN
Aguiaria excelsa,"NA","NA","NA","NA",DD,"NA"
Aiouea acarodomatifera,"NA",LR/lc,"NA","NA",LC,"NA"
Aiouea benthamiana,"NA","NA","NA",EN,"NA","NA"
Aiouea bracteata,"NA",EN,"NA",VU,EN,VU
Aiouea glaziovii,NA-NA,LC-NA,NA-NA,NA-NA,NA-LC,NA-NA
Aiouea lehmannii,"NA","NA","NA",EN,"NA","NA"
Aiouea macedoana,"NA","NA","NA","NA",DD,"NA"
Aiouea piauhyensis,"NA","NA","NA","NA",LC,EX
Aiouea saligna,"NA",LC,"NA","NA","NA","NA"
Aiouea trinervis,"NA","NA","NA","NA",LC,EN
Akrosida macrophylla,"NA","NA","NA","NA",DD,"NA"
Alansmia senilis,NA-NA,NA-NA,NA-NA,CR-NA,NA-CR,NA-NA
Albizia burkartiana,"NA","NA","NA",VU,"NA","NA"
Albizia carbonaria,"NA",LC,"NA","NA","NA","NA"
Albizia edwallii,NA-NA,LC-VU,NA-NA,NA-NA,LC-NA,NA-NA
Albizia glabripetala,"NA","NA","NA",EN,"NA","NA"
Albizia inundata,"NA",LC,"NA","NA","NA","NA"
Albizia niopoides,"NA",LC,"NA","NA",LC,"NA"
Albizia polycephala,"NA",LC,"NA","NA",LC,"NA"
Alcantarea benzingii,"NA","NA","NA",CR,"NA","NA"
Alcantarea duarteana,"NA","NA","NA",EN,"NA","NA"
Alcantarea farneyi,"NA","NA","NA",CR,"NA","NA"
Alcantarea geniculata,"NA","NA","NA",EN,"NA","NA"
Alcantarea glaziouana,"NA","NA","NA",EN,"NA","NA"
Alcantarea imperialis,"NA","NA","NA",VU,"NA","NA"
Alcantarea nahoumii,"NA","NA","NA",VU,"NA","NA"
Alcantarea nevaresii,"NA","NA","NA",EN,"NA","NA"
Alcantarea vinicolor,"NA","NA","NA",EN,"NA","NA"
Alchornea glandulosa,"NA",LC,"NA","NA","NA","NA"
Alchornea triplinervia,"NA",LC,"NA","NA","NA","NA"
Aldama aspilioides,"NA","NA","NA","NA",DD,VU
Aldama corumbensis,"NA","NA","NA",EN,"NA","NA"
Aldama filifolia,"NA","NA","NA",EN,"NA","NA"
Aldama goyazii,NA-NA,NA-NA,NA-NA,VU-NA,NA-VU,NA-NA
Aldama grandiflora,"NA","NA","NA","NA",NE,"NA"
Aldama linearifolia,"NA","NA","NA",CR,"NA","NA"
Aldama paranensis,"NA","NA","NA",CR,"NA","NA"
Aldama pilosa,"NA","NA","NA","NA",NE,"NA"
Aldama santacatarinensis,"NA","NA","NA","NA",NE,"NA"
Aldama vernonioides,"NA","NA","NA",EN,"NA","NA"
Aldina microphylla,"NA","NA","NA","NA",DD,"NA"
Aldina occidentalis,"NA","NA","NA","NA",DD,"NA"
Aldina polyphylla,"NA","NA","NA","NA",DD,"NA"
Algernonia brasiliensis,"NA",VU,"NA","NA",VU,"NA"
Algernonia dimitrii,"NA","NA","NA",CR,"NA","NA"
Algernonia kuhlmannii,"NA","NA","NA",CR,"NA","NA"
Algernonia leandrii,"NA","NA","NA","NA",LC,"NA"
Algernonia riedelii,"NA",NT,"NA","NA",NT,"NA"
Allagoptera arenaria,"NA","NA","NA","NA",LC,"NA"
Allagoptera brevicalyx,"NA","NA","NA",VU,"NA","NA"
Allantoma integrifolia,"NA","NA","NA","NA",DD,"NA"
Allantoma kuhlmannii,"NA","NA","NA","NA",DD,"NA"
Allantoma pauciramosa,"NA","NA","NA","NA",DD,"NA"
Allantoma uaupensis,"NA","NA","NA","NA",DD,"NA"
Allophylus edulis,"NA",LC,"NA","NA","NA","NA"
Allophylus melanophloeus,"NA","NA","NA","NA",DD,"NA"
Allophylus membranifolius,"NA","NA","NA","NA",DD,"NA"
Allophylus puberulus,"NA","NA","NA","NA",LC,"NA"
Allophylus racemosus,"NA",LC,"NA","NA","NA","NA"
Allophylus semidentatus,"NA","NA","NA","NA",LC,"NA"
Aloysia hatschbachii,"NA","NA","NA",EN,"NA","NA"
Aloysia polygalifolia,"NA","NA","NA","NA",LC,"NA"
Alseis floribunda,"NA",LC,"NA","NA","NA","NA"
Alseis involuta,"NA","NA","NA",VU,VU,VU
Alseis latifolia,"NA",LC,"NA","NA",LC,"NA"
Alsophila capensis,"NA","NA","NA","NA",LC,"NA"
Alsophila capensis subsp. polypodioides,"NA","NA","NA","NA",LC,"NA"
Alstroemeria amabilis,"NA","NA","NA",EN,"NA","NA"
Alstroemeria apertiflora,"NA","NA","NA","NA",LC,EN
Alstroemeria brasiliensis,"NA","NA","NA",EN,"NA","NA"
Alstroemeria capixaba,"NA","NA","NA",CR,"NA","NA"
Alstroemeria caryophyllaea,"NA","NA",EW,EN,"NA",EW
Alstroemeria foliosa,"NA","NA","NA","NA","NA",EN
Alstroemeria inodora,"NA","NA","NA","NA",LC,"NA"
Alstroemeria malmeana,"NA","NA","NA",CR,"NA","NA"
Alstroemeria orchidioides,"NA","NA","NA",EN,"NA","NA"
Alstroemeria penduliflora,"NA","NA","NA",EN,"NA","NA"
Alstroemeria plantaginea,"NA","NA","NA","NA","NA",EN
Alstroemeria variegata,"NA","NA","NA","NA",DD,"NA"
Alternanthera aquatica,"NA","NA","NA","NA","NA",VU
Alternanthera bahiensis,"NA","NA","NA","NA","NA",VU
Alternanthera flavescens,"NA","NA","NA","NA","NA",VU
Alternanthera hirtula,"NA","NA","NA",VU,"NA","NA"
Alternanthera januarensis,"NA","NA","NA",EN,"NA","NA"
Alternanthera kurtzii,"NA","NA","NA",EN,EN,"NA"
Alternanthera lanceolata,"NA","NA","NA","NA","NA",VU
Alternanthera micrantha,"NA","NA","NA","NA",LC,VU
Alternanthera paronychioides,"NA","NA",EX,"NA",LC,EX
Alternanthera praelonga,"NA","NA","NA","NA",LC,"NA"
Alternanthera puberula,"NA","NA","NA","NA",LC,"NA"
Alternanthera reineckii,NA-NA,NA-NA,NA-NA,NA-NA,LC-NA,VU-VU
Alternanthera sessilis,"NA",LC,"NA","NA",LC,"NA"
Alternanthera tenella,"NA","NA","NA","NA",LC,"NA"
Altoparadisium chapadense,"NA","NA","NA",CR,"NA","NA"
Amaioua guianensis,"NA",LC,"NA","NA","NA","NA"
Amaioua monteiroi,"NA","NA","NA","NA",DD,"NA"
Amaranthus rosengurtii,"NA","NA","NA",EN,"NA","NA"
Amauropelta araucariensis,"NA","NA","NA","NA",LC,"NA"
Amauropelta concinna,"NA","NA","NA","NA",LC,"NA"
Amauropelta novaeana,"NA","NA","NA",CR,"NA","NA"
Ambrosia polystachya,"NA",LC,"NA","NA","NA","NA"
Amburana acreana,"NA","NA","NA",VU,"NA","NA"
Amburana cearensis,"NA",EN,"NA","NA",NT,"NA"
Amburana erythrosperma,"NA","NA","NA","NA",DD,"NA"
Amphilophium crucigerum,"NA","NA","NA","NA",NE,"NA"
Amphirrhox longifolia,"NA",LC,"NA","NA","NA","NA"
Anacardium humile,"NA","NA","NA","NA",LC,"NA"
Ananas fritzmuelleri,"NA","NA","NA","NA",LC,"NA"
Anathallis adenochila,"NA","NA","NA","NA",LC,"NA"
Anathallis bleyensis,"NA","NA","NA","NA",DD,"NA"
Anathallis colnagoi,"NA","NA","NA",CR,"NA","NA"
Anathallis crebrifolia,"NA","NA","NA","NA",DD,"NA"
Anathallis gehrtii,"NA","NA","NA",VU,VU,VU
Anathallis gerthatschbachii,"NA","NA","NA","NA",NE,"NA"
Anathallis kautskyi,"NA","NA","NA","NA",DD,"NA"
Anathallis montipelladensis,"NA","NA","NA","NA",LC,"NA"
Anathallis obovata,"NA","NA","NA","NA",NE,"NA"
Anathallis pabstii,"NA","NA","NA",EN,"NA","NA"
Anathallis radialis,"NA","NA","NA","NA",NT,"NA"
Anathallis tigridens,"NA","NA","NA",VU,"NA","NA"
Ancistrotropis firmula,NA-NA,NA-NA,NA-NA,NA-NA,LC-LC,VU-NA
Andira anthelmia,"NA",LC,"NA","NA","NA","NA"
Andira fraxinifolia,"NA",LC,"NA","NA","NA","NA"
Andira humilis,"NA",LC,"NA","NA",LC,"NA"
Andira ormosioides,"NA",LC,"NA","NA","NA","NA"
Andira praecox,"NA","NA","NA","NA",DD,"NA"
Andira vermifuga,"NA",LC,"NA","NA",LC,"NA"
Andreadoxa flava,"NA","NA","NA",CR,"NA","NA"
Andropogon carinatus,"NA","NA","NA","NA",LC,EX
Andropogon glaucophyllus,"NA","NA","NA",EN,EN,EX
Andropogon hypogynus,"NA","NA","NA","NA",LC,VU
Anemia blechnoides,"NA","NA","NA",VU,"NA","NA"
Anemia dentata,"NA","NA","NA",VU,"NA","NA"
Anemia espiritosantensis,"NA","NA","NA","NA",DD,"NA"
Anemia gardneri,"NA","NA","NA",VU,"NA","NA"
Anemia organensis,"NA","NA","NA","NA",NT,"NA"
Anemia phyllitidis,"NA",DD,"NA","NA","NA","NA"
Anemia trichorhiza,"NA","NA","NA",VU,VU,"NA"
Anemone decapetala,"NA","NA","NA","NA",LC,"NA"
Anemone sellowii,"NA","NA","NA","NA",LC,"NA"
Anemopaegma arvense,"NA","NA","NA",EN,EN,EN
Anemopaegma mirabile,"NA","NA","NA",CR,"NA","NA"
Anemopaegma patelliforme,"NA","NA","NA","NA",DD,"NA"
Anetanthus gracilis,"NA","NA","NA","NA",DD,"NA"
Aneura pinguis,"NA","NA","NA","NA",LC,"NA"
Angelonia alternifolia,"NA","NA","NA",CR,"NA","NA"
Angelonia integerrima,"NA","NA","NA","NA",LC,EX
Aniba ferrea,"NA","NA","NA",VU,"NA","NA"
Aniba firmula,"NA","NA","NA","NA",LC,"NA"
Aniba heringeri,NA-NA,NA-NA,NA-NA,NA-NA,LC-NA,EN-EN
Aniba santalodora,"NA","NA","NA",VU,"NA","NA"
Aniba viridis,"NA",LC,"NA","NA",LC,"NA"
Aniseia martinicensis,"NA",LC,"NA","NA","NA","NA"
Aniseia martinicensis var. ambigua,"NA","NA","NA","NA",DD,"NA"
Annona annonoides,"NA","NA","NA","NA",DD,"NA"
Annona burchellii,"NA","NA","NA","NA",DD,"NA"
Annona cacans,"NA",LC,"NA","NA",LC,"NA"
Annona calcarata,"NA","NA","NA","NA",DD,"NA"
Annona coriacea,"NA","NA","NA","NA",LC,"NA"
Annona crassiflora,"NA",LC,"NA","NA","NA","NA"
Annona dioica,"NA",LC,"NA","NA",LC,"NA"
Annona dolabripetala,NA-NA,LC-LR/nt,NA-NA,NA-EN,LC-EN,NA-EN
Annona emarginata,NA-NA-NA,LC-LC-LC,NA-NA-NA,VU-NA-NA,VU-LC-NA,NA-NA-NA
Annona ferruginea,"NA","NA","NA","NA",DD,"NA"
Annona glabra,"NA",LC,"NA","NA",LC,"NA"
Annona glaucophylla,"NA","NA","NA","NA",NT,EX
Annona malmeana,"NA","NA","NA","NA",DD,"NA"
Annona montana,"NA",LC,"NA","NA","NA","NA"
Annona monticola,"NA","NA","NA","NA",LC,"NA"
Annona nutans,"NA",LC,"NA","NA","NA","NA"
Annona parviflora,"NA","NA","NA",EN,"NA","NA"
Annona pickelii,"NA","NA","NA",VU,"NA","NA"
Annona reticulata,"NA",LC,"NA","NA","NA","NA"
Annona sylvatica,"NA",LC,"NA","NA",LC,"NA"
Annona xylopiifolia,"NA",LR/nt,"NA","NA",NT,EX
Anomochloa marantoidea,"NA","NA","NA",EN,"NA","NA"
Anomospermum reticulatum subsp. nitidum,"NA","NA","NA","NA",DD,"NA"
Anteremanthus hatschbachii,"NA","NA","NA",EN,"NA","NA"
Anthaenantiopsis fiebrigii,"NA","NA","NA",CR,"NA","NA"
Anthodon decussatus,"NA",LC,"NA","NA","NA","NA"
Anthurium ameliae,"NA","NA","NA","NA","NA",VU
Anthurium bocainense,"NA","NA","NA","NA","NA",VU
Anthurium fontellanus,"NA","NA","NA","NA",DD,"NA"
Anthurium jureianum,"NA","NA","NA",VU,VU,"NA"
Anthurium kunthii,"NA","NA","NA","NA",LC,"NA"
Anthurium langsdorffii,"NA","NA","NA",EN,EN,"NA"
Anthurium longifolium,"NA","NA","NA","NA",LC,"NA"
Anthurium lucidum,"NA","NA","NA",EN,"NA","NA"
Anthurium luschnathianum,"NA","NA","NA",EN,"NA","NA"
Anthurium organense,"NA","NA","NA","NA",NT,"NA"
Anthurium parasiticum,"NA","NA","NA","NA",LC,"NA"
Anthurium parvum,"NA","NA","NA","NA",NT,"NA"
Anthurium radicans,"NA","NA","NA",VU,"NA","NA"
Anthurium sinuatum,"NA",LC,"NA","NA","NA","NA"
Anthurium xanthophylloides,"NA","NA","NA",VU,"NA","NA"
Aosa parviflora,"NA","NA","NA","NA",LC,EN
Aosa uleana,"NA","NA","NA",CR,"NA","NA"
Aparisthmium cordatum,"NA",LC,"NA","NA","NA","NA"
Apeiba tibourbou,"NA",LC,"NA","NA","NA","NA"
Aphelandra espirito-santensis,"NA","NA","NA",EN,"NA","NA"
Aphelandra longiflora,"NA","NA","NA","NA",LC,"NA"
Aphelandra margaritae,"NA","NA","NA",VU,"NA","NA"
Aphelandra maximiliana,"NA","NA","NA",EN,"NA","NA"
Aphelandra prismatica,"NA","NA","NA","NA",LC,"NA"
Aphelandra schottiana,"NA","NA","NA","NA",LC,"NA"
Aphelandra squarrosa,"NA","NA","NA","NA",LC,EW
Apinagia riedelii,NA-NA,DD-NA,NA-NA,NA-NA,NA-LC,NA-NA
Apium prostratum,"NA","NA","NA","NA",LC,VU
Apoclada simplex,"NA","NA","NA",EN,EN,EN
Apteria aphylla,"NA","NA","NA","NA",LC,"NA"
Apuleia leiocarpa,"NA","NA","NA",VU,VU,VU
Arachis villosa,"NA","NA","NA",EN,"NA","NA"
Araeococcus montanus,"NA","NA","NA",EN,"NA","NA"
Aralia warmingiana,"NA",LC,"NA","NA",LC,"NA"
Araucaria angustifolia,"NA",CR,EN,EN,EN,"NA"
Ardisia guianensis,"NA",LC,"NA","NA","NA","NA"
Aristida brasiliensis,"NA","NA","NA",EN,EN,EX
Aristida circinalis,"NA","NA",EN,"NA","NA",EN
Aristida constricta,"NA","NA","NA",CR,"NA","NA"
Aristida ekmaniana,"NA","NA","NA","NA","NA",EX
Aristida filifolia,"NA","NA","NA","NA","NA",EN
Aristida laevis,"NA","NA","NA","NA",LC,EX
Aristida macrophylla,"NA","NA",EX,"NA","NA",EX
Aristida oligospira,"NA","NA","NA","NA",LC,EX
Aristida sanctae-luciae,"NA","NA","NA","NA",DD,EX
Aristida subaequans,"NA","NA","NA","NA","NA",EX
Aristolochia curviflora,"NA","NA","NA","NA",DD,"NA"
Aristolochia cymbifera,"NA","NA",VU,"NA",LC,VU
Aristolochia hypoglauca,"NA","NA","NA",EN,"NA","NA"
Aristolochia labiata,"NA","NA","NA","NA",LC,"NA"
Aristolochia odora,"NA","NA","NA",VU,VU,EX
Aristolochia odoratissima,"NA","NA","NA","NA",LC,"NA"
Aristolochia wendeliana,"NA","NA","NA","NA",LC,"NA"
Arrojadoa bahiensis,"NA","NA","NA",EN,"NA","NA"
Arrojadoa eriocaulis,"NA","NA","NA",EN,"NA","NA"
Arthrocereus glaziovii,"NA","NA","NA",EN,"NA","NA"
Arthrocereus melanurus,"NA",VU,"NA",EN,"NA","NA"
Arthrocereus melanurus subsp. melanurus,"NA","NA","NA",EN,EN,"NA"
Arthrocereus rondonianus,"NA","NA","NA",EN,"NA","NA"
Arthropogon villosus,"NA","NA","NA","NA",LC,"NA"
Arthropogon xerachne,"NA","NA","NA",CR,CR,CR
Arundinella deppeana,"NA","NA","NA",VU,VU,EX
Arundo donax,"NA",LC,"NA","NA","NA","NA"
Asclepias aequicornu,"NA","NA",EN,"NA",LC,EN
Asclepias langsdorffii,NA-NA,NA-NA,NA-NA,NA-NA,LC-NA,EX-EX
Asclepias mellodora,"NA","NA","NA","NA",LC,"NA"
Aspasia lunata,"NA","NA","NA","NA",LC,"NA"
Aspicarpa sericea,"NA","NA","NA","NA","NA",VU
Aspidogyne commelinoides,"NA","NA","NA","NA",LC,"NA"
Aspidogyne kuczynskii,"NA","NA","NA","NA",LC,"NA"
Aspidosperma album,"NA","NA","NA","NA",DD,"NA"
Aspidosperma australe,"NA",LC,"NA","NA",LC,"NA"
Aspidosperma camporum,"NA",LC,"NA","NA",LC,"NA"
Aspidosperma compactinervium,"NA",DD,"NA","NA","NA","NA"
Aspidosperma cuspa,"NA",LC,"NA","NA","NA","NA"
Aspidosperma cylindrocarpon,"NA",LC,"NA","NA",LC,"NA"
Aspidosperma inundatum,"NA","NA","NA","NA",DD,"NA"
Aspidosperma macrocarpon,"NA","NA","NA","NA",LC,VU
Aspidosperma multiflorum,"NA",LC,"NA","NA","NA","NA"
Aspidosperma nobile,"NA","NA","NA","NA",LC,CR
Aspidosperma parvifolium,"NA",DD,"NA","NA","NA","NA"
Aspidosperma polyneuron,"NA",EN,"NA","NA",NT,"NA"
Aspidosperma pyricollum,"NA",LC,"NA","NA","NA","NA"
Aspidosperma quebracho-blanco,"NA","NA","NA","NA",DD,"NA"
Aspidosperma quirandy,"NA","NA","NA","NA","NA",EN
Aspidosperma ramiflorum,"NA",LC,"NA","NA",LC,"NA"
Aspidosperma riedelii,"NA","NA",EN,"NA",LC,EN
Aspidosperma sandwithianum,"NA","NA","NA","NA",DD,"NA"
Aspidosperma spruceanum,"NA","NA","NA","NA",LC,EN
Aspidosperma subincanum,"NA",LC,"NA","NA","NA","NA"
Aspidosperma tomentosum,"NA",LC,"NA","NA",LC,"NA"
Aspilia almasensis,"NA","NA","NA",VU,"NA","NA"
Aspilia attenuata,"NA","NA","NA","NA",LC,"NA"
Aspilia belo-horizontinae,"NA","NA","NA",CR,"NA","NA"
Aspilia caudata,"NA","NA","NA",EN,"NA","NA"
Aspilia clausseniana,"NA","NA","NA","NA",LC,"NA"
