field,select
http...rs.tdwg.org.dwc.terms.organismQuantity,FALSE
http...rs.tdwg.org.dwc.terms.organismQuantityType,FALSE
http...rs.tdwg.org.dwc.terms.sampleSizeUnit,FALSE
http...rs.tdwg.org.dwc.terms.sampleSizeValue,FALSE
http...unknown.org.canonicalName,FALSE
http...unknown.org.combinationAuthors,FALSE
http...unknown.org.combinationYear,FALSE
http...unknown.org.datasetnameproperty,FALSE
http...unknown.org.habitatproperty,FALSE
http...unknown.org.language,FALSE
http...unknown.org.license,FALSE
http...unknown.org.nick,FALSE
http...unknown.org.occurrenceDetails,FALSE
http...unknown.org.recordEnteredBy,FALSE
http...unknown.org.recordId,FALSE
http...unknown.org.referenceID,FALSE
http...unknown.org.rights,FALSE
http...unknown.org.rightsHolder,FALSE
http...unknown.org.vegetationLayer,FALSE
http...unknown.org.verbatimScientificName,FALSE
identificationID,TRUE
identificationQualifier,FALSE
identificationReferences,FALSE
identificationRemarks,FALSE
identificationVerificationStatus,FALSE
identifiedBy,TRUE
identifiedByIDs,FALSE
identifiedByIDs.type,FALSE
identifiedByIDs.value,FALSE
identifier,TRUE
identifiers,TRUE
imagecode,FALSE
individualCount,FALSE
informationWithheld,FALSE
infraspecificEpithet,TRUE
installationKey,FALSE
institutionCode,TRUE
institutionID,TRUE
institutionKey,TRUE
isInCluster,FALSE
island,FALSE
islandGroup,FALSE
issues,FALSE
iucnRedListCategory,FALSE
key,FALSE
kingdom,FALSE
kingdomKey,FALSE
language,FALSE
lastCrawled,FALSE
lastInterpreted,FALSE
lastParsed,FALSE
latestAgeOrHighestStage,FALSE
latestEonOrHighestEonothem,FALSE
latestEpochOrHighestSeries,FALSE
latestEraOrHighestErathem,FALSE
latestPeriodOrHighestSystem,FALSE
license,FALSE
lifeStage,FALSE
lithostratigraphicTerms,FALSE
locality,TRUE
locationAccordingTo,FALSE
locationID,TRUE
locationRemarks,TRUE
lowestBiostratigraphicZone,FALSE
materialSampleID,FALSE
maximumDepthInMeters,FALSE
maximumDistanceAboveSurfaceInMeters,FALSE
maximumElevationInMeters,TRUE
member,FALSE
minimumDepthInMeters,FALSE
minimumDistanceAboveSurfaceInMeters,FALSE
minimumElevationInMeters,FALSE
modified,FALSE
month,TRUE
monthIdentified,TRUE
municipality,TRUE
name,TRUE
nameAccordingTo,TRUE
nameAccordingToID,FALSE
namePublishedIn,FALSE
namePublishedInID,FALSE
namePublishedInYear,FALSE
nomenclaturalCode,FALSE
nomenclaturalStatus,TRUE
occurrenceID,FALSE
occurrenceRemarks,TRUE
occurrenceStatus,FALSE
order,FALSE
orderKey,FALSE
organismID,FALSE
organismName,FALSE
organismQuantity,FALSE
organismQuantityType,FALSE
organismRemarks,FALSE
organismScope,FALSE
originalNameUsage,FALSE
otherCatalogNumbers,FALSE
ownerInstitutionCode,FALSE
parentEventID,FALSE
parentNameUsage,FALSE
parentNameUsageID,FALSE
phylum,FALSE
phylumKey,FALSE
pointRadiusSpatialFit,FALSE
preparations,FALSE
preparationType,FALSE
previousCatalogNumber,FALSE
previousIdentifications,FALSE
programmeAcronym,FALSE
projectId,FALSE
protocol,FALSE
publishingCountry,FALSE
publishingOrgKey,FALSE
record_id,TRUE
recordedBy,TRUE
recordedByIDs,FALSE
recordedByIDs.type,FALSE
recordedByIDs.value,FALSE
recordNumber,TRUE
references,FALSE
relatedCatalogItem,FALSE
relations,FALSE
relationshipType,FALSE
relativeOrganismQuantity,FALSE
reproductiveCondition,FALSE
rights,FALSE
rightsHolder,FALSE
sampleSizeUnit,FALSE
sampleSizeValue,FALSE
samplingEffort,FALSE
samplingProtocol,FALSE
scientificName,TRUE
scientificNameAuthorship,TRUE
sex,FALSE
source,FALSE
species,FALSE
speciesKey,FALSE
specificEpithet,TRUE
startDayOfYear,FALSE
stateProvince,TRUE
taxonConceptID,FALSE
taxonID,FALSE
taxonKey,FALSE
taxonomicStatus,TRUE
taxonRank,FALSE
taxonRemarks,FALSE
type,FALSE
typeStatus,FALSE
typifiedName,FALSE
verbatimCoordinateSystem,TRUE
verbatimDepth,FALSE
verbatimElevation,TRUE
verbatimEventDate,TRUE
verbatimLabel,FALSE
verbatimLatitude,TRUE
verbatimLocality,TRUE
verbatimLongitude,TRUE
verbatimSRS,FALSE
verbatimTaxonRank,TRUE
vernacularName,FALSE
waterBody,FALSE
X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,FALSE
X.1f2c0cbe.40df.43f6.ba07.e76133e78c31.,FALSE
X.2b7c7b4f.4d4f.40d3.94de.c28b6fa054a6.,FALSE
X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,FALSE
X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,FALSE
X.b153643d.735a.440f.a0e9.428b4f9d1cd2.,FALSE
X.d1627240.04ab.4162.aee9.b16df6bc8308.,FALSE
year,TRUE
yearIdentified,TRUE
