"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem","sex"
"11","2019-10-09 11:25:35-03","UFBA","ALCB","65370","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Roque, N; Watanabe, MTC; Mota, AC da; Passos Júnior, LA; Botelho, RB; Santos, TM; Anjos,","820",NA,NA,NA,"Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Estrada Mucugê. Barra da Estevia 13 Km de Mucugê. Campos Gerais","-41.472778","-13.583333","1042","1042",NA,"ca 1,5 m alt. Folhas discolores. Bractéas verdes, corola rósea.",NA,NA,NA,"-41.472778","-13.583333","2018","06","06",NA,NA,NA,NA,NA
"12","2019-10-09 11:25:35-03","UFBA","ALCB","117438","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Roque, N; Alunos de Botânica III","4527","2014","11","15","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Estrada para assentamento Cafezal - Cafelândia.","-41.334167","-12.973333",NA,NA,NA,"ca. 1 m. alt. Folhas discolores, aromáticas. Brácteas veredes. Flores apresentando cálice verde, corola alva, apresentando lacíneas liláses.; Mata estacional semidecidual.",NA,NA,NA,"-41.334167","-12.973333","2018","06","06",NA,NA,NA,NA,NA
"13","2019-10-09 11:25:35-03","UFBA","ALCB","035315","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Silva, TRS","Salimena-Pires, FR; Nobre, PH; Conceição, AA; Roque, N; Lima, R","PCD2228","1996","03","11","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina","-41","-12",NA,NA,NA,NA,NA,NA,NA,"-41","-12","2011","08",NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:25:35-03","UFBA","ALCB","035326","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Silva, TRS","Hind, DJN; Roque, N; Bautista, HP","PCD&nf;4424","1996","11","17","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Fazenda Brumadinho, Morro Brumadinho","-41","-13",NA,NA,NA,"0,35 m. Folhas levemente discolores; face abaxial verde mais clara. Sépalas verdes, corola lilás, fauce alva.; Solo litólico e arenoso.",NA,NA,NA,"-41","-13","2011","08",NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:25:35-03","UFBA","ALCB","035252","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Hind, DJN; Bautista, HP; Smith, S","PCD&nf;3163","1996","06","28","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Próximo à ponte sobre o rio Ferro Doido","-41.001389","-11.627778","1000","1000",NA,"2,00 m, odor muito forte. Flores lilás, fauce e tubo internamente roxos.; Substrato arenoso sobre rochas.",NA,NA,NA,"-41.001389","-11.627778","2018","12",NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:25:35-03","UFBA","ALCB","035263","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Atkins, S","Hind, DJN; Harley, RM; Funch, L; Bautista, HP","PCD&nf;3106","1996","06","27","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Leito pedregoso do rio Ventura","-41.016389","-11.681667","724","724",NA,"2,00 m, aromático. Folhas cartáceas, discolores, face adaxial verde brilhante. Flores de cálice verde, corola lilás, fauce amarela com margem branca, corola senescente lilás. Ocasional.; Vegetação no leito pedregoso do rio. Afloramentos rochosos.",NA,NA,NA,"-41.016389","-11.681667","1997","07",NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:25:35-03","UFBA","ALCB","035329","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Silva, TRS","Guedes, ML; Stannard, B; Atkins, S; Saar, E; Passos Júnior, LA; Santos, TRM dos","PCD5804","1997","02","17","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Fazenda Pedra Grande estrada para Boninal","-41.563333","-13.005556","990","990",NA,"0,80 m. Folhas crassas, tomentosas. Flores com brácteas verdes, corola rosa. Frequente.",NA,NA,NA,"-41.563333","-13.005556","2011","08",NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:25:35-03","UFBA","ALCB","101948","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Silva, TRS","Guedes, ML; Velozo, ES; et al.","19910","2011","07","17","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para o Ventura","-41.016667","-11.675",NA,NA,NA,"de ca 1,60 m de altura. Folhas coriáceas, discolores. Inflorescência com flores liláses.",NA,NA,NA,"-41.016667","-11.675","2012","07",NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:25:35-03","UFBA","ALCB","114558","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Guedes, ML","Guedes, ML; Alunos de Botânica BIOC05","21808","2014","06","14","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Caminho para Inúbia.","-41.904444","-13.0775","1367","1367",NA,"de ca 30 cm. Folhas com a face adaxial bulada, vilosas. Inflorescência axilares com flores róseas.",NA,NA,NA,"-41.904444","-13.0775","2014","07",NA,NA,NA,NA,NA,NA
"20","2019-10-09 11:25:35-03","UFBA","ALCB","114687","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Guedes, ML","Guedes, ML; Alunos de Botânica BIOC05","21949","2014","06","15","Southern America","Brasil","Bahia","Piatã","Serra de Nossa Senhora de Santana.","-41.767778","-13.149167","1215","1215",NA,"Folhas cartáceas, discolores, vilosas, face abaxial bulada. Inflorescência com flores liláses.",NA,NA,NA,"-41.767778","-13.149167","2014","09",NA,NA,NA,NA,NA,NA
"21","2019-10-09 11:25:35-03","UFBA","ALCB","117528","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Roque, N; Alunos de Botânica III","4560","2014","11","15","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Utinga - Tabuleiro do morrinho (Areial)","-41.1625","-11.600556",NA,NA,NA,"ca. 1,3 m. alt. Folhas discolores. Sépalas verdes, corola lilás, fauce amarela.",NA,NA,NA,"-41.1625","-11.600556","2018","06","06",NA,NA,NA,NA,NA
"22","2019-10-09 11:25:35-03","UFBA","ALCB","120741","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4617","2015","05","30","Southern America","Brasil","Bahia","Morro do Chapéu","Trilha da Guariba.","-41.195833","-11.435","1092","1092",NA,"ca. 1m. alt. Folhas discolores, sépalas verdes e corola lilás.","ALCB004213",NA,NA,"-41.195833","-11.435","2018","06","06",NA,NA,NA,NA,NA
"23","2019-10-09 11:25:35-03","UFBA","ALCB","129084","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Roque, N; Alunos de Sistemática Evolução de Espermatófitas","4976","2017","07","29","Southern America","Brasil","Bahia","Piatã","Serra da Tromba.","-41.808056","-13.155833","1353","1353",NA,"ca. 50 cm alt., folhas discolores. Brácteas verdes com ápice atro-purpúreo. Corola lilás.; Campo Rupestre.","ALCB046753","ALCB046753",NA,"-41.808056","-13.155833","2018","06","06",NA,NA,NA,NA,NA
"24","2019-10-09 11:25:35-03","UFBA","ALCB","35347","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Silva, TRS","Harley, RM; Nic Lughadha, E; França, F; Gasson, P","PCD5944","1997","03","02","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.207222","-11.590556","1151","1151",NA,"1,0 m, muito ramificada. Folhas fortemente perfumadas. Brácteas verde-vináceo, corola rosa-intenso, fauce amarela. Frutos imaturos verde. Ocasional.",NA,NA,NA,"-41.207222","-11.590556","2008","07",NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:25:35-03","UFBA","ALCB","59861","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Guedes, ML","Guedes, ML; Loureiro, DM; Guaré, F; et al.","9862","2002","09","07","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para Ventura , na estrada","-41.15","-11.55",NA,NA,NA,"de ca. 0,50 m. Folhas membranáceas, discolores. Inflorescência capítulo com brácteas foliáceas, flores liláses.",NA,NA,NA,"-41.15","-11.55","2002","12",NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:25:35-03","UFBA","ALCB","69565","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Guedes, ML","Guedes, ML; Velozo, ES; et al.","11706","2005","03","25","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Abaíra/Catolés","-41.65","-13.233333",NA,NA,NA,"de ca 1m., aromática. Folhas semi-crassas, discolores com a face adaxial bulada, áspera. Inflorescência com flores liláses. Freqüente.; antropizado",NA,NA,NA,"-41.65","-13.233333","2005","11",NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:25:35-03","UFBA","ALCB","70093","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Roque, N","Roque, N; Alunos de Botânica III","1244","2005","06","17","Southern America","Brasil","Bahia","Morro do Chapéu","Monumento Cachoeira do Ferro Doido, Vila do Ventura.","-41.001389","-11.635833",NA,NA,NA,"Arbusto. Ca. 1 m alt. Flores lilás.; Campo rupestre",NA,NA,NA,"-41.001389","-11.635833","2005","09",NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:25:35-03","UFBA","ALCB","81856","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"Roque, N; Carvalho, G; Alunos de Botânica III","1745","2007","11","10","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.207778","-11.591667","1297","1297",NA,"ca. 50cm alt. Sépalas verdes, corola rósea, fauce amarela.",NA,NA,NA,"-41.207778","-11.591667",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:25:35-03","UFBA","ALCB","83898","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"Roque, N; Alunos de Botânica III","1789","2008","05","24","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Vila do ventura. Trilha para cidade das Pedras","-40.998611","-11.675556","720","720",NA,"ca 1,5m alt. Folhas discolores. Sépalas verdes, corola rósea, fauce alva.",NA,NA,NA,"-40.998611","-11.675556",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:25:35-03","UFBA","ALCB","93762","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Roque, N","2376","2009","10","10","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina","-41.860278","-13.082778","1400","1400",NA,"ca. 1,50 m alt. Folhas discolores. Brácteas verde, flores rosa.",NA,NA,NA,"-41.860278","-13.082778","2018","06","06",NA,NA,NA,NA,NA
"31","2019-10-09 11:25:35-03","UFBA","ALCB","97404","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Santana, IN","Guedes, ML; Alunos de Botânica III; Estagiários","17706","2010","09","25","Southern America","Brasil","Bahia","Barra da Estiva","Chapada Diamantina, Morro do Ouro","-41.3","-13.583333",NA,NA,NA,"com longo xilopódio. Ramos pubérulos, pêlos glandulosos. Folhas sésseis a subsésseis, discolores. Inflorescência axilares, brácteasfoliáceas; flores liláses.",NA,NA,NA,"-41.3","-13.583333","2018","06","06",NA,NA,NA,NA,NA
"32","2020-08-11 00:16:44-03","UFBA","ALCB","01812","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Bromley, GLR","Souza, Padre JP de; Gusmão, EF de","s/n","1975","06","15","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98143","auto",NA,NA,NA
"33","2019-10-09 11:25:35-03","UFBA","ALCB","35345","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Silva, TRS","Nic Lughadha, E; Gasson, P; Harley, RM; Giulietti, AM","PCD6163","1997","03","09","Southern America","Brasil","Bahia","Delfino","Serra do Curral Frio, Estrada Velha Delfino-Mimoso de Minas, 32 km de Delfino","-41.306389","-10.498333","1248","1248",NA,"2,20 m. Folhas discolores, perfumadas. Brácteas e cálice verde-acastanhado, corola lilás com fauce lilás-branco, tubo internamente amarelo, externamente creme, passando tudo a lilás mais escuro.; Areia branca.",NA,NA,NA,"-41.306389","-10.498333","2008","07",NA,NA,NA,NA,NA,NA
"34","2020-08-11 00:16:44-03","UFBA","ALCB","01812","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","Bromley, GLR","Souza, Padre JP de; Gusmão, EF de","s/n","1975","06","15","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.1561012268066","-11.5500001907349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98143","auto",NA,NA,NA
"35","2020-02-08 09:34:31-03","NBC","NL-BOTANY","U.1756413","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"Harley RM; et al.",NA,"1977","03","03","Southern America","Brazil",NA,NA,"Estado Da Bahia, Summit of Morro do Chapeu, ca. 8 km S.W. of the town of Morro do Chapeu to the West of the road to Utinga.","-41.2","-11.583333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1756413 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1756413","NL-U1756413","Magnoliopsidae","-41.2","-11.583333",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 09:34:31-03","NBC","NL-BOTANY","U.1756414","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"Harley RM; et al.",NA,"1980","05","30","Southern America","Brazil",NA,NA,"Morro do Chapeu, Summit of Morro do Chapeu. c 8km SW of the town of Morro do Chapeu to the west of the road to Utinga.","-41.2","-11.583333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1756414 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1756414","NL-U1756414","Magnoliopsidae","-41.2","-11.583333",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 09:34:31-03","NBC","NL-BOTANY","U.1756415","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"Harley RM; et al.",NA,"1980","06","01","Southern America","Brazil",NA,NA,"Morro do Chapeu. ca. 16 km along the Morro do Chapeu to Utinga road, S.W. of Morro do Chapeu.","-41.283333","-11.633333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1756415 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1756415","NL-U1756415","Magnoliopsidae","-41.283333","-11.633333",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-02-15 11:51:50-02","IPA","IPA","32742","S","Plantae","Plantae",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"Harley, R.M.","22754","1980","05","30","Southern America","Brasil","Bahia","Morro do Chapéu","Summit of Morro do Chapéu ca. 8 km SW of the town of Morro do Chapéu to the West of the road to Utinga.","-41.2","-11.583333","1000","1000",NA,"Spindly shrub to 1m. Leaves glossy dark green above, grey green beneath. Bracteoles rather bright green, tinged purple at tips. Corolla deep pink with yellow orange throat surrounded by whitish area.; Sandstone rocks, with open sand i","IPA0032742",NA,NA,"-41.2","-11.583333",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-02-15 11:51:50-02","IPA","IPA","64073","S","Plantae","Plantae",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"Harley, R.M.","17009","1974","03","08","Southern America","Brasil","Bahia","Campo Formoso","16 km NW of Lagoinha (which is 5,5 km SW of Delfino) on side road to Minas do Mimoso.","-40.3213996887207","-10.5074996948242",NA,NA,NA,NA,"IPA0064073",NA,NA,NA,NA,NA,NA,NA,"104183","auto","HOLOTYPE",NA,NA
"40","2019-11-21 14:47:50-03","UFJF","CESJ","50195","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","F.R.G. Salimena","J. Paula-Souza; M.S. Ferrucci; A.R.Duarte; J.G.Rando et R.Tsujii","4940","2005","01","28","América do Sul","Brasil","Bahia","Morro do Chapéu","Entrada da Estrada para o Morrão (Morro do Chapéu).Caatinga degradada.1010 msm .","-41.1561012268066","-11.5500001907349",NA,NA,NA,"Arbusto;ca. 40 cm alt.Flores róseas.","CESJ050195",NA,NA,NA,NA,"2018","09",NA,"98143","auto",NA,NA,NA
"41","2019-11-21 14:47:50-03","UFJF","CESJ","38492","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","F.R.G. Salimena","E.N.Lughadha; P.Gasson; R. Harley et A.M. Giulietti","s.n.","1997","03","09","América do Sul","Brasil","Bahia","Delfino","Serra do Curral Frio, Estrada Velha Delfino-Mimoso de Minas, 32 Km de Delfino. Alt.:1248 m. Campo rupestre. Areia branca.",NA,NA,NA,NA,NA,"Arbusto, ca. 2,20m alt. Folhas discolores, perfumadas. Brácteas e cálice verde-acastanhado, corola lilás com fauce lilás-branco e tubo internamente creme,passando tudo a lilás mais escuro.Ocasional. Material adicional: Xiloteca.","CESJ038492",NA,NA,NA,NA,"2006","09",NA,NA,NA,NA,NA,NA
"42","2019-11-21 14:47:50-03","UFJF","CESJ","29891","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke","F.R.G. Salimena","L.R.Noblick","3506","1984","11","16","América do Sul","Brasil","Bahia","Morro do Chapéu","1-2Km sul da cidade na estrada para Utinga.","-41.1561012268066","-11.5500001907349",NA,NA,NA,"Arbusto, ca. 0,50-1,0 m alt. Corolas roseadas, vistosas. Comum em solo arenoso, vegetação arbustiva.","CESJ029891",NA,NA,NA,NA,"1987","11",NA,"98143","auto",NA,NA,NA
"43","2019-11-21 14:47:50-03","UFJF","CESJ","30008","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"F.R.G. Salimena; P.H. Nobre","591",NA,NA,NA,"América do Sul","Brasil","Bahia","Morro do Chapéu","Estrada para Irecê","-41.1561012268066","-11.5500001907349",NA,NA,NA,"Arbusto, ca. 60 cm até 1 m, flores pink, fauce amarela aromática. Campo rupestre.","CESJ030008",NA,NA,NA,NA,NA,NA,NA,"98143","auto",NA,NA,NA
"44","2019-11-21 14:47:50-03","UFJF","CESJ","34690","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","insignis","Lippia insignis","Moldenke",NA,"J.A. Lombardi","3441","1999","11","17","América do Sul","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Próximo ao camping.","-43.3908004760742","-18.0041999816895",NA,NA,NA,"Arbusto,ca.1,5m.alt.Folhas papiráceas.Brácteas verdes.Flores brancas.&nf;Vegetação ripária.","CESJ034690",NA,NA,NA,NA,NA,NA,NA,"26697","auto",NA,NA,NA
