"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","identifiedBy","yearIdentified","monthIdentified","imagecode","typeStatus","fieldNumber","preparationType","continentOcean","minimumElevationInMeters","individualCount","class","order","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"12","2020-09-12 05:00:02-03","US","US","3492014","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","J. N. Nakajima, R. Romero, M. Alcantara & C. Prado Lima","1055","1995","5","12","Brazil","Minas Gerais",NA,"Procedencia: Cahoeira da Casca D'Anta, trilha para a guarita de baixo, PARNA Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,"US01791741",NA,NA,NA,NA,NA,"US01791741_01",NA,NA,NA,"South America - Neotropics",NA,"1","Dicotyledonae","Asterales",NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","3314218","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","J. N. Nakajima, R. Romero, M. Alcantara & C. Prado Lima","1055","1995","5","12","Brazil","Minas Gerais",NA,"Procedencia: Cahoeira da Casca D'Anta, trilha para a guarita de baixo, PARNA Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,"US01791742",NA,NA,NA,NA,NA,"US01791742_01",NA,NA,NA,"South America - Neotropics",NA,"1","Dicotyledonae","Asterales",NA,NA,NA
"14","2019-11-13 11:16:11-03","USP","SPF","157626","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Magenta, MAG","567","2003","03","16","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-46.421056","-20.257778",NA,NA,"SPF00157626",NA,NA,"Anônimo",NA,NA,NA,NA,NA,NA,NA,"1351",NA,NA,NA,"-46.421056","-20.257778","1351"
"15","2019-10-07 09:11:13-03","UEFS","HUEFS","184786","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Pastore, J.F.B.","4012","2012","02","10","Brasil","Minas Gerais","Delfinópolis","Canastra - Serra da Babilonia. Entre Delfinópolis e São Roque de Minas. Topo da Serra Branca","-46.8539009094238","-20.343900680542","41380",NA,"HUEFS0184786","auto","Angiospermae","V.R.Bueno","2019","05","HUEFS0184786 HUEFS0184786_e1",NA,NA,NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA
"16","2018-05-14 16:48:12-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana",NA,"R. Romero","850","1994","4","16","Brazil","Minas Gerais",NA,NA,"-44","-18",NA,NA,NA,NA,"Spermatophyta","RRC ID Flag",NA,NA,NA,NA,"850",NA,"South America",NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"17","2019-11-01 14:53:25-03","UnB","UB","123461","PreservedSpecimen","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, JN","1973","1996","07","10","Brasil","Minas Gerais","São Roque de Minas","Trilha para a guarita de baixo, Cachoeira Casca D#?#Anta","-46.3657989501953","-20.2453002929688","57119","Brácteas esverdeadas. Corola amarelada. Estimas amarelados; Subarbusto 1m.; Campo rupestre",NA,"auto","Dicotyledoneae","Nakajima, JN",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"18","2019-05-06 11:52:44-03","UFU","HUFU","8846","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.; Romero, R.; Alcantara, M.B. & Prado Lima, C.A.","1055","1995","05","12","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Cachoeira Casca D'Anta, trilha para a guarita de baixo.","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. de 0,8 m. Brácteas esverdeadas, corola, anteras e estigma amarelados.; Campo rupestre.","HUFU00057333","auto",NA,"Nakajima, J.N.","1998","05","HUFU00057333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-05-06 11:52:43-03","UFU","HUFU","12617","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.; Romero, R.","1820","1996","05","26","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para o sítio João Domingos.","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. 0,8 m. Brácteas esverdeadas; corola, anteras e estilete amarelados.; Campo rupestre.","HUFU00057331","auto",NA,"Nakajima, J.N.","1998","07","HUFU00057331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-05-06 11:52:43-03","UFU","HUFU","5520","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Romero, R.; Nakajima, J.N. & Guilherme, F.A.G.","850","1994","04","16","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. 1,5 m. Brácteas verdes, corola e estigma amarelos, anteras alaranjadas.; Campo rupestre.","HUFU00057329","auto",NA,"Nakajima, J.N.","1998","05","HUFU00057329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-05-06 11:52:43-03","UFU","HUFU","12646","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.; Ressel, K. & Guimarães, F.A.G.","1973","1996","07","10","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Cachoeira Casca D'Anta, Trilha para guarita de baixo.","-46.3657989501953","-20.2453002929688","57119","Subarbusto ca. de 1 m. Brácteas esverdeadas. Corola amarelada. Estigma amarelado.; Campo rupestre.","HUFU00057330","auto",NA,"Nakajima, J.N.","1998","07","HUFU00057330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-05-06 11:52:44-03","UFU","HUFU","56515","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.; Romero, R. & Farinaccio, M.A.","2592","1997","06","26","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Chapadão da Babilônia.","-46.3657989501953","-20.2453002929688","57119","Arbusto, ca. 0,6 m. Brácteas esverdeadas; corola, anteras e ramos do estilete amarelados.; Campo rupestre.","HUFU00057334","auto",NA,"Nakajima, J.N.","1998","07","HUFU00057334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-05-06 11:52:43-03","UFU","HUFU","15936","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.; Romero, R.; Farinaccio, M.A.; Furlan, A. & Prado, P.M.M.","2628","1997","08","20","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para o sítio João Domingos.","-46.3657989501953","-20.2453002929688","57119","Subarbursto, ca. 1,5 m. Brácteas esverdeadas, corola e ramos do estilete amarelados.; Campo rupestre.","HUFU00057335","auto",NA,"Nakajima, J.N.","1998","07","HUFU00057335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-05-06 11:52:43-03","UFU","HUFU","14176","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Romero, R.; Nakajima, J.N.; Farinaccio, M.A. & Miranda, V.F.O.","4107","1997","04","17","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Trilha do paredão da Serra da Canastra (caminho).","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. 1,4 m. Brácteas esverdeadas, corola amarela, anteras marrom claro. Ramos do estilete amarelos.; Campo rupestre.","HUFU00057336","auto",NA,"Nakajima, J.N.","1998","07","HUFU00057336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-05-06 11:52:43-03","UFU","HUFU","14425","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, J.N.; Romero, R.; Farinaccio, M.A. & Miranda, V.F.O.","2420","1997","04","20","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Trilha para a parte de baixo da Cachoeira Casca D'Anta.","-46.3657989501953","-20.2453002929688","57119","Subarbusto, ca. 1,5 m. Brácteas esverdeadas. Corola e ramos do estilete amarelados. Anteras creme.; Campo rupestre.","HUFU00057332","auto",NA,"Nakajima, J.N.","1998","07","HUFU00057332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:00:09-03","IBt","SP","406235","S","Plantae","Asteraceae","Calea","brittoniana","Calea brittoniana","Pruski","Nakajima, JN; Ressel, K; Guimarães, FAG","1973","1996","07","10","Brasil","Minas Gerais","São Roque de Minas","Trilha para a guarita de baixa, Cachoeira de Casca D'Anta.","-46.3657989501953","-20.2453002929688","57119",NA,"SP031760","auto",NA,"Nakajima, JN",NA,NA,"SP031760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
