"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","class","order","dayIdentified","typeStatus","relatedCatalogItem","barcode","imagecode","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"11","2008-05-27 22:02:00-03","MO","MOBOT","1824067","PreservedSpecimen","Plantae",NA,"Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N. Hind) H. Rob.","V. L. Rivera (SPF), May/",NA,NA,"Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital","Davidse 11960","1976","4","4","South America","Brazil","Bahia",NA,"Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapéu.","-39.083333","-11.65",NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1216",NA
"12","2015-08-23 05:45:00-03","MO","MOBOT","2674806","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N. Hind",NA,NA,NA,"R.M. Harley|B.L. Stannard|Renato de Mello-Silva|David J.N. Hind|I. Cordeiro|Lucia Rossi","Harley 26300","1988","11","26","South America","Brazil","Bahia",NA,"Mun.: Rio de Contas. Pico das Almas. Vertente norte. Area de campos e mata, noroeste do Campo do Queiroz. Entre rochas e no campo, no vale.","-41.96666","-13.51666",NA,NA,"1550.00000000",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","3683304","PreservedSpecimen","Plantae",NA,"Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N. Hind) H. Rob.",NA,NA,NA,"F. Hurbath, O. Silva & F. Seixas","720","2014","8","27","South America - Neotropics","Brazil","Bahia",NA,"Brasil, Bahia, Rio de Contas, Subida para o Pico das Almas, Vale de Queiroz","-41.9517","-13.5228",NA,NA,"1547",NA,NA,"Dicotyledonae","Asterales",NA,NA,NA,"US01629660","US01629660_01",NA,NA,NA,"1"
"14","2020-09-12 05:00:02-03","US","US","3278419","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N. Hind",NA,NA,NA,"R. M. Harley, B. L. Stannard, R. Mello-Silva, D. J. N. Hind, I. Cordeiro & L. Rossi","26300","1988","11","26","South America - Neotropics","Brazil","Bahia","Rio de Contas","Pico das Almas, vertente Norte, area de Campos E Mata, noroeste do Campo do Queiroz.","-41.9667","-13.5167",NA,NA,"1550","1550",NA,"Dicotyledonae","Asterales",NA,"Isotype",NA,"US00432890","US00432890_01",NA,NA,NA,"1"
"15","2021-03-12 16:33:20-03","USP","SPF","70366","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N.Hind","Dematteis, M","2005",NA,"Harley, RM; Stannard, BL; Mello-Silva, R; Hind, DJN; Cordeiro, I; et al.","26300","1988","11","26",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas, Vertente norte. Area de campos e mata, noroeste do Campo do Queiroz. Entre rochas e no campo, no vale.","-41.966667","-13.516667","-41.966667","-13.516667","1550","1550","Erva ou subarbusto até 80-90cm de altura. Corola púrpura. Ramos do estilete púrpuro. Brácteas involucrais púrpuras.",NA,NA,NA,"isotype",NA,"SPF00070366","SPF00070366",NA,NA,NA,NA
"16","2019-10-07 09:11:36-03","UEFS","HUEFS","66728","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","N.Roque","2003","11","Harley, R.M.","26300","1988","11","26",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Vertente Leste, Area de campos e mata, noroeste do Campo do Queiroz.","-41.966667","-13.516667","41W58'","13S31'","1550","1550","Entre rochas e no campo, no vale","Asteranae","Asterales",NA,"Isótipo",NA,"HUEFS0066728",NA,NA,NA,NA,NA
"17","2019-10-07 09:11:36-03","UEFS","HUEFS","66729","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","N.Roque","2003","11","Harley, R.M.","26300","1988","11","26",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Vertente Leste, Area de campos e mata, noroeste do Campo do Queiroz.","-41.966667","-13.516667","41W58'","13S31'","1550","1550","Entre rochas e no campo, no vale","Asteranae","Asterales",NA,"Isótipo",NA,"HUEFS0066729",NA,NA,NA,NA,NA
"18","2019-10-07 09:11:36-03","UEFS","HUEFS","66730","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","N.Roque","2003","11","Harley, R.M.","26300","1988","11","26",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Vertente Leste, Area de campos e mata, noroeste do Campo do Queiroz.","-41.966667","-13.516667","41W58'","13S31'","1550","1550","Entre rochas e no campo, no vale","Asteranae","Asterales",NA,"Isótipo",NA,"HUEFS0066730",NA,NA,NA,NA,NA
"19","2019-10-07 09:12:09-03","UEFS","HUEFS","124138","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N.Hind",NA,NA,NA,"Paula-Souza, J.","5250","2005","02","01",NA,"Brasil","Bahia","Rio de Contas","Trilha da Estrada Real.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,"Asteranae","Asterales",NA,NA,NA,"HUEFS0124138","HUEFS0124138","49773","auto",NA,NA
"20","2020-07-23 11:59:10-03","CEPLAC","CEPEC","47792","PreservedSpecimen","Plantae",NA,"Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea",NA,"SpeciesLink/lacunas",NA,NA,"R. M. Harley","26300","1988","11","26",NA,"Brasil","Bahia","RIO DE CONTAS","Pico das Almas. Vertente norte. Ao Noroeste do Campo do Queiroz.","-41.966667","-13.516667","41W58'0","13S31'0",NA,NA,NA,NA,NA,NA,"Holótipo","30/12/1993",NA,NA,NA,NA,NA,NA
"21","2019-11-01 14:54:00-03","UnB","UB","126466","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N. Hind) H.Rob.",NA,NA,NA,"Melo, E","3364","2001","04","20","Southern America","Brasil","Bahia","Morro do Chapéu","Proximidades da Cachoeira do Ferreo Doido","-40.993889","-11.625278","-40.993889","-11.625278",NA,NA,"Corola lilás.; Arbusto 1m. Folhas verde-acinzentadas; Mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 14:54:00-03","UnB","UB","138802","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N. Hind) H.Rob.",NA,NA,NA,"Harley, RM; Mello-Silva, R; Hind, DJN; Cordeiro, I; Rossi, L","26300","1988","11","26","Southern America","Brasil","Bahia","Rio de Contas","Pico das Almas. Vertente norte","-41.966667","-13.516667","-41.966667","-13.516667","1550","1550","Erva ou arbusto 0,8m-0,9m. Corola púrpura. Ramos do estilete púrputo. Brácteas involucrais púrpuras; Área de campos e mata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-05-06 11:53:25-03","UFU","HUFU","71624","S","Plantae",NA,"Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Nakajima, J.N.","2016","03","Chaves, D.A.; Hiago, F.; Pinheiro, M. & Pacheco, M.A.","511","2014","09","14",NA,"Brasil","Minas Gerais",NA,"Cadeia do Espinhaço, Parque Estadual do Rio Preto, área do Módulo PERP 2.","-43.343056","-18.223333","-43.343056","-18.223333","1502","1502","Complexo Rupestre.",NA,NA,NA,NA,NA,"HUFU00046909","HUFU00046909",NA,NA,NA,NA
"24","2021-02-23 13:21:57-03","MN","R-TIPOS","174017","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N. Hind","Esteves, R.L.","2006","07","Harley, R.M.; Stannard, B.; Mello-Silva, R.; Hind, D.J.N.; Cordeiro, I. & Rossi, L.","26300","1988","11","26",NA,"Brasil","Bahia","Rio das Contas","Pico das Almas","-41.966667","-13.516667","41°58'W","13°31'S","1550","1550",NA,NA,NA,"20","Isotypus",NA,"R000174017","R000174017_001",NA,NA,NA,NA
"25","2021-02-23 13:21:57-03","MN","R-TIPOS","174017a","PreservedSpecimen","Plantae",NA,"Asteraceae","Vernonia","pseudaurea","Vernonia pseudaurea","D.J.N. Hind","Esteves, R.L.","2006","07","Harley, R.M.; Stannard, B.; Mello-Silva, R.; Hind, D.J.N.; Cordeiro, I. & Rossi, L.","26300","1988","11","26",NA,"Brasil","Bahia","Rio das Contas","Pico das Almas","-41.966667","-13.516667","41°58'W","13°31'S","1550","1550",NA,NA,NA,"20","Isotypus",NA,"R000174017a","R000174017a_001",NA,NA,NA,NA
"26","2020-04-15 17:19:33-03","IBt","SP","345562","S","Plantae",NA,"Asteraceae","Lepidaploa","pseudaurea","Lepidaploa pseudaurea","(D.J.N.Hind) H.Rob.","Simão Bianchini, R","2019","03","Amorim, AM; Forzza, RC; Costa, CB; Sant'Ana, SC","2858","1999","04","15",NA,"Brasil","Bahia","Oliveira dos Brejinhos","Estrada Oliveira dos Brejinhos / Água Quente, ca. de 6 km a partir de Oliveira dos Brejinhos, afloramentos no interior da floresta","-42.8960990905762","-12.3169002532959",NA,NA,NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,"62270","auto",NA,NA
