"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","county","minimumElevationInMeters","identifiedBy","decimalLongitude","decimalLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","4124472","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"H. A. Allard","21817","1949","10","30","South America","Peru","San Martín","Tingo María. Across the Huallaga on trail to Monson","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443393' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124472","Magnoliophyta","Piperales","Ruiz & Pav.",NA,NA,"625",NA,NA,NA,"1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4124461","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","29592","1929","09","20","South America","Peru","Loreto","Soledad, on Río Itaya","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443382' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124461","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124461_01",NA,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","4124462","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","29725","1929","09","20","South America","Peru","Loreto","Soledad, on Río Itaya","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443383' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124462","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124462_01",NA,"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4124463","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","27772","1929","08","24","South America","Peru","Loreto","Puerto Arturo, lower Río Huallaga below Yurimaguas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443384' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124463","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124463_01",NA,"135",NA,"-76.071537","-5.861922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4124465","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","22895","1929","05","10","South America","Peru","Ayacucho","Río Apurimac Valley, near Kimpitiriki","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443386' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124465","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124465_01",NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4124453","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","25083","1929","06","14","South America","Peru","Junín","Colonia Perene","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443374' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124453","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124453_01",NA,"680",NA,"-75.228036","-10.951941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","4124468","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"Y. E. J. Mexia","6475","1932","01","29","South America","Peru","Loreto","Iquitos. Rio Napo near Masán","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443389' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124468","Magnoliophyta","Piperales","Ruiz & Pav.",NA,"Maynas","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","4124458","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","23616","1929","05","30","South America","Peru","Junín","Río Pinedo, north of La Merced","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443379' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124458","Magnoliophyta","Piperales","Ruiz & Pav.",NA,NA,"700",NA,NA,NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","4124464","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","26253","1929","07","10","South America","Peru","Junín","Puerto Yessup","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443385' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124464","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124464_01",NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","4124450","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","28836","1929","09","01","South America","Peru","Loreto","Santa Rosa, lower Río Huallaga below Yurimaguas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443371' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124450","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124450_01",NA,"135",NA,"-76.19239","-5.81195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","4124455","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","24963","1929","06","14","South America","Peru","Junín","Colonia Perene","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443376' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124455","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124455_01",NA,"680",NA,"-75.228036","-10.951941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","4124471","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"J. M. Schunke-Vigo","3499","1969","10","09","South America","Peru","San Martín","Dtto: Campanilla. Río Sión, sud oeste del Caserío de Sión","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443392' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124471","Magnoliophyta","Piperales","Ruiz & Pav.",NA,"Mariscal Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","4124457","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","23939","1929","06","01","South America","Peru","Junín","East of Quimiri Bridge, near La Merced","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443378' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124457","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124457_01",NA,"800",NA,"-75.315489","-11.033671","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","4124451","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","26445","1929","07","14","South America","Peru","Junín","Puerto Bernudez","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443372' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124451","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124451_01",NA,"375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","4124469","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"J. M. Schunke-Vigo","3517","1969","10","15","South America","Peru","San Martín","Dtto: Campanilla. Río Sión, sud oeste del Caserío de Sión","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443390' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124469","Magnoliophyta","Piperales","Ruiz & Pav.",NA,"Mariscal Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","4124448","PreservedSpecimen","Plantae","Piperaceae","Peperomia","scandens","Peperomia scandens",NA,"E. P. Killip","28670","1929","08","28","South America","Peru","Loreto","Balsapuerto (lower Río Huallaga basin)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443369' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124448","Magnoliophyta","Piperales","Ruiz & Pav.","NY04124448_01",NA,"150",NA,"-76.560802","5.829872","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01397911","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"E. P. Killip","30223","1929","10","23","South America","Brazil","Pará","Amazon estuary","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1653266' target='other'> <mi>dwc_moreinfo</mi></a>","NY01397911","Magnoliophyta","Piperales","(Sw.) Loudon","NY01397911_01","Breves",NA,"T. G. Yuncker","-50.4803","-1.68222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","4124603","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"J. A. Steyermark","87813","1960","11","23","South America","Venezuela","Delta Amacuro","Rain forest, between La Margarita and Puerta Miranda. Rio Acure","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443525' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124603","Magnoliophyta","Piperales","(Sw.) Loudon",NA,NA,"80",NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","4124627","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"C. M. Belshaw","3470","1937","09","13","South America","Peru","San Martín","District Lamas. On trail from Lamas to San Antonio near Río Chupiseña","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443549' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124627","Magnoliophyta","Piperales","(Sw.) Loudon",NA,"Lamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","555161","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"R. L. Liesner","10753","1981","03","19","South America","Venezuela","Táchira","La Buenana, 6-12 km W of Quebrada Colorado, ca. 35 km SSE of San Cristóbal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555161","Magnoliophyta","Piperales","(Sw.) Loudon","NY00555161_01",NA,"600",NA,"-72.15","7.47","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","4124521","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"A. Acevedo-Rodríguez","7473","1995","06","21","South America","Ecuador","Napo","Yasuni Forestal Reserve; along Tiputini River, E of Pontificia Universidad Católica del Ecuador Sci. Station","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443443' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124521","Magnoliophyta","Piperales","(Sw.) Loudon","NY04124521_01",NA,"225",NA,"-76.39494","-0.68089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1371713","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"A. C. Smith","10099","1956","03","10","South America","Trinidad and Tobago",NA,"Trinidad: Arima Valley: Santa Isabella trail, near Simla.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1607376' target='other'> <mi>dwc_moreinfo</mi></a>","NY01371713","Magnoliophyta","Piperales","(Sw.) Loudon","NY01371713_01",NA,"250",NA,NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","555162","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"T. G. Yuncker","18770","1958","05","15","South America","Trinidad and Tobago",NA,"Trinidad. Plantation along Blancheusse road","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00555162","Magnoliophyta","Piperales","(Sw.) Loudon","NY00555162_01",NA,"304.8",NA,NA,NA,"457.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","4124549","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"G. H. H. Tate","499","1926","04","10","South America","Bolivia",NA,"Rio Chimate","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443471' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124549","Magnoliophyta","Piperales","(Sw.) Loudon",NA,NA,"579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","4124606","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"R. L. Liesner","11838","1981","05","05","South America","Venezuela","Táchira","Rio Frio, Secondary forest on slope above river","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443528' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124606","Magnoliophyta","Piperales","(Sw.) Loudon",NA,NA,"400",NA,"-72.13","7.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","4124650","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"P. C. Hutchison","3653","1964","01","21","South America","Peru","Amazonas","Mesones-Muro Highway below Montenegro 18 km., km 296 east of Olmos, on the east side of Abra Huahuajin Pass","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443572' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124650","Magnoliophyta","Piperales","(Sw.) Loudon",NA,"Bagua","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","4124497","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"H. Lugo Sanchez","5589","1979","08","21","South America","Ecuador","Pastaza","Shiguacocha, 4 km E of Sarayacu","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443419' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124497","Magnoliophyta","Piperales","(Sw.) Loudon","NY04124497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","4124600","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"J. A. Steyermark","87143","1960","10","31","South America","Venezuela","Delta Amacuro","Rio Amacuro, Venezuela-British Guiana frontier. Sierra Imataca. San Victor","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443522' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124600","Magnoliophyta","Piperales","(Sw.) Loudon",NA,NA,"65",NA,NA,NA,"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-29 10:47:00-03","NY","NYBG","756247","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"A. Rosas Jr.","342","1985","09","14","South America","Brazil","Acre","BR 364, km 40 ramal 4 do Projeto SAnta Luzia (INCRA).","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756247",NA,"Piperales",NA,"NY00756247_01","Cruzeiro do Sul",NA,"G. Mathieu","-72.6697","-7.6311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","4124622","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"R. S. Cowan","1181","1959","03","24","South America","Trinidad and Tobago",NA,"Arima Valley road, North Range","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443544' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124622","Magnoliophyta","Piperales","(Sw.) Loudon",NA,NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","756341","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"D. C. Daly","10393","2000","12","04","South America","Brazil","Acre","Basin of Rio Juruá, Rio Tejo, right bank.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756341","Magnoliophyta","Piperales","(Sw.) Loudon","NY00756341_01","Marechal Thaumaturgo",NA,"R. Callejas Posada","-72.26986","-9.04542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","4124522","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"L. B. Holm-Nielsen","19948","1979","08","26","South America","Ecuador","Napo","Río Yasuní, Charapillo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443444' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124522","Magnoliophyta","Piperales","(Sw.) Loudon","NY04124522_01",NA,"320",NA,"-75.73","-1.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-29 17:35:00-03","NY","NYBG","330854","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"D. C. Daly","8326","1994","09","23","South America","Brazil","Acre","Rio Tarauacá, river at low water. Seringal Universo, Colocaçao Cumaru.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330854","Magnoliophyta","Piperales",NA,"NY00330854_01","Tarauacá",NA,"R. Callejas Posada","-71.08767","-8.279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","4124506","PreservedSpecimen","Plantae","Piperaceae","Peperomia","serpens","Peperomia serpens",NA,"L. B. Holm-Nielsen","1028","1968","06","27","South America","Ecuador","Napo","2 km W of Archidona","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4443428' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124506","Magnoliophyta","Piperales","(Sw.) Loudon","NY04124506_01",NA,"600",NA,"-77.8","-0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
