"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","typeStatus","fieldNumber","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters"
"11","2011-02-18 15:24:00-02","MO","MOBOT","3019329","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","Carl Mez",NA,NA,"C. Gaudichaud-Beaupré","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Gaudichaud-Beaupré s.n.",NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-10 20:52:08-03","INPA","INPA","105264","S","Plantae","Monocotyledon","Poales","Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","Wanderley, MGL","2006","05","Rylands, AB","Brasil","Bahia","Una","Estação Experimental Lemos Maia. CEPLAC. Floresta ao lado w da estação. Floresta primeira.","-39.0752983093262","-15.2932996749878","36070",NA,NA,"auto","176/1980","1980","11","16","Southern America",NA,"INPA0105264","INPA0105264 INPA0105264_e INPA0105264_e1 INPA0105264_e2",NA,NA,"02",NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2847765","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.",NA,NA,NA,"T. S. Santos","Brazil","Bahia","Itacaré","Ubaitaba","-38.9967002868652","-14.2775001525879","41230","1",NA,"auto","3200","1978","2","16","South America - Neotropics",NA,"US01914363","US01914363_01",NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA
"14","2019-10-07 09:20:42-03","UEFS","HUEFS","13224","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.",NA,NA,NA,"Callejas, R.","Brasil","Bahia","Una",NA,"-39.0752983093262","-15.2932996749878","36070",NA,NA,"auto","1783","1983","11","22",NA,NA,"HUEFS0013224","HUEFS0013224",NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA
"15","2020-07-23 12:01:08-03","CEPLAC","CEPEC","64765","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"T. Fontoura",NA,NA,"S. C. de Sant'Ana","Brasil","Bahia","ILHÉUS","Mata da Esperança. Ca. 2Km ao NNE do Banco da Vitória.","-39.091111","-14.777222",NA,NA,NA,NA,"568","1995","06","08",NA,NA,NA,NA,NA,NA,NA,NA,"39W5'28","14S46'38","27/04/2012",NA,NA
"16","2020-07-23 12:01:08-03","CEPLAC","CEPEC","68787","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"H. Luther",NA,NA,"W. W. Thomas","Brasil","Bahia","ILHÉUS","Mata da Esperança. 2.2Km ao N do Banco da Vitória, Rod. Ao W da Mata.","-39.091111","-14.777222",NA,NA,NA,NA,"10991","1995","03","22",NA,NA,NA,NA,NA,NA,NA,NA,"39W5'28","14S46'38","30/12/1996",NA,NA
"17","2020-07-23 12:01:08-03","CEPLAC","CEPEC","95551","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"M. das G. L. Wanderley",NA,NA,"A. M. Amorim","Brasil","Bahia","ITACARÉ","Estrada Itacaré/Ubaitaba. Ramal de acesso a torre da Embratel.","-38.9967002868652","-14.2775001525879","41230",NA,NA,"auto","3424","1964","07","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/12/2007",NA,NA
"18","2020-07-23 12:01:08-03","CEPLAC","CEPEC","34942","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"A. Costa",NA,NA,"R. Callejas","Brasil","Bahia","UNA","Estação Experimental Djalma. Area da CEPLAC. 2Km ao NW de Una","-39.0752983093262","-15.2932996749878","36070",NA,NA,"auto","1783","1983","11","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/08/1992",NA,NA
"19","2020-07-23 12:01:08-03","CEPLAC","CEPEC","19969","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"T. S. dos Santos",NA,NA,"L. A. Mattos-Silva","Brasil","Bahia","UNA","Km 6 Rod. Una/Canavieiras (BA-001) Ramal a direita.","-39.0752983093262","-15.2932996749878","36070",NA,NA,"auto","729","1980","04","01",NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","30/12/1981",NA,NA
"20","2020-07-23 12:01:08-03","CEPLAC","CEPEC","22442","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"T. S. dos Santos",NA,NA,"A. Rylands","Brasil","Bahia","UNA","Estação Experimntal lemos Maia. CEPLAC. A W da nova sede.","-39.0752983093262","-15.2932996749878","36070",NA,"<ll>dwc_commonname:</ll> Gravata","auto","40","1980","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","30/12/1981",NA,NA
"21","2020-07-23 12:01:08-03","CEPLAC","CEPEC","76513","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"T. Fontoura",NA,NA,"J. G. Jardim","Brasil","Bahia","ITACARÉ","Ca. 15,5Km da BR-101, Rod. Para Itacaré. Torre da EMBRATEL, 7Km da entrada.","-38.9967002868652","-14.2775001525879","41230",NA,NA,"auto","1143","1997","10","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/04/2012",NA,NA
"22","2020-07-23 12:01:08-03","CEPLAC","CEPEC","12994","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"L. B. Smith",NA,NA,"T. S. dos Santos","Brasil","Bahia","ITACARÉ","Ramal da Torre da Embratel, no Km 42 Rod. Itacaré/Ubaitaba.","-38.9967002868652","-14.2775001525879","41230",NA,NA,"auto","3200","1978","02","16",NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","01/11/1978",NA,NA
"23","2020-07-23 12:01:08-03","CEPLAC","CEPEC","23138","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"A. M. de Carvalho",NA,NA,"A. Rylands","Brasil","Bahia","UNA","Estação Experimental Lemos Maia. CEPLAC. Ao W da Estação.","-39.0752983093262","-15.2932996749878","36070",NA,"<ll>dwc_commonname:</ll> Gravatá","auto","176","1980","11","16",NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","01/09/1981",NA,NA
"24","2020-07-23 12:01:08-03","CEPLAC","CEPEC","7502","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"L. B. Smith",NA,NA,"R. S. Pinheiro","Brasil","Bahia","UNA","Rodovia Una/Olivença.","-39.0752983093262","-15.2932996749878","36070",NA,NA,"auto","1551","1971","08","06",NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","01/07/1985",NA,NA
"25","2020-07-23 12:01:08-03","CEPLAC","CEPEC","56340","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata",NA,"A. Costa",NA,NA,"A. M. Amorim","Brasil","Bahia","URUÇUCA","Estrada que liga Uruçuca/Serra Grande. Coletas a 23Km partir da sede município.","-39.2844009399414","-14.5930995941162","33791",NA,NA,"auto","609","1992","08","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/02/2000",NA,NA
"26","2021-04-08 17:13:21-03","UESB","HUESB","2386","S","Plantae","Monocotyledoneae",NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","Wanderley, M.G.L.","2006","08","Macedo, G.E.L.; G.Borges.; G.Borges.","Brasil","Bahia","Jequié","Jequié, Fazenda Brejo Novo, à 9 Km da Av. Otávio Mangabeira, com acesso pela Av. Exupério Miranda, no bairro Mandacaru.","-41.061111","-13.944722",NA,NA,"Epífita em cipó. Folhas semi-crassas, brácteas verdes. Frutos verdes em espiga frutificada.; Floresta estacional semi-caducifolia (Mata de Cipó).",NA,"907","2004","05","27",NA,NA,NA,NA,NA,NA,"24",NA,"-41.061111","-13.944722",NA,"617","750"
"27","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.",NA,NA,NA,"Blanchet, JS","Brazil","Bahia",NA,"in prov. Bahiensi",NA,NA,NA,NA,"(V. s. in herb. Candoll. et Petrop.)",NA,"2084",NA,NA,NA,"Southern America",NA,NA,"P03P3N0098",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.",NA,NA,NA,"Riedel, L","Brazil",NA,NA,"Habitat in Brasilia, loco ignoto",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,"P03P3N0098",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:02:55-03","IBt","SP","411962","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","recurvata","Vriesea recurvata","Gaudich.","Versieux, LM","2006","03","Amorim, AM; et al.","Brasil","Bahia","Itacaré","Estrada Itacaré-Ubaitaba. Ramal de acesso à Torre da Embratel","-38.9967002868652","-14.2775001525879","41230",NA,NA,"auto","3424","2000","06","07",NA,NA,"SP053493","SP053493",NA,NA,"08",NA,NA,NA,NA,NA,NA
