"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","recordNumber","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","preparationType","barcode","imagecode","typeStatus","class"
"20","2020-12-11 11:45:28-03","UFMG","BHCB","18894","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Queiroz, LP de","1990","10","11","Brasil","Minas Gerais","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,"s.n.","-43.7144012451172","-19.1688995361328","26557","auto","Southern America",NA,NA,NA,NA,NA
"21","2020-12-11 11:45:28-03","UFMG","BHCB","18713","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Arndt, MHL; Aristóbolo, MS","1990","09","08","Brasil","Minas Gerais","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,"s.n.","-43.7144012451172","-19.1688995361328","26557","auto","Southern America",NA,NA,NA,NA,NA
"22","2020-12-11 11:45:28-03","UFMG","BHCB","18713","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,"Arndt, MHL; Aristóbolo, MS","1990","09","08","Brasil","Minas Gerais","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,"s.n.","-43.7144012451172","-19.1688995361328","26557","auto","Southern America",NA,NA,NA,NA,NA
"23","2020-12-11 11:45:28-03","UFMG","BHCB","23895","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó",NA,NA,NA,NA,NA,NA,"s.n.","-43.7144012451172","-19.1688995361328","26557","auto","Southern America",NA,NA,NA,NA,NA
"24","2019-06-10 10:11:45-03","FZB-BH","BHZB","10288","S","Plantae",NA,NA,"Velloziaceae","Vellozia","alata","Vellozia alata",NA,NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","2013","07","27","Brasil","MG","Santana do Pirapama","Inhames- Caminho da captação da Fazenda Toucan Cipó","43W 45' 31","19S 00' 21","811","811",NA,"Com duplicata , coordenada ; 0630666 /7898070 Altitude ; 811 m.","1166","-43.758611","-19.005833",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","1907176","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"N. L. Menezes","1973","10","18","Brazil","Minas Gerais",NA,"Km 112 da estrada Lagoa Santa-Conceição do Mato Dentro. Serra do Cipó",NA,NA,NA,NA,"1",NA,"1404",NA,NA,NA,NA,"South America - Neotropics",NA,"US01327298","US01327298_01",NA,"Monocotyledonae"
"26","2020-09-12 05:00:02-03","US","US","2340342","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"B. Maguire","1959","12","19","Brazil","Minas Gerais",NA,"Serro do Cipo; alt. 3700 ft.",NA,NA,"1128","1128","1",NA,"44690",NA,NA,NA,NA,"South America - Neotropics",NA,"US00092351","US00092351_01","Holotype","Monocotyledonae"
"27","2020-09-12 05:00:02-03","US","US","3217773","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"N. L. Menezes","1971","10","8","Brazil","Minas Gerais",NA,"Km 112. Estrada Lagoa Santa-Conceição do Mato Dentro. Serra do Cipói",NA,NA,NA,NA,"1",NA,"161",NA,NA,NA,NA,"South America - Neotropics",NA,"US01327303","US01327303_01",NA,"Monocotyledonae"
"28","2020-09-12 05:00:02-03","US","US","3101879","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"C. Ferris","1972","8","8","Brazil","Minas Gerais",NA,"3 Km N of Chapeau do Sol, Brazil",NA,NA,NA,NA,"1",NA,"5787",NA,NA,NA,NA,"South America - Neotropics",NA,"US01327301","US01327301_01",NA,"Monocotyledonae"
"29","2020-09-12 05:00:02-03","US","US","1875761","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"L. Duarte","1966","11","4","Brazil","Minas Gerais","Santa Bárbara","Est. Rio Acima Fazenda Gandarela",NA,NA,NA,NA,"1",NA,"944","-43.4152984619141","-19.959400177002","33136","auto","South America - Neotropics",NA,"US01327302","US01327302_01",NA,"Monocotyledonae"
"30","2020-09-12 05:00:02-03","US","US","3564207","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"E. P. Heringer","1959","11","12","Brazil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,"1",NA,"651",NA,NA,NA,NA,"South America - Neotropics",NA,"US01327300","US01327300_01",NA,"Monocotyledonae"
"31","2020-09-12 05:00:02-03","US","US","3276324","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"M. Sazima","1973","10","28","Brazil","Minas Gerais","Jaboticatubas","Estrada de Vespasiano da Conceição do Mato Dentro, Km 114",NA,NA,NA,NA,"1",NA,"48","-43.7449989318848","-19.513599395752","31264","auto","South America - Neotropics",NA,"US01327299","US01327299_01",NA,"Monocotyledonae"
"32","2020-09-12 05:00:02-03","US","US","2593186A","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.",NA,NA,NA,NA,"B. Maguire, G. Magalhaes & C. K. Maguire","1960","8","6","Brazil","Minas Gerais",NA,"Summit of Serra do Cipó, along road from Hotel Chapéu between Km 11 and 120",NA,NA,NA,NA,"1",NA,"1761",NA,NA,NA,NA,"South America - Neotropics",NA,"US01327297","US01327297_01",NA,"Monocotyledonae"
"33","2021-03-15 18:30:17-03","USP","SPF","210997","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.","Mello-Silva, R","2009","04",NA,"Zappi, DC","2009","03","15","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Trilha da captação da Faz. Toucan Cipó, Capela de São José.","-43.75576","-19.006194","949","949",NA,"Plantas ramificadas, 2 m alt., frutos velhos castanhos, lisos.; Campo arenoso-pedregoso perto de um riacho.","2146","-43.75576","-19.006194",NA,NA,NA,NA,"SPF00210997",NA,NA,NA
"34","2021-03-15 18:30:17-03","USP","SPF","211023","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B.Sm.","Zappi, DC","2009","11","14","Zappi, DC","2009","11","14","Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Capela de São José, Fazenda Toucan Cipó","-43.762345","-19.008004","683","683",NA,"Plantas muito ramificadas, folhas velhas patentes (desaparecendo quando queimadas), hipanto glabro, pétalas lilases, anteras e estigma amarelos, frutos castanho-claros.; Cerrado rupestre na beira de riacho.","2384","-43.762345","-19.008004",NA,NA,NA,NA,"SPF00211023",NA,NA,NA
"35","2019-11-01 15:17:27-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Velloziaceae","Vellozia","alata","Vellozia alata","L.B. Sm.","Smith, LB","1965","02",NA,"Heringer, EP","1959","11","12","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,"7365",NA,NA,NA,NA,"Southern America",NA,"UB0028109","UB0028109",NA,NA
