"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"16","2021-03-15 16:37:00-03","NY","NYBG","01873577","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","T. B. Croat","A. M. Amorim","5753","2006","04","13","South America","Brazil","Bahia","Arataca","Serra do Peito-de-Moça. Ramal ca. 22.4 km na estrada que liga Arataca à Una, com entrada no assentamento Santo Antônio. RPPN Caminho das Pedras Trilha de acesso à casa de Mormaço.","-39.3417","-15.1736","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2526443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01873577","NY01873577_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","497998","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"S. J. Mayo","1134","1995","01","10","South America","Brazil","Bahia","Ilhéus","Mata de Esperança, futuro sítio do Jardim Botânico de Ilhéus, antiga estrada Ilhéus-Itabuna, logo depois de atravessar a antiga ponte na direçao Itabuna. Area de estudo fitosociológico e arredores","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497998","NY00497998_01",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-06 11:41:55-03","UFPI-MRV","HDELTA","5816","PreservedSpecimen","Plantae",NA,NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Bonafé, F.","Bonafé, F. ; Bernardo, Selmo",NA,NA,NA,NA,NA,"Brasil","São Paulo","Iporanga",NA,"-48.590278","-24.580556",NA,NA,"HDELTA005816",NA,NA,NA,"48°35'25,00''W","24°34'50,00''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-08 17:44:41-03","EAO","IAN","88770","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.",NA,"Schott, HW","2996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN088770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:51:22-03","EAO","IAN","121108","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.","Croat, TB","Pires, JM; Silva, NT da","10394","1967","03","31","Southern America","Brasil","Pará","Belém","IPEAN, APEG. Capoeira. Terra firme.","-48.5043983459473","-1.4558299779892",NA,"Epifita.","IAN121108",NA,NA,NA,NA,NA,"1986","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:51:22-03","EAO","IAN","125705","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.","Croat, TB","Pires, JM; Silva, NT da","11689","1968","04","30","Southern America","Brasil","Pará","Belém","IPEAN. Igapó do Catú.","-48.5043983459473","-1.4558299779892",NA,"Planta epifita com espigas brancas.","IAN125705",NA,NA,NA,NA,NA,"1986","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:51:22-03","EAO","IAN","121186","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.",NA,"Pires, JM; Silva, NT da","10472","1967","05","17","Southern America","Brasil","Pará","Belém","IPEAN, Reserva APEG. Q.223-4. Mata de varza.","-48.5043983459473","-1.4558299779892",NA,"Epifita em frutos.","IAN121186",NA,NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:51:22-03","EAO","IAN","90916","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.","Croat, TB","Pires, JM","6572a","1957","05","11","Southern America","Brasil","Pará","Belém","Mata virgem na divisa da E.F.Bragança- Cia. Pirelli, margem da estrada.","-48.5043983459473","-1.4558299779892",NA,NA,"IAN090916",NA,NA,NA,NA,NA,"1986","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:51:22-03","EAO","IAN","97302","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.",NA,"Fróes, RL","32831","1956","07","09","Southern America","Brasil","Pará","Portel","Região do Anapú, rio Pracupí. Beira do rio.","-50.8210983276367","-1.93555998802185",NA,"Planta epifitica.","IAN097302",NA,NA,NA,NA,NA,"1986","184936","auto","12",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:51:22-03","EAO","IAN","167550","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.",NA,"Nitta, A","17312","1996","10","03","Southern America","Brasil","Pará","Santa izabel do Pará",NA,"-48.1605987548828","-1.29860997200012",NA,NA,"IAN167550",NA,NA,NA,NA,NA,NA,"27708","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:27:26-03","UFBA","ALCB","027068","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Mayo, S","Jardim, JG; Amorim, AMA; Sant'Ana, SC de; Mayo, S; Puglialli, H","512","1994","07","28","Southern America","Brasil","Bahia","Una","Litoral Sul, Reserva Biológica do Mico-Leão (IBAMA). Entrada no Km 46 da rod. Ba-001 Ilhéus-Una. Picada do Marimbondo","-39.083333","-15.15",NA,"hemiepífita. Caule se transformando em ramos flageliformes. Bainha do pecíolo com margens nascescentes e marrom-claro. Lâmina foliar discolor, brilhante e na face inferior. Estéril.","ALCB004809",NA,NA,NA,"-39.083333","-15.15","1994",NA,NA,"07",NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:27:26-03","UFBA","ALCB","029456a","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Maya, S","Guedes, ML; Passos Júnior, LA; et al.","4218","1997","01","18","Southern America","Brasil","Bahia","Eunápolis","Extremo Sul, Projeto Cedro. Parcelas 31, 32, 33, 34","-39.566667","-16.366667",NA,"epífita. Folhas discolores, crassas. Ocasional.; em recuperação.","ALCB004813",NA,"200","200","-39.566667","-16.366667","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:27:26-03","UFBA","ALCB","031591","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Nadruz, M","Nadruz, M; Costa, DP; Vaz, A; Lima, J; Sant'Ana, SC de","1191","1996","05","08","Southern America","Brasil","Bahia","Uruçuca","Litoral Sul, Distrito de Serra Grande, 7,3 Km na estrada Serra Grande-Itacaré","-39.283333","-14.583333",NA,"hemiepífita. Caule verde, lâmina verde discolor. Pecíolo e bainha verdes. Estéril.","ALCB004812",NA,"130","130","-39.283333","-14.583333","1996",NA,NA,"05",NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:27:26-03","UFBA","ALCB","050033","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Soares, MGMC","Guedes, ML; Gusmão, EF de; et al.","7758","2000","12","12","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, Fazenda Buri, Trilha 13. Parcela 12","-38.083333","-11.933333",NA,"Semi-epífita, espadice escuro roseo e espata creme, folhas discolores, glabras.; Mata ombrofila densa","ALCB004810",NA,NA,NA,"-38.083333","-11.933333","2005",NA,NA,"11","11",NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:27:26-03","UFBA","ALCB","56307","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","564","2001","12","18","Southern America","Brasil","Bahia","Igrapiúna","Litoral Sul, Caminho para assentamento Mirante","-39.133333","-13.816667",NA,"Folhas cartáceas, discolores. Inflorescência com espata alva, com espádice com flores masculinas e femininas creme. Ocasional.","ALCB005248","ALCB005248",NA,NA,"-39.133333","-13.816667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:27:26-03","UFBA","ALCB","56512","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Soares, MGMC","Guedes, ML; Santana, DL; Loureiro, DM; Alves, L. de J.","9307","2001","12","15","Southern America","Brasil","Bahia","Ituberá","Litoral Sul, Pancada Grande","-39.133333","-13.716667",NA,"epífita. Folhas cartáceas, discolores. Inflorescência passada. Ocasional.","ALCB004811",NA,NA,NA,"-39.133333","-13.716667","2005",NA,NA,"11","11",NA,NA,NA,NA,NA,NA
"32","2020-02-08 08:43:13-03","NBC","NL-BOTANY","U.1097664","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Nicolson DH","Henkel TW; Husher J; James R",NA,"1998","06","02","Southern America","Guyana","Potaro-Siparuni",NA,"Guyana. Potaro-Siparuni Region. Pakaraima Mts., upper Ireng R., 1 km downstream from Kurutuik Falls.","-59.986667","5.085",NA,"Mixed hardwood forest, dominated by Dicymbe altsonii.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097664 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1097664","NL-U1097664",NA,NA,"-59.986667","5.085","2004",NA,NA,"08","01","Magnoliopsidae","U 0183835",NA,NA,NA,NA
"33","2020-02-08 08:43:13-03","NBC","NL-BOTANY","L.3719033","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"Ek RC; Riet BP van de; Hartmann FA",NA,NA,NA,NA,"Southern America","French Guiana",NA,NA,"Flora Of French Guiana. Tresor Reserve. Trail to the savanna, swamp forest near old base camp.","-52.266667","4.583333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3719033 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3719033","NL-L3719033",NA,NA,"-52.266667","4.583333",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 08:43:13-03","NBC","NL-BOTANY","L.3719034","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"Ek RC; Riet BP van de; Hartmann FA",NA,NA,NA,NA,"Southern America","French Guiana",NA,NA,"Flora Of French Guiana. Tresor Reserve. Trail to the savanna, swamp forest near old base camp.","-52.266667","4.583333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3719034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3719034","NL-L3719034",NA,NA,"-52.266667","4.583333",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 08:43:13-03","NBC","NL-BOTANY","U.1097662","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Croat TB","Teunissen PA",NA,"1975","06","10","Southern America","Surinam","Para",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097662 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1097662","NL-U1097662",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0099180",NA,NA,NA,NA
"36","2020-02-08 08:43:13-03","NBC","NL-BOTANY","U.1097663","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Mayo SJ","Bordenave BG; Raes N; Betian L",NA,"2000","01","17","Southern America","French Guiana",NA,NA,NA,"-52.216667","4.516667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1097663 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1097663","NL-U1097663",NA,NA,"-52.216667","4.516667",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0239263",NA,NA,NA,NA
"37","2021-01-14 15:23:13-03","MN","R","228927","PreservedSpecimen","Plantae",NA,NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"Silva, D.G.","34","2014","12","03",NA,"Brasil","Pernambuco","Lagoa dos Gatos","Serra do Urubu, RPPN Pedra D#?#anta","-35.9000015258789","-8.65832996368408",NA,NA,"R010012321",NA,"693","693",NA,NA,NA,"14934","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-01-14 15:23:13-03","MN","R","228929","PreservedSpecimen","Plantae",NA,NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"Silva, D.G.","36","2014","12","03",NA,"Brasil","Pernambuco","Lagoa dos Gatos","Serra do Urubu, RPPN Pedra D#?#anta","-35.9000015258789","-8.65832996368408",NA,NA,"R010012324",NA,"672","672",NA,NA,NA,"14934","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-01-14 15:23:13-03","MN","R","228928","PreservedSpecimen","Plantae",NA,NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.",NA,"Silva, D.G.","35","2014","12","03",NA,"Brasil","Pernambuco","Lagoa dos Gatos","Serra do Urubu, RPPN Pedra D#?#anta","-35.9000015258789","-8.65832996368408",NA,NA,"R010012320",NA,"693","693",NA,NA,NA,"14934","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-02-15 11:33:17-02","IPA","IPA","88956","S","Plantae","Plantae",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Lima, L.F.","Lima, L.F.; Lima, P.B.; Lima, P.B.","288","2011","03","21","Southern America","Brasil","Alagoas","Ibateguara","Usina Serra Grande, Coimbra.","-35.919444","-8.974722",NA,"Fragmento de Floresta Atlântica.","IPA0088956",NA,NA,NA,"-35.919444","-8.974722","2011",NA,NA,"05","16",NA,NA,NA,NA,NA,NA
"41","2019-02-15 11:33:17-02","IPA","IPA","88957","S","Plantae","Plantae",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Lima, L.F.","Lima, L.F.; Lima, P.B.; Lima, P.B.","313","2011","03","20","Southern America","Brasil","Alagoas","Ibateguara","Usina Serra Grande, Coimbra.","-35.919444","-8.974722",NA,"Fragmento de Floresta Atlântica.","IPA0088957",NA,NA,NA,"-35.919444","-8.974722","2011",NA,NA,"05","16",NA,NA,NA,NA,NA,NA
"42","2019-02-15 11:33:17-02","IPA","IPA","16153","S","Plantae","Plantae",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Gonçalves, E.G.","Andrade-Lima","4964","1967","03","22","Southern America","Brasil","Pernambuco","Quipapá","Engenho Brejinho.","-36.0116996765137","-8.82777976989746",NA,"Inlforescência verde.; Mata, epífita.","IPA0016153",NA,NA,NA,NA,NA,"2001","11788","auto","07","31",NA,NA,NA,NA,NA,NA
"43","2019-11-27 13:46:07-03","UFS","ASE","32442","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp.","Nadruz, M","Almeida, ES","231","2014","04","14","Southern America","Brasil","Sergipe","Laranjeiras",NA,"-37.169722","-10.806389",NA,"Herbácea. Coordenadas UTM: E (0690209m) N (8800614m). Nº de conglomerado: 124, Nº da subunidade: 03, Nº da subparcela: 02, Nº da árvore: 02B(F9).","ASE0003779","ASE0003779",NA,NA,"-37.169722","-10.806389","2016",NA,NA,"06","30",NA,NA,NA,NA,NA,NA
"44","2019-08-20 09:59:05-03","UNICAMP","UEC","50568","S","Plantae","Liliopsida",NA,"Araceae","Rhodospatha","oblongata","Rhodospatha oblongata","Poepp. & Endl.","Nicolson, DH","Hutchison, PC","8709","1983","09",NA,NA,"Brazil","Amazonas",NA,"Km 45 da BR174 - Reserva do INPA",NA,NA,NA,"Trepadeira, folhas verde-escuras, dorso mais claro.","UEC098800","UEC098800",NA,NA,NA,NA,"2000",NA,NA,"12",NA,NA,NA,NA,NA,NA,NA
