"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","minimumElevationInMeters","maximumElevationInMeters","individualCount","county","class","order"
"11","2016-11-28 10:21:00-02","MO","MOBOT","100939724","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef|P.A. Florschütz","Cleef 5970a","1972","10","7","South America","Colombia","Sierra Nevada del Cocuy, Alto Valle Lagunillas; Puerta de Lagunillas.","-72.3","6.4166667",NA,NA,NA,NA,"S.R. Gradstein","Boyacá","4025.00000000",NA,"1",NA,NA,NA
"12","2016-11-28 10:24:00-02","MO","MOBOT","100939730","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Jaime Aguirre|S.R. Gradstein","Aguirre Ceballos 2856","1982","8","15","South America","Colombia","Sacama, via Sacama-Socha, pasando Páramo de Pisba.","-72.2166667","6.0833333",NA,NA,NA,NA,"S.R. Gradstein","Casanare","3300.00000000",NA,"1","Sacama",NA,NA
"13","2016-11-28 10:31:00-02","MO","MOBOT","100939738","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 6723a","1972","12","29","South America","Colombia","Santa Fe De Bogota, La Calera, Páramo de Palacio, Laguna Buitrago.","-73.9166667","4.75",NA,NA,NA,NA,"S.R. Gradstein","Cundinamarca","3680.00000000",NA,"1","La Calera",NA,NA
"14","2016-11-28 10:38:00-02","MO","MOBOT","100939747","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 942a","1972","1","24","South America","Colombia","PNN de Sumapaz, Hoya El Nevado, Laguna Guitarra, orilla N.","-74.4166667","3.75",NA,NA,NA,NA,"S.R. Gradstein","Meta","3465.00000000",NA,"1",NA,NA,NA
"15","2016-11-28 10:43:00-02","MO","MOBOT","100939749","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Dana G. Griffin, III|Manuel López-Figueiras","Griffin III PV-586","1984","7","24","South America","Venezuela","Páramo de Los Conejos, Sierra del Norte, en los alrededores de la finca San Rafael.","-71.2166667","8.7333333",NA,NA,NA,NA,"S.R. Gradstein","Mérida","3300.00000000",NA,"1",NA,NA,NA
"16","2016-11-28 10:50:00-02","MO","MOBOT","100939751","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Dana G. Griffin, III|Jesus Duarte","Griffin III PV-865","1985","2","14","South America","Venezuela","Páramo de La Culata, Sierra del Norte, con Espeletia schultzii.","-71.05","8.8333333",NA,NA,NA,NA,"S.R. Gradstein","Mérida","3000.00000000",NA,"1",NA,NA,NA
"17","2017-02-04 18:05:00-02","MO","MOBOT","100939753","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Sieghard Winkler","Winkler C326","1967","1",NA,"South America","Colombia","Sierra Nevada de Santa Marta.","-74.2","10.5",NA,NA,NA,NA,"S.R. Gradstein","Magdalena",NA,NA,"1",NA,NA,NA
"18","2016-11-28 10:56:00-02","MO","MOBOT","100939755","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","S.R. Gradstein","Gradstein 3457","1976","4","4","South America","Ecuador","Páramo de El Angel, ca. 36 km S of Tulcán.","-77.9","0.7166667",NA,NA,NA,NA,"S.R. Gradstein","Carchi","3630.00000000",NA,"1",NA,NA,NA
"19","2017-05-27 00:55:00-03","MO","MOBOT","100939756","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Philippi, Georg","Philippi P-253","1982","9",NA,"South America","Peru","Huaraz.","-77.5333333","-9.5333333",NA,NA,NA,NA,"S.R. Gradstein","Ancash","3050.00000000",NA,"1","Huaraz",NA,NA
"20","2016-11-28 11:06:00-02","MO","MOBOT","100939761","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Meyer, Hans (Johannes August Theodor)","Meyer 4220","1903",NA,NA,"South America","Ecuador","El Altar.","-78.4","-1.65",NA,NA,NA,NA,"S.R. Gradstein","Chimborazo","4000.00000000",NA,"1",NA,NA,NA
"21","2016-11-28 11:28:00-02","MO","MOBOT","100939770","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 7880b","1973","1","14","South America","Colombia","Cerro Nevado del Sumapaz","-74.25","3.75",NA,NA,NA,NA,"S.R. Gradstein","Meta","3600.00000000",NA,"1",NA,NA,NA
"22","2016-11-28 11:31:00-02","MO","MOBOT","100939772","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 8178a","1973",NA,NA,"South America","Colombia","PNN de Sumapaz, Cerro Nevado de Sumapaz.","-74.4166667","3.75",NA,NA,NA,NA,"S.R. Gradstein","Meta","4100.00000000",NA,"1",NA,NA,NA
"23","2016-11-28 11:45:00-02","MO","MOBOT","100939777","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Erik Asplund","Asplund s.n.",NA,NA,NA,"South America","Ecuador","Páramo de Guamaní.","-78.1666667","-0.2666667",NA,NA,NA,NA,"S.R. Gradstein","Pichincha",NA,NA,"1",NA,NA,NA
"24","2017-04-07 12:35:00-03","MO","MOBOT","100963991","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Alfons Schäfer-Verwimp|Nebel, Martin","Schäfer-Verwimp 32861","2012","3","13","South America","Ecuador","Cuenca—Guayaquil, near Laguna Dos Chocheras east of El Cajas National Park.","-79.15","-2.7666667",NA,NA,NA,NA,"A. Schäfer-Verwimp","Azuay","3700.00000000",NA,"1",NA,NA,NA
"25","2017-04-07 12:44:00-03","MO","MOBOT","100963992","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Alfons Schäfer-Verwimp|Nebel, Martin","Schäfer-Verwimp 33153/D","2012","3","25","South America","Ecuador","Parque Nacional Podocarpus, above Cajanuma, Sendero El Mirador.","-79.1666667","-4.1",NA,NA,NA,NA,"A. Schäfer-Verwimp","Loja","3100.00000000",NA,"1",NA,NA,NA
"26","2017-05-01 16:12:00-03","MO","MOBOT","100969043","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Alfons Schäfer-Verwimp|et al.","Schäfer-Verwimp 24264/E","2004","8","14","South America","Ecuador","Strasse Otavalo-Laguna Mojando. Polylepis-Wald wenig unterhalb der Laguna.","-78.2666667","0.2166667",NA,NA,NA,NA,"A. Schäfer-Verwimp","Imbabura","3620.00000000",NA,"1","Otavalo",NA,NA
"27","2017-05-01 16:22:00-03","MO","MOBOT","100969048","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Alfons Schäfer-Verwimp|et al.","Schäfer-Verwimp 24470","2004","8","22","South America","Ecuador","Papallacta-Pass zwischen Quito und Baeza, Res. Ecologica Cayambe-Coca, Paramo de La Virgen.","-78.15","-0.3666667",NA,NA,NA,NA,"A. Schäfer-Verwimp","Napo","4000.00000000","4120.00000000","1",NA,NA,NA
"28","2017-05-01 16:27:00-03","MO","MOBOT","100969049","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Alfons Schäfer-Verwimp|et al.","Schäfer-Verwimp 24384","2004","8","19","South America","Ecuador","Reserva Ecologica El Ángel, shrubby vegetation along the road from El Angel to El Voladero.","-77.9","0.75",NA,NA,NA,NA,"A. Schäfer-Verwimp","Carchi","3420.00000000",NA,"1",NA,NA,NA
"29","2017-05-01 16:31:00-03","MO","MOBOT","100969051","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Alfons Schäfer-Verwimp|et al.","Schäfer-Verwimp 24359","2004","8","18","South America","Ecuador","Reserva Ecologica El Angel bei El Volandero ca. 14 km oberhalb von E. Angel. Espeletia páramo.","-77.9666667","0.7166667",NA,NA,NA,NA,"A. Schäfer-Verwimp","Carchi","3650.00000000",NA,"1",NA,NA,NA
"30","2017-11-09 16:52:00-02","MO","MOBOT","101009575","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 6432a","1972","11","15","South America","Colombia","San Cayetano, Cogua, Páramo Alto, Laguna Verde.","-74.0166667","5.3166667",NA,NA,NA,NA,NA,"Cundinamarca","3680.00000000",NA,"1","San Cayetano",NA,NA
"31","2017-11-09 16:35:00-02","MO","MOBOT","101009576","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 7881","1973","1","14","South America","Colombia","Cerro Nevado del Sumapaz","-74.25","3.75",NA,NA,NA,NA,NA,"Meta","3450.00000000",NA,"1",NA,NA,NA
"32","2017-05-01 16:16:00-03","MO","MOBOT","90217332","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Alfons Schäfer-Verwimp|et al.","Schäfer-Verwimp 24286","2004","8","15","South America","Ecuador","Papallacta-Pass zwischen Quito und Baeza, Res. Ecologica Cayambe-Coca, Paramo de La Virgen.","-78.15","-0.3666667",NA,NA,NA,NA,"A. S.-V","Napo","4010.00000000",NA,"1",NA,NA,NA
"33","2011-04-25 16:41:00-03","MO","MOBOT","90231468","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","C. Aldana","Aldana 438","2006","2","23","South America","Bolivia","Pongo-Choquetanga, ca. 2 km NW de la localidad de Pongo, sobre la carretera a los Yungas. Paramo yungueño con bosque de Polylepis.","-67.9422222","-16.3144444",NA,NA,NA,NA,"S. Churchill","La Paz","3886.00000000",NA,"2","Murillo",NA,NA
"34","2017-11-09 16:29:00-02","MO","MOBOT","101009572","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 212a","1971","12","11","South America","Colombia","Páramo de Sumapaz. Chisacá, cabecera del rio Santa Rosa.","-74.4166667","3.75",NA,NA,NA,NA,NA,"Cundinamarca","3500.00000000",NA,"1",NA,NA,NA
"35","2016-11-28 10:28:00-02","MO","MOBOT","100939734","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Carl Troll","Troll 2181a","1929",NA,NA,"South America","Colombia","El Boqueron bei Bogota.","-74.2333333","4.8166667",NA,NA,NA,NA,"S.R. Gradstein","Distrito Capital","3300.00000000",NA,"1",NA,NA,NA
"36","2016-11-28 10:17:00-02","MO","MOBOT","100939720","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 2291","1972","3","6","South America","Colombia","Belen, Páramo de Guantiva, Alto de Las Cruces, Cabecera El Toral, Sn Jose de la Montana.","-72.8333333","6.2",NA,NA,NA,NA,"S.R. Gradstein","Boyacá","3765.00000000",NA,"1","Belen",NA,NA
"37","2016-11-28 10:34:00-02","MO","MOBOT","100939743","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Steph.) R.M. Schust.","Antoine M. Cleef","Cleef 2795","1972","4","11","South America","Colombia","Ubaque, Alto de Cruz Verde, Alto La Viga.","-74.0333333","4.5666667",NA,NA,NA,NA,"S.R. Gradstein","Cundinamarca","3620.00000000",NA,"1","Ubaque",NA,NA
"38","2019-10-16 14:28:40-03","DUKE","DUKE","188034","PreservedSpecimen","Plantae","Hepatophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Stephani) R.M. Schust.","Jameson, W.","s.n.","1906","12",NA,NA,"Peru","Quito.",NA,NA,NA,NA,NA,NA,NA,"San Martín",NA,NA,NA,"Lamas","Hepatopsida","Jungermanniales"
"39","2019-10-16 14:28:40-03","DUKE","DUKE","9853","PreservedSpecimen","Plantae","Hepatophyta","Lejeuneaceae","Blepharolejeunea","securifolia","Blepharolejeunea securifolia","(Stephani) R.M. Schust.","Griffin, III, Dana; Griffin, Nancy","PV-369a","1984","7","10",NA,"Venezuela","Páramo de Mucuchíes, entre Chachopo y El Aguila.",NA,NA,NA,NA,NA,NA,"Gradstein, S. Robbert","Mérida","3300","3700",NA,NA,"Hepatopsida","Jungermanniales"
