"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"11","2020-12-21 16:27:34-03","MBM","MBM","35476","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Barneby, R.","Anderson, W.R.; Hatschbach, G.; Barneby, R.; Gates, B.; Hatschbach, G.; Barneby, R.; Gates, B.","11612","1975","02","28","Southern America","Brazil","Minas Gerais","São Tomé das Letras","Vicinity of São Tomé","-44.9852981567383","-21.7222003936768",NA,NA,NA,"Subshrub 1m from xylopodium, becoming wand-like to 2m when protected; in bud with old fruit; on sandstone rocks.; Subshrub 1m from xylopodium, becoming wand-like to 2m when protected; in bud and with old fruit.; On sandstone rocks.","MBM035476","MBM035476","Barneby","HOLOTYPE","16076","auto","1985",NA,NA,NA,NA,NA,NA
"12","2021-02-11 17:19:04-03","UFPR","UPCB","16605","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Barneby, R.C.","Hatschbach, G.","51196","1987","03","22",NA,"Brasil","Minas Gerais","São Tomé das Letras","Arredores","-44.9852981567383","-21.7222003936768","1300","1300",NA,"Campo rupestre, solo arenoso..",NA,NA,"Barneby",NA,"16076","auto","1987","01","01",NA,NA,NA,NA
"13","2020-05-22 16:20:00-03","MO","MOBOT","101194946","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista",NA,"William R. Anderson|Gert G. Hatschbach|Rupert C. Barneby|Bronwen Gates","Anderson 11612","1975","2","28","South America","Brazil","Minas Gerais","São Tomé das Letras","Vicinity of São Tomé.","-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,NA,NA,"Barneby","Holotype","16076","auto",NA,NA,NA,NA,NA,"1",NA
"14","2013-12-05 08:37:00-02","MO","MOBOT","2923059","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","R. Barneby","Gert G. Hatschbach|Maria M. Hatschbach|Armando C. Cervi|O. V. Guimarães","Hatschbach 51196","1987","3","22","South America","Brazil","Minas Gerais",NA,"S. Tomé das Letras, arredores,",NA,NA,"1300.00000000",NA,NA,NA,NA,NA,"Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2017-11-24 14:10:55-02","UFLA","ESAL","27887","S","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","V.F. Dutra","Miguel Pinter Jr.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","São Tomé das Letras","Caminho para gruta do feijão","-44.9852981567383","-21.7222003936768",NA,NA,NA,"; ; ;",NA,NA,"Barneby",NA,"16076","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","3255334","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","thomista","Mimosa thomista",NA,"W. Anderson","11612","1975","2","28","South America - Neotropics","Brazil","Minas Gerais","São Tome das Letras","Vicinity of Sao Tome.","-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,"US00406254","US00406254_01","Barneby","Isotype","16076","auto",NA,NA,NA,NA,NA,"1","Dicotyledonae"
"17","2020-09-02 16:29:25-03","Cenargen","CEN","111773","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","thomista","Mimosa thomista",NA,"Lucas Sá Barreto Jordão","444","2019","02","25",NA,"Brasil","MG","LUMINARIAS","Trilha do Defunto, nas proximidades do Poço Jade.","-44.929166","-21.636944","1374","1374","Exsicatas","Flores com filetes róseas. Foram observados uns 7 indivíduos jovens. Subarbusto rochoso e arenoso. Área de uma antiga pedreira desativada. Doação Jardim Botânico do Rio de Janeiro - RB 782944.","CEN00111773","CEN00111773","Barneby",NA,NA,NA,NA,NA,NA,"-44.929166","-21.636944","1",NA
"18","2019-11-13 11:22:53-03","USP","SPF","134964","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","thomista","Mimosa thomista","Lewis, GP","Mello-Silva, R","1606","1999","02","21",NA,"Brasil","Minas Gerais","São Thomé das Letras",NA,"-44.9852981567383","-21.7222003936768","1210","1210",NA,NA,"SPF00134964",NA,"Barneby",NA,"16076","auto","2009",NA,NA,NA,NA,NA,NA
"19","2019-11-13 11:22:53-03","USP","SPF","35569","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","thomista","Mimosa thomista","Barneby, RC","Pirani, JR","CFCR5769","1984","11","02",NA,"Brasil","Minas Gerais","São Thomé das Letras","Morro do Gavião","-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,"SPF00035569",NA,"Barneby",NA,"16076","auto","1987",NA,NA,NA,NA,NA,NA
"20","2020-05-08 11:10:50-03","UEFS","HUEFS","49359","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Mimosa","thomista","Mimosa thomista","L.P.de Queiroz","Silva, R.M.","1606","1999","02","21",NA,"Brasil","Minas Gerais","São Thomé das Letras","Ao fim da rua João Batista Neves.","-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,"HUEFS0049359","HUEFS0049359","Barneby",NA,"16076","auto","2008","12",NA,NA,NA,NA,"Rosanae"
"21","2020-05-08 11:10:50-03","UEFS","HUEFS","252918","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Mimosa","thomista","Mimosa thomista",NA,"Jordao, L.S.B.","444","2019","02","25",NA,"Brasil","Minas Gerais","Luminárias","Trilha do Defunto, nas proximidades do Poço de Jade.","-44.929167","-21.636944","1374","1374",NA,NA,"HUEFS0252918",NA,"Barneby",NA,NA,NA,NA,NA,NA,"44W55'45''","21S38'13''",NA,"Rosanae"
"22","2019-11-13 16:04:43-03","UNISANTA","HUSC","10348","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Sampaio, P.S.P.","Sampaio, P.S.P.; Castro, J.C.","1079","2015","04","20",NA,"Brasil","Minas Gerais","São Thomé das Letras","Trilha do defunto, depois do campo de futebol em direção ao Pico do Gavião.","-44.978264","-21.717922","1300","1300",NA,"Arbusto com 1,5m de altura, ramos da inflorescência vináceos, flores com estames com filetes lilases e anteras creme.; Campo Rupestre.",NA,NA,"Barneby",NA,NA,NA,"2015","04",NA,"-44.978264","-21.717922",NA,NA
"23","2019-11-13 16:04:43-03","UNISANTA","HUSC","8842","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Sampaio, P.S.P.","Sampaio, P.S.P.; Sattelmayer, E.R.","951","2014","11","21",NA,"Brasil","Minas Gerais","São Thomé das Letras","Parque Municipal Antonio Rosa","-44.981389","-21.724986","1450","1450",NA,"Arbusto com 1,5m de altura, ramos vináceos, frutos abertos castanhos; campo rupestre",NA,NA,"Barneby",NA,NA,NA,"2014","11",NA,"-44.981389","-21.724986",NA,NA
"24","2019-11-13 16:04:43-03","UNISANTA","HUSC","10330","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Sampaio, P.S.P.","Sampaio, P.S.P.","1061","2015","04","18",NA,"Brasil","Minas Gerais","São Thomé das Letras","Trilha do defunto, depois do campo de futebol em direção ao Pico do Gavião.","-44.978264","-21.717922","1300","1300",NA,"Arbusto com 1,5m de altura, ramos da inflorescência vináceos, flores com estames com filetes lilases e anteras creme.; Campo Rupestre.",NA,NA,"Barneby",NA,NA,NA,"2015","04",NA,"-44.978264","-21.717922",NA,NA
"25","2020-11-12 16:59:37-03","UEL","FUEL","14104","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Mimosa","thomista","Mimosa thomista","Tamashiro, JY","Pereira, SC; et al.","876","1981","03","16",NA,"Brasil","Minas Gerais","Poços de Caldas","Escubre de Santa Rosália","-46.564722","-21.838889",NA,NA,NA,NA,NA,NA,"Barneby",NA,NA,NA,"1985",NA,NA,"-46.564722","-21.838889",NA,NA
"26","2019-05-06 11:57:53-03","UFU","HUFU","29367","S","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Borges, L.M.","Teixeira, E.M.","s.n.","2001","02","21",NA,"Brasil","Minas Gerais","São Tomé das Letras","Picodo Gavião","-44.9852981567383","-21.7222003936768",NA,NA,NA,"Arbusto.; Campo rupestre.","HUFU00009778",NA,"Barneby",NA,"16076","auto","2012",NA,NA,NA,NA,NA,NA
"27","2021-03-05 16:10:02-03","MN","R-TIPOS","162635","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Barneby, R.","Anderson, W.R.; Hatschbach, G.; Barneby, R.C. & Gates, B.E.","11612","1975","02","28",NA,"Brasil","Minas Gerais","São Tomé das Letras",NA,"-44.9852981567383","-21.7222003936768",NA,NA,NA,NA,"R000162635","R000162635_001","Barneby","Isotypus de Mimosa thomista Barneby","16076","auto","1983",NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:06:15-03","IBt","SP","113908","S","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Morales, M","Mattos, J; Bicalho, H","10341","1962","06","20",NA,"Brasil","Minas Gerais","Baependi","na encosta da serra de São Tomé","-44.8899993896484","-21.9589004516602",NA,NA,NA,NA,"SP025786","SP025786","Barneby",NA,"29865","auto","2010","05","05",NA,NA,NA,NA
"29","2019-11-21 10:06:15-03","IBt","SP","337312","S","Plantae",NA,NA,"Fabaceae","Mimosa","thomista","Mimosa thomista","Morales, M","Mello-Silva, R; Nic Lughadha, EM; Assis, MC","1606","1999","02","21",NA,"Brasil","Minas Gerais","São Tomé das Letras","Afloramentos rochosos próximos à cidade, ao fim da rua João Batista Neves","-44.9852981567383","-21.7222003936768","1210","1210",NA,NA,NA,NA,"Barneby",NA,"16076","auto","2010","05","05",NA,NA,NA,NA
