"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","phylum","class","order","occurrenceRemarks","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","relatedCatalogItem"
"11","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","7682",NA,"Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","André M. Amorim/2003",NA,NA,NA,"L. Kollmann; E. Bausen & W. Pizziolo","321","1998","08","05","Brasil","Espírito Santo","Fundão","Goiapaba-Açu. Terreno de Casimir Albino.","-40.472222","-19.914167",NA,"MBML007682","MBML007682",NA,NA,NA,NA,NA,"Fundo de vale. Trepadeira botões fechados ferrugíneos.","40W28'20","19S54'51",NA,NA,"PARATIPO",NA,NA
"12","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","7748",NA,"Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","André M. Amorim/2003",NA,NA,NA,"L. Kollmann; E. Bausen & W. Pizziolo","423","1998","08","25","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"MBML007748","MBML007748",NA,NA,NA,NA,NA,"Mata de encosta. Trepadeira 2m. Frutos marrons verdes.","40W33'11","19S54'27",NA,NA,"PARATIPO","1",NA
"13","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","8936",NA,"Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","André M. Amorim/2003",NA,NA,NA,"L. Kollmann; E. Bausen & W. Pizziolo","1079","1998","11","24","Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço, Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"MBML008936","MBML008936",NA,NA,NA,NA,NA,"Mata de encosta. Trepadeira 10m. Flores amarelas.","40W36'27","19S55'53",NA,NA,"PARATIPO","1",NA
"14","2020-07-23 12:11:20-03","CEPLAC","CEPEC","79888","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"A. M. Amorim",NA,NA,NA,"L. Kollmann","423","1998","08","25","Brasil","Espírito Santo","SANTA TERESA","Lombardia. Sítio da Bosa.","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"15","2020-07-23 12:11:20-03","CEPLAC","CEPEC","67049","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"A. M. Amorim",NA,NA,NA,"H. Q. B. Fernandes","2417","1988","03","21","Brasil","Espírito Santo","SANTA TERESA","Valão de São Lourenço. Estação Biologica da Caixa D'agua.","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"16","2020-07-23 12:11:20-03","CEPLAC","CEPEC","109405","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"A. M. Amorim",NA,NA,NA,"A. M. Amorim","3339","2000","02","19","Brasil","Espírito Santo","victor hugo","Estrada em direção a São Bento de Urânia. Coletas a ca. 1Km de São Bento de Urânia, na margem do Rio Benevento.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"17","2020-07-23 12:11:20-03","CEPLAC","CEPEC","124118","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"Amorim, A. M.",NA,NA,NA,"L.F.S. Magnago","1550",NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA
"18","2020-07-23 12:11:20-03","CEPLAC","CEPEC","79894","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"A. M. Amorim",NA,NA,NA,"L. Kollmann","321","1984","07","07","Brasil","Espírito Santo","goiapaba-Açu","Fundão. Terreno de Casimir Albino.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"19","2020-07-23 12:11:20-03","CEPLAC","CEPEC","105080","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"A. M. Amorim",NA,NA,NA,"A. M. Amorim","3322","2000","02","16","Brasil","Espírito Santo","SANTA TERESA","Estação Biológica Santa Lúcia. Coletas na trilha que margeia o Rio Timbuí, na trilha principal.","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2005"
"20","2020-07-23 12:11:20-03","CEPLAC","CEPEC","105090","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"A. M. Amorim",NA,NA,NA,"A. M. Amorim","3316","2000","02","15","Brasil","Espírito Santo","SANTA TERESA","Santo Antonio. Terreno do Boza.","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"21","2020-07-23 12:11:20-03","CEPLAC","CEPEC","121058","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis",NA,"A. M. Amorim",NA,NA,NA,"A. M. Amorim","3319","2000","02","15","Brasil","Espírito Santo","SANTA TERESA","Valão São Lourenço. Estação Biológica da caixa d'Água, margem de córrego que deságua no Rio São Lourenço.","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"22","2019-11-21 10:08:43-03","IBt","SP","402207","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Almeida, RF","2012","09",NA,"Lucas, EJ; Mazine, FF; Kollmann, L; Brummitt, NA; Campos, OR; Flores, TB; Sampaio, D","736","2006","11","27","Brasil","Espírito Santo","Santa Teresa","São Antonio, Sítio do Boza","-40.59","-19.910278",NA,"SP019404",NA,NA,NA,NA,NA,NA,NA,"-40.59","-19.910278","780","780",NA,NA,NA
"23","2019-11-21 10:08:43-03","IBt","SP","405791","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, AM",NA,NA,NA,"Amorim, AM; Lopes, M; Gomes, LC; Sant'Ana, SC; Carvalho, G","6122","2006","06","18","Brasil","Bahia","Porto Seguro","Estrada que liga Eunápolis a Porto Seguro. RPPN Estação Vera Cruz. Bloco 4","-39.202222","-16.419167",NA,"SP019414",NA,NA,NA,NA,NA,NA,NA,"-39.202222","-16.419167",NA,NA,NA,NA,NA
"24","2019-11-21 10:08:43-03","IBt","SP","367623","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, AM","2003",NA,NA,"Amorim, AM; Sousa, GM; Kollmann, L","3332","2000","02","18","Brasil","Espírito Santo","Domingos Martins","Morro da Granja Santa Marta, na estrada de acesso à torre de transmissão","-40.6591987609863","-20.3633003234863","48150","SP017770",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:08:43-03","IBt","SP","396947","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, AM","2003",NA,NA,"Amorim, AM; Sousa, GM; Bausen, E; Demuner, V","3322","2000","02","16","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Trilha que margeia o rio Timbui, na trilha principal","-40.6002998352051","-19.9356002807617","23813","SP017829",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:08:43-03","IBt","SP","396951","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, AM","2003",NA,NA,"Kollmann, L; Bausen, E; Pizziolo, W","1079","1998","11","24","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica da Caixa d'Água","-40.6002998352051","-19.9356002807617","23813","SP017828","SP017828","auto",NA,NA,NA,NA,NA,NA,NA,"700","700",NA,NA,NA
"27","2019-11-21 10:08:43-03","IBt","SP","367614","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, AM","2003","02",NA,"Amorim, AM; Sousa, GM; Kollmann, L; Bausen, E; Demuner, V","3316","2000","02","15","Brasil","Espírito Santo","Santa Teresa","Santo Antonio, terreno do Boza","-40.6002998352051","-19.9356002807617","23813","SP017769","SP017769","auto",NA,NA,NA,NA,NA,NA,NA,"850","850",NA,NA,NA
"28","2019-11-21 10:08:43-03","IBt","SP","366601","S","Plantae","Malpighiaceae","Heteropterys","admirabilis","Heteropterys admirabilis","Amorim","Amorim, AM","2003",NA,NA,"Boudet Fernandes, HQ","2417","1988","03","21","Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço, Estação Biológica da Caixa d'Água","-40.6002998352051","-19.9356002807617","23813","SP017771",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
