"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified","class"
"11","2013-01-20 20:24:00-02","MO","MOBOT","3158104","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B. Cavalc.","T.B. Cavalcanti","Taciana B. Cavalcanti|et al.","Cavalcanti 2332","1997",NA,NA,"South America","Brazil","Minas Gerais",NA,"Estrada Itacambira-Montes Claros. 4 km de Itacambira, subindo a chapada. Solo arenoso.43'19'60'W. 17'04'89",NA,NA,"1383.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2013-01-20 20:24:00-02","MO","MOBOT","3158220","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B. Cavalc.","T.B. Cavalcanti","Taciana B. Cavalcanti|et al.","Cavalcanti 2320","1997",NA,NA,"South America","Brazil","Minas Gerais",NA,"Grao Mogol. Ribeirao dos Bois. Estrada Grao Mogol-Sao Joao da Vacaria, na entrada da cidade de Grao-Mogol. Solo arenoso.","-42.88722","-16.56416","683.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-02 16:31:29-03","Cenargen","CEN","19180","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti","Taciana Barbosa Cavalcanti","278","1989","02","18",NA,"Brasil","MG","GRAO MOGOL","Na saída da cidade em sentido ao rio Ventania. Córrego dos Bois.","-42.9","-16.566666","1000","1000","Exsicatas","Apêndices patentes.","CEN00019180","CEN00019180",NA,NA,NA,"1990","-42.9","-16.566666","5",NA,NA
"14","2020-09-02 16:31:29-03","Cenargen","CEN","51445","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.",NA,"Renato de Mello-Silva","2558","2004","03","30",NA,"Brasil","MG","GRAO MOGOL","Ribeirão dos Boios, à saída da cidade na estrada para o rio Ventania.","-42.885833","-16.558611","780","780","Exsicatas","Vegetação arbustiva entre afloramento rochosoa mais ou menos planos. Pétalas cor-de-rosa. 12 estames.&nf;Doação da Universidade de São Paulo - Herbário SPF.","CEN00051445","CEN00051445",NA,NA,NA,"2007","-42.885833","-16.558611","1","04",NA
"15","2020-09-02 16:31:29-03","Cenargen","CEN","58186","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti","Antônio Furlan - CFCR","741","1981","04","12",NA,"Brasil","MG","GRAO MOGOL","Campo rupestre com abundância de arenito, próximo a Grão Mogol.","-42.8897018432617","-16.5594005584717",NA,NA,"Exsicatas","Subarbusto 1,2 m, crescendo entre pedras de arenito. Corola lilás. Doação do Departamento de Botânica - Universidade de São Paulo - SPF (22675).","CEN00058186","CEN00058186","67219","auto",NA,"2003",NA,NA,"1","04",NA
"16","2020-09-02 16:31:29-03","Cenargen","CEN","58185","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti","Taciana Barbosa Cavalcanti - CFCR","9596","1986","02","25",NA,"Brasil","MG","GRAO MOGOL","Margens de córrego à saída da cidade, na estrada para o Rio Ventania. Alt. entre 900 - 1000 m de altura.","-42.8897018432617","-16.5594005584717",NA,NA,"Exsicatas","ISOTYPUS. Ramos jovens avermelhados. Estames amarelos. Doação da Universidade de São Paulo - Departamento de Botânica - SPF (42845) - Flora de Campos Rupestres.","CEN00058185","CEN00058185","67219","auto","ISOTYPUS","2003",NA,NA,"1","04",NA
"17","2020-09-02 16:31:29-03","Cenargen","CEN","27073","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti","Taciana Barbosa Cavalcanti","2320","1997","04","29",NA,"Brasil","MG","GRAO MOGOL","Ribeirão dos Bois. Estrada Grão Mogol - São João da Vacaria, na entrada da cidade de Grão-Mogol.","-42.8897018432617","-16.5594005584717","683","683","Exsicatas","Tubo floral vináceo. Pétalas rosa-magenta. 12 estames.","CEN00027073","CEN00027073","67219","auto",NA,"1997","-4288722.0","-1656417.0","6","04",NA
"18","2020-09-02 16:31:29-03","Cenargen","CEN","58183","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","T. B. Cavalcanti","José Rubens Pirani- CFCR","10811","1987","05","22",NA,"Brasil","MG","GRAO MOGOL","Vale do Ribeirão dos Bois.","-42.8897018432617","-16.5594005584717","950","950","Exsicatas","Entre rochas. Râmulos vináceos. Cálice verde. Sépalas vináceas. Apêndices patentes. Pétalas rosa intenso. Filetes e estilete rosa intenso. Anteras amarelas e estigma verde. Doação Departamento de Botânica. Universidade de São Paulo. Flora dos Campos Rupestres. SPF-47673.","CEN00058183","CEN00058183","67219","auto",NA,"2003",NA,NA,"1","04",NA
"19","2019-11-13 11:24:01-03","USP","SPF","162278","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Mello-Silva, R","2558","2004","03","30",NA,"Brasil","Minas Gerais","Grão Mogol","Ribeirão dos Bois","-42.885833","-16.558611","780","780",NA,NA,"SPF00162278",NA,NA,NA,NA,"2007","-42.885833","-16.558611",NA,"04",NA
"20","2019-11-13 11:24:01-03","USP","SPF","22675","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Furlan, A","CFCR741","1981","04","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"SPF00022675",NA,NA,NA,"paratype","1993",NA,NA,NA,NA,NA
"21","2019-11-13 11:24:01-03","USP","SPF","23626","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Giulietti, AM","CFCR3423","1982","05","22",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.916667","-16.533333","1067","1067",NA,NA,"SPF00023626",NA,NA,NA,"paratype","1993","-42.916667","-16.533333",NA,NA,NA
"22","2019-11-13 11:24:01-03","USP","SPF","60767","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Pirani, JR","2270","1988","02","14",NA,"Brasil","Minas Gerais","Itacambira",NA,"-43.3","-17.066667","1220","1220",NA,NA,"SPF00060767",NA,NA,NA,NA,"1995","-43.3","-17.066667",NA,NA,NA
"23","2019-11-13 11:24:01-03","USP","SPF","60783","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Pirani, JR","2255","1988","02","14",NA,"Brasil","Minas Gerais","Itacambira","Serra de Itacambira","-43.333333","-17.066667","1200","1200",NA,NA,"SPF00060783",NA,NA,NA,NA,"1995","-43.333333","-17.066667",NA,NA,NA
"24","2019-11-13 11:24:01-03","USP","SPF","62903","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Cavalcanti, TB","278","1989","02","18",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","1000","1000",NA,NA,"SPF00062903",NA,"67219","auto","paratype","1989",NA,NA,NA,"07",NA
"25","2019-11-13 11:24:01-03","USP","SPF","22831","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Pirani, JR","CFCR904","1981","04","14",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"SPF00022831",NA,"67219","auto","paratype","1993",NA,NA,NA,NA,NA
"26","2019-11-13 11:24:01-03","USP","SPF","22707","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Cordeiro, I","CFCR776","1981","04","13",NA,"Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"SPF00022707",NA,"67219","auto","paratype","1993",NA,NA,NA,NA,NA
"27","2019-11-13 11:24:01-03","USP","SPF","47673","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Pirani, JR","CFCR10811","1987","05","22",NA,"Brasil","Minas Gerais","Grão Mogol","Ribeirão dos Bois","-42.8897018432617","-16.5594005584717","960","960",NA,NA,"SPF00047673","SPF00047673","67219","auto","paratype","1994",NA,NA,NA,NA,NA
"28","2019-11-13 11:24:01-03","USP","SPF","62796","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Mello-Silva, R","CFCR10793","1987","05","21",NA,"Brasil","Minas Gerais","Grão Mogol","Vale do Ribeirão das Mortes","-42.8897018432617","-16.5594005584717","830","830",NA,NA,"SPF00062796",NA,"67219","auto","paratype","1993",NA,NA,NA,NA,NA
"29","2019-11-13 11:24:01-03","USP","SPF","41283","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.","Cavalcanti, TB","Cordeiro, I","CFCR9122","1986","01","09",NA,"Brasil","Minas Gerais","Itacambira",NA,"-43.3088989257812","-17.0646991729736",NA,NA,NA,NA,"SPF00041283",NA,"48089","auto",NA,"1993",NA,NA,NA,NA,NA
"30","2019-11-22 16:09:04-03","UEFS","HUEFS","253356","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Lythraceae","Diplusodon","aggregatifolius","Diplusodon aggregatifolius","T.B.Cavalc.",NA,"Mello-Silva, R.","2558","2004","03","30",NA,"Brasil","Minas Gerais","Grão-Mogol","Ribeirão do Bois, à saída da cidade na estrada para i rio Ventania.","-42.885833","-16.558611","780","780",NA,"Vegetação arbustiva entre afloramentos rochosos mais ou menos planos.","HUEFS0253356","HUEFS0253356",NA,NA,NA,NA,"42W53'9''","16S33'31''",NA,NA,"Rosanae"
