"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","class","order","continentOcean","relatedCatalogItem","occurrenceRemarks","imagecode","typeStatus","fieldNumber","individualCount","phylum","coordinatePrecision","geoFlag"
"12","2020-12-21 16:35:59-03","MBM","MBM","235674","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","Nee, M.",NA,NA,NA,"Nee, M.","43184",NA,NA,NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM235674",NA,NA,"Southern America",NA,NA,"MBM235674",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:35:59-03","MBM","MBM","160355","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","Nee, M.",NA,NA,NA,"Nee, M.","42145",NA,NA,NA,"Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM160355",NA,NA,"Southern America",NA,NA,"MBM160355",NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","712345","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"David N. Smith|G. Quintana|Valentín García","Smith 12891A","1989","4","7","Bolivia","Beni","Gral. Ballivian","Km 38 carretera Yucumo a Rurrenabaque, terreno del Colegio Tecnico Agropecuario en Río Colorado. Bosque primario, no inundable con pocos sitios húmedos. Especimenes preservados en alcohol.","-67.08333","-14.83333",NA,NA,"220.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"4","1",NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","712741","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","C.C. Berg (BG)",NA,NA,NA,"David N. Smith|Edgar García|R.E. Gullison","Smith 14248","1990","8","25","Bolivia","Beni","Moxos","Bosque de Producción Permanente Chimanes, Concesión de Bolivian Mohogany, 27 km de San Borja en carretera a Trinidad, 19 km de aquella carretera en carretera de extracción.","-66.61666","-15.16666",NA,NA,"260.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"104","7",NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","712714","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","C.C. Berg (BG)",NA,NA,NA,"David N. Smith|Edgar García|R.E. Gullison","Smith 14232","1990","8","25","Bolivia","Beni","Moxos","Bosque de Producción Permanente Chimanes, Concesión de Bolivian Mohogany, 27 km de San Borja en carretera a Trinidad, 19 km de aquella carretera en carretera de extracción.","-66.61666","-15.16666",NA,NA,"260.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"104","6",NA,NA,NA
"17","2012-02-09 15:23:00-02","MO","MOBOT","100449093","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"M.A.P. Wied-Neuwied","Wied-Neuwied s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"Holotype",NA,"1",NA,NA,NA
"18","2015-09-16 14:38:00-03","MO","MOBOT","100862525","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","M. Nee",NA,NA,NA,"Michael H. Nee","Nee 57280","2010","11","30","Bolivia","Santa Cruz","Chiquitos","1 km W of center of Pailón, 5 km E of bridge over Río Grande.","-62.73","-17.6627778",NA,NA,"285.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,"1",NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","1453353","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","C.c. Berg",NA,NA,NA,"Alwyn H. Gentry|et al.","Gentry 27131","1979","10","21","Peru","Madre de Dios",NA,"Parque Nacional de Manu, trail from Cocha Cashu Camp to non-alluvial area behind camp.",NA,NA,NA,NA,"380.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"1844","2",NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","1526097","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","M. Nee",NA,NA,NA,"Michael H. Nee","Nee 43184",NA,NA,NA,"Bolivia","Santa Cruz",NA,"The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the Río Grande to the east","-63.2","-17.74166",NA,NA,"310.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2009-09-01 18:51:00-03","MO","MOBOT","1526842","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","M. Nee",NA,NA,NA,"Michael H. Nee|Israel G. Vargas C.","Nee 45025","1994","2","15","Bolivia","Santa Cruz","Ichilo","2 km. (by air) WSW of El Hondo, ''Potrero.'' Disturbed semi-evergreen forest along trail between buildings and río Güendá.","-63.45","-17.67222",NA,NA,"400.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","1527232","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","M. Nee",NA,NA,NA,"Michael H. Nee","Nee 39985",NA,NA,NA,"Bolivia","Santa Cruz",NA,"The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the Río Grande to the east","-63.2","-17.74166",NA,NA,"300.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-12-17 03:32:00-02","MO","MOBOT","1528515","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","M. Nee",NA,NA,NA,"Michael H. Nee","Nee 46733",NA,NA,NA,"Bolivia","Santa Cruz",NA,"The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the Río Grande to the east","-63.2","-17.74166",NA,NA,"250.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2013-05-24 05:54:00-03","MO","MOBOT","1529918","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","C. C. Berg",NA,NA,NA,"Michael H. Nee|G. Coimbra S.","Nee 40155","1990","12","2","Bolivia","Santa Cruz","Nuflo de Chavez","Along road from Colonia Okinawa 1 to San Ramon, 2 km. SW of Los Troncos. Low scrub forest and adjacent pasture, flat, seasonally inundated, on alluvial plain of E side of Rio Grande. Crataeva tapia, Rauvolfia, Neea.","-62.66666","-17.08333",NA,NA,"250.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2011-05-01 07:54:00-03","MO","MOBOT","1537145","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","M. Nee",NA,NA,NA,"Michael H. Nee|Israel G. Vargas C.|Bonifacio Mostacedo C.","Nee 44649","1994","1","23","Bolivia","Santa Cruz","Andrés Ibáñez","4 km. S of Rio Grande Planta de Gas. Chaco shrub, with Ruprechtia triflora, Capparis retusa, C. speciosa, Diplokeleba floribunda, Sideroxylon obtusifolium.","-62.9","-18.22361",NA,NA,"340.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-07-12 19:12:00-03","MO","MOBOT","2697555","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","A. Fuentes (LPB)",NA,NA,NA,"Alejandro Araujo M.|et al.","Araujo Murakami 1921","2005","6","10","Bolivia","La Paz","Franz Tamayo","Madidi, Azariamas, Resina. Bosque andino semideciduo con Anadenanthera colubrina, Swietenia macrophylla, Gallesia integrifolia, Oxandra espintana, Phyllostylon rhamnoides, Celtis loxensis, Ceiba sp.","-68.5597222","-14.3297223",NA,NA,"700.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"05-05","3",NA,NA,NA
"27","2020-07-22 16:33:00-03","MO","MOBOT","2836459","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","A. Fuentes (LPB)",NA,NA,NA,"Vania Torrez|Manuel J. Macía|D. Choque A.|Pilar Garagorri|Pepe Sevillanos|J. Mamani","Torrez Flores 261","2005","10","13","Bolivia","La Paz","Franz Tamayo","Parque Nacional Madidi, Azariamas, Rio San Juan. Bosque semideciduo de Yungas subandino xerico con Oxandra espintana y Erythrochiton fallax; fondo de valle. Parcela temporal de muestreo (0,1 ha). Plantas NO alcoholizadas.","-68.6352777","-14.2227778",NA,NA,"774.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"05-09","4",NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","3091396","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","C.C. Berg",NA,NA,NA,"Robin B. Foster","Foster 5616","1980","10","21","Peru","Madre de Dios",NA,"Rio Manu: Cocha Cashu Station.","-71.36666","-11.9",NA,NA,"350.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","3094709","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","M. Nee",NA,NA,NA,"Michael H. Nee","Nee 42145","1991","12","17","Bolivia","Santa Cruz","Andrés Ibáñez","Puerto Pailas, weedy areas on north side of railroad bridge and edge of floodplain of the Río Grande. Dry vegetation, mostly of Chaco species.","-62.78333","-17.66666",NA,NA,"280.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2008-05-27 22:02:00-03","MO","MOBOT","715187","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","R. Foster",NA,NA,NA,"Robin B. Foster","Foster 9675","1984","7","24","Peru","Madre de Dios","Manu","Parque Nacional del Manu. Rio Manu, Cocha Cashu Station. Floodplain forest.","-71.41666","-11.83333",NA,NA,"350.00000000",NA,NA,NA,NA,"South America",NA,NA,NA,NA,"84-35","3",NA,NA,NA
"31","2008-12-17 03:32:00-02","MO","MOBOT","943010","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","C.C. Berg (BG)",NA,NA,NA,"Antony Jardim|Guzmán|Maria Dolores Carreño|Krusch","Jardim 359","1994","2","13","Bolivia","Santa Cruz","Andrés Ibáñez","Cerca San Lorenzo al borde del camino. Islas de vegetación entre el camino y praderas de cultivos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-04 11:29:54-03","UEMA","SLUI","5332","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"A. Q. Lobão et al.","381","1998","11","12","Brasil","Rio de Janeiro","Armação de Búzios","Praia da Tartaruga","-41.8816986083984","-22.7469005584717",NA,NA,NA,NA,"SLUI005332",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiospermae","12927","auto"
"33","2021-01-04 11:29:54-03","UEMA","SLUI","5356","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"A. Lobão; D. Fernandes; J. Caruso","395","1998","12","17","Brasil","Rio de Janeiro","Armação de Búzios","Praia Gorda","-41.8816986083984","-22.7469005584717",NA,NA,NA,NA,"SLUI005356",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiospermae","12927","auto"
"34","2015-03-07 09:11:26-03","F","FMNH-SEEDPLANTS","V0225564F","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peru",NA,NA,NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0225564F","Dicotyledoneae",NA,"South America",NA,NA,"V0225564F_01",NA,NA,NA,"Spermatophyta",NA,NA
"35","2015-03-07 09:11:26-03","F","FMNH-SEEDPLANTS","V0225565F","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peru",NA,NA,NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0225565F","Dicotyledoneae",NA,"South America",NA,NA,"V0225565F_01",NA,NA,NA,"Spermatophyta",NA,NA
"36","2019-06-11 13:26:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis",NA,"RRC ID Flag",NA,NA,NA,"R. B. Foster","11354","1986","9","11","Peru","Madre de Dios",NA,NA,"-70.25","-12",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"South America",NA,NA,NA,NA,"11354",NA,"Spermatophyta",NA,NA
"37","2019-06-11 13:26:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis",NA,"RRC ID Flag",NA,NA,NA,"R. B. Foster","9675","1984","7","24","Peru","Madre de Dios",NA,NA,"-70.25","-12",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"South America",NA,NA,NA,NA,"9675",NA,"Spermatophyta",NA,NA
"38","2019-06-11 13:34:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis",NA,"RRC ID Flag",NA,NA,NA,"A. H. Gentry","27131","1979","10","21","Peru","Madre de Dios",NA,NA,"-70.25","-12",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"South America",NA,NA,NA,NA,"27131",NA,"Spermatophyta",NA,NA
"39","2015-03-07 09:11:26-03","F","FMNH-SEEDPLANTS","V0225563F","PreservedSpecimen","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Venezuela",NA,NA,NA,"-65.9119","7.0758",NA,NA,NA,NA,"V0225563F","Dicotyledoneae",NA,"South America",NA,NA,"V0225563F_01",NA,NA,NA,"Spermatophyta",NA,NA
"40","2019-05-06 12:00:48-03","UFU","HUFU","37408","S","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.","Nakajima, J.N.","2004","09","15","Barbosa, J.M.","120","2004","08","04","Brasil","Minas Gerais","Uberlândia","Sobradinho, Quintal.","-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,"HUFU00069582",NA,NA,NA,NA,"Árvore 4 m.","HUFU00069582",NA,NA,NA,NA,"58223","auto"
"41","2017-09-11 17:11:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Moraceae","Maclura","brasiliensis","Maclura brasiliensis","(Mart.) Endl.",NA,NA,NA,NA,"Wied-Neuwied, MAP Prince","s.n.",NA,NA,NA,"Brazil",NA,NA,"Crescit in silvis Brasiliae orientalis, e. g. ad Campos, locis paludosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"P04P1N0054",NA,NA,NA,NA,NA,NA
