especie_original,cat_ameaca_cncflora_1,cat_ameaca_cncflora_0
Alcantarea nevaresii,VU,EN
Alcantarea roberto-kautskyi,NT,NA
Alcantarea tortuosa,VU,NA
Alcantarea vinicolor,EN,NA
Aldina heterophylla,VU,NA
Aldina microphylla,DD,NA
Aldina occidentalis,DD,NA
Aldina polyphylla,DD,NA
Algernonia brasiliensis,VU,NA
Algernonia dimitrii,EN,CR
Algernonia gibbosa,DD,NA
Algernonia glazioui,DD,NA
Algernonia kuhlmannii,CR,CR
Algernonia leandrii,LC,NA
Algernonia obovata,NT,NA
Algernonia paulae,DD,NA
Algernonia riedelii,NT,NA
Allagoptera arenaria,LC,NA
Allagoptera brevicalyx,VU,NA
Allantoma integrifolia,DD,NA
Allantoma kuhlmannii,DD,NA
Allantoma pachyantha,LC,NA
Allantoma pauciramosa,DD,NA
Allantoma uaupensis,DD,NA
Allophylus exappendiculatus,DD,NA
Allophylus heterophyllus,VU,NA
Allophylus melanophloeus,DD,NA
Allophylus membranifolius,DD,NA
Allophylus puberulus,LC,NA
Allophylus semidentatus,LC,NA
Almeidea coerulea,EN,NA
Alophia coerulea,NT,NA
Aloysia hatschbachii,EN,NA
Aloysia polygalifolia,LC,NA
Alseis involuta,VU,NA
Alseis latifolia,LC,NA
Alseis pickelii,LC,NA
Alseis sertaneja,EN,NA
Alsophila capensis,LC,NA
Alsophila capensis subsp. polypodioides,LC,NA
Alstroemeria amabilis,EN,NA
Alstroemeria apertiflora,LC,NA
Alstroemeria brasiliensis,EN,NA
Alstroemeria capixaba,CR,NA
Alstroemeria caryophyllaea,EN,NA
Alstroemeria chapadensis,EN,NA
Alstroemeria inodora,LC,NA
Alstroemeria isabellana,LC,NA
Alstroemeria malmeana,CR,NA
Alstroemeria orchidioides,EN,NA
Alstroemeria penduliflora,EN,NA
Alstroemeria variegata,DD,NA
Alternanthera decurrens,EN,NA
Alternanthera hirtula,VU,NA
Alternanthera januarensis,EN,NA
Alternanthera malmeana,DD,NA
Alternanthera micrantha,LC,NA
Alternanthera paronychioides,LC,NA
Alternanthera praelonga,LC,NA
Alternanthera puberula,LC,NA
Alternanthera reineckii,LC,NA
Alternanthera sessilis,LC,NA
Alternanthera tenella,LC,NA
Altoparadisium chapadense,CR,NA
Amaioua contracta,DD,NA
Amaioua monteiroi,DD,NA
Amanoa gracillima,LC,NA
Amaranthus rosengurtii,EN,NA
Ambelania duckei,LC,NA
Amburana acreana,EN,VU
Amburana cearensis,NT,NA
Amburana erythrosperma,DD,NA
Amorimia velutina,DD,NA
Ampelocera glabra,LC,NA
Anacardium humile,LC,NA
Anacardium microsepalum,LC,NA
Anagallis alternifolia,EN,NA
Anagallis barbata,EN,NA
Ananas fritzmuelleri,LC,NA
Anathallis adenochila,LC,NA
Anathallis bleyensis,DD,NA
Anathallis colnagoi,CR,NA
Anathallis crebrifolia,DD,NA
Anathallis flammea,DD,NA
Anathallis gehrtii,VU,NA
Anathallis githaginea,DD,NA
Anathallis kautskyi,DD,NA
Anathallis lichenophila,DD,NA
Anathallis montipelladensis,LC,NA
Anathallis pabstii,EN,NA
Anathallis pubipetala,EN,NA
Anathallis radialis,NT,NA
Anathallis rubrolimbata,DD,NA
Anathallis spannageliana,VU,NA
Anathallis tigridens,VU,NA
Anaxagorea dolichocarpa,LC,NA
Anaxagorea silvatica,NT,NA
Andira carvalhoi,LC,NA
Andira cujabensis,LC,NA
Andira humilis,LC,NA
Andira marauensis,EN,NA
Andira parviflora,LC,NA
Andira praecox,DD,NA
Andira unifoliolata,LC,NA
Andira vermifuga,LC,NA
Andradaea floribunda,LC,NA
Andreadoxa flava,CR,CR
Androcalymma glabrifolium,DD,NA
Andropogon campestris,DD,NA
Andropogon carinatus,LC,NA
Andropogon glaucophyllus,EN,NA
Andropogon hypogynus,LC,NA
Anemia blechnoides,VU,NA
Anemia candidoi,DD,NA
Anemia elegans,LC,NA
Anemia espiritosantensis,DD,NA
Anemia gardneri,VU,NA
Anemia mirabilis,VU,NA
Anemia organensis,NT,NA
Anemia trichorhiza,VU,NA
Anemia warmingii,NT,NA
Anemone assisbrasiliana,DD,NA
Anemone decapetala,LC,NA
Anemone sellowii,LC,NA
Anemopaegma arvense,EN,NA
Anemopaegma mirabile,CR,NA
Anemopaegma patelliforme,DD,NA
Anetanthus gracilis,DD,NA
Anetium citrifolium,LC,NA
Aneura pinguis,LC,NA
Angelonia alternifolia,CR,NA
Angelonia crassifolia,NT,NA
Angelonia eriostachys,NT,NA
Angelonia integerrima,LC,NA
Angelonia pratensis,EN,NA
Angostura quinquefolia,VU,NA
Aniba ferrea,EN,VU
Aniba firmula,LC,NA
Aniba heringeri,LC,NA
Aniba intermedia,NT,NA
Aniba pedicellata,DD,DD
Aniba rosaeodora,EN,NA
Aniba santalodora,EN,VU
Aniseia martinicensis var. ambigua,DD,NA
Anneliesia candida,NT,NA
Anneliesia cuneata,NT,NA
Anneliesia kayasimae,CR,NA
Anneliesia russelliana,NT,NA
Annona acutiflora,LC,NA
Annona annonoides,DD,NA
Annona bahiensis,NT,NA
Annona burchellii,DD,NA
Annona cacans,LC,NA
Annona calcarata,DD,NA
Annona coriacea,LC,NA
Annona dioica,LC,NA
Annona dolabripetala,LC,NA
Annona emarginata,LC,NA
Annona ferruginea,CR,DD
Annona gardneri,EN,NA
Annona glabra,LC,NA
Annona glaucophylla,NT,NA
Annona leptopetala,LC,NA
Annona malmeana,DD,NA
Annona maritima,VU,NA
Annona monticola,LC,NA
Annona neosericea,LC,NA
Annona parviflora,VU,EN
Annona pickelii,NT,VU
Annona salzmannii,LC,NA
Annona sericea,LC,NA
Annona spinescens,NT,NA
Annona sylvatica,LC,NA
Annona ubatubensis,EN,NA
Annona xylopiifolia,NT,NA
Anomalocalyx uleanus,LC,NA
Anomochloa marantoidea,EN,NA
Anomospermum reticulatum subsp. nitidum,DD,NA
Anteremanthus hatschbachii,EN,EN
Anteremanthus piranii,EN,NA
Anthaenantiopsis fiebrigii,CR,NA
Anthoceros lamellatus,DD,NA
Anthurium aduncum,DD,NA
Anthurium augustinum,EN,NA
Anthurium binotii,EN,NA
Anthurium bragae,EN,NA
Anthurium bromelicola,NT,NA
Anthurium coriaceum,LC,NA
Anthurium cronembergerae,EN,NA
Anthurium fontellanus,DD,NA
Anthurium harrisii,NT,NA
Anthurium ianthinopodum,NT,NA
Anthurium jilekii,LC,NA
Anthurium jureianum,VU,NA
Anthurium kunthii,LC,NA
Anthurium langsdorffii,EN,NA
Anthurium laucheanum,EN,NA
Anthurium lhotzkyanum,VU,NA
Anthurium longifolium,LC,NA
Anthurium lucidum,CR,EN
Anthurium luschnathianum,EN,EN
Anthurium megapetiolatum,EN,NA
Anthurium nitidulum,DD,NA
Anthurium organense,NT,NA
Anthurium parasiticum,LC,NA
Anthurium parvum,NT,NA
Anthurium radicans,VU,NA
Anthurium sakuraguianum,CR,NA
Anthurium simonii,EN,NA
Anthurium validinervium,DD,NA
Anthurium xanthophylloides,VU,NA
Aosa parviflora,LC,NA
Aosa uleana,CR,CR
Aphelandra bradeana,DD,NA
Aphelandra espirito-santensis,EN,NA
Aphelandra gigantea,LC,NA
Aphelandra hirta,LC,NA
Aphelandra longiflora,LC,NA
Aphelandra margaritae,VU,NA
Aphelandra maximiliana,EN,NA
Aphelandra nitida,LC,NA
Aphelandra prismatica,LC,NA
Aphelandra rigida,EN,NA
Aphelandra schottiana,LC,NA
Aphelandra squarrosa,LC,NA
Aphelandra stephanophysa,VU,NA
Apinagia riedelii,LC,NA
Apium prostratum,LC,NA
Apochloa tijucae,DD,NA
Apoclada simplex,EN,NA
Apodanthera villosa,VU,NA
Apodanthes minarum,EN,NA
Appunia triphylla,LC,NA
Apteria aphylla,LC,NA
Apterokarpos gardneri,LC,NA
Apuleia leiocarpa,VU,NA
Arachis villosa,EN,NA
Araeococcus montanus,EN,NA
Araeococcus parviflorus,LC,NA
Aralia bahiana,EN,NA
Aralia warmingiana,LC,NA
Arapatiella emarginata,EN,NA
Arapatiella psilophylla,LC,NA
Araucaria angustifolia,EN,NA
Aripuana cullmaniorum,EN,NA
Aristida brasiliensis,EN,NA
Aristida constricta,CR,NA
Aristida laevis,LC,NA
Aristida oligospira,LC,NA
Aristida sanctae-luciae,DD,NA
Aristolochia curviflora,DD,NA
Aristolochia cymbifera,LC,NA
Aristolochia hypoglauca,EN,NA
Aristolochia labiata,LC,NA
Aristolochia odora,VU,NA
Aristolochia odoratissima,LC,NA
Aristolochia raja,EN,NA
Aristolochia wendeliana,LC,NA
Arrojadoa bahiensis,EN,NA
Arrojadoa dinae,NT,NA
Arrojadoa eriocaulis,EN,NA
Arthrocereus glaziovii,EN,NA
Arthrocereus melanurus subsp. magnus,EN,NA
Arthrocereus melanurus subsp. melanurus,EN,NA
Arthrocereus melanurus subsp. odorus,EN,NA
Arthrocereus rondonianus,EN,NA
Arthropogon villosus,LC,NA
Arthropogon xerachne,CR,NA
Arundinella deppeana,VU,NA
Asclepias aequicornu,LC,NA
Asclepias langsdorffii,LC,NA
Asclepias mellodora,LC,NA
Asemeia marquesiana,EN,NA
Asemeia pohliana,CR,NA
Aspasia lunata,LC,NA
Aspicarpa harleyi,NT,NA
Aspidogyne commelinoides,LC,NA
Aspidogyne kuczynskii,LC,NA
Aspidosperma album,DD,NA
Aspidosperma australe,LC,NA
Aspidosperma carapanauba,LC,NA
Aspidosperma compactinervium,DD,NA
Aspidosperma cylindrocarpon,LC,NA
Aspidosperma desmanthum,LC,NA
Aspidosperma illustre,NT,NA
Aspidosperma ingratum,DD,NA
Aspidosperma inundatum,DD,NA
Aspidosperma macrocarpon,LC,NA
Aspidosperma nobile,LC,NA
Aspidosperma polyneuron,NT,NA
Aspidosperma quebracho-blanco,DD,NA
Aspidosperma ramiflorum,LC,NA
Aspidosperma riedelii,LC,NA
Aspidosperma salgadense,EN,NA
Aspidosperma sandwithianum,DD,NA
Aspidosperma spruceanum,LC,NA
Aspidosperma thomasii,EN,NA
Aspidosperma tomentosum,LC,NA
Aspilia almasensis,VU,NA
Aspilia attenuata,LC,NA
Aspilia belo-horizontinae,CR,NA
Aspilia caudata,EN,NA
Aspilia clausseniana,LC,NA
Aspilia cordifolia,EN,NA
Aspilia cylindrocephala,VU,NA
Aspilia diamantinae,EN,NA
Aspilia diffusiflora,VU,NA
Aspilia diniz-cruzeanae,CR,NA
Aspilia discolor,DD,NA
Aspilia duarteana,NT,NA
Aspilia eglerii,CR,NA
Aspilia espinhacensis,EN,NA
Aspilia floribunda,LC,NA
Aspilia goiazensis,VU,NA
Aspilia grazielae,EN,NA
Aspilia hatschbachii,DD,NA
Aspilia jugata,CR,NA
Aspilia ovatifolia,CR,NA
Aspilia paraensis,LC,NA
Aspilia pereirae,EN,NA
Aspilia podophylla,DD,NA
Aspilia pohlii,DD,NA
Aspilia procumbens,LC,NA
Aspilia prostrata,EN,NA
Aspilia pseudoyedaea,EN,NA
Aspilia reticulata,VU,NA
Aspilia silphioides,EN,NA
Asplenium austrobrasiliense,NT,NA
Asplenium beckeri,CR,NA
Asplenium bradeanum,EN,NA
Asplenium campos-portoi,NT,NA
Asplenium cariocanum,EN,NA
Asplenium castaneum,EN,NA
Asplenium lacinulatum,LC,NA
Asplenium muellerianum,LC,NA
Asplenium praemorsum,LC,NA
Asplenium schwackei,CR,NA
Asplenium trindadense,CR,NA
Asplenium ulbrichtii,LC,NA
Asplenium wacketii,LC,NA
Asplundia polymera,LC,NA
Asplundia polymera subsp. reitzii,VU,NA
Asteranthos brasiliensis,LC,NA
Asterella venosa,LC,NA
Asterostigma concinnum,DD,NA
Asterostigma cubense,DD,NA
Asterostigma lividum,LC,NA
Asterostigma lombardii,LC,NA
Astraea cincta,EN,NA
Astraea lobata,LC,NA
Astrocaryum aculeatissimum,LC,NA
Astrocaryum minus,DD,NA
Astronium balansae,EN,NA
Astronium fraxinifolium,LC,NA
Astronium glaziovii,EN,NA
Astronium graveolens,LC,NA
Astronium nelson-rosae,LC,NA
Athyrium filix-femina,DD,NA
Atractylocarpus brasiliensis,EN,NA
Atractylocarpus longisetus,EN,NA
Attalea barreirensis,VU,NA
Attalea brasiliensis,EN,NA
Attalea funifera,NT,NA
Attalea oleifera,LC,NA
Attalea phalerata,LC,NA
Attalea pindobassu,LC,NA
Attalea tessmannii,LC,NA
Aulonemia aristulata,LC,NA
Aulonemia effusa,LC,NA
Aulonemia ulei,EN,NA
Aureliana cuspidata,LC,NA
Aureliana fasciculata,LC,NA
Aureliana sellowiana,EN,NA
Aureliana tomentosa,LC,NA
Aureliana velutina,LC,NA
Aureliana wettsteiniana,LC,NA
Austrocritonia angulicaulis,LC,NA
Austrocritonia rosea,EN,NA
Austrocritonia taunayana,EN,NA
Austroeupatorium petrophilum,DD,NA
Austroeupatorium rosmarinaceum,VU,NA
Axonopus aureus,LC,NA
Axonopus carajasensis,EN,NA
Axonopus chrysoblepharis,LC,NA
Axonopus comans,LC,NA
Axonopus complanatus,LC,NA
Axonopus fastigiatus,VU,NA
Axonopus grandifolius,VU,NA
Axonopus monticola,EN,NA
Axonopus pressus,LC,NA
Axonopus ramboi,EN,NA
Axonopus uninodis,CR,NA
Azara uruguayensis,NT,NA
Baccharis alpestris,DD,NA
Baccharis arassatubaensis,EN,NA
Baccharis bifrons,EN,NA
Baccharis brevifolia,LC,NA
Baccharis ciliata,CR,NA
Baccharis concinna,VU,NA
Baccharis elliptica,EN,NA
Baccharis friburgensis,EN,NA
Baccharis grandimucronata,LC,NA
Baccharis hypericifolia,EN,NA
Baccharis lychnophora,VU,NA
Baccharis megapotamica,LC,NA
Baccharis paranensis,NT,NA
Baccharis penningtonii,VU,NA
Baccharis polyphylla,VU,NA
Baccharis pseudo-alpestris,VU,NA
Baccharis pseudovaccinioides,CR,NA
Baccharis sagittalis,LC,NA
Baccharis sphenophylla,NT,NA
Baccharis truncata,LC,NA
Baccharis xiphophylla,LC,NA
Bacopa cochlearia,EN,NA
Bacopa congesta,LC,NA
Bactris constanciae,LC,NA
Bactris ferruginea,NT,NA
Bactris hatschbachii,LC,NA
Bactris pickelii,LC,NA
Bactris timbuiensis,EN,NA
Balfourodendron riedelianum,NT,NA
Banara brasiliensis,LC,NA
Banara parviflora,LC,NA
Banara serrata,LC,NA
Banisteriopsis andersonii,VU,NA
Banisteriopsis arborea,EN,VU
Banisteriopsis basifixa,VU,NA
Banisteriopsis byssacea,VU,NA
Banisteriopsis cipoensis,EN,NA
Banisteriopsis goiana,VU,NA
Banisteriopsis hatschbachii,EN,NA
Banisteriopsis hirsuta,EN,NA
Banisteriopsis latifolia,LC,NA
Banisteriopsis magdalenensis,CR,EN
Banisteriopsis parviflora,NT,NA
Banisteriopsis pseudojanusia,CR,NA
Banisteriopsis salicifolia,DD,NA
Banisteriopsis sellowiana,VU,NA
Baptistonia cornigera,LC,NA
Baptistonia cruciata,LC,NA
Baptistonia kautskyi,EN,NA
Baptistonia lietzei,LC,NA
Baptistonia pubes,LC,NA
Baptistonia sarcodes,NT,NA
Baptistonia truncata,CR,NA
Baptistonia venusta,LC,NA
Barbacenia andersonii,EN,NA
Barbacenia blackii,VU,NA
Barbacenia brevifolia,EN,NA
Barbacenia contasana,EN,NA
Barbacenia cylindrica,CR,NA
Barbacenia delicatula,EN,NA
Barbacenia ensifolia,DD,NA
Barbacenia exscapa,CR,NA
Barbacenia fanniae,VU,NA
Barbacenia foliosa,DD,NA
Barbacenia fulva,EN,NA
Barbacenia gaveensis,CR,NA
Barbacenia glabra,EN,NA
Barbacenia glutinosa,CR,NA
Barbacenia gounelleana,EN,NA
Barbacenia hatschbachii,EN,NA
Barbacenia hirtiflora,DD,NA
Barbacenia longiscapa,CR,NA
Barbacenia lymansmithii,CR,NA
Barbacenia minima,DD,NA
Barbacenia paranaensis,EN,NA
Barbacenia pungens,CR,NA
Barbacenia reflexa,CR,NA
Barbacenia regis,EN,NA
Barbacenia riparia,CR,NA
Barbacenia rodriguesii,EN,NA
Barbacenia seubertiana,EN,NA
Barbacenia spectabilis,EN,NA
Barbacenia spiralis,EN,NA
Barbacenia squamata,DD,NA
Barbacenia umbrosa,EN,NA
Barbacenia williamsii,EN,NA
Barbosella dusenii,NT,NA
Barbosella macaheensis,VU,NA
Barbosella spiritusanctensis,DD,NA
Barbosella trilobata,EN,NA
Barjonia erecta,LC,NA
Barjonia grazielae,EN,NA
Barjonia harleyi,EN,NA
Barnebya dispar,NT,NT
Barnebya harleyi,LC,NA
Barrosoa apiculata,LC,NA
Barrosoa viridiflora,DD,NA
Bathysa australis,LC,NA
Bathysa cuspidata,LC,NA
Bathysa gymnocarpa,LC,NA
Bathysa sylvestrae,EN,NA
Bauhinia acreana,LC,NA
Bauhinia albicans,EN,NA
Bauhinia aureopunctata,NT,NA
Bauhinia bicolor,DD,NA
Bauhinia candelabriformis,CR,NA
Bauhinia cheilantha,LC,NA
Bauhinia cupulata,LC,NA
Bauhinia glaziovii,CR,NA
Bauhinia grandifolia,LC,NA
Bauhinia integerrima,EN,NA
Bauhinia leptantha,VU,NA
Bauhinia longifolia,LC,NA
Bauhinia longipedicellata,LC,NA
Bauhinia malacotrichoides,VU,NA
Bauhinia marginata,DD,NA
Bauhinia piresii,DD,NA
Bauhinia uberlandiana,CR,NA
Begonia acetosa,DD,NA
Begonia acida,DD,NA
Begonia aconitifolia,DD,NA
Begonia albidula,EN,NA
Begonia altamiroi,EN,NA
Begonia angularis,LC,NA
Begonia antonietae,DD,NA
Begonia apparicioi,EN,NA
Begonia arborescens,LC,NA
Begonia bahiensis,EN,NA
Begonia besleriifolia,EN,NA
Begonia bonitoensis,CR,NA
Begonia brevilobata,DD,NA
Begonia cariocana,DD,NA
Begonia cerasiphylla,DD,NA
Begonia coccinea,EN,NA
Begonia collaris,EN,NA
Begonia concinna,EN,NA
Begonia cordata,DD,NA
Begonia crispula,CR,NA
Begonia curtii,VU,NA
Begonia declinata,DD,NA
Begonia densifolia,EN,NA
Begonia dentatiloba,EN,EN
Begonia depauperata,EN,NA
Begonia descoleana,LC,NA
Begonia edmundoi,EN,NA
Begonia epipsila,EN,NA
Begonia erecta,DD,NA
Begonia espiritosantensis,EN,NA
Begonia fabulosa,DD,NA
Begonia fagifolia,DD,NA
Begonia fluminensis,DD,NA
Begonia forgetiana,DD,NA
Begonia friburgensis,EN,NA
Begonia fruticosa,LC,NA
Begonia handroi,EN,NA
Begonia herbacea,LC,NA
Begonia hirtella,LC,NA
Begonia hispida,LC,NA
Begonia huegelii,LC,NA
Begonia ibitiocensis,EN,NA
Begonia inconspicua,CR,NA
Begonia integerrima,LC,NA
Begonia itaguassuensis,EN,NA
Begonia itatinensis,EN,NA
Begonia jocelinoi,CR,NA
Begonia jureiensis,CR,NA
Begonia kuhlmannii,EN,NA
Begonia lanstyakii,CR,NA
Begonia larorum,CR,NA
Begonia lubbersii,DD,NA
Begonia lunaris,EN,NA
Begonia magdalenensis,DD,NA
Begonia obscura,DD,NA
Begonia olsoniae,VU,NA
Begonia organensis,EN,NA
Begonia paranaensis,EN,NA
Begonia parvifolia,DD,NA
Begonia paulensis,EN,NA
Begonia perdusenii,EN,NA
Begonia piresiana,CR,NA
Begonia pluvialis,EN,NA
Begonia polygonifolia,EN,NA
Begonia princeps,DD,NA
Begonia pseudolubbersii,DD,NA
Begonia radicans,LC,NA
Begonia ramentacea,VU,NA
Begonia rotunda,DD,NA
Begonia rubropilosa,CR,NA
Begonia rufa,LC,NA
Begonia ruschii,CR,NA
