"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","minimumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber","sex"
"11","2014-04-04 05:41:00-03","MO","MOBOT","105576","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Abarema","acreana","Abarema acreana","(J.F. Macbr.) L. Rico","Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 14067","1990","6","4","South America","Peru","Loreto","Maynas","Dtto. Iquitos, Allpahuayo, Estación Experiø mental del Instituto de Investigaciones de la Amazonía Peruana (IIAP). Bosque primario, sotobosque con relativa abundancia de Lepidocaryum tessmannii irapay. Suelo arcillo-arenoso. Evaluación por transectos, 1000 m2, individuos iguales o mayores que 2.5 cm de diámetro.","-73.24722","-3.74805",NA,NA,NA,NA,"L. Rico (K)",NA,NA,NA,NA,NA,"195","5",NA,NA,NA,NA,NA,NA
"12","2012-01-29 05:06:00-02","MO","MOBOT","2950537","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Abarema","acreana","Abarema acreana","(J.F. Macbr.) L. Rico","Isaac Goldstein","Goldstein 111","1991","11","27","South America","Venezuela","Bolívar",NA,"Cuadrícula de investigación, campamento Dedemai, Río Tabaro.","-64.98333","6.35",NA,NA,NA,NA,"L. Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2012-01-29 05:06:00-02","MO","MOBOT","2950602","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Abarema","acreana","Abarema acreana","(J.F. Macbr.) L. Rico","Isaac Goldstein","Goldstein 271","1992","5","22","South America","Venezuela","Bolívar",NA,"Cuadrícula de investigación, campamento Dedemai, Río Tabaro.","-64.98333","6.35",NA,NA,NA,NA,"L. Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","99423","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Abarema","acreana","Abarema acreana","(J.F. Macbr.) L. Rico","Alwyn H. Gentry|Phillip Keating|Miryam Monsalve B.|M.D. Heredia","Gentry 59581","1987","12","18","South America","Colombia","Valle del Cauca","Buenaventura","Bajo Calima, Carretera Hans, Km 22 N of Buenaventura on road to San Isidro. Wet forest/pluvial forest transition.","-76.98333","3.93333",NA,NA,NA,NA,"L. Rico (K)",NA,NA,NA,NA,NA,"87-287","3","50.00000000",NA,NA,NA,NA,NA
"15","2014-06-10 05:49:00-03","MO","MOBOT","2892055","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Hydrochorea","acreana","Hydrochorea acreana","(J.F. Macbr.) Barneby & J.W. Grimes","M.S. Silveira","Silveira 824","1994","9","17","South America","Brazil","Acre",NA,"Tarauacá: Bacia do Rio Juruá, Rio Tarauacá, margem direira. Floresta de baixio, próxima ao rio, Subosque alterado.","-71.22777","-8.38305",NA,NA,NA,NA,"R. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-01-31 16:32:00-02","MO","MOBOT","2892227","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Hydrochorea","acreana","Hydrochorea acreana","(J.F. Macbr.) Barneby & J.W. Grimes","Douglas C. Daly|M. Silveira|R.S. Saraiva|F.C. Walthier|J. Gebhards","Daly 7797","1993","4","6","South America","Brazil","Acre",NA,"Mun. Marechal Taumaturgo. Reserva Extrativista do Alto Juruá, Rio Juruá, right bank. Caipora, above mouth of Igarapé Caipora, opposite Fazenda Natal. Moist upland forest on hilly terrain.","-72.66666","-9.3",NA,NA,NA,NA,"R. Barneby & J. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","2752719","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Hydrochorea","acreana","Hydrochorea acreana","(J.F. Macbr.) Barneby & J.W. Grimes","Boris A. Krukoff","Krukoff 5631","1933","8","24","South America","Brazil","Amazonas",NA,"Basin of Rio Purus. Territory of Acre. Near mouth of Rio Macauhan (tributary of Rio Yaco). On terra firma.","-69","-9.33333",NA,NA,NA,NA,"R. Barneby & J. Grimes","Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-08-31 09:14:24-03","INPA","INPA","211442","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Abarema","acreana","Abarema acreana","(J.F.Macbr.) L.Rico","Silveira, M","824","1994","09","17","Southern America","Brasil","Acre","Tarauacá","Rio Tarauacá, Bacia do Rio Juruá. Rio Tarauacá, margem direita. Floresta de Baixio, próxima ao rio; sub-bosque alterado.","-71.235278","-8.394167",NA,NA,"INPA0211442","INPA0211442 INPA0211442_e INPA0211442_e1","Soares, MVB",NA,NA,"-71.235278","-8.394167",NA,NA,NA,NA,"2016","02","16",NA,NA
"19","2020-08-31 09:14:24-03","INPA","INPA","230975","S","Plantae","Dicotyledon Rosids","Fabales","Leguminosae-Mim","Abarema","acreana","Abarema acreana","(J.F.Macbr.) L.Rico","Daly, DC","7797","1993","04","06","Southern America","Brasil","Acre","Marechal Traumaturgo","Reserva Extrativista do Alto Juruá, RESEX Alto Juruá, Reserva Extrativista do Alto Juruá, rio Juruá, right bank. Caipora, above mouth of igarapé Caipora, opposite Fazenda Natal. Moist upland forest on hilly terrain.","-72.716667","-9.2",NA,NA,"INPA0230975",NA,"Soares, MVB",NA,NA,"-72.716667","-9.2",NA,NA,NA,NA,"2016","02","16",NA,NA
"20","2020-09-12 05:00:02-03","US","US","USw9684","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Pithecellobium","acreanum","Pithecellobium acreanum","J.F. Macbr.","B. A. Krukoff","5631",NA,NA,NA,"South America - Neotropics","Brazil","Acre",NA,"Near mouth of Rio Macauhan, basin of Rio Purus",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","1664182","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Pithecellobium","acreanum","Pithecellobium acreanum","J.F. Macbr.","B. A. Krukoff","5631","1933","8","24","South America - Neotropics","Brazil","Acre",NA,"Near mouth of Rio Macauhan.",NA,NA,NA,NA,"US00000353","US00000353_01",NA,"Isotype","Dicotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"22","2019-09-04 19:48:26-03","F","FMNH-SEEDPLANTS","V0058705F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Pithecellobium","acreanum","Pithecellobium acreanum",NA,"B. A. Krukoff","5631","1933","8","24","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0058705F","V0058705F_01",NA,"Holotype","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-08-23 09:45:30-03","NHMLondon","NHM-LONDON-BOT","BM000952420","S","Plantae",NA,NA,"Leguminosae","Pithecellobium","acreanum","Pithecellobium acreanum","J.F.Macbr.","Walter Adolpho Ducke; b.1876; d.1959; Ducke","5631","1933","08","24",NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,"Rico,L.","Isotype",NA,"-53.08982","-10.773109",NA,NA,NA,NA,"1987",NA,NA,"NHMUK:ecatalogue:604919",NA
"24","2020-09-18 09:31:49-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Alismatales","Limnocharitaceae","Hydrochorea","acreana","Hydrochorea acreana","(Jacq) Macbr.","Silveira, M","1606",NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2010-08-16 16:36:13-03","A","HU-HERB","A 00063997","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Pithecellobium","acreanum","Pithecellobium acreanum","J. F. Macbride","B. A. Krukoff","5631","1933","8","24","South America","Brazil","Acre",NA,"Near mouth of Rio Macauhan (tributary of Rio Yaco) terra firma, 9°20'S,69°W",NA,NA,"Sheet",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,"5631",NA,NA,NA,NA,NA,NA,"undetermined"
"26","2014-09-23 10:57:37-03","G","G","G00364435","S","Plantae",NA,NA,"Fabaceae","Abarema","acreana","Abarema acreana","(J. F. Macbr.) L. Rico","Krukoff, B. A.","5631","1933","08","24","AMERIQUE DU SUD","Brazil","Acre",NA,NA,"-70.3225","-9.62305556",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00364435",NA,"?","ISOTYPUS of Pithecellobium acreanum J. F. Macbr.",NA,"-70.3225","-9.62305556",NA,NA,NA,NA,NA,NA,NA,NA,NA
