"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"11","2020-06-29 09:29:40-03","UFRRJ","RBR","9592","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"M.C. Monteiro","s.n.","1960","11","10",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Estrada de friburgo e Rio de Janeiro.","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"RBR00009592",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:29:40-03","UFRRJ","RBR","35181","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","C.D. Feliciano","V.C. Souza; Hl. Lorenzi","28978","2003","02","11",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Fazenda de David Muller, Brasil, Rio de Janeiro, RJ, Nova Friburgo, coletado na reserva de Macaé de cima na estrada em direçãoà fazenda de David Muller.","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"RBR00035181",NA,"33190","auto","2005","01","04",NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 09:29:40-03","UFRRJ","RBR","35740","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","E.L. Jacques, R.A. Engelmann","R.A. Engelmann; O. Thier","665","2010","04","05",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Parque Estadual dos Três Picos, 22°23#?#19.6' S, 42°42#?#16.0' W, 800 m de altitude.","-42.6530990600586","-22.4624996185303",NA,NA,NA,NA,"RBR00035740",NA,"32671","auto","2011","11","10",NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:29:40-03","UFRRJ","RBR","35845","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","E.L. Jacques, R.A. Engelmann","R.A. Engelmann; O. Thier","661","2010","04","04",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Parque Estadual dos Três Picos, Trilha entre Santo Amaro (Cachoeiras) e São Lourenço (Friburgo), próximo ao Rio Santo Amaro. 22°23#?#21' S, 42°42#?#28' W. Elev.: 750 m.","-42.6530990600586","-22.4624996185303",NA,NA,NA,NA,"RBR00035845",NA,"32671","auto","2011","11","10",NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 09:29:40-03","UFRRJ","RBR","21685","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","E.L. Jacques","G.V. Somner","795","1994","02","10",NA,"Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Após a entrada (portão) da REBIO tinguá. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,NA,"RBR00021685","RBR00021685","25743","auto","1995","07","21",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 09:29:40-03","UFRRJ","RBR","35727","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","E.L. Jacques, R.A. Engelmann","R.A. Engelmann; O. Thier","419","2009","03","07",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Reserva Ecológica de Guapiaçú, 22°23#?#09.8' S, 42°43#?#50.6' W, 464m de altitude.","-42.6530990600586","-22.4624996185303",NA,NA,NA,NA,"RBR00035727",NA,"32671","auto","2011","11","10",NA,NA,NA,NA,NA,NA,NA
"17","2020-06-29 09:29:40-03","UFRRJ","RBR","37108","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","E.L. Jacques, A.V.S. Couto","R.C. Forzza; L.C.S. Assis, J.G. Jardim, L.R. Lima, E. Lucas, B.R. Silva, S. Edwards, D. Zappi","2778","2004","03","01",NA,"Brasil","Rio de Janeiro","Nova Friburgo","RPPN Rio Bonito, Rio Bonito de Lumiar, estrada do sertão, Sitio São Jeronimo, Elev.: 779 m.","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"RBR00037108",NA,"33190","auto","2009","07","16",NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:17:59-03","MBM","MBM","425280","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","Gomes, M.","Scarponi, T.M.; Nascimento, L.S.; Ammon, R.A.; Hottz, D.; Nascimento, L.S.; Ammon, R.A.; Hottz, D.","s.n.","2014","08","12","Southern America","Brazil","Rio de Janeiro","Nova Friburgo","Conglomerado 14-19-63-R","-42.39","-22.41","750","750",NA,"Arbusto, com 1,9m de altura. Base reta. Fruto maduro, com 1,5 cm, com formato alado, internamente e externamente castanho claro, seco.; Conglomerado situado em área de Floresta Ombrófila Densa Montana, localidade de Rio Bonito. Relev","MBM425280",NA,NA,NA,"2017","03","03","-42.39","-22.41",NA,NA,NA,NA,NA
"19","2019-11-01 15:28:05-03","PUC-RIO","FCAB","5320","PreservedSpecimen","Plantae",NA,"Angiospermae","Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"E.L. Jacques","179","1989","10","26",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Nasc","-42.5311012268066","-22.2819004058838","1150","1200",NA,"&nf;; Arbustos com ramos decumbentes, com 1,5 metros de altura. Caule verde-musgo. Folhas verdes na face adaxial e vinácea na abaxial. Frutos maduros de cor castanha. Rara no local.","005320",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-05 09:30:36-03","MNHN","RECOLNAT_MNHN_P","P05586672","PreservedSpecimen",NA,NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"Gaudichaud, C.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05586672' target='other'> <mi>dwc_moreinfo</mi></a>","P05586672","P05586672_01",NA,NA,NA,NA,NA,NA,NA,"49",NA,NA,NA,NA
"21","2013-11-26 05:40:00-02","MO","MOBOT","3408946","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","acutifolia","Begonia acutifolia","Jacq.","K. Burt-Utley (NOLS)","Martha Serrano|Jeaneth Villalobos|Ariel Lliully|J. Alberto Peñaranda|Reinaldo Lozano","Serrano 6875","2005","12","23","South America","Bolivia","Chuquisaca","Hernando Siles","Serranía Los Milagros. Trayecto Cañon Largo-Pendiente media, Bosque Montano Tucumano-Boliviano, dominado por Nectandra angusta, Pisonia ambigua, Cordia trichotoma. En el sotobosque Myrsine spp. Estrato arbustivo dominado por Piper tucumanum, Bohemeria caudata y entre las herbáceas helechos terrestres como Blechnum occidentale.","-64.045","-20.3377777","1575.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"22","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","51901",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A. DC.","T.S. Mendes & E.F. Guimarães/X-2016","C. Baez; T. Lima, P. Rosa, M. Moraes, L. Moraes, |D. Maurenza, R. Negrão, Girso & Rafael","714","2016","08","08",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Reserva Vale. Estrada do Flamengo, km 1","-42.504444","-22.433056","1056","1056",NA,"Terrícola, heliófila. Pecíolo vinoso, folhas discolores. Frutos castanhos. Altura 70cm. Habitat: Floresta Montana entre trechos de mata secundária e mais preservada. Hábito/Forma de vida: Erva","MBML051901","MBML051901",NA,NA,NA,NA,NA,"42W30'16","22S25'59",NA,NA,NA,NA,NA
"23","2020-10-29 16:35:19-03","MBML","MBML-HERBARIO","54319",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","Kollmann","L.Kollmann; M.Peixoto & H.Lorenzi","13600","2020","03","20",NA,"Brasil","São Paulo","Moji das Cruzes","Estrada da torre","-46.059444","-23.671944",NA,NA,NA,"Erva rupicola na meia sombra, frutos verdes.","MBML054319","MBML054319",NA,NA,NA,NA,NA,"46W3'34","23S40'19",NA,NA,NA,NA,NA
"24","2020-06-17 15:24:49-03","UNESP-RC","HRCB","13310","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A. DC.","S. J. Gomes da Silva","Furlan, A.",NA,NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba - Parque Estadual da Serra do Mar","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","3741318","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","Pav. ex A. DC.",NA,"C. Baez et al.",NA,NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Brasil, Rio de Janeiro, Nova Friburgo. Area de Protecao. Ambiental de Macae de Cima.","-42.5044","-22.4331","1056",NA,NA,NA,"US03460625",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"26","2020-09-02 16:21:50-03","Cenargen","CEN","23420","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","E. L. Jacques","Eliane de Lima Jacques","192","1990","11","26",NA,"Brasil","RJ","NOVA FRIBURGO","Reserva Ecológica Municipal de Macaé de Cima. Estrada para Macaé de Cima. Coodenadas entre 22°28'-22°33' S e 42°30'-42°34' W.","-42.5311012268066","-22.2819004058838",NA,NA,"Exsicatas","Arbusto a 50 cm do córrego, heliófilo. Caule de cor verde com pêlos castanhos. Estípulas marrons. Folhas jovens de cor rósea na face dorsal. Inflorescência com ráqui vinácea. Flores com ovário alvo-esverdeado e alas rosadas. Tépalas e botões masculinos com tépalas alvas. Frutos imaturos rosados e maduros castanhos. Doação do Jardim Botânico do Rio de Janeiro - Programa Mata Atlântica - Flora de Macaé de Cima Área 1. Projeto financiado pela Shell Brasil S.A. e MacArthur Foundation.","CEN00023420","CEN00023420","33190","auto","1990","11",NA,NA,NA,NA,"1",NA,NA,NA
"27","2019-10-07 09:24:01-03","UEFS","HUEFS","194818","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"Jacques, E.L.","150","1989","08","09",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Teodoro de Oliveira, Reserva da EMHASA, trilha para Macaé de Cima.","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"HUEFS0194818","HUEFS0194818","33190","auto",NA,NA,NA,NA,NA,NA,NA,"Rosanae",NA,NA
"28","2019-09-04 19:22:46-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA
"29","2019-01-25 15:34:08-02","IAC","IAC","43037","S","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.","H. Lorenzi","V.C. Souza; H. Lorenzi; L.C. Bernacci & M. Peixoto","28978","2003","02","11",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Reserva de Macaé de Cima. Estrada em direção à Fazenda de David Muller","-42.5311","-22.2819",NA,NA,NA,NA,NA,NA,NA,NA,"2003","06","11","-42.5311","-22.2819",NA,NA,NA,NA,NA
"30","2020-07-23 11:59:43-03","CEPLAC","CEPEC","70415","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba",NA,"E. L. Jacques","E. L. Jacques","192","1990","11","26",NA,"Brasil","Rio de Janeiro","nova friburgo","Reserva Municipal de Macaé de Cima.","-42.5","-22.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42W30'","22S33'",NA,NA,NA,NA,"30/12/1990"
"31","2017-09-11 17:08:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"Schott, HW","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in prov. Rio de Janeiro, loco non certo propter confusionem speciminum B. oxyphyllae. Schedula duabus communis est:: in umbrosis ad rivos radice M. Serra d'Itaguahy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:08:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Begoniaceae","Begonia","dentatiloba","Begonia dentatiloba","A.DC.",NA,"Pohl, JBE","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in prov. Rio de Janeiro, loco non certo propter confusionem speciminum B. oxyphyllae. Schedula duabus communis est:: in umbrosis ad rivos radice M. Serra d'Itaguahy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
