"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","decimalLongitude","decimalLatitude","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"12","2020-02-08 10:44:19-03","NBC","NL-BOTANY","U.1027908","PreservedSpecimen","Plantae",NA,"Polypodiales","Grammitidaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R.Sm.",NA,"Ellenberg H",NA,"Southern America","Peru","Machupicchu.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1027908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1027908","NL-U1027908","1957","04","08",NA,NA,NA,"Cleef AM",NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:44:19-03","NBC","NL-BOTANY","U.1027909","PreservedSpecimen","Plantae",NA,"Polypodiales","Grammitidaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R.Sm.",NA,"Ellenberg H",NA,"Southern America","Peru","Machupicchu.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1027909 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1027909","NL-U1027909","1957","04","07",NA,NA,NA,"Cleef AM",NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-01-10 18:17:05-03","UFJF","CESJ","72889","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"A.C. Brade","16384","América do Sul","Brasil","Serra dos Órgãos, Pedra Chapadão",NA,"Terrestre.","CESJ072889",NA,"1940","07","15","Rio de Janeiro","1900","1900","P. Labiak","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,"2007","09","38539","auto",NA,NA
"15","2020-12-21 16:29:18-03","MBM","MBM","287409","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Smith",NA,"Labiak, P.; et al.; et al.","2858","Southern America","Bolivia","Santa Cruz",NA,NA,"MBM287409","MBM287409","2002","12",NA,NA,NA,NA,"Labiak, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-04 18:54:42-03","MNHN","RECOLNAT_MNHN_P","P00558163","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","gratum","Polypodium gratum","Fée",NA,"Glaziou, A.",NA,NA,"Brésil","Rio de Janeiro: Orgues","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00558163' target='other'> <mi>dwc_moreinfo</mi></a>","P00558163",NA,"1869","5","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3336",NA
"17","2016-01-22 15:02:44-02","MNHN","RECOLNAT_MNHN_P","P00558164","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","gratum","Polypodium gratum","Fée",NA,"Glaziou, A.",NA,NA,"Brésil","Rio de Janeiro: Orgues","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00558164' target='other'> <mi>dwc_moreinfo</mi></a>","P00558164",NA,"1869","5","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3336",NA
"18","2007-06-01 16:18:42-03","MNHN","RECOLNAT_MNHN_P","P00558165","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","gratum","Polypodium gratum","Fée",NA,"Glaziou, A.",NA,NA,"Brésil","Rio de Janeiro: Orgues","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00558165' target='other'> <mi>dwc_moreinfo</mi></a>","P00558165",NA,"1869","5","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3336",NA
"19","2015-09-04 19:01:03-03","MNHN","RECOLNAT_MNHN_P","P00558166","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","gratum","Polypodium gratum","Fée",NA,"Glaziou, A.",NA,NA,"Brésil","Rio de Janeiro: Orgues","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00558166' target='other'> <mi>dwc_moreinfo</mi></a>","P00558166",NA,"1869","5","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3336",NA
"20","2016-06-28 18:24:26-03","MNHN","RECOLNAT_MNHN_P","P01607872","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","gratum","Polypodium gratum","Fée",NA,"Glaziou, A.",NA,NA,"Brésil","Rio de Janeiro: Orgues","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01607872' target='other'> <mi>dwc_moreinfo</mi></a>","P01607872","P01607872_01","1869","5","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3336",NA
"21","2020-09-29 14:53:37-03","UFPR","UPCB","79927","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Mycopteris","semihirsuta","Mycopteris semihirsuta","(Klotzsch) Sundue",NA,"Solomon, J.C.","17207",NA,"Bolivia","Valle del Rio Zongo. Bosque muy humedo a lo largo del Rio Jachcha Cruz, 32.2 km al N de la cumbre.",NA,"Epífita.","UPCB0009422","UPCB0009422","1987","10","22","La Paz",NA,NA,"Labiak, P. H.","Murillo","-68.067","-16.117",NA,"-68.067","-16.117","2013","04",NA,NA,NA,NA
"22","2020-09-29 14:53:37-03","UFPR","UPCB","79928","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Mycopteris","semihirsuta","Mycopteris semihirsuta","(Klotzsch) Sundue",NA,"Solomon, J.C.","17342",NA,"Bolivia","4,7km al NE (abajo) de Chuspata. Bosque nuboso.",NA,"Epífita.","UPCB0009423","UPCB0009423","1987","11","11","La Paz",NA,NA,"Labiak, P. H.","Nor Yungas","-67.783","-16.283",NA,"-67.783","-16.283","2013","04",NA,NA,NA,NA
"23","2016-11-29 16:44:00-02","MO","MOBOT","100940209","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Mycopteris","semihirsuta","Mycopteris semihirsuta","(Klotzsch) Sundue","Syntype","A. Stübel","Stübel 29","South America","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,"Tolima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"24","2016-11-29 16:38:00-02","MO","MOBOT","100940205","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Mycopteris","semihirsuta","Mycopteris semihirsuta","(Klotzsch) Sundue","Syntype","F.C. Lehmann","Lehmann 2982","South America","Colombia","West of the Río Dagua.",NA,NA,NA,NA,"1883","8","6","Valle del Cauca","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2016-11-29 16:40:00-02","MO","MOBOT","100940206","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Mycopteris","semihirsuta","Mycopteris semihirsuta","(Klotzsch) Sundue","Syntype","W. Lechler","Lechler 2551","South America","Peru","Tatanara, in lapidosis, Ostabhand der cordilleren",NA,NA,NA,NA,"1854","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","2016-11-29 16:41:00-02","MO","MOBOT","100940207","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Mycopteris","semihirsuta","Mycopteris semihirsuta","(Klotzsch) Sundue","Syntype","W. Lechler","Lechler 2570","South America","Peru","Tatanara, in lapidosis, Ostabhand der cordilleren",NA,NA,NA,NA,"1854","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","2016-11-29 16:45:00-02","MO","MOBOT","100940210","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Mycopteris","semihirsuta","Mycopteris semihirsuta","(Klotzsch) Sundue","Syntype","A. Stübel","Stübel 826","South America","Ecuador","Around Tungurahua and Baños.",NA,NA,NA,NA,NA,NA,NA,"Tungurahua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","2009-06-25 13:34:00-03","MO","MOBOT","2117838","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","semihirsutum","Polypodium semihirsutum","Klotzsch",NA,"Paul C. Hutchison|J. Kenneth Wright","Hutchison 5827A","South America","Peru","Cerros Calla Calla, W side, 45 km above Balsas, midway on the road to Leimebamba",NA,NA,NA,NA,"1964","6","22","Amazonas","3100.00000000",NA,NA,"Chachapoyas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"182",NA
"29","2014-04-04 05:50:00-03","MO","MOBOT","1241632","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Bruce Gray|Rodolfo Vásquez|Rocío Rojas","van der Werff 15652","South America","Peru","Along road Rioja-Pedro Ruiz, ceja de la montaña. El Mirador.",NA,NA,NA,NA,"1998","3","25","San Martín","1850.00000000",NA,"Alan R. Smith (UC)","Rioja","-77.77361","-5.67472",NA,NA,NA,NA,NA,NA,NA,"238","1"
"30","2012-04-12 05:10:00-03","MO","MOBOT","100169013","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"Alfredo F. Fuentes|H. Huaylla","Fuentes Claros 12835","South America","Bolivia","Madidi, Apolobamba, Pelechuco-Apolo, Selumacan",NA,NA,NA,NA,"2008","6","8","La Paz","2486.00000000",NA,"A.R. Smith (UC)","Franz Tamayo","-69.0091667","-14.7766667",NA,NA,NA,NA,NA,NA,NA,"08-88","5"
"31","2012-04-12 05:10:00-03","MO","MOBOT","100169021","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"Alfredo F. Fuentes|H. Huaylla","Fuentes Claros 12841","South America","Bolivia","Madidi, Apolobamba, Pelechuco-Apolo, Selumacan",NA,NA,NA,NA,"2008","6","8","La Paz","2486.00000000",NA,"A.R. Smith (UC)","Franz Tamayo","-69.0091667","-14.7766667",NA,NA,NA,NA,NA,NA,NA,"08-88","3"
"32","2012-04-12 05:10:00-03","MO","MOBOT","100169215","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"Alfredo F. Fuentes|H. Huaylla","Fuentes Claros 12902","South America","Bolivia","Madidi, Apolobamba, Pelechuco-Apolo, ruinas Coranara-Corapara",NA,NA,NA,NA,"2008","6","12","La Paz","2320.00000000",NA,"A.R. Smith (UC)","Franz Tamayo","-68.9913889","-14.7725",NA,NA,NA,NA,NA,NA,NA,"08-93","3"
"33","2012-04-12 05:10:00-03","MO","MOBOT","100215639","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. Huaylla|Alfredo F. Fuentes|A. Pareja","Huaylla 2600","South America","Bolivia","Area Natural de Manejo Integrado Apolobamba, cueva de Selumacan hacia puente Coranara, camino de herradura Pelechuco-Apolo, bordeando el río de Pelechuco.",NA,NA,NA,NA,"2008","6","8","La Paz","2372.00000000",NA,"A.R. Smith (UC)","Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"08-06","4"
"34","2015-03-12 06:15:00-03","MO","MOBOT","100232658","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Rodolfo Vásquez|César Rojas","van der Werff 22620","South America","Peru","Navarra, near Huancabamba.",NA,NA,NA,NA,"2009","10","18","Pasco","2300.00000000",NA,"Alan Smith (UC)","Oxapampa","-75.4327778","-10.4505556",NA,NA,NA,NA,NA,NA,NA,"516","2"
"35","2014-04-04 05:54:00-03","MO","MOBOT","100234166","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Rodolfo Vásquez|Antonio Peña|J.L. Mateo|R. Rivera","van der Werff 23039","South America","Peru","Milpo.",NA,NA,NA,NA,"2009","11","1","Pasco","2950.00000000","3100.00000000","A.r. Smith","Oxapampa","-75.6294445","-10.3836111",NA,NA,NA,NA,NA,NA,NA,"525","5"
"36","2015-03-12 06:15:00-03","MO","MOBOT","100234814","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Rodolfo Vásquez|Antonio Peña|César Rojas","van der Werff 23362","South America","Peru","La Suiza Vieja.",NA,NA,NA,NA,"2009","11","7","Pasco","2170.00000000",NA,"A.R. Smith","Oxapampa","-75.4622222","-10.4705556",NA,NA,NA,NA,NA,NA,NA,"530","5"
"37","2015-03-12 06:15:00-03","MO","MOBOT","100235116","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Rodolfo Vásquez|Antonio Peña|César Rojas","van der Werff 23413","South America","Peru","Laguna San Daniel.",NA,NA,NA,NA,"2009","11","8","Pasco","2400.00000000",NA,"Alan Smith (UC)","Oxapampa","-75.4563889","-10.4327778",NA,NA,NA,NA,NA,NA,NA,"531","2"
"38","2015-05-22 11:05:00-03","MO","MOBOT","100818101","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"Marcus Lehnert","Lehnert 293","South America","Peru","Huanuco-Tingo Maria, 40 km from Huanuco.",NA,NA,NA,NA,"2002","8","23","Huánuco","2500.00000000",NA,"A. Smith","Huánuco","-76.1","-9.7333333",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"39","2008-05-27 22:02:00-03","MO","MOBOT","1186","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Edgar Gudiño","van der Werff 10936","South America","Ecuador","Vicinity of Shanshipamba, ca. 15 km E of Pimampiro. Forest remnants.",NA,NA,NA,NA,"1989","8","6","Imbabura","2800.00000000",NA,"P.M. Jørgensen (MO)",NA,"-77.91666","0.28333",NA,NA,NA,NA,NA,NA,NA,"30","2"
"40","2014-04-04 05:50:00-03","MO","MOBOT","1239906","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Bruce Gray|Rodolfo Vásquez|Rocío Rojas","van der Werff 15014","South America","Peru","Road Chachapoyas-Mendoza, a little past Molinopampa. Scrub and degraded forest.",NA,NA,NA,NA,"1998","3","15","Amazonas","2400.00000000",NA,"Alan R. Smith (UC)",NA,"-77.59694","-6.23638",NA,NA,NA,NA,NA,NA,NA,"227","7"
"41","2014-04-04 05:50:00-03","MO","MOBOT","1242024","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Bruce Gray|Rodolfo Vásquez|Rocío Rojas","van der Werff 15837","South America","Peru","Laguna de Pomacochas, cloud forest and scrub on sand or humus soil.",NA,NA,NA,NA,"1998","3","27","Amazonas","2550.00000000",NA,"Alan R. Smith (UC)",NA,"-77.91666","-5.88333",NA,NA,NA,NA,NA,NA,NA,"240","2"
"42","2012-03-02 05:15:00-03","MO","MOBOT","13774","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Bruce Gray|Galo A. Tipaz","van der Werff 12407","South America","Ecuador","Road Echandia-Guaranda.",NA,NA,NA,NA,"1991","7","17","Bolívar","2400.00000000",NA,"P.M. Jørgensen (MO)",NA,"-79.08333","-1.5",NA,NA,NA,NA,NA,NA,NA,"110","5"
"43","2019-09-03 04:36:00-03","MO","MOBOT","1426417","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"Homero Vargas|Edwin Narváez","Vargas López 3375","South America","Ecuador","Reserva Ecológica Antisana, Cordillera de los Guacamayos, cruce del oleoducto de la compañía ARCO. Colecciones en El Mirador. Bosque pluvial montano bajo, vegetación primaria, suelo colinado bien drenado",NA,NA,NA,NA,"1999","1","6","Napo","2400.00000000",NA,"A. Smith (UC)","Quijos","-77.85","-0.63333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2008-05-27 22:02:00-03","MO","MOBOT","1427305","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"Linder Suin|Grupo Post-Grado MO-QCNE","Suin 394","South America","Ecuador","Reserva Orquideológica El Pahuma. Carretera Calacalí-Los Bancos, km. 22. Bosque muy húmedo montano bajo",NA,NA,NA,NA,"1999","10","26","Pichincha","2000.00000000",NA,"A. Smith (UC)","Quito","-78.63055","0.02833",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2008-05-27 22:02:00-03","MO","MOBOT","14998","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|Walter A. Palacios","van der Werff 9341","South America","Ecuador","Nudo de Sabanillo, just past the pass on road Yangena-Vallodolid. Cloud forest 15-20 m tall.",NA,NA,NA,NA,"1987","5","5","Zamora-Chinchipe","2300.00000000",NA,"P.M. Jørgensen (MO)",NA,"-79.13333","-4.43333",NA,NA,NA,NA,NA,NA,NA,"87-26","2"
"46","2011-03-29 14:14:00-03","MO","MOBOT","1552647","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"José Campos de la Cruz|et al.","Campos de la Cruz 5304","South America","Peru","Sallique. Localidad quebrada grande. Bosque primario.",NA,NA,NA,NA,"1998","7","20","Cajamarca","2700.00000000","2800.00000000","A. Smith (UC)",NA,"-79.25138","-5.68305",NA,NA,NA,NA,NA,NA,NA,NA,"9"
"47","2008-05-27 22:02:00-03","MO","MOBOT","1557349","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|et al.","van der Werff 16677","South America","Peru","Near the border with Dept. San Martin. Montane low forest and scrub, with many mosses and epiphytes.",NA,NA,NA,NA,"2001","4","3","Amazonas","2000.00000000",NA,"Alan R. Smith (UC)",NA,"-77.8","-5.68333",NA,NA,NA,NA,NA,NA,NA,"281","3"
"48","2008-05-27 22:02:00-03","MO","MOBOT","1557361","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","semihirsuta","Terpsichore semihirsuta","(Klotzsch) A.R. Sm.",NA,"H. van der Werff|et al.","van der Werff 16688","South America","Peru","Near the border with Dept. San Martin. Montane low forest and scrub, with many mosses and epiphytes.",NA,NA,NA,NA,"2001","4","3","Amazonas","2000.00000000",NA,"Alan R. Smith (UC)",NA,"-77.8","-5.68333",NA,NA,NA,NA,NA,NA,NA,"281","7"
