"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","typeStatus","relationshipType","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","01240747","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","S. F. Smith","W. W. Thomas","2004","09","15","Brazil","Bahia","Arataca","Serra das Lontras, 9.0 km WNW of Itatinguí on Fazenda road, then on trail over mountain ridge to Fazenda Cairo.","-39.3972","-15.1981",NA,NA,"530","630","NY01240747","NY01240747_01","14061","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=828490' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"12","2017-05-17 10:20:00-03","NY","NYBG","02610087","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa",NA,NA,"J. A. Lira Neto","1995","08","16","Brazil","Rio de Janeiro","Guapimirim","Rio Bananal.","-42.9818992614746","-22.5372009277344",NA,NA,NA,NA,"NY02610087","NY02610087_01","118","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916883' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"21463","auto","Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1419177","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","S. F. Smith","A. M. Amorim","2006","09","23","Brazil","Bahia","Arataca","Serra do Peito-de-Moça. Estrada que liga Arataca a Una, ramal ca. 22,4 km de Arataca, com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras. Trilha a margem de rio em picada de acesso a residência de Mormaço","-39.3417","-15.1736",NA,NA,"1000","1000","NY01419177","NY01419177_01","6322","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1535067' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","03066065","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","P. Moonlight","M. G. Bovini","2014","11","28","Brazil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina, estrada da cachoeira das sete quedas.","-44.78","-23.1858",NA,NA,NA,NA,"NY03066065","NY03066065_01","4058","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287574' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","778050","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","E. de L. Jacques","F. O. Souza","2000","07","20","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Trilha dos Macacos","-45.4097","-23.6203",NA,NA,NA,NA,"NY00778050","NY00778050_01","90","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664895' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","453947","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","S. F. Smith","J. C. Lindeman","1967","04","30","Brazil","Paraná","Rio Branco do Sul","25 km N of Curitiba, near Rio Branco do Sul","-49.3142","-25.1903",NA,NA,NA,NA,"NY00453947","NY00453947_01","5228","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664898' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","453936","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith","P. K. H. Dusén","1914","01","22","Brazil","Paraná","Sao Joao","Sao Joao","-52.7253","-25.8281",NA,NA,NA,NA,"NY00453936","NY00453936_01","14393","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664899' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","453945","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith","J. C. Lindeman","1967","04","30","Brazil","Paraná","Curitiba","25 km N of Curitiba, near Rio Branco do Sul","-49.2731","-25.4281",NA,NA,NA,NA,"NY00453945","NY00453945_01","5228","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664901' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","453943","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith; B. G. Schubert","P. K. H. Dusén","1911","07","27","Brazil","Paraná","Morretes","Porto do Cima","-48.87","-25.43",NA,NA,NA,NA,"NY00453943","NY00453943_01","11983","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664907' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","453944","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith","J. C. Lindeman","1967","05","09","Brazil","Paraná","Turvo","Fazenda J. Rickli, Turvo, 40 km N of Guarapuava, W of road to Pitanga","-51.5294","-25.0431",NA,NA,NA,NA,"NY00453944","NY00453944_01","5273","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664900' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","453939","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith; B. G. Schubert","G. Jönsson","1914","07","20","Brazil","Paraná","Morretes","Porta de Cima","-48.8342","-25.4769",NA,NA,NA,NA,"NY00453939","NY00453939_01","697a","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664904' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","453934","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.",NA,"A. M. S. da F. Vaz","1990","09","02","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Sitio Sofronites, caminho em direçao da casa do Sr. Breno","-42.45","-22.28",NA,NA,"1000","1000","NY00453934","NY00453934_01","742","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664909' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","453940","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith; B. G. Schubert","P. K. H. Dusén","1908","09","17","Brazil","Paraná","Ipiranga","Serra do Mar. Itupava","-50.5842","-25.0242",NA,NA,NA,NA,"NY00453940","NY00453940_01","6753","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664905' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","453946","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","S. F. Smith","J. C. Lindeman","1967","05","09","Brazil","Paraná","Turvo","Fazenda J. Rickli, Turvo, 40 km N of Guarapuava, W of road to Pitanga","-51.5294","-25.0431",NA,NA,NA,NA,"NY00453946","NY00453946_01","5273","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664897' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","453942","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith","P. K. H. Dusén","1908","12","30","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"NY00453942","NY00453942_01","7410","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664908' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","453935","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","I. Isernhagen","I. Isernhagen","1998","02","06","Brazil","Paraná","Três Barras do Paraná","Reserva Guarani","-53.17","-25.42",NA,NA,NA,NA,"NY00453935","NY00453935_01","180","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664896' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","453938","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","L. B. Smith","G. Eiten","1960","07","18","Brazil","São Paulo","Sao Paulo","About 10 km due north of center of SAO PAULO (Praça da Sé). Serra da Cantareira, near top","-46.63","-23.5403",NA,NA,"1200","1200","NY00453938","NY00453938_01","2179","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664902' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","03097872","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.",NA,"H. C. Lima","2001","11","15","Brazil","Rio de Janeiro","Nova Iguaçu","Rebio. Tinguá, Estrada do Ouro, próximo à entrada da trilha p/ o rancho dos bobos. Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,NA,"NY03097872","NY03097872_01","5947","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3343477' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"25743","auto","Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","453937","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","G. G. Hatschbach","J. C. Lindeman","1967","01","12","Brazil","Paraná","Paranaguá","Serra do Mar, bank of Rio do Corvo, upstreams of old Curitiba","-48.906339","-25.339275",NA,NA,"1000","1000","NY00453937","NY00453937_01","4050","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=664903' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","01195762","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","S. F. Smith","P. Fiaschi","2003","11","02","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel e sobe até o acesso à serra. Caminhada ao topo da serra","-39.5361","-14.7703",NA,NA,NA,NA,"NY01195762","NY01195762_01","1806","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1398530' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01195972","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","S. F. Smith","A. M. Amorim","2004","07","29","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada, 13,7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção a serra","-39.2028","-14.7703",NA,NA,"600","900","NY01195972","NY01195972_01","4229","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320476' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01197982","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","S. F. Smith","M. M. M. Lopes","2005","11","21","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra.","-39.2028","-14.7703",NA,NA,"600","900","NY01197982","NY01197982_01","309","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320464' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Magnoliophyta","Cucurbitales","South America","sheet",NA,NA,NA,NA,NA,NA
"33","2021-02-18 09:28:57-03","UNESP-IBB","BOTU","10291","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","Hatschbach, G.","Kummrow, R.","1981","12","30","Brasil","Paraná","Guaratuba","Usina de Guaricana",NA,NA,"9999","9999",NA,NA,"BOTU010291",NA,"1636","Epifita, flor alva, floresce ao longo de galhos e copas de árvores, da mata pluvial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-13 09:19:07-03","UFRJ","RFA","5309","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","L.B. Smith","P. Occhioni","1946","09","11","Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA25649",NA,NA,"Epifita, flor branca","1975",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-06-29 11:29:25-03","UFRJ","RFA","7387","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","L.B.Smith","Joaquim Carvalho","1960","09","14","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"RFA26914",NA,NA,"Arbusto de natureza epífita, flores de cor creme","1975",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-06-29 11:29:25-03","UFRJ","RFA","7395","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","L. B. Smith","Amilcar Mesquita","1960","09","14","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"RFA34230",NA,NA,"planta arbustiva",NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 11:29:25-03","UFRJ","RFA","36433","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","W. Hoehne","W. Hoehne","1951","08","29","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"RFA23251",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:19:07-03","UFRJ","RFA","30155","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","A.V. dos S. Couto","Flávio de Britto Pereira","2002","01","17","Brasil","Rio de Janeiro","Rio Claro","Distrito de Lídice","-44.241111","-22.859167","44º14'28''W","22º51'33''S","643","643","RFA32563",NA,"48/141","Trepadeira, folhas verdes. Flor branca com perfume, rara no local","2009","03","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-06-29 11:29:25-03","UFRJ","RFA","16886","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","A.V. dos S. Couto","P. Occhioni","1975","08","10","Brasil","Rio de Janeiro","Cachoeiras de Macacu","Serra de Friburgo, próximo ao córrego","-42.6530990600586","-22.4624996185303",NA,NA,NA,NA,"RFA34290",NA,"7674","Subarbusto, flores alvas","2009","03","03","32671","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-13 09:19:07-03","UFRJ","RFA","10274","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","L.B. Smith","P. Occhioni","1971","02","00","Brasil","Rio de Janeiro","Itatiaia","Serra","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"RFA24264",NA,"4324","Epífita na mata, flor rósea","1975",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-13 09:19:07-03","UFRJ","RFA","4653","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","L.B. Smith","P. Occhioni","1945","06","13","Brasil","Rio de Janeiro","Rio de Janeiro","Serra da Carioca, matas Pai Ricardo","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA25206",NA,"125","Epífita, flor branca",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-13 09:19:07-03","UFRJ","RFA","15345","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","(Klotzsch) A.DC.","L.B. Smith","P. Occhioni","1974","09","00","Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos, próximo ao Dedo de Deus","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"RFA13377",NA,"6188","arbusto, flores alvas","1975",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-24 17:10:31-03","UTFPR","DVPR","4395","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","Caxambu, MG","Caxambu, MG; Siqueira, EL; Rasbold, J","2016","02","11","Brasil","Paraná","Céu Azul","Parque Nacional do Iguaçu, Trilha do Rio Azul.","-53.48347","-25.08445","-53.48347","-25.08445","580","580","DVPR004395",NA,"7240","subarbusto escandente, semi-ciófilo. Botões florais e flores alvas. Ocasional.; Relevo: suave-ondulado.","2016","02","11",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-24 17:10:31-03","UTFPR","DVPR","3144","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","Cordeiro, J","Beltrami, L; Amilcar, LC","2007","10","09","Brasil","Santa Catarina","Morretes","Serra da Graciosa",NA,NA,NA,NA,NA,NA,"DVPR003144",NA,"s.n.","Flores brancas e frutos esverdeados.","2014","08","07",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-24 17:10:31-03","UTFPR","DVPR","2245","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","Caxambu, MG","Caxambu, MG; et al.","2009","02","12","Brasil","Paraná","Luiziana","Estação Ecológica Luiziana","-52.26027","-24.32007","-52.26027","-24.32007","599","599","DVPR002245","DVPR002245","2906","trepadeira com gravinhas, ripária, heliófita, frutos avermelhados. flores alvas; Relevo: ondulado","2010","04","07",NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-24 17:10:31-03","UTFPR","DVPR","4380","PreservedSpecimen","Plantae","Begoniaceae","Begonia","fruticosa","Begonia fruticosa","A.DC.","Cordeiro, J; Barboza, E","Caxambu, MG; et al.","2009","05","15","Brasil","Paraná","Turvo","Propriedade da família Rickli.","-51.34055","-25.02465","-51.34055","-25.02465","1064","1064","DVPR004380",NA,"2627","subarbusto escandente, semi-ciófilo. Frutos imaturos verdes. Botões florais alvos.; Relevo: suave-ondulado. Vegetação: Floresta Ombrófila Mista Montana.","2010",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
