"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-09-29 14:53:11-03","UFPR","UPCB","76817","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Dittrich, V.A.O.","Matos, F.B.","2018","2012","01","20",NA,"Brasil","Santa Catarina","Serra do Corvo Branco, na rodovia que liga Urubici a Grão-Pará. Floresta Ombrófila Densa","-49.35","-28.05",NA,NA,NA,"Terrestre, crescendo entre rochas à beira de cachoeira no interior da mata. Material em sílica..","UPCB0002767","UPCB0002767","Grão-Pará","2019","02","19",NA,NA,NA,"-49.350","-28.050",NA
"12","2020-09-29 14:53:11-03","UFPR","UPCB","54633","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Matos, F.B. & Hoffmann, I.K.","Matos, F.B.","1064","2006","03","03",NA,"Brasil","Bahia","Fazenda Serra Bonita, 9,7 Km W de Camacã na estrada de Camacã para Jacarecí, daí 6Km SW na estrada para a Reserva e Torre da Embratel. Floresta Ombrófila Densa Montana.","-39.565278","-15.391667","835","835",NA,"Terrestre e rupícola à beira do córrego no interior da mata..","UPCB0002705","UPCB0002705","Camacan","2017","06",NA,NA,NA,NA,"-39.565278","-15.391667",NA
"13","2020-09-29 14:53:11-03","UFPR","UPCB","61098","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Matos, F.B. & Hoffmann, I.K.","Labiak, P.H.","4296","2008","01","06",NA,"Brasil","São Paulo","Parque Nacional da Serra da Bocaina, Cachoeira São Izidro.","-44.616667","-22.741944","1450","1450",NA,"Rupícola. Floresta Atlântica..","UPCB0002707","UPCB0002707","São José do Barreiro","2017","06",NA,NA,NA,NA,"-44.616667","-22.741944",NA
"14","2020-09-29 14:53:11-03","UFPR","UPCB","61092","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Matos, F.B. & Hoffmann, I.K.","Labiak, P.H.","4334","2008","01","07",NA,"Brasil","São Paulo","Estrada do Parque Nacional da Serra da Bocaina para Campos Novos.","-44.8499984741211","-22.6599998474121","1400","1400",NA,"Rupícola, às margens de riacho. Floresta Atlântica..","UPCB0002706","UPCB0002706","Silveiras","2017","06",NA,"26704","auto",NA,NA,NA,NA
"15","2013-05-07 06:03:00-03","MO","MOBOT","2066756","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Rojas Alvarado","Rosángela Núñez C.","Núñez Cabrera 756","2004","4","23","South America","Bolivia","Santa Cruz","Bosque Hiperhumedo de Ceja de Monte con Weinmannia sp, Helechos Arboreos y abundantes Musgos.","-64.7183334","-17.2897222","2169.00000000",NA,NA,NA,NA,NA,"Manuel Maria Caballero",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"16","2017-04-12 15:53:12-03","F","FMNH-PTERIDOPHYTES","C0644461F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","organense","Blechnum organense","Brade",NA,"A. C. Brade","16583","1940","8","16","South America","Brazil","Rio de Janeiro",NA,"-42.5","-22",NA,NA,NA,NA,"C0644461F",NA,NA,NA,NA,NA,NA,NA,"Pteridopsida",NA,NA,NA
"17","2017-04-12 15:17:06-03","F","FMNH-PTERIDOPHYTES","C0644463F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","organense","Blechnum organense","Brade",NA,"A. C. Brade","20911","1951","5","9","South America","Brazil","Espírito Santo",NA,"-40.75","-20",NA,NA,NA,NA,"C0644463F","C0644463F_01",NA,NA,NA,NA,NA,NA,"Pteridopsida",NA,NA,NA
"18","2021-01-12 15:23:42-03","UFMG","BHCB-SL","182701","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & Dittrich","Almeida, TE; Salino, A","Salino, A; Moura, IO","16225","2016","09","12","América","Brasil","Minas Gerais","Parque Nacional Caparaó, Entre a Portaria de Pedra Menina e Macieira. Floresta Ombrófila Densa.","-43.821389","-20.491111","1735","1735",NA,"Rupícola, próximo a corpo d'água. Caule ascendente com ca. 1 m.","BHCB056422",NA,"Espera Feliz","2016","09","12",NA,NA,NA,"-43.821389","-20.491111",NA
"19","2019-11-07 11:15:31-03","UFMG","BHCB-SL","145339","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Souza, FS","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1270","2010","12","03","América","Brasil","Espírito Santo","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.403194","-20.682694","1811","1811",NA,"Rupícola no interior de mata.",NA,NA,"Iúna","2010","12","03",NA,NA,NA,"-42.403194","-20.682694",NA
"20","2021-01-12 15:23:46-03","UFMG","BHCB-SL","137082","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade",NA,"Costa, IR da; Borsali, EF; Miranda, MD; Toledo, MM; Salino, A","391","2010","03","09","América","Brasil","Minas Gerais","Mata na base da Mata do Coração","-41.845556","-20.431667","1398","1398",NA,"Coletada na beira na cachoeira. Rupícula. 2º registro para Minas Gerais.",NA,NA,"Alto Caparaó",NA,NA,NA,NA,NA,NA,"-41.845556","-20.431667",NA
"21","2019-11-07 11:15:31-03","UFMG","BHCB-SL","145292","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Almeida, TE","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1223","2010","12","01","América","Brasil","Minas Gerais","Parque Nacional do Caparaó, Estrada para Macieira.DATUM WGS84.","-42.370917","-20.818972","1643","1643",NA,"Rupícola no interior de mata ombrófila, próximo a água.",NA,NA,"Espera Feliz","2010","12","01",NA,NA,NA,"-42.370917","-20.818972",NA
"22","2021-01-12 15:23:46-03","UFMG","BHCB-SL","147479","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Gasper, AL de","Gasper, AL de; Salino, A; Bueno, ML; Leal, BSS; Rezende, VL","2658","2011","03","17","América","Brasil","Minas Gerais","Fazenda do Onça; Trilha do Pico do Carrasco, Floresta Ombrófila Mista","-45.341667","-22.609722","1754","1754",NA,"interior do fragmento, erva terrícola bem próximo ao córrego",NA,NA,"Delfim Moreira","2011","03","30",NA,NA,NA,"-45.341667","-22.609722",NA
"23","2019-11-07 11:15:31-03","UFMG","BHCB-SL","103595","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Salino, A","Salino, A; Almeida, TE; Heringer, G; Assis, FC; Melo, LCN; Viana, PL; Teles, A;","11517",NA,NA,NA,"América","Brasil","Minas Gerais","Parque Nacional do Caparaó, região de Pedra Menina, Macieira e estrada descendo para a Portaria do Parque. Na divisa com o Espírito Santo. Floresta Ombrófila Densa Montana e Floresta Ombrófila Densa Altomontana (Mata Nebular).","-41.829472","-20.479861","1600","1600",NA,"Terrestre na borda de mata.",NA,NA,"Espera Feliz","2006","11",NA,NA,NA,NA,"-41.829472","-20.479861",NA
"24","2019-12-19 16:20:33-03","UFMG","BHCB-SL","114278","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","organense","Blechnum organense","Brade","Salino, A","Mota, NFO; Viana, P; Andrade, LE","1010","2007","11","09","América","Brasil","Minas Gerais","Parque Estadual do Papagaio, bairro rural Campo Redondo. Mata de Galeria de Floresta Ombrófila Mista Secundária.","-44.716111","-22.263611","1798","1798",NA,"Rupícola","BHCB000618","BHCB000618","Alagoa",NA,NA,NA,NA,NA,NA,"-44.716111","-22.263611",NA
"25","2020-08-20 15:00:06-03","UFSC","FLOR","67822","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper & V.A.O. Dittrich","Smith, N.P.","Smith, N.P.; Neves, M.A.; Bouget, C.; Courbaud, B.; Larrieu, L.; Larrieu, S.","665","2019","09","27",NA,"Brasil","Santa Catarina","Reserva Rio das Furnas.","-49.175","-27.678333","750","750",NA,"Rupícola","FLOR0067822",NA,"Alfredo Wagner","2019","09","30",NA,NA,NA,"49º10'30''W","27º40'42''S",NA
"26","2020-08-26 10:51:11-03","MCN-FZBRS","HAS","47458","PreservedSpecimen","Plantae","Pteridophyta",NA,"Blechnaceae","Austroblechnum","organense","Austroblechnum organense","(Brade) Gasper et V. A. O. Dittrich","Ditttrich, V.A.O.","Senna, R.M.","1343","2008","12",NA,NA,"Brasil","Rio Grande do Sul","Fraga, APA Municipal de Caraá","-50.435001373291","-29.7900009155273",NA,NA,NA,"Erva, paredão rochoso na mata junto à cachoeira, caule fino e comprido.","HAS0047458",NA,"Caraá","2017","09",NA,"21250","auto",NA,NA,NA,NA
