"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","locality","infraspecificEpithet","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","01300739","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"H. H. Rusby","1274","1886","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1544602' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300739","NY01300739_01","J. M. Cardiel S.","10","Falls of Madeira",NA,NA,NA,"-65.3465375","-10.7798649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01300736","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"H. H. Rusby","1274","1886","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1544599' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300736","NY01300736_01","J. M. Cardiel S.","10","Falls of Madeira",NA,NA,NA,"-65.3465375","-10.7798649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","503657","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"R. S. Pinheiro","327","1967","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65891' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503657","NY00503657_01","G. L. Webster","10","Ilhéus. CEPEC",NA,"27","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-27 04:36:00-03","NY","NYBG","503670","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa",NA,NA,"J. J. Pipoly","18114","1995","South America","Colombia","Antioquia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503670","NY00503670_01",NA,"01","Vereda Venados, Parque Nacional Natural Las Orquídeas. Margen izq. río Venados (Garrucha y alto Bonito)",NA,"30",NA,"-76.32","6.53","800","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","330470","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"M. H. Nee","48124","1998","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330470",NA,"M. H. Nee","01","Along road from La Mora to San Joaquín, 3.5 km E of La Mora and turnoff from highway from Santa Cruz to Abapó.",NA,"24","Cordillera","-63.18","-18.47","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","232988","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"H. A. Weddell","2931","1844","South America","Brazil",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232988","NY00232988_01","J. M. Cardiel S.","11","Entre Goyas et Cujaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","870078","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"H. S. Irwin","34919","1972","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870078","NY00870078_01","J. M. Cardiel S.","01","ca. 17 km S. of Niquelândia",NA,"23","Niquelândia","-48.45","-14.60365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","503660","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"S. A. Mori","11008","1978","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65898' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503660","NY00503660_01","M. J. Huft","10","CEPEC. Plantaçao de cacau suja",NA,"28","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-27 05:27:00-03","NY","NYBG","503666","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa",NA,NA,"R. L. Liesner","11502","1981","South America","Venezuela","Barinas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65897' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503666",NA,"M. J. Huft","04","15 km N of Barinas, 5 km NW of El Pescado on road from La Yuca",NA,"28",NA,"-70.23","8.78","200","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1280192","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"J. E. B. Warming","s.n.",NA,"South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1598317' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280192","NY01280192_01",NA,"11","Ad Lagoa Santa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","503662","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"R. S. Pinheiro","327","1967","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503662","NY00503662_01","G. L. Webster","10","Ilhéus, CEPEC",NA,"27","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","503667","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"F. J. Fernández Casas","6294","1982","South America","Paraguay","Amambay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503667",NA,"J. M. Cardiel S.","02","Cerca de Bellavista, riberas del río Apa",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","503664","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"P. J. M. Maas","6962","1987","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503664","NY00503664_01","W. Punt","11","Grounds of CEPEC (km 22 of road BR-415, from Ilhéus to Itabuna)",NA,"24","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","03754565","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"J. H. Kirkbride Jr.","2516","1972","South America","Colombia","Magdalena","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4092142' target='other'> <mi>dwc_moreinfo</mi></a>","NY03754565","NY03754565_01",NA,"10","Along indian trail to Pueblito, Parque Nacional Tayrona.",NA,"24",NA,"-73.97","11.32","150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","306136","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"M. H. Nee","48617","1998","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306136",NA,"M. H. Nee","03","Ca. 5 km SSW of Cotoca, vic. clay pits and brick works near Flat, near Santa Rosa de Provote.",NA,"10","Andrés Ibáñez","-63","-17.78","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","503658","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"R. P. Belém","538","1965","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65893' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503658","NY00503658_01","W. Punt","03","Centro de Pesquisas do Cacau, CEPLAC, CEPEC",NA,"25","Ilhéus","-39.2273659","-14.771874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","503665","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"A. M. R. Huidobro","s.n.","1945","South America","Argentina","Corrientes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503665",NA,"J. M. Cardiel S.","04","Santa Ibaté. En el monte a orilla del Paraná",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01300738","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"M. H. Nee","34540","1987","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65903' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300738","NY01300738_01","M. J. Huft","03","Ca. 5 Km. NW of Costa Marques.",NA,"29","Costa Marques","-64.233333","-12.416667","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","503661","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"S. A. Mori","10561","1978","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503661","NY00503661_01","S. A. Mori","09","Prox. a ponte sobre o Rio Mucuri na Rod. BR 101. Folha SE - 24 (18-40d). Terreno baldio próximo a plantaçao e na mata perturbada",NA,"15","Mucuri","-39.8934603","-18.0984986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","823028","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"P. Fiaschi","1673","2003","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823028","NY00823028_01","P. Fiaschi","10","Ca. 7.5 km da estrada de Jussarí para Palmira, ramal à esq. Acesso para a sede da Fazenda Teimoso. RPPN Serra do Teimoso.",NA,"11","Jussari","-39.5286","-15.1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00088524","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"D. E. Williams","671","1988","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1149612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00088524",NA,"M. H. Nee","02","Jardin Botanico de Santa Cruz.",NA,"09","Andrés Ibáñez","-63.07","-17.77","375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01300737","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"W. A. Rodrigues","4232","1962","South America","Brazil","Rondônia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1326954' target='other'> <mi>dwc_moreinfo</mi></a>","NY01300737","NY01300737_01","J. M. Cardiel S.","01","Forte Príncipe da Beira. Estrada do igarapé da Viúva.",NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","870081","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"A. C. Allem","1468","1977","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870081","NY00870081_01","M. H. Nee","11","Base do cerro do Urucum-23km S Corumbá.",NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","870079","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"C. A. Cid Ferreira","6572","1985","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870079","NY00870079_01","J. Ramos","10","BR 174, a 45 km S da Cidade de Pontes e Lacerda.",NA,"30","Cáceres","-57.6789016723633","-16.0706005096436",NA,NA,"172193","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","870077","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa","Jacq.",NA,"W. W. Thomas","4669","1985","South America","Brazil","Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870077","NY00870077_01","M. J. Huft","10","45 km SE of Pontes e Lacerda on rd to Cáceres (BR 174)",NA,"30","Caceres","-59.03","-15.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","3925161","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"T. J. Killeen","548","1984","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205047' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925161",NA,NA,"11","Est. Alta Vista","latiuscula","15","Ñuflo de Chávez","-61.92","-16.08","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","3925149","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"M. H. Nee","33994","1987","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205035' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925149",NA,NA,"02","12 km E of center of Santa Cruz on road to Cotoca","latiuscula","05","Andrés Ibáñez","-63.07","-17.77","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","3925214","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"C. D. Játiva","833","1964","South America","Ecuador","Esmeraldas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205101' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925214",NA,NA,"07","along new road near station, San Lorenzo","latiuscula","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","3925212","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"L. B. Holm-Nielsen","25304","1980","South America","Ecuador","Esmeraldas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205099' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925212",NA,NA,"08","Río Cayapas, Cooperativa la Concordia, half an hour upstream from Borbón","latiuscula","31",NA,"-79","1.05","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","3925166","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"A. Fuentes C.","1348","1996","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205052' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925166",NA,NA,"12","Estancia San Miguelito, 200 km al E de la ciudad de Santa Cruz; campamento La Pascana WCS","latiuscula","02","Ñuflo de Chávez","-61.78","-17.07","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","3925191","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"R. L. Liesner","12061","1981","South America","Venezuela","Sucre","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205077' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925191",NA,NA,"05","Peninsula de Araya. 20 km northwest of Cariaco by air; 2 km west of corner where road from Cariaco to Chacopata meets ocean","latiuscula","17",NA,"-63.67","10.63",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","3925157","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","villosa","Acalypha villosa latiuscula","Pax & K.Hoffm.",NA,"R. Guillén","251","1997","South America","Bolivia","Santa Cruz","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4205043' target='other'> <mi>dwc_moreinfo</mi></a>","NY03925157",NA,NA,"01","Camino hacia las Mechitas, a 5 km del aseradero Cerro Pelao sobre el cerro","latiuscula","22","José Miguel de Velasco","-61.4978","-14.5431","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
