"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class"
"13","2015-12-09 09:00:19-02","F","FMNH-PTERIDOPHYTES","C0664114F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","martii","Huperzia martii","(Wawra) Holub",NA,NA,NA,NA,NA,NA,"South America","Brazil","Espírito Santo",NA,NA,"-40.75","-20",NA,NA,NA,NA,"C0664114F","C0664114F_01",NA,NA,NA,NA,NA,NA,NA,"Lycopsida"
"14","2021-03-01 11:48:37-03","UFPE","UFP","20406","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","martii","Huperzia martii","(Wawra) Holub","Barros, ICL","Pôrto, KC","s.n.","1998","03","05",NA,"Brasil","Pernambuco","Caruaru",NA,"-35.9761009216309","-8.28332996368408",NA,NA,NA,"Sobre ramo caído (morto).; Sobre ramo caído (morto).","UFP020406",NA,"1998","03","23",NA,NA,"35136","auto",NA
"15","2020-07-23 12:10:16-03","CEPLAC","CEPEC","112555","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","martii","Huperzia martii",NA,"Sem Informação","Labiak, P. H.","3667","2006","08","06",NA,"Brasil","Bahia","arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22,4 Km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611","900","900",NA,NA,NA,NA,NA,NA,NA,"39W20'30","15S10'25",NA,NA,NA
"16","2020-07-23 12:10:16-03","CEPLAC","CEPEC","126109","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","martii","Huperzia martii",NA,"F. B. Matos","Matos, F. B.","1777","2009","06","15",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita. Fazenda Uiraçu. Trilha da Bapeba. Interior da mata.","-39.565278","-15.391667","835","835",NA,NA,NA,NA,NA,NA,NA,"39W33'55","15S23'30",NA,NA,NA
"17","2020-02-11 18:25:54-03","UFMG","BHCB-SL","108846","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Øllgaard, BO","Salino, A; Almeida, TE; Heringer, G; Souza, DT","12282","2007",NA,NA,"América","Brasil","Minas Gerais","Carrancas","Serra de Carrancas, Trecho conhecido como Serra das Broas, na Chapada dos Perdizes. Área de campo rupestre, campo limpo e Matas de Galeria.","-44.605333","-21.604778","1270","1350",NA,"Epífita pendente as margens de riacho, em mata de galeria.",NA,NA,"2014","08",NA,"-44.605333","-21.604778",NA,NA,NA
"18","2020-02-11 18:25:54-03","UFMG","BHCB-SL","99351","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Øllgaard, BO","Salino, A; Lombardi, JA; Mota, RC; Stehmann, JR","10040","2005",NA,NA,"América","Brasil","Minas Gerais","Santa Maria do Salto","Distrito de Talismã, Floresta ombrófila densa montana.","-40.056722","-16.404139","850","1000",NA,"Epifita a 1m de altura",NA,NA,"2014","08",NA,"-40.056722","-16.404139",NA,NA,NA
"19","2021-01-12 15:24:19-03","UFMG","BHCB-SL","99352","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Øllgaard, BO","Salino, A; Lombardi, JA; Mota, RC; Stehmann, JR","10041","2005",NA,NA,"América","Brasil","Minas Gerais","Santa Maria do Salto","Distrito de Talimã; Fazenda Duas Barras, Floresta Ombrófila Densa Montana","-40.057278","-16.404139","850","1000",NA,"Epífita a 1m de altura, na mata.",NA,NA,"2014","08",NA,"-40.057278","-16.404139",NA,NA,NA
"20","2020-02-11 18:25:54-03","UFMG","BHCB-SL","85358","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Øllgaard, BO","Salino, A; Mota, RC; Mota, NFO; Melo, PHA","9277","2003",NA,NA,"América","Brasil","Minas Gerais","Santa Maria do Salto","Distrito de Talismã, Próximo a divisa do estado com a Bahia.","-40.461194","-16.404583","750","850",NA,"Epifita a 50cm de altura, na mata.",NA,NA,"2014","02",NA,"-40.461194","-16.404583",NA,NA,NA
"21","2020-02-11 18:25:54-03","UFMG","BHCB-SL","85284","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Øllgaard, BO","Salino, A; Mota, RC; Mota, NFO; Melo, PHA","9203","2003",NA,NA,"América","Brasil","Minas Gerais","Santa Maria do Salto","Distrito de Talismã, Próximo a divisa do Estado com a Bahia, floresta ombrófila densa montana.",NA,"-16.404583",NA,NA,NA,"Epifita a 70cm de altura na mata.",NA,NA,"2014","02",NA,NA,"-16.404583",NA,NA,NA
"22","2020-02-11 18:25:54-03","UFMG","BHCB-SL","87190","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Øllgaard, BO","Salino, A; Lombardi, JA; Mota, RC; Almeida, TE; Viana, PL","9483","2004",NA,NA,"América","Brasil","Minas Gerais","Santa Maria do Salto","Distrito de Talismã, Floresta ombrófila densa montana.","-40.060806","-16.398389","725","725",NA,"Epifita a 6,5m de altura em borda de mata.",NA,NA,"2014","08",NA,"-40.060806","-16.398389",NA,NA,NA
"23","2020-02-11 18:25:54-03","UFMG","BHCB-SL","87159","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Øllgaard, BO","Salino, A; Lombardi, JA; Mota, RC; Almeida, TE; Viana, PL","9452","2004",NA,NA,"América","Brasil","Minas Gerais","Santa Maria do Salto","Distrito de Talismã, Floresta ombrófila densa montana.","-40.049278","-16.833333","820","820",NA,"Epifita de 0,5 - 4m de altura interior da mata.",NA,NA,"2014","08",NA,"-40.049278","-16.833333",NA,NA,NA
"24","2020-02-11 18:25:54-03","UFMG","BHCB-SL","152216","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Salino, A","Barreto, HLM","s.n.","1938","11","25","América","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-11 18:25:54-03","UFMG","BHCB-SL","94083","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.",NA,"Stehmann, JR","4116","2004",NA,NA,"América","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Floresta Ombrófila Densa.",NA,NA,NA,NA,NA,NA,NA,"23813","auto",NA
"26","2021-01-12 15:24:19-03","UFMG","BHCB-SL","82377","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","martii","Phlegmariurus martii","(Wawra) B.Øllg.","Salino, A","Salino, A; Mota, RC","8872","2003","08","07","América","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Minicipal do Ribeirão do Campo, Área com Matas de Galeria, Campo Limpo, Campo Rupestre, na direção da Cachoeira do Poço Grande","-43.4249992370605","-19.0372009277344","1280","1280",NA,"Epífita; a 1,8m de altura, interior de mata de galeria","BHCB001862","BHCB001862",NA,NA,NA,NA,NA,"60318","auto",NA
