"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","class","imagecode","identifiedBy","yearIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","monthIdentified","dayIdentified","fieldNumber","individualCount"
"11","2021-03-01 16:32:54-03","UNICAMP","UEC","154759","S","Plantae","Magnoliopsida",NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","Wright ex Girard","Costa, SM; Barbosa, TDM; Cabral, FN; Bittrich, V; Hopkins, MJG; Morokawa, R","7275","2010","09","14",NA,"Brazil","Roraima","PARNA Viruá, Estrada Perdida, entre a 1ª e 2ª bueiras",NA,NA,"Erva diminuta submersa com flores alvas emersas; Campinarana arbustivo-graminosa","UEC035023",NA,"UEC035023",NA,NA,"Caracaraí","-61.128101348877","1.81611001491547","365858","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:32:54-03","UNICAMP","UEC","154760","S","Plantae","Magnoliopsida",NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","Wright ex Girard","Costa, SM; Cangani, KG","877","2011","01","25",NA,"Brazil","Roraima","Parque Nacional do Viruá, Próximo a 2ª bueira",NA,NA,"Erva aquática crescendo sobre outras ervas com partes flutuantes, principalmente <em>Eleocharis</em>. Flor diminuta branca; Campinarana arbustiva a graminosa (N 1°23'54,1 W 60°59'9,5 50m)","UEC083669",NA,"UEC083669",NA,NA,"Caracaraí","-61.128101348877","1.81611001491547","365858","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:31:31-03","MBM","MBM","389364","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","Wright ex Griseb.","Saridakis, D.P.; Nunes, M.G.; Nunes, M.G.","373","2014","02","23","Southern America","Brazil","Paraná","Rodovia BR-376, entre Km 545 e 544, margem esquerda de córrego lajeado a 600m da rodovia","1055",NA,"Herbácea reófita; flores alvas e frutos castanhos. Segundo registro da espécie para o estado.; Crescendo sobre algas filamentosas com U. nana e U. gibba.","MBM389364",NA,NA,"Saridakis, D.P.","2014","Palmeira","-49.798333","-25.385833",NA,NA,"-49.798333","-25.385833","1055","02","23",NA,NA
"14","2020-12-21 16:31:31-03","MBM","MBM","389365","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","Wright ex Griseb.","Saridakis, D.P.; Alves, A.S.; Alves, A.S.","393","2014","03","02","Southern America","Brazil","Paraná","Rodovia BR-376, entre Km 545 e 544, margem esquerda de córrego lajeado a mais ou menos 1km da rodovia, a 300m da entrada da Colônia Witmarsun","1059",NA,"Flores alvas diminutas (1~2mm), folhas utriculíferas verdes e frutos.; Crescendo no meio de algas filamentosas em depressão na laje de arenito com escorrimento de água gelada, sol pleno.","MBM389365",NA,NA,"Saridakis, D.P.","2014","Palmeira","-49.796389","-25.384614",NA,NA,"-49.796389","-25.384614","1059","03","02",NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","2047351","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C. Wright ex Griseb.","Stephan G. Beck","Beck 6979a",NA,NA,NA,"South America","Bolivia","Beni",NA,NA,NA,NA,NA,NA,NA,"P. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","498021","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C. Wright ex Griseb.","Ronald L. Liesner","Liesner 16001","1984","3","14","South America","Venezuela","Amazonas","Río Negro. 0 to 1 km southeast of Cerro de La Neblina Base Camp which is on Río Mawarinuma. Elev. 140 m. 0º50'N, 66º10'W.","140.00000000",NA,NA,NA,NA,NA,"P.G.Taylor(FVG)",NA,NA,"-66.16666","0.83333",NA,NA,NA,NA,NA,NA,NA,"84-57","3"
"17","2008-05-27 22:02:00-03","MO","MOBOT","498632","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C. Wright ex Griseb.","Bruce K. Holst|Ronald L. Liesner","Holst 2308","1985","10","18","South America","Venezuela","Bolívar","ROSCIO: El Pauji, Brocchinia swamp nest to village and wet savanna on border. 900 m; 4º30'N, 61º35'W.","900.00000000",NA,NA,NA,NA,NA,"P. Taylor",NA,NA,"-61.58333","4.5",NA,NA,NA,NA,NA,NA,NA,"85-43","3"
"18","2020-08-31 08:59:17-03","INPA","INPA","234967","S","Plantae","Dicotyledon Asterids","Lamiales","Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Barbosa, TMB","1349","2010","07","25","Southern America","Brasil","Roraima","Parque Nacional do Viruá","63",NA,NA,"INPA0234967",NA,"INPA0234967 INPA0234967_e","Costa, SM","2011","Caracaraí","-60.986444","1.402361",NA,NA,"-60.986444","1.402361","63","08",NA,NA,NA
"19","2020-08-31 08:59:17-03","INPA","INPA","235552","S","Plantae","Dicotyledon Asterids","Lamiales","Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Costa, SM","727","2010","09","14","Southern America","Brasil","Roraima","Parque Nacional do Viruá, Estrada Perdida, entre a 1ª e 2ª bueiras",NA,NA,NA,"INPA0235552",NA,"INPA0235552 INPA0235552_e","Costa, SM","2011","Caracaraí","-61","1.28",NA,NA,"-61","1.28",NA,"08",NA,NA,NA
"20","2021-01-10 20:44:37-03","INPA","INPA","237701","S","Plantae","Dicotyledon Asterids","Lamiales","Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Costa, SM","877","2011","01","25","Southern America","Brasil","Roraima","Parque Nacional do Viruá, Próximo a 2ª bueira","50",NA,NA,"INPA0237701",NA,"INPA0237701 INPA0237701_e","Costa, SM","2011","Caracaraí","-60.985972","1.398361",NA,NA,"-60.985972","1.398361","50","08",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2576434","PreservedSpecimen","Plantae",NA,"Scrophulariales","Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C. Wright ex Griseb.","J. J. Wurdack & J. V. Monachino","39961","1955","12","17","South America - Neotropics","Venezuela","Bolívar","Río Orinoco, 2 km E, between mouth of Río Horeda and Cerro Gavilan (Cerro Carichana)","100",NA,NA,"US00796192","Dicotyledonae",NA,"Taylor, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"22","2019-11-13 11:23:35-03","USP","SPF","139265","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Rivadavia, F","575","1997","02","27",NA,"Brasil","Minas Gerais",NA,"1320",NA,NA,"SPF00139265",NA,"SPF00139265","Rivadavia, F","1997","Diamantina","-43.37173","-18.1538",NA,NA,"-43.37173","-18.1538","1320",NA,NA,NA,NA
"23","2019-11-13 11:23:35-03","USP","SPF","136825","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Rivadavia, F","967","1999","04","29",NA,"Brasil","Minas Gerais",NA,"525",NA,NA,"SPF00136825",NA,"SPF00136825","Rivadavia, F","1999","Arinos","-46.01113","-15.50124",NA,NA,"-46.01113","-15.50124","525",NA,NA,NA,NA
"24","2019-11-13 11:23:35-03","USP","SPF","169945","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Rivadavia, F","1716","2003","08","20","Southern America","Venezuela","Bolívar","127 km de Caicara del Orinoco para Puerto Carreno.","90",NA,NA,"SPF00169945",NA,"SPF00169945","Rivadavia, F","2003","Caicara del Orinoco",NA,NA,NA,NA,NA,NA,"90",NA,NA,NA,NA
"25","2019-11-13 11:23:35-03","USP","SPF","169946","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Rivadavia, F","1731","2003","08","24","Southern America","Venezuela","Amazonas","35 km de Puerto Ayacucho para o sul.","100",NA,NA,"SPF00169946",NA,"SPF00169946","Rivadavia, F","2003","Puerto Ayacucho",NA,NA,NA,NA,NA,NA,"100",NA,NA,NA,NA
"26","2019-11-13 11:23:35-03","USP","SPF","180221","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Rivadavia, F","2658","2007","06","30",NA,"Brasil","Goiás",NA,"1060",NA,NA,"SPF00180221",NA,NA,"Rivadavia, F",NA,"Cristalina","-47.714028","-16.885806",NA,NA,"-47.714028","-16.885806","1060",NA,NA,NA,NA
"27","2019-11-13 11:23:35-03","USP","SPF","184601","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Cardoso, MRF","112","2008","03","30",NA,"Brasil","Mato Grosso",NA,"201",NA,NA,"SPF00184601",NA,"SPF00184601","Cardoso, MRF","2008","São Félix do Araguaia","-51.115333","-11.610278",NA,NA,"-51.115333","-11.610278","201",NA,NA,NA,NA
"28","2019-11-13 11:23:35-03","USP","SPF","184602","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Cardoso, MRF","100","2007","04","22",NA,"Brasil","Mato Grosso",NA,"345",NA,NA,"SPF00184602",NA,"SPF00184602","Cardoso, MRF","2007","Sinop","-55.554319","-11.886344",NA,NA,"-55.554319","-11.886344","345",NA,NA,NA,NA
"29","2021-03-15 18:28:05-03","USP","SPF","232567","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Gonella, PM","244","2009","05","23",NA,"Brasil","Minas Gerais","Serra do Cipó, Adentrando em regiões de campos rupestres do lado esquerdo do km 8 da estrada para pousada Serra Morena, subindo o rio, na margem esquerda.","10",NA,"Ilhas de vegetação cortada por nascentes e riachos entre paredão rochoso e o rio.","SPF00232567",NA,NA,"Gonella, PM","2009","Santana do Riacho","-43.61","-19.229222",NA,NA,"-43.61","-19.229222","10",NA,NA,NA,NA
"30","2019-11-13 11:23:35-03","USP","SPF","136827","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","C.Wright ex Griseb.","Rivadavia, F","987","1999","04","30",NA,"Brasil","Goiás",NA,"850",NA,NA,"SPF00136827",NA,NA,"Rivadavia, F",NA,"Santa Cruz de Goiás","-48.756056","-17.266722",NA,NA,"-48.756056","-17.266722","850",NA,NA,NA,NA
"31","2019-09-12 16:40:22-03","F","FMNH-SEEDPLANTS","V0488564F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea",NA,"C. D. K. Cook","225","1957","11","26","South America","Guyana","Upper Takutu-Upper Essequibo","20 mi. S of Lethem on Wichaki road",NA,NA,NA,"V0488564F","Dicotyledoneae","V0488564F_01","RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225",NA
"32","2021-02-08 12:43:03-03","UFRGS","ICN","163543","S","Plantae","Dicotyledon",NA,"Lentibulariaceae","Utricularia","olivacea","Utricularia olivacea","Wright ex Griseb.","Moço, MCC","24","2009","12","10","América do Sul","Brasil","RS","RS 30 Km 88 29°57'10 7S 50°14'20 7W",NA,NA,"submersa flutuante, flores brancas",NA,NA,NA,NA,NA,"Osório","-50.238889","-29.952778",NA,NA,"-50.238889","-29.952778",NA,NA,NA,NA,NA
