"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","sex"
"15","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","27989",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L. B. Sm.","R. Mello Silva/2009",NA,"L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","768","2006","04","17",NA,"Brasil","Espírito Santo","Alto Moacir, Pedra do Cruzeiro, propr.: Landislau.",NA,"Arbusto de 2,5m de alt. Frutos verdes. Rupícula ao sol.","MBML027989",NA,"Colatina","-40.558611","-19.348056","150","150",NA,NA,"40W33'31","19S20'53",NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","29626",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L. B. Sm.","R. Mello Silva/2009",NA,"V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3253","2007","03","20",NA,"Brasil","Espírito Santo","Alto Moacir, propr.: Lalau",NA,"Arbusto 1,5m frutos verdes (CULTIVO). Afloramento rochoso.","MBML029626",NA,"Colatina","-40.558611","-19.343611","200","200",NA,NA,"40W33'31","19S20'37",NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","34703",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Fraga & Kollmann/01-XI-2016",NA,"L. Kollmann; A.P. Fontana & K. Brahim","10905","2008","04","18",NA,"Brasil","Espírito Santo","Sapucaia, Alto Moacir, terreno do Laulau, 500m.",NA,"Erva 3,5cm. Rupestre no sol. Fruto seco.","MBML034703",NA,"Colatina","-40.554722","-19.341111",NA,NA,NA,NA,"40W33'17","19S20'28",NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","37013",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Fraga & Kollmann/01-XI-2016",NA,"A. P. Fontana; L. Kollmann, E. Leme, M. Zanoni & O. Ribeiro","5109","2008","04","28",NA,"Brasil","Espírito Santo","Santa Luzia do Córrego Azul, Pedra da Torre, ao lado do vilarejo, afloramento rochoso granítico",NA,"Rupícola no sol, ca. 2m. Frutos verdes.","MBML037013",NA,"Água Doce do Norte","-41.122333","-18.423833",NA,NA,NA,NA,"41W7'20,4","18S25'25,8",NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","37105",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Fraga & Kollmann/01-XI-2016",NA,"A. P. Fontana; L. Kollmann, E. Leme, M. Zanoni & O. Ribeiro","5120","2008","04","28",NA,"Brasil","Minas Gerais","Afloramento rochoso granítico, na beira da estrada entre Santa Luzia e Nova Belém",NA,"rupícola no sol, ca. 1,5m. Frutos verdes.","MBML037105",NA,"Nova Belém","-41.124556","-18.496833",NA,NA,NA,NA,"41W7'28,4","18S29'48,6",NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","39338",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Fraga & Kollmann/01-XI-2016",NA,"L. Kollmann; & E. Leme","11795","2009","09","11",NA,"Brasil","Espírito Santo",NA,NA,"Arbusto 2 m ao sol rupícola, frutos verdes.","MBML039338",NA,"Ecoporanga","-40.748611","-18.292778",NA,NA,NA,NA,"40W44'55","18S17'34",NA,NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","41756",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Fraga & Kollmann/01-XI-2016",NA,"A. M. Assis","1858","2008","11","06",NA,"Brasil","Espírito Santo","Miracema (Torre 41/1 - LT 230 Kv Mascarenhas x Verona)",NA,"Arbusto 2 m. Frutos secos. Floresta Estacional Semidecidual - afloramento rochoso.","MBML041756",NA,"Colatina","-40.648361","-19.270139","200","200",NA,NA,"40W38'54,1","19S16'12,5",NA,NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","28891",NA,"Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L. B. Sm.","R. Mello Silva/2009",NA,"L. F. S. Magnago; V. Demuner, M. Belizário, E. Bausen","717","2006","02","22",NA,"Brasil","Espírito Santo","Alto Moacir, Pedra do Cruzeiro, propr.: Landislau",NA,"Arbusto 2m de alt. Frutos verdes. Vegetação rupestre.","MBML028891",NA,"Colatina","-40.525278","-19.310833","150","150",NA,NA,"40W31'31","19S18'39",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-25 10:11:32-03","CVRD","CVRD","15203","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Mello-Silva, R.",NA,"Folli, D.A.","7317","2014","12","09","América do Sul","BRASIL","MG","área de pedreira",NA,"Espécie ameaçada de status (E N) Em Perigo. <ll>dwc_commonname:</ll> Canela-de-ema-roxa","CVRD015203","CVRD015203","Aimorés","-41.0638999938965","-19.4958000183105",NA,NA,"54161","auto",NA,NA,"Liliopsida","2015","02","05",NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2981448","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.",NA,NA,"G. Hatschbach & O. Guimarães",NA,NA,NA,NA,"South America - Neotropics","Brazil","Espírito Santo",NA,NA,NA,"US01328875","US01328875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1",NA,NA
"25","2020-09-12 05:00:02-03","US","US","2981447","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.",NA,NA,"G. Hatschbach & O. Guimarães",NA,"1983","10","16","South America - Neotropics","Brazil","Espírito Santo","Pedra Azul.",NA,NA,"US01328873","US01328873_01","Domingos Martins","-40.6591987609863","-20.3633003234863","950",NA,"48150","auto",NA,NA,"Monocotyledonae",NA,NA,NA,"1",NA,NA
"26","2020-09-12 05:00:02-03","US","US","2369003","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.",NA,"Holotype","B. Maguire","49289","1960","8","21","South America - Neotropics","Brazil","Minas Gerais","West of Pedra Azul",NA,NA,"US00092405","US00092405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1",NA,NA
"27","2020-09-12 05:00:02-03","US","US","3217049","PreservedSpecimen","Plantae",NA,"Liliales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.",NA,NA,"R. M. Harley & et al.",NA,"1988","10","19","South America - Neotropics","Brazil","Minas Gerais","10 km ao leste da cidade, na estrada para Almenara",NA,NA,"US01328874","US01328874_01","Pedra Azul","-41.2","-16.13","800",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"1",NA,NA
"28","2019-11-13 11:32:37-03","USP","SPF","215229","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Mello-Silva, R",NA,"Groppo, M","2054","2011","03","29",NA,"Brasil","Espírito Santo",NA,NA,NA,"SPF00215229",NA,"Santa Teresa","-40.614","-19.842361","230","230",NA,NA,"-40.614","-19.842361",NA,"2011","06",NA,NA,NA,NA
"29","2019-11-13 11:32:37-03","USP","SPF","228782","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Mello-Silva, R",NA,"Paula, LFA","988","2016","04","01",NA,"Brasil","Minas Gerais","Pedra da Baleia",NA,NA,"SPF00228782",NA,"Carlos Chagas","-40.995833","-17.8275","365","365",NA,NA,"-40.995833","-17.8275",NA,"2017","05",NA,NA,NA,NA
"30","2019-11-13 11:32:37-03","USP","SPF","228850","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Mello-Silva, R",NA,"Forzza, RC","7609","2013","04","22",NA,"Brasil","Espírito Santo",NA,NA,NA,"SPF00228850",NA,"Água Doce do Norte","-40.985278","-18.569722","624","624",NA,NA,"-40.985278","-18.569722",NA,"2017","05",NA,NA,NA,NA
"31","2019-11-13 11:32:37-03","USP","SPF","228837","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.","Mello-Silva, R",NA,"Folli, DA","7317","2014","12","09",NA,"Brasil","Minas Gerais",NA,NA,NA,"SPF00228837",NA,"Aimorés","-41.0638999938965","-19.4958000183105",NA,NA,"54161","auto",NA,NA,NA,"2015","02","05",NA,NA,NA
"32","2019-10-07 09:20:32-03","UEFS","HUEFS","11864","PreservedSpecimen","Plantae","Angiospermae","Pandanales","Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B.Sm.",NA,NA,"Hatschbach, G.","52277","1988","07","20",NA,"Brasil","Minas Gerais",NA,NA,NA,"HUEFS0011864","HUEFS0011864","Teófilo Otoni","-41.505298614502","-17.8575000762939",NA,NA,"62594","auto",NA,NA,"Lilianae",NA,NA,NA,NA,NA,NA
"33","2021-02-23 13:23:11-03","MN","R-TIPOS","112705","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L.B. Sm.","Smith, L.B.","Isotypus","Maguire, B.; Magalhães, G.M. & Maguire, C.K.","49289","1960","08","21",NA,"Brasil","Minas Gerais","Pedra Azul",NA,NA,"R000112705","R000112705_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1961",NA,NA,NA,NA,NA
"34","2010-08-16 16:42:02-03","GH","HU-HERB","GH 00030353","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","pulchra","Vellozia pulchra","L. B. Smith",NA,"Isotype","B. Maguire, G. M. Magalhães & C. K. Maguire","49289","1960","8","21","South America","Brazil","Minas Gerais","Immediately west of Pedra Azul","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49289","undetermined"
