"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","relatedCatalogItem"
"11","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","36791",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","R.F. Almeida/IX-2012","A. M. Amorim; et al","7649","2008","07","22",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas","-40.519444","-20.291389",NA,NA,NA,NA,"MBML036791","MBML036791",NA,NA,NA,NA,"40W31'10","20S17'29",NA,NA,NA
"12","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","3949",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","R. M. Pizziolo","148","1984","06","14",NA,"Brasil","Espírito Santo","Santa Teresa","25 de Julho, Alto Julião","-40.539722","-19.741667",NA,NA,NA,"Trepadeira, fruto jovem, solo escuro, altitude de +/- 700m.","MBML003949","MBML003949",NA,NA,NA,NA,"40W32'23","19S44'30","PARATIPO",NA,NA
"13","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","9963",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","L. Kollmann; E. Bausen & W. Pizziolo","2217","1999","03","22",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222",NA,NA,NA,"Mata de encosta. Trepadeira na sombra. Flores amarelas.","MBML009963","MBML009963",NA,NA,NA,NA,"40W35'21","19S55'20","PARATIPO",NA,NA
"14","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","9968",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","L. Kollmann; E. Bausen & W. Pizziolo","2431","1999","04","07",NA,"Brasil","Espírito Santo","Santa Teresa","São Lourenço, Mata Fria","-40.683611","-19.931111",NA,NA,NA,"Mata de encosta. Trepadeira. Flores amarelas.","MBML009968","MBML009968",NA,NA,NA,NA,"40W41'1","19S55'52","PARATIPO","2",NA
"15","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","9973",NA,"Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","André M. Amorim/2003","L. Kollmann; E. Bausen & W. Pizziolo","2626","1999","06","17",NA,"Brasil","Espírito Santo","Santa Teresa","São Lourenço, Mata Fria","-40.683611","-19.931111",NA,NA,NA,"Mata de encosta. Trepadeira no sol. Frutos avermelhados.","MBML009973","MBML009973",NA,NA,NA,NA,"40W41'1","19S55'52","PARATIPO",NA,NA
"16","2021-03-15 18:28:27-03","USP","SPF","161197","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, AMA","Amorim, AMA","3391","2000","05","30",NA,"Brasil","Espírito Santo","Santa Teresa","Terreno do Bosa. Trilho no interior da mata ao lado da estrada principal de acesso ao terreno. Flores ombrófila densa.","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Trepadeira ca. 1.5-3 m alt. Folhas verdes, face superior mais escura. Raque castanho claro. Samarídeos com núcleo verde, ala verde calro na base e róseo-vívido no ápice.","SPF00161197","SPF00161197","23813","auto","2003",NA,NA,NA,NA,NA,NA
"17","2020-07-23 12:11:24-03","CEPLAC","CEPEC","109719","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba",NA,"A. M. Amorim","A. M. Amorim","3317","2000","02","15",NA,"Brasil","Espírito Santo","SANTA TERESA","Terreno do Boza.","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,"30/12/2007"
"18","2020-07-23 12:11:24-03","CEPLAC","CEPEC","113944","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba",NA,"Amorim, A. M.","Kollman, L.","7871","2005","05","20",NA,"Brasil","Espírito Santo","Alto Santo Antônio","Terreno do Vago, Cruzeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-23 12:11:24-03","CEPLAC","CEPEC","125906","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba",NA,"Amorim, A. M.","Amorim, A. M.","7649",NA,NA,NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-23 12:11:24-03","CEPLAC","CEPEC","96727","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba",NA,"A. M. Amorim","W. W. Thomas","13194","1986","01","03",NA,"Brasil","Alagoas","FLEXEIRAS","Serra das Águas belas. 18.5Km ao N da junção BR-101 e na Rod. Para Maceió, depois 2-3Km ao W da estrada de terra.","-35.766667","-9.233333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35W46'","9S14'",NA,NA,"30/12/2005"
"21","2020-07-23 12:11:24-03","CEPLAC","CEPEC","109731","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba",NA,"A. M. Amorim","L. Kollmann","2626","1999","06","17",NA,"Brasil","Espírito Santo","SANTA TERESA","Sãom Lourenço. Mata Fria, terreno de C. Loes (à direita).","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,"30/12/2003"
"22","2020-07-23 12:11:24-03","CEPLAC","CEPEC","109732","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba",NA,"A. M. Amorim","L. Kollmann","2431","1998","04","09",NA,"Brasil","Espírito Santo","SANTA TERESA","São Lourenço. Terreno de C. Loes (valão a direita do asfalto).","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,NA,"30/12/2003"
"23","2019-11-21 10:08:47-03","IBt","SP","366733","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, AM","Sousa, G; Alves, M; Konno, T; Fiaschi, P; Unwin, M","465","2001","03","07",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas, Trilha de acesso à torre de transmissão","-40.5175","-20.289722","700","700",NA,NA,"SP018093",NA,NA,NA,"2003",NA,"-40.5175","-20.289722",NA,NA,NA
"24","2019-11-21 10:08:47-03","IBt","SP","367608","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, AM","Kollmann, L; Bausen, E; Pizziolo, W","2217","1999","03","22",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antonio, terreno do Boza","-40.6002998352051","-19.9356002807617","850","850",NA,NA,"SP018092","SP018092","23813","auto","2003",NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:08:47-03","IBt","SP","367662a","Extra","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, AM","Amorim, AM; Sousa, GM; Kollmann, L; Bausen, E; Demuner, V","3317","2000","02","15",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antonio, terreno do Boza. Floresta ombrófila densa","-40.6002998352051","-19.9356002807617","850","850",NA,"Trepadeira em subosque, ramos jovens marrons, maduros acinzentados, folhas com face superior verde-escura, inferior mais clara com indumento ferrugíneo, inflorescência castanho-claro, pedicelo e cálice castanho, pétalas amarelo-esverdea","SP000212","SP000212","23813","auto","2003",NA,NA,NA,"Isotype",NA,NA
"26","2019-11-21 10:08:47-03","IBt","SP","367662","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, AM","Amorim, AM; Sousa, GM; Kollmann, L; Bausen, E; Demuner, V","3317","2000","02","15",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antonio, terreno do Boza. Floresta ombrófila densa","-40.6002998352051","-19.9356002807617","850","850",NA,"Trepadeira em subosque, ramos jovens marrons, maduros acinzentados, folhas com face superior verde-escura, inferior mais clara com indumento ferrugíneo, inflorescência castanho-claro, pedicelo e cálice castanho, pétalas amarelo-esverdea","SP000211","SP000211","23813","auto","2003",NA,NA,NA,"Holotype",NA,NA
"27","2019-11-21 10:08:47-03","IBt","SP","366603","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, AM","Amorim, AM; Alves, MV; Sousa, GM; Kollmann, L","3398","2000","05","30",NA,"Brasil","Espírito Santo","Santa Teresa","São Lourenço, Mata Fria. Trilha no interior da mata em acesso à parte mais elevada","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"SP018095",NA,"23813","auto","2003",NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:08:47-03","IBt","SP","366734","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","capixaba","Heteropterys capixaba","Amorim","Amorim, AM","Amorim, AM; Alves, MV; Sousa, GM; Demuner, V","3391","2000","05","30",NA,"Brasil","Espírito Santo","Santa Teresa","Terreno do Bosa. Trilha no interior da mata ao lado da estrada principal de acesso ao terreno","-40.6002998352051","-19.9356002807617",NA,NA,NA,NA,"SP018094","SP018094","23813","auto","2003",NA,NA,NA,NA,NA,NA
