"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"21","2019-10-09 11:10:46-03","UFBA","ALCB","61409","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","s/n","2003","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal, trilha da cachoeira do Tiburtino.","-41.371944","-13.001389",NA,NA,NA,"de ca. 1m. Caule jovem tomentoso . Folhas de margem revoluta, e face abaxial tomentosa. Capítulo congesto, terminal. Flores roxas.",NA,NA,"Guedes, ML",NA,"-41.371944","-13.001389","2003","06",NA,NA,NA,NA,NA,NA,NA
"22","2019-10-09 11:10:46-03","UFBA","ALCB","60448","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Estagiários; Alunos de Botânica III","s/n","2003","02","15","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina","-30.316667","-12.683333",NA,NA,NA,"De ca. 1-2 m de alt. Caules jovens tomentosos. Folhas squamosa, frequentemente arqueada, linear e lanceolada, margem revoluta, glabra na face adaxial e tomentosa na abaxial. Inflorescência terminal. Capítulo congesto, azul-púrpuro.",NA,NA,"Guedes, ML",NA,"-30.316667","-12.683333","2003","04",NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:10:46-03","UFBA","ALCB","61409","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","s/n","2003","01","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal, trilha para a Cachoeira do Tiburtino","-41.371944","-13.001389",NA,NA,NA,"De ca. 1 m de alt. Caule jovem tomentoso. Folhas de margem revoluta, e face abaxial tomentosa. Capítulo congesto, terminal. Flores roxas.",NA,NA,"Guedes, ML",NA,"-41.371944","-13.001389","2003","06",NA,NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:10:46-03","UFBA","ALCB","62683","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Giulietti, AM; Harley, RM; Bittrich, V","1957","2000","03","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Centro do Projeto Sempre-Viva. Trilha para Tiburtino. Próximo aos rios Piabinha e Cumbuca.","-41.341389","-12.993333",NA,NA,NA,"Até árvore de 3 m de alt., com tronco de 10 cm de diâmetro, com copa densa. Folhas patentes, discolores, verdes escuras na face superior, verdes esbranquiçadas na face inferior. Flores liláses.",NA,NA,NA,NA,"-41.341389","-12.993333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:10:46-03","UFBA","ALCB","68783","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Cruz, FG; Martins, DV; Gomes, DF; et al.","11435","2004","09","18","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Três Morros","-41.880278","-13.060833",NA,NA,NA,"De ca. 1 m de alt. Folhas discolores com a face abaxial lanuginosa, margem revoluta. Inflorescência pauciflora, flores com papus cremes. Frequente.",NA,NA,"Guedes, ML",NA,"-41.880278","-13.060833","2005","05",NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:10:46-03","UFBA","ALCB","68955","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Cruz, FG; Martins, DV; Gomes, DF; et al.","11435","2004","09","18","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Três Morros","-41.880278","-13.060833",NA,NA,NA,"de ca 1m. Folhas discolores, com a face abaxial lanuginosa, margem revoluta. Inflorescência pauciflora, flores com pappus cremes. Freqüente.",NA,NA,"Guedes, ML",NA,"-41.880278","-13.060833","2005","05",NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:10:46-03","UFBA","ALCB","69802","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Velozo, ES; et al.","11865","2005","03","26","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Caminho de Piatã/Inúbia","-41.866667","-13.233333",NA,NA,NA,"De ca. 1,80 m de alt. Folhas crassas, discolores, com a face abaxial com tomentos esbranquiçados. Inflorescência terminal de flores liláses.; Arbustivo Arbóreo",NA,NA,"Guedes, ML",NA,"-41.866667","-13.233333","2005","12",NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:10:46-03","UFBA","ALCB","69802","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Velozo, ES; et al.","11865","2005","03","26","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Caminho de Piatã/ Inubia","-41.866667","-13.233333",NA,NA,NA,"de ca 1,80m. Folhas crassas, discolores, com a face abaxial com tomentos esbranquiçados. Inflorescência terminal de flores liláses.; arbutivo-arbóreo",NA,NA,"Guedes, ML",NA,"-41.866667","-13.233333","2005","12",NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:10:46-03","UFBA","ALCB","73568","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","1390","2006","07","08","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para a Cachoeira do Tiburtino","-41.341389","-12.992222","980","980",NA,"ca. 3m alt. Brácteas involucrais verdes, corola lilás.",NA,NA,"Roque, N; Oliveira, EC de",NA,"-41.341389","-12.992222","2006","08",NA,NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:10:46-03","UFBA","ALCB","74483","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Rigueira, D; Estagiários; Alunos de Botânica III","12471","2006","10","13","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Fazenda Beija-Flor","-41.766667","-13.15",NA,NA,NA,"De ca. 1,20 m de alt. Caule pubescente. Folhas lineares, com margem revoluta. Face abaxial com indumento esbranquiçado. Inflorescência com flores liláses.",NA,NA,"Liro, RM",NA,"-41.766667","-13.15","2007","03",NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:10:46-03","UFBA","ALCB","74484","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Rigueira, D; Estagiários; Alunos de Botânica III","12472","2006","10","13","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, Fazenda Beija-Flor","-41.766667","-13.15",NA,NA,NA,"De ca. 1,30 m de alt. Folhas cartáceas, discolores, com a face abaxial tomentosa. Inflorescência terminal passadas.",NA,NA,"Liro, RM",NA,"-41.766667","-13.15","2007","03",NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:10:46-03","UFBA","ALCB","75172","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","1490","2006","12","02","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para a Cachoeira do Tiburtino","-41.344444","-12.999167","915","915",NA,"Cerca de 2,5m de altura. Brácteas involucrais verdes, corola lilás.",NA,NA,"Roque, N",NA,"-41.344444","-12.999167","2006","12",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:10:46-03","UFBA","ALCB","78406","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","1561","2007","05","19","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê, trilha para a Cachoeira das Andorinhas","-41.343889","-13.016667","948","948",NA,"até 1m alt. Brácteas involucrais verdes, corola lilás.",NA,NA,"Roque, N",NA,"-41.343889","-13.016667","2007","05",NA,NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:10:46-03","UFBA","ALCB","86173","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","1883","2008","10","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê, trilha para o Tiburtino","-41.345278","-13.001389","915","915",NA,"ca 2m alt. Brácteas involucrais verdes, corola lilás passando a alvo, anteras e estilete lilases. Folhas discolores.",NA,NA,"Roque, N",NA,"-41.345278","-13.001389","2008","11",NA,NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:10:46-03","UFBA","ALCB","86173","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","1883","2008","10","25","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê. Trilha para o Tiburtino","-41.345278","-13.001389",NA,NA,NA,"Ca. 2 m de alt. Brácteas involucrais verdes, corola lilás passando a alvo, anteras e estilete liláses. Folhas discolores.",NA,NA,"Roque, N",NA,"-41.345278","-13.001389","2008","11",NA,NA,NA,NA,NA,NA,NA
"36","2019-10-09 11:10:46-03","UFBA","ALCB","89067","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Acevedo-Rodríguez, P; Funk, V; Keeley, S","2175","2009","07","06","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Parque Municipal de Mucugê - Trilha para a Cachoeira do Tiburtino","-41.356111","-13.010556","886","886",NA,"ca. 2,5m alt., folhas discolores. Brácteas involucrais verdes, flores lilases passando a alvas.",NA,NA,"Roque, N; Liro, RM",NA,"-41.356111","-13.010556","2009","07",NA,NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:10:46-03","UFBA","ALCB","94717","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Alunos de Botânica III","2789","2010","05","22","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, Trilha para o Rio Paraguaçu, início na estação de tratamento de água","-41.391389","-13.000278","941","941",NA,"ca 1,3 m alt.; folhas discolores; brácteas involucrais verdes; corola lilás tornando-se alva.",NA,NA,"Roque, N",NA,"-41.391389","-13.000278","2010","05",NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:10:46-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Queiroz, LP de; Silva, BM da; Gusmão, LFP; Barreto, IC","5615","2000","01","23","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina, ca. de 4 km N de Mucugê na Chapada para Andaraí, sede do 'Projeto Sempre-Viva'. Caminho da mata acima do Tiburtino","-41.341389","-12.991667","1049","1049",NA,"a arvoreta de 1,5- 3 m alt., ramificado. Folhas coriáceas. Flores com corola lilás. Frequente.",NA,NA,"Roque, N",NA,"-41.341389","-12.991667","2000","06",NA,NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:10:46-03","UFBA","ALCB","108555","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Roque, N; Santana, FA; Hurbath, F; Azevedo, FP","3541","2012","05","11","Southern America","Brasil","Bahia","Licínio de Almeida","Trilha p/ Cachoeirão.","-42.552222","-14.695","1004","1004",NA,"ca. 3,0m alt. folhas discolores. Brácteas involucrais verdes. Corola lilás.",NA,NA,"Santana, FA",NA,"-42.552222","-14.695","2012","05",NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:10:46-03","UFBA","ALCB","038053","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Guedes, ML; Guaré, F; Roque, NF; Martins, DV; Muniz","6108","1998","09","20","Southern America","Brasil","Bahia","Mucugê","Chapada Diamantina","-41.3708000183105","-13.0052995681763",NA,NA,NA,"Caule e ramos tomentosos. Folhas revolutas, discolores, face abaxial tomentosa. Inflorescência subglobosa. Flores passadas.",NA,NA,"Oliveira, EC de",NA,NA,NA,"2002","06","52493","auto",NA,NA,NA,NA,NA
"41","2019-10-09 11:10:46-03","UFBA","ALCB","102719","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Moura, L; Borges, RL","160","2011","10","15","Southern America","Brasil","Bahia","Mucugê","Trilha para o Tiburtino","-41.3708000183105","-13.0052995681763",NA,NA,NA,"c. 2.5m, folhas discolores, brácteas involucrais verdes, corola e estilete liláses, anteras roxas.",NA,NA,"Ogasawara, HA",NA,NA,NA,"2012","02","52493","auto",NA,NA,NA,NA,NA
"42","2020-02-08 08:50:19-03","NBC","NL-BOTANY","L.3756025","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Lychnophora","phylicifolia","Lychnophora phylicifolia","DC.","Arbo MM; Mello-Silva R de; Schinini A; Souza VC",NA,"1990","05","19","Southern America","Brazil",NA,NA,"Brasil, minas Gerais. Mun. Diamantina, 2-4km S de Sao Joao da Chapada.","-43.766667","-18.116667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3756025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3756025","NL-L3756025",NA,"Magnoliopsidae","-43.766667","-18.116667",NA,NA,NA,NA,NA,NA,NA,NA,NA
