"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","eventTime","individualCount","fieldNumber","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber","sex"
"26","2014-01-25 18:37:00-02","MO","MOBOT","405032","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Walter A. Palacios|Carlos Iguago","Palacios Cuenca 4458","1989","9","21","South America","Ecuador","Napo","Cantón Tena. Estación Biológica Jatun Sacha. 10 km al este de la Estación, en la vía al Río Arajuno. Bosque muy húmedo Tropical. Bosque primario sobre suelos rojos de colinas.","-77.5833333","-1.0833333",NA,NA,NA,NA,"T. Pennington, 1990 (K)",NA,"400.00000000",NA,NA,NA,NA,NA,NA,"10","89-77",NA,NA,NA,NA,NA
"27","2017-10-06 17:36:00-03","MO","MOBOT","405545","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Percy Núñez V.|M. Riley|M. Bolaños|John W. Terborgh","Núñez Vargas 11285","1989","8","18","South America","Peru","Madre de Dios","Manú National Park. Cocha Cashu Biological Station. Flood plain forest.","-71.4166667","-11.8333333",NA,NA,NA,NA,"T.D. Pennington (K)","Manu","400.00000000",NA,NA,NA,NA,NA,NA,"2","41",NA,NA,NA,NA,NA
"28","2012-08-16 05:10:00-03","MO","MOBOT","405671","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Severo Espinoza|Tiro Coba","Espinoza 392","1990","10","1","South America","Ecuador","Pastaza","Pozo petrolero Danta 2 de UNOCAL. 50 km al sur-sureste de Curaray. Bosque húmedo Tropical, primario. Arboles cortados por la obras petroleras. Suelo rojo, colinas.","-76.8","-1.78333",NA,NA,NA,NA,"D. Neill (MO)","Pastaza","365.00000000",NA,NA,NA,NA,NA,NA,"10","90-3",NA,NA,NA,NA,NA
"29","2011-06-09 16:54:00-03","MO","MOBOT","406342","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Carlos E. Cerón","Cerón Martínez 6144","1989","1","23","South America","Ecuador","Napo","Canton Tena Estación Biológica Jatun Sacha. 8 km al este de Misahuallí. Bosque muy húmedo Tropical.","-77.6","-1.06666",NA,NA,NA,NA,"T. Pennington, 1990 (K)",NA,"400.00000000",NA,NA,NA,NA,NA,NA,"4","89-2",NA,NA,NA,NA,NA
"30","2008-05-27 22:02:00-03","MO","MOBOT","406572","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Carlos E. Cerón|Nelson Gallo","Cerón Martínez 5093","1988","9","22","South America","Ecuador","Napo","Cantón Aguarico. Parque Nacional Yasuní. Lagunas de Garza Cocha. Bosque húmedo Tropical. Bosque primario cerca a borde del río Garza. Suelo parcialmente inundado.","-75.78333","-1.01666",NA,NA,NA,NA,"T. Pennington (K)",NA,"200.00000000",NA,NA,NA,NA,NA,NA,"12","88-21",NA,NA,NA,NA,NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","406713","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Carlos E. Cerón|Carlos Iguago|Zaldumbide, Edy","Cerón Martínez 8394","1990","1","20","South America","Ecuador","Napo","Cantón Tena. Estación Biológica Jatun Sacha. 8 km al este de Misahuallí. Bosque huy húmedo Tropical. Bosque primario, cerca al riachuelo Chinguipino. Parcela Permanente 03.","-77.6","-1.06666",NA,NA,NA,NA,"T.D. Pennington (K)",NA,"400.00000000",NA,NA,NA,NA,NA,NA,"5","90-3",NA,NA,NA,NA,NA
"32","2008-05-27 22:02:00-03","MO","MOBOT","406761","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Edgar Gudiño|Guillermo Grefa|Nestor Andi","Gudiño Jara 2147","1992","12","14","South America","Ecuador","Napo","Pompeya. Carretera MAXUS km 3.9-5.2. Bosque primario. Bosque húmedo Tropical.","-76.61666","-0.41666",NA,NA,NA,NA,"D. Neill (MO)","La Joya de los Sachas","250.00000000",NA,NA,NA,NA,NA,NA,"10","92-28",NA,NA,NA,NA,NA
"33","2008-05-27 22:02:00-03","MO","MOBOT","407312","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Fernando Hurtado","Hurtado 3054","1993","4","1","South America","Ecuador","Napo","Parque Nacional Yasuní","-76.51666","-0.55",NA,NA,NA,NA,"T.D. Pennington (K)","Orellana","230.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","407357","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Fernando Hurtado","Hurtado 3133","1993","4","1","South America","Ecuador","Napo","Parque Nacional Yasuní. Carretera y oleoducto de Maxus en construcción, Km 19. Bosque húmedo Tropical. Bosque primario. Colinas de suelo rojo.","-76.51666","-0.55",NA,NA,NA,NA,"T.D. Pennington (K)","Orellana","230.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2014-04-04 05:45:00-03","MO","MOBOT","408312","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 13471","1990","2","14","South America","Peru","Loreto","Indiana, Explorama Reserve. Bosque primario.","-73.0833333","-3.5",NA,NA,NA,NA,"T.D. Pennington (K)","Maynas","108.00000000",NA,NA,NA,NA,NA,NA,"3","169",NA,NA,NA,NA,NA
"36","2014-07-31 12:21:00-03","MO","MOBOT","408790","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Daniel Rubio|Tiro Coba","Rubio 866","1990","10","1","South America","Ecuador","Pastaza","Pozo petrolero Danta 2 de UNOCAL. 50 km al sur-sureste de Curaray. Suelo rojo, colinas.","-76.8","-1.7833333",NA,NA,NA,NA,"D. Neill (MO)","Pastaza","365.00000000",NA,NA,NA,NA,NA,NA,"7","90-15",NA,NA,NA,NA,NA
"37","2014-07-31 12:21:00-03","MO","MOBOT","408941","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Daniel Rubio|Tiro Coba","Rubio 815","1990","10","1","South America","Ecuador","Pastaza","Pozo petrolero Danta 2 de UNOCAL. 50 km al sur-sureste de Curaray. Suelo rojo, colinas.","-76.8","-1.7833333",NA,NA,NA,NA,"D. Neill (MO)","Pastaza","365.00000000",NA,NA,NA,NA,NA,NA,"7","90-15",NA,NA,NA,NA,NA
"38","2011-04-22 13:52:00-03","MO","MOBOT","1524154","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D. Penn.",NA,"Manuel J. Macía|Romel Montúfar|B. Mesa|comunidad Huaorani de Dicaro","Macía 1407","1997","9","22","South America","Ecuador","Orellana","Parque Nacional Yasuní. Carretera Pompeya Sur-Iro, Plano inundable Km. 84,7. Plot # 22.","-76.2333333","-0.8666667",NA,NA,NA,NA,"M. J. Macía",NA,"250.00000000","300.00000000",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"39","2020-08-31 08:55:00-03","INPA","INPA","24940","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","vestita","Pouteria vestita","(Baehni) T.D.Penn.",NA,"Prance, GT","8142","1968","10","31","Southern America","Brasil","Amazonas","Rio Purús, 5 km above Lábrea, East bank of, East bank pf rio Purus, 5 km above Labrea.","-64.798211","-7.265097",NA,NA,"INPA0024940",NA,NA,"Lábrea",NA,NA,NA,"-64.798211","-7.265097",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-08-31 08:55:02-03","INPA","INPA","192185","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Krukoff, BA","4743","1933","06","10","Southern America","Brasil","Amazonas","Rio Juruá, basin of rio Juruá, near mouth of rio Embira (trib. of rio Tarauacá).","-70.25","-7.5",NA,NA,"INPA0192185","INPA0192185 INPA0192185_d INPA0192185_e",NA,NA,NA,NA,NA,"-70.25","-7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-08-31 08:55:02-03","INPA","INPA","24534","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Prance, GT","7736","1968","10","01","Southern America","Brasil","Acre","Rio Iaco, Trail to Rio Iaco, from km 7 road Sena Madureia to Rio Branco","-68.6567","-9.0658",NA,NA,"INPA0024534","INPA0024534 INPA0024534_e INPA0024534_e1","Pennington, TD","Sena Madureira",NA,NA,NA,"-68.6567","-9.0658",NA,NA,NA,NA,"1998",NA,NA,NA,NA
"42","2020-08-31 08:55:02-03","INPA","INPA","168504","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Croat, TB","62538","1986","08","23","Southern America","Brasil","Acre","Canamarí Amazonas, North of Cruzeiro do Sul, downstrean along Rio Jurua, along varzea riverbank forest, about 1 km upstream from Florest.","-72","-7.616667",NA,NA,"INPA0168504","INPA0168504 INPA0168504_e INPA0168504_e1 INPA0168504_e2",NA,NA,"150","150",NA,"-72","-7.616667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-08-31 08:55:02-03","INPA","INPA","231419","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Sarcaulus","vestitus","Sarcaulus vestitus","(Baehni) T.D.Penn.",NA,"Silveira, M","487","1993","04","06","Southern America","Brasil","Acre","Reserva Extrativista do Alto Juruá, Upper Rio Juruá, Reserva Extrativista do Alto Juruá, above Igarapé Caipora, across from fazenda Natal, left bank.","-72.7","-9.3",NA,NA,"INPA0231419","INPA0231419 INPA0231419_e","Alves-Araújo, A","Marechal Traumaturgo",NA,NA,NA,"-72.7","-9.3",NA,NA,NA,NA,"2018","12","05",NA,NA
"44","2020-09-12 05:00:02-03","US","US","USw9179","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","vestita","Pouteria vestita","Baehni",NA,"B. A. Krukoff","4743",NA,NA,NA,"South America - Neotropics","Brazil","Amazonas","Basin of Rio Jurua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
