"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem"
"14","2021-03-15 18:28:27-03","USP","SPF","211901","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Pace, MR; Amorim, AMA; Lima, J; Halla Daneu, LT","381","2013","06","08",NA,"Brasil","Bahia","Boa Nova","Parque Nacional de Boa Nova","-40.126472","-14.407722","836","836",NA,"Liana robusta, margem das folhas ondulada. Coleta de caule para estudos anatômicos.","SPF00211901","SPF00211901","Amorim, AMA","-40.126472","-14.407722",NA,NA,NA,"2013","06","10",NA,NA
"15","2021-03-15 18:28:27-03","USP","SPF","211871","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Pace, MR; Amorim, AMA; Gomes, LCJ; Halla Daneu, LT","347","2013","06","04",NA,"Brasil","Bahia","Ilhéus","RPPN Salto Apepique, Estrada para Retiro.","-39.0494003295898","-14.7889003753662",NA,NA,NA,"Liana robusta. Caule assimétrico. Folhas verde-escuras de margens onduladas. Planta estéril, coleta de caule para estudos anatômicos.","SPF00211871","SPF00211871","Amorim, AMA",NA,NA,"61245","auto",NA,"2013","06","04",NA,NA
"16","2019-10-07 09:31:58-03","UEFS","HUEFS","127300","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Jardim, J.G.","4858","2005","12","18",NA,"Brasil","Bahia","Arataca","Rod. Arataca / Una entrada è direita no assentamento Santo Antônio 9,5 Km, vicinal para a Fazenda Palmeira 8,9 Km da entrada. Serra do Peito-de-Moça, RPPN Palmeira / IESB. Coletas efetuadas próximo ao córrego ca. 2 Km da sede.","-39.339444","-15.174167","450","450",NA,"Floresta.","HUEFS0127300","HUEFS0127300",NA,"39W20'22''","15S10'27''",NA,NA,NA,NA,NA,NA,"Rosanae",NA
"17","2019-10-07 09:31:58-03","UEFS","HUEFS","77946","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Jardim, J.G.","3049","2000","07","25",NA,"Brasil","Bahia",NA,"Floresta Azul. Torre da Coelba. Entrada a ca. 12 km da sede municipal na rod. para Itapetinga, ca. 8 km da entrada.",NA,NA,"700","700",NA,NA,"HUEFS0077946","HUEFS0077946",NA,NA,NA,NA,NA,"Parátipo",NA,NA,NA,"Rosanae",NA
"18","2020-07-23 12:11:23-03","CEPLAC","CEPEC","109329","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Amorim, A. M.","5044","2005","05","21",NA,"Brasil","Bahia","TANCREDO NEVES","Estrada para os distritos de Água Branca e Julião, ca. 14,1 km de Tancredo Neves.","-39.511111","-13.443333","554","554",NA,NA,NA,NA,"Amorim, A. M.","39W30'40","13S26'36",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-07-23 12:11:23-03","CEPLAC","CEPEC","116318","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Borges, R.A.X.","837","2007","02","12",NA,"Brasil","Bahia","ITAMARAJÚ","RPPN - Fazenda Riacho das Pedras, prop. Sr. Gersino Antônio Bronzon","-39.364722","-17.146667",NA,NA,NA,NA,NA,NA,"Amorim, A. M.","39W21'53","17S8'48",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-23 12:11:23-03","CEPLAC","CEPEC","102249","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Thomas, W.W.","14193","2004","09","19",NA,"Brasil","Bahia","ALMADINA","Serra do Corcovado, 9,8 km ao Sul de Coaraci, na Rodovia Coaraci/Almadina. Faz. São José.","-39.603333","-14.705833","650","650",NA,NA,NA,NA,"A. M. Amorim","39W36'12","14S42'21",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-23 12:11:23-03","CEPLAC","CEPEC","107192","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Amorim, A. M.","4452","2004","12","09",NA,"Brasil","Bahia","arataca","Serra das Lontras. Ca. 7 km no ramal que liga o distrito de Itatinguí à Serra, ramal de acesso à Fazenda Véu de Noiva. Propr. Sr. José Marques.","-39.341667","-15.173611","1000","1000",NA,"Material em sílica-gel.",NA,NA,"Amorim, A. M.","39W20'30","15S10'25",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-23 12:11:23-03","CEPLAC","CEPEC","109763","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"J. G. Jardim","3440","2001","04","12",NA,"Brasil","Bahia","FLORESTA AZUL","Torres da Coelba e Telebahia. Entrada a 12Km da sede municipal, na Fazenda Haras Binow, na Rod. Para Itapetinga, ca. 90Km da Faz.","-39.699444","-14.935556",NA,NA,NA,NA,NA,NA,"A. M. Amorim","39W41'58","14S56'8",NA,NA,"Holótipo",NA,NA,NA,NA,"30/12/2003"
"23","2020-07-23 12:11:23-03","CEPLAC","CEPEC","109823","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Lopes, M. M. M.","522","2006","02","15",NA,"Brasil","Bahia","arataca","Serra do Peito-de-Moça - Serra das Lontras. Estrada Arataca-Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611","1000","1000",NA,"Coletada no meio da serra.",NA,NA,"Amorim, A. M.","39W20'30","15S10'25",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-07-23 12:11:23-03","CEPLAC","CEPEC","109980","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Jardim, J. G.","4858","2005","12","18",NA,"Brasil","Bahia","arataca","Rod. Arataca/Una entrada à direta no assentamento Santo Antônio 9,5 km, vicinal para a Fazenda Palmeira 8,9km da entrada. Serra do Peito de Moça, RPPN Palmeira/IESB. Coletas efetuadas próximo ao córrega ca. 2km da sede.","-39.339444","-15.174167","450","450",NA,NA,NA,NA,"J. G. Jardim","39W20'22","15S10'27",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-07-23 12:11:23-03","CEPLAC","CEPEC","112011","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Amorim, A. M.","3981","2004","04","21",NA,"Brasil","Bahia","URUÇUCA","Estrada que liga Uruçuca à Serra Grande, mata da torre. Área do inventário do plano de manejo do Parque Estadual Serra do Conduru.","-39.115","-14.499722","380","380",NA,"Estéril. UNICATA.",NA,NA,"Amorim, A. M.","39W6'54","14S29'59",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-07-23 12:11:23-03","CEPLAC","CEPEC","112682","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Lopes, M. M. M.","980","2006","08","05",NA,"Brasil","Bahia","arataca","RPPN Caminho das Pedras, beira do ramal que leva à trilha de acesso ao Peito-de-Moça.","-39.341667","-15.173611","1000","1000",NA,NA,NA,NA,"Amorim, A. M.","39W20'30","15S10'25",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-23 12:11:23-03","CEPLAC","CEPEC","112749","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Jardim, J. G.","4355","2005","02","12",NA,"Brasil","Bahia","arataca","Serra das Lontras, ca. 7 km no ramal que liga o povoado de Itatinguí à Serra das Lontras. Ca.","-39.341667","-15.173611","600","600",NA,NA,NA,NA,"J. G. Jardim","39W20'30","15S10'25",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-08-03 12:09:45-03","CEPLAC","CEPEC","115755","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Amorim, A. M.","6693","2007","01","19",NA,"Brasil","Bahia","arataca","Serra do Peito-de-Moça. Estrada que liga Arataca à Una, ramal ca. 22,4km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611","1000","1000",NA,"Flores em álcool 70%. Folhas em sílica-gel.",NA,NA,"Amorim, A. M.","39W20'30","15S10'25",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-08-03 12:09:45-03","CEPLAC","CEPEC","115798","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Amorim, A. M.","6735","2007","01","20",NA,"Brasil","Bahia","arataca","Serra do Peito-de-Moça. Estrada que liga Arataca à Una, ramal ca. 22,4km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611","1000","1000",NA,"Flores em álcool 70%. Folhas em sílica-gel.",NA,NA,"Sem Informação","39W20'30","15S10'25",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-07-23 12:11:23-03","CEPLAC","CEPEC","116672","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"L. A. Mattos-Silva","4480","2001","07","27",NA,"Brasil","Bahia","WENCESLAU GUIMARÃES","Estação Ecológica Estadual Nova Esperança. Sede a 7Km do povoado Nova Esperança. Área aprox. 2.700ha.Margem da Cachoeira do Rio Serra Grande.","-39.707778","-13.578056",NA,NA,NA,NA,NA,NA,"A. M. Amorim","39W42'28","13S34'41",NA,NA,NA,NA,NA,NA,NA,"30/12/2007"
"31","2020-07-23 12:11:23-03","CEPLAC","CEPEC","116760","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Amorim, A. M.","7013","2007","04","14",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita. 10 km W de Camacan na estrada para Jacarecí, 6 km SW na estrada para a RPPN e Torre de transmissão. Trilha da pousada.","-39.564722","-15.393056","850","850",NA,"Estéril. UNICATA.",NA,NA,"Sem Informação","39W33'53","15S23'35",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-07-23 12:11:23-03","CEPLAC","CEPEC","126619","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"L. Daneu","127","2009","09","12",NA,"Brasil","Bahia","arataca","Serra Novo Javi, RPPN do IESB. Rod. Una/Arataca 9,5Km ao N, mais 8,9Km até a sede da RPPN. Trilha da Serra, acesso 1,5Km NE da sede. Topo da serra.","-39.335833","-15.178333",NA,NA,NA,NA,NA,NA,"R. de O. Perdiz","39W20'9","15S10'42",NA,NA,NA,NA,NA,NA,NA,"29/04/2011"
"33","2020-07-23 12:11:23-03","CEPLAC","CEPEC","126761","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Sant`Ana, S.C.","1236","2004","08","04",NA,"Brasil","Bahia","arataca","Serra da Lontras, ca. De 7km no ramal que liga o povoado de Itatingui à Serra das Lontras.","-39.408056","-15.202778",NA,NA,NA,"DNA, Estéril.",NA,NA,"A. M. Amorim","39W24'29","15S12'10",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-23 12:11:23-03","CEPLAC","CEPEC","89722","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"L. A. Mattos-Silva","4488","2001","07","27",NA,"Brasil","Bahia","WENCESLAU GUIMARÃES","Estação Ecológica Nova Esperança. Sede a 7Km a W do povoado de Nova Esperança. Área com aprox. 2.700ha. Margemda Cachoeira do Rio Serra Grande.","-39.721667","-13.595278",NA,NA,NA,NA,NA,NA,"A. M. Amorim","39W43'18","13S35'43",NA,NA,"Paratipo",NA,NA,NA,NA,"30/12/2002"
"35","2020-07-23 12:11:23-03","CEPLAC","CEPEC","93673","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"J. G. Jardim",NA,"2003","02","19",NA,"Brasil","Bahia","URUÇUCA","Estrada Serra Grande/Itacaré. Entorno do Parna Conduru.","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA,"A. M. Amorim","39W1'0","14S25'0",NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"36","2020-07-23 12:11:23-03","CEPLAC","CEPEC","128977","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Perdiz, R. de O.","839","2011","07","28",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada.","-39.542222","-14.773889","563","563",NA,"Base da serra. Fotos",NA,NA,"Sem Informação","39W32'32","14S46'26",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-07-23 12:11:23-03","CEPLAC","CEPEC","126246","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata",NA,"Daneu, L.","57",NA,NA,NA,NA,"Brasil","Bahia","arataca",NA,"-39.4143981933594","-15.2632999420166",NA,NA,NA,NA,NA,NA,"Perdiz, R. de O.",NA,NA,"19859","auto",NA,NA,NA,NA,NA,NA
"38","2019-11-21 10:08:44-03","IBt","SP","367641","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Amorim, AM; Jardim, JG; Costa, CB; Sant'Ana, SC","3551","2000","06","28",NA,"Brasil","Bahia","Floresta Azul","Fazenda Aras Binow, acesso pela BR-415. Floresta ombrófila densa","-39.698889","-14.941944","774","774",NA,"Liana ca. 5 m, ocasional no subosque e na orla da mata. Ramos marrons, pecíolos castanhos com glândulas verde-escuras, lâminas verde-escuras na face superior e mais clara na inferior, raque e pedicelos ferrugíneos, glândulas marrons, sa","SP000210","SP000210","Amorim, AM","-39.698889","-14.941944",NA,NA,"Paratype","2003",NA,NA,NA,NA
"39","2019-11-21 10:08:44-03","IBt","SP","382423","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Amorim, AM; Sierra, MAJ; Sant'Ana, SC","4452","2004","12","09",NA,"Brasil","Bahia","Arataca","Serra das Lontras, Ca. 7 km no ramal que liga o povoado de Itatingui à Serra das Lontras","-39.408056","-15.202778",NA,NA,NA,NA,"SP017801","SP017801","Amorim, AM","-39.408056","-15.202778",NA,NA,NA,"2004",NA,NA,NA,NA
"40","2019-11-21 10:08:44-03","IBt","SP","386568","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Jardim, JG; Sant'Ana, SC; Paixão, J; Santos, BR","3440","2001","04","12",NA,"Brasil","Bahia","Floresta Azul","Torres da Coelba e Telebahia. Entrada a 12 km da sede municipal, na Fazenda Haras Binow, na rodovia para Itapetinga, ca. 90 km da fazenda. Floresta hidrófila de encosta","-39.699444","-14.935556","700","700",NA,"Liana sobre árvores na orla da floresta alcançando ca. 7 m alt. Folhas verdes, brilhantes na face superior, inferior mais clara. Flores com pétalas amarelas, glândulas esverdeadas no cálice, pedicelos ferrugíneos","SP000209","SP000209","Amorim, AM","-39.699444","-14.935556",NA,NA,"Isotype","2003",NA,NA,NA,NA
"41","2019-11-21 10:08:44-03","IBt","SP","397706","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Jardim, JG; Paixão, JL; Lopes, MM; Gomes, LCJ","4858","2005","12","18",NA,"Brasil","Bahia","Arataca","Rod. Arataca/Una, entrada à direita no assentamento Santo Antonio, 9,5 km, vicinal para a Fazenda Palmeira, 8,9 km da entrada. Serra do Peito de Moça, RPPN Palmeira/IESB. Próximo ao córrego ca. 2 km da sede","-39.339444","-15.174167","450","450",NA,NA,"SP017845",NA,"Mamede, MCH","-39.339444","-15.174167",NA,NA,NA,"2006",NA,NA,NA,NA
"42","2019-11-21 10:08:44-03","IBt","SP","366602","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","bullata","Heteropterys bullata","Amorim","Jardim, JG; Sant'Ana, SC","3049","2000","07","25",NA,"Brasil","Bahia","Floresta Azul","Torre da Coelha, ca. 12 km da cidade na rod. para Itapetinga, ca. 8 km da entrada","-39.6596984863281","-14.8599996566772","700","700",NA,NA,"SP017802","SP017802","Amorim, AM",NA,NA,"21159","auto",NA,"2003",NA,NA,NA,NA
