"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","individualCount","relatedCatalogItem"
"11","2018-06-26 05:23:00-03","MO","MOBOT","3146427","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia","stuhriana","Begonia besleriifolia stuhriana","Brade","E.L. Jacques","André M. Amorim|Jomar G. Jardim|L.M. Berbert|J. Lima da Paixão","Amorim 2473","1998","8","13","South America","Brazil","Bahia",NA,"Município de Jussari. Rod. Jussari/Palmira. Entrada ca. 7,5km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso. Mata Mesófila.","-39.52861","-15.15805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","31881",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","L. Kollmann/11-08-2010","V. Demuner; T. A. Cruz e R. R. Vervloet.","4465","2007","11","06",NA,"Brasil","Espírito Santo","Rio Bananal","Alto Bananal, propr.: Jonas Grassi","-40.416389","-19.248889",NA,"Rupícola arbusto 3m botões florais, flores brancas. Interior de mata alterada.","MBML031881","280","280","MBML031881_1 MBML031881_2","40W24'59","19S14'56",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","44208",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","Bernarda S. Gregório/03-07-2013","A. M. Amorim; J.G. Jardim, L.M. Berbert & J.L. Paixão","2473","1998","08","13",NA,"Brasil","Bahia","Jussari","Rod. Jussari/Palmira. Entrada ca 7,5km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso. Mata Mesófila","-39.528611","-15.158056",NA,"Arvoreta ca 5m alt., ramos basais marrons, tornando-se vinosos para o ápice. Folhas discolores, a face superior verde, brilhante a inferior rósea. Flores femininas e masculinas com cálice e corola alvo, estames e estigma amarelo","MBML044208",NA,NA,"MBML044208","39W31'43","15S9'29",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","45567",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","L. Kollmann","L. Kollmann","12689","2013","02","25",NA,"Brasil","Espírito Santo","Santa Teresa","coleção L.Kollmann","-40.587778","-19.940556",NA,"Floração em cultivo, planta proveniente do norte do estado do Rio de Janeiro. Erva 1m, folhas verdes, nervuras na face abaxial avermelhadas, frutos secos.","MBML045567",NA,NA,"MBML045567","40W35'16","19S56'26",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","45574",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","L. Kollmann","L. Kollmann","12689","2013","02","25",NA,"Brasil","Espírito Santo","Santa Teresa","coleção L.Kollmann","-40.587778","-19.940556",NA,"Floração em cultivo, planta proveniente do norte do estado do Rio de Janeiro. Erva 1m, folhas verdes, nervuras na face abaxial avermelhadas, frutos secos.","MBML045574",NA,NA,"MBML045574","40W35'16","19S56'26",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:43:46-03","MBML","MBML-HERBARIO","20241",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","L. Kollmann/06-12-2003","A. M. V. de Carvalho; et al","6698","1998","12","20",NA,"Brasil","Bahia","Jussari","Rod. Jussari","-39.4953002929688","-15.1913995742798",NA,"Arbusto ca. 5m de alt. Folhas subsuculentas, discolores, face adaxial verde-escuro, face abaxial vinácea. Frutos maduros, castanho-claros.","MBML020241",NA,NA,"MBML020241",NA,NA,NA,NA,"21386","auto",NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2830392","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia",NA,NA,"R. S. Pinheiro","1905","1972","8","11","South America - Neotropics","Brazil","Bahia",NA,"Almadina fazenda beija, serra pancadinha entrance km 1 by road, almadina floresta azul",NA,NA,NA,NA,"US00313891",NA,NA,"US00313891_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"18","2019-11-13 11:16:39-03","USP","SPF","155885","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","Jacques, EL","Jacques, EL","802","1998","11","07",NA,"Brasil","Bahia","Jussari","RPPN Serra do Teimoso","-39.528611","-15.158056",NA,NA,"SPF00155885",NA,NA,NA,"-39.528611","-15.158056","1998","11",NA,NA,NA,NA,NA,NA
"19","2019-10-07 09:24:01-03","UEFS","HUEFS","226313","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott",NA,"Costa, I.G.","535","2014","09","07",NA,"Brasil","Rio de Janeiro","Cardoso Moreira","Localidade de Silvado, Fazenda Santa Rosa, divisa com Sítio de Edvar Merlin, em afloramneto rochoso na mata.","-41.565278","-21.466944",NA,"Floresta Estacional Semidecidual Baixo-Montana.","HUEFS0226313","80","80","HUEFS0226313","41W33'55''","21S28'1''",NA,NA,NA,NA,NA,"Rosanae",NA,NA
"20","2020-07-23 11:59:43-03","CEPLAC","CEPEC","96709","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia",NA,"B. de S. Gregório","P. Fiaschi","1704","2003","10","15",NA,"Brasil","Bahia","BUERAREMA","Estrada São José da Vitória/Buerarema, ramal a direita, ca. 1Km de São José. Estrada de acesso p/ a Pedra Branca.","-39.316667","-15.083333",NA,NA,NA,NA,NA,NA,"39W19'","15S5'",NA,NA,NA,NA,NA,NA,NA,"19/04/2012"
"21","2020-07-23 11:59:43-03","CEPLAC","CEPEC","69022","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia",NA,"E. L. Jacques","W. W. Thomas","10863","1995","05","10",NA,"Brasil","Bahia","JUSSARÍ","Ca. 9Km ao N de Jussari, a E da Rod. Para Palmira,faz,de gado do Sr. A. Carvalho.","-39.532778","-15.116111",NA,NA,NA,NA,NA,NA,"39W31'58","15S6'58",NA,NA,NA,NA,NA,NA,NA,"30/07/2001"
"22","2020-07-23 11:59:43-03","CEPLAC","CEPEC","81828","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia",NA,"B. de S. Gregório","A. M. Amorim","2473","1998","12","13",NA,"Brasil","Bahia","JUSSARÍ","Rod. Jussari/Palmira. Entrada Km 7,5 de Jussari. Faz. Teimoso. RPPN Serra do Teimoso.","-39.528611","-15.158056",NA,NA,NA,NA,NA,NA,"39W31'43","15S9'29",NA,NA,NA,NA,NA,NA,NA,"19/04/2012"
"23","2020-07-23 11:59:43-03","CEPLAC","CEPEC","82165","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia",NA,"B. de S. Gregório","A. M. de Carvalho","6698","1998","12","20",NA,"Brasil","Bahia","JUSSARÍ","Rod. Jussari/Palmira, entrada ca. 7,5Km percorrendo mais 1,7Km até sede Faz. Teimoso. RPPN Serra do Teimoso.","-39.583333","-15.166667",NA,NA,NA,NA,NA,NA,"39W35'","15S10'",NA,NA,NA,NA,NA,NA,NA,"19/04/2012"
"24","2020-07-23 11:59:43-03","CEPLAC","CEPEC","8678","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia",NA,"B. de S. Gregório","R. S. Pinheiro","1930","1972","08","21",NA,"Brasil","Bahia","ITABUNA","Faz. Sta. Clara, Distrito Ribeirão dos Cachorros, entrada a 200m apos ponte da Bananeira, a noroeste da BR-101.","-39.2803001403809","-14.7855997085571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30592","auto",NA,NA,NA,"19/04/2012"
"25","2020-07-23 11:59:43-03","CEPLAC","CEPEC","139152","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia",NA,NA,"I.G. Costa","535",NA,NA,NA,NA,"Brasil","Rio de Janeiro","CARDOSO MOREIRA",NA,"-41.6156005859375","-21.4883003234863",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,"24769","auto",NA,NA,NA,NA
"26","2020-08-20 14:55:40-03","UFSC","FLOR","36462","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott",NA,"Jaques, E.L.; Amorim, A.; Juchun, F.S.; Berbert, H. & Paixão, J.L.","802","1998","11","07",NA,"Brasil","Bahia","Jussari","Rodovia Jussari-Palmeiras, ca. 7,5 km de Jussari, Fazenda Teimoso, Reserva Particular do Patrimônio Natural, Serra do Teimoso.","-39.528611","-15.158056",NA,"arbusto, Fruto Maduro, com, 6m altura. Caule lenhoso, 5cm de diâmetro, os jovens carnosos, com lenticelas e os adultos fistulosos, com verrugas proeminentes, marrom-esverdeados. Estípulas caducas, carnosas, hialinas, esverdeadas","FLOR0036462",NA,NA,NA,"39º31'43''W","15º9'29''S",NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:08:44-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott",NA,"Schott, HW","4636",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae orientalis prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:01:41-03","IBt","SP","335185","S","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","Jacques, EL","Amorim, AM; et al.","2473","1998","08","13",NA,"Brasil","Bahia","Jussari","Serra do Teimoso, Rodovia Jussari-Palmeiras, entrada ca. 7,5km de Jussari, Fazendo do Teimoso, RPPN","-39.528611","-15.166389",NA,"Arvoreta ca. 5m alt. Ramos basais marrons, tornando-se vinosos para o ápice. Folhas discolores, a face superior verde, brilhante e a inferior rósea. Flores femininas e masculinas com cálice e corola alvo, estames e estigma amarelo",NA,NA,NA,NA,"-39.528611","-15.166389","2002","01",NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:01:41-03","IBt","SP","359216","S","Plantae",NA,NA,"Begoniaceae","Begonia","besleriifolia",NA,"Begonia besleriifolia","Schott","Jacques, EL","Jacques, EL; Amorim, A; Juchum, FS; Berbert, H; Paixão, JL","802","1998","11","07",NA,"Brasil","Bahia","Jussari","Serra do Teimoso, Rodovia Jussari-Palmeiras, ca. 7,5km de Jussari, Fazendo do Teimoso, Resrva Particular do Patrimônio Nacional (RPPN)","-39.528611","-15.158056",NA,"Arbusto 6m de altura, caule lenhoso, 5cm diâmetro, os jovens carnosos, com lenticelas e os adultos fistulosos, com verrugas proeminentes, marrom-esverdeado. Estípulas caducas, carnosas, hialinas, esverdeadas.","SP028400",NA,NA,"SP028400","-39.528611","-15.158056","1998","11",NA,NA,NA,NA,NA,NA
