"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","day","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"19","2020-02-08 08:47:08-03","NBC","NL-BOTANY","U.1179715","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.",NA,NA,NA,NA,"Lindeman JC","1971","11","Brazil",NA,NA,"Brasil pastagem pantanosa na beira da lagoa a trás o Morro dos Conventos.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179715","NL-U1179715",NA,"16",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"20","2020-02-08 08:47:08-03","NBC","NL-BOTANY","U.1179716","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.",NA,NA,NA,NA,"Lindeman JC; Lindeman JC; Porto ML; Girardi AM","1971","12","Brazil",NA,NA,"Brasil cabeceira do Rio das Antas, Pinhal degradado.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179716 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179716","NL-U1179716",NA,"04",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"21","2020-02-08 08:47:08-03","NBC","NL-BOTANY","WAG.1508339","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Maas PJM",NA,NA,NA,"Soels K","1959","01","Brazil","Santa Catharina",NA,"in National Araucaria angustifolia forest, in uplands, ± 250 km S of Curitiba. in the state Santa Catharina, named 'Jamandua'.","-50.583333","-26.583333","-50.583333","-26.583333",NA,NA,"Shaded by grass.<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1508339 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1508339","NL-WAG1508339",NA,"27",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae","WAG0338523",NA,NA,NA
"22","2020-02-08 08:47:13-03","NBC","NL-BOTANY","U.1179717","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","Cham.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas H","1966","02","Brazil",NA,NA,"S. Mateus do Sul 10 km p/Oeste, Parana.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179717 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179717","NL-U1179717",NA,"09",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"23","2020-02-08 08:47:13-03","NBC","NL-BOTANY","U.1179719","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","Cham.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1967","03","Brazil",NA,NA,"Brasiliae Australis, Est. Parana, campo near Rio Reserva, ca. 85 km s.w. of Guarapuava.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179719 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179719","NL-U1179719",NA,"13",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"24","2020-02-08 08:47:13-03","NBC","NL-BOTANY","U.1179760","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","Cham.",NA,NA,NA,NA,"Pedersen TM","1950","10","Argentina",NA,NA,"Estancia, Santa Teresa dep. Mbururcuya prov. Corrientes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179760","NL-U1179760",NA,"26",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"25","2020-02-08 08:47:13-03","NBC","NL-BOTANY","U.1179718","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea elliptica","DC.",NA,NA,NA,NA,"Lindeman JC","1970","05","Brazil",NA,NA,"Brasiliae Australis, Est. Rio Grande do Sul fazenda do Posto, SW of Lavras do Sul, in now dry margin of shallow artificial pool in open campo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179718","NL-U1179718",NA,"12",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,"elliptica",NA,NA
"26","2020-02-08 08:47:13-03","NBC","NL-BOTANY","U.1179718","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea elliptica","DC.",NA,NA,NA,NA,"Lindeman JC","1970","05","Brazil",NA,NA,"Brasiliae Australis, Est. Rio Grande do Sul fazenda do Posto, SW of Lavras do Sul, in now dry margin of shallow artificial pool in open campo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1179718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1179718","NL-U1179718",NA,"12",NA,"Southern America",NA,NA,NA,"Asterales",NA,NA,"Magnoliopsidae",NA,"elliptica",NA,NA
"27","2020-11-04 11:04:14-03","ESALQ","ESA","107859","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea",NA,"Borges, L.M.",NA,NA,NA,"Loewille, B.","2007","04","Brasil","Santa Catarina","Urupema",NA,"-49.8731002807617","-27.9528007507324",NA,NA,NA,NA,NA,"ESA107859","ESA107859","239.0","09",NA,NA,NA,NA,"Magnoliophyta",NA,"23096","auto",NA,NA,NA,NA,NA
"28","2020-11-04 11:04:27-03","ESALQ","ESA","109199","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea",NA,"Paula-Souza, J.","2007","01","30","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","2007","01","Argentina","Corrientes","Santo Tomé","Ruta 94 em direção a Azara. 54km da divisa com Misiones. Campo provavelmente alagável",NA,NA,NA,NA,NA,NA,"Erva rastejante, flores alvas, frutos imaturos verdes","ESA109199","ESA109199","7202.0","14",NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:04:27-03","ESALQ","ESA","91317","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea",NA,NA,NA,NA,NA,"Souza, V.C. ; Kinupp, V.F.","2005","01","Brasil","Rio Grande do Sul","Torres","Arredores da cidade. Beira da Estrada do Mar, Km 86 (próximo à Fruteira do Pelé) . Área de restinga perturbada.","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Erva rastejante; flores alvas.","ESA091317",NA,"30528.0","21",NA,NA,NA,NA,"Magnoliophyta",NA,"20837","auto",NA,NA,NA,NA,NA
"30","2019-10-04 15:01:07-03","IAP","PACA-AGP","59184","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1956","01","Brasil","RS","Canoas","Esteio","-51.1836013793945","-29.9178009033203",NA,NA,NA,NA,"Habitat: in arenosis humidis Fenofase: flor e fruto","PACA059184",NA,NA,"29",NA,NA,NA,NA,"Magnoliophyta","Campanulales","8037","auto","Magnoliatae",NA,NA,NA,NA
"31","2019-10-04 15:01:07-03","IAP","PACA-AGP","715","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","ceolho, G. P.","2019","10","03","Rambo, B.","1931","11","Brasil","RS","Porto Alegre","Esteio","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor","PACA000715",NA,NA,"05",NA,NA,NA,NA,"Magnoliophyta","Campanulales","29946","auto","Magnoliatae",NA,NA,NA,NA
"32","2019-10-04 15:01:07-03","IAP","PACA-AGP","41158","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1949","04","Brasil","RS","Porto Alegre","Ilha da Pintada","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor","PACA041158",NA,NA,"20",NA,NA,NA,NA,"Magnoliophyta","Campanulales","29946","auto","Magnoliatae",NA,NA,NA,NA
"33","2019-10-04 15:01:07-03","IAP","PACA-AGP","34283","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","E. Friderichs","1947","12","Brasil","RS","Montenegro","Kappesberg","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor","PACA034283",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Campanulales","21601","auto","Magnoliatae",NA,NA,NA,NA
"34","2019-10-04 15:01:07-03","IAP","PACA-AGP","32694","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1945","11","Brasil","RS","Montenegro","Pareci","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"Habitat: in humidis graminosis repens Fenofase: flor","PACA032694",NA,NA,"11",NA,NA,NA,NA,"Magnoliophyta","Campanulales","21601","auto","Magnoliatae",NA,NA,NA,NA
"35","2019-10-04 15:01:07-03","IAP","PACA-AGP","26447","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","P. Buck","1945","01","Brasil","RS","Palmares do Sul","Fazenda da Almas","-50.5097007751465","-30.2577991485596",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor","PACA026447",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Campanulales","31350","auto","Magnoliatae",NA,NA,NA,NA
"36","2019-10-04 15:01:07-03","IAP","PACA-AGP","38262","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1948","11","Brasil","RS","Porto Alegre","Esteio","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Fenofase: flor","PACA038262",NA,NA,"24",NA,NA,NA,NA,"Magnoliophyta","Campanulales","29946","auto","Magnoliatae",NA,NA,NA,NA
"37","2019-10-04 15:01:07-03","IAP","PACA-AGP","29416","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1943","11","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Habitat: in paludosis repens Fenofase: flor","PACA029416",NA,NA,"07",NA,NA,NA,NA,"Magnoliophyta","Campanulales","29946","auto","Magnoliatae",NA,NA,NA,NA
"38","2019-10-04 15:01:07-03","IAP","PACA-AGP","454","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1932","10","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Habitat: in subpaludosis repens Fenofase: flor","PACA000454",NA,NA,"13",NA,NA,NA,NA,"Magnoliophyta","Campanulales","29946","auto","Magnoliatae",NA,NA,NA,NA
"39","2019-10-04 15:01:07-03","IAP","PACA-AGP","84","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","F. Theissen","1907",NA,"Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor","PACA000084",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Campanulales","10287","auto","Magnoliatae",NA,NA,NA,NA
"40","2019-10-04 15:01:07-03","IAP","PACA-AGP","33518","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","L. Stahl","1946","07","Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor","PACA033518",NA,NA,"17",NA,NA,NA,NA,"Magnoliophyta","Campanulales","10287","auto","Magnoliatae",NA,NA,NA,NA
"41","2019-10-04 15:01:07-03","IAP","PACA-AGP","38547","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1948","12","Brasil","RS","São Leopoldo","ad montem das Cabras","-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,"Habitat: in arenosis humidis repens Fenofase: flor","PACA038547",NA,NA,"07",NA,NA,NA,NA,"Magnoliophyta","Campanulales","10287","auto","Magnoliatae",NA,NA,NA,NA
"42","2019-10-04 15:01:07-03","IAP","PACA-AGP","31476","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","Rambo, B.","1946","02","Brasil","SC","Araranguá","Sombrio","-49.4858016967773","-28.934700012207",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor e fruto","PACA031476",NA,NA,"01",NA,NA,NA,NA,"Magnoliophyta","Campanulales","19353","auto","Magnoliatae",NA,NA,NA,NA
"43","2019-10-04 15:01:07-03","IAP","PACA-AGP","28842","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","hederacea","Lobelia hederacea","Cham.","Coelho, G. P.","2019","10","03","J.A. Rohr SJ","1945","02","Brasil","SC","Florianópolis","Trindade","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"Habitat: in humidis repens Fenofase: flor e fruto","PACA028842",NA,NA,"25",NA,NA,NA,NA,"Magnoliophyta","Campanulales","27000","auto","Magnoliatae",NA,NA,NA,NA
"44","2019-08-27 13:28:12-03","IAP","PACA-AGP","99461","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) G. Don","N.I. Matzembacher","2005","07","11","Bottega kerber, K.T.","2005","01","Brasil","RS","Cambará do Sul","Parque Nacional dos Aparados da Serra","-50.133333","-29.033333","50°08'W","29°02'S",NA,NA,"Hasu Habitat: terrestre","PACA099461",NA,"124","27",NA,NA,NA,NA,"Magnoliophyta","Campanulales",NA,NA,"Magnoliatae",NA,NA,NA,NA
"45","2019-08-27 13:28:12-03","IAP","PACA-AGP","59805","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) G. Don","Emrich-Rambo","1957","05","05","Camargo, O. R.","1956","01","Brasil","RS","Farroupilha",NA,"-51.3478012084961","-29.2250003814697",NA,NA,NA,NA,"SEM MATERIAL Habitat: in humidis Fenofase: flor e fruto","PACA059805",NA,"1129","20",NA,NA,NA,NA,"Magnoliophyta","Campanulales","19545","auto","Magnoliatae",NA,NA,NA,NA
"46","2019-08-27 13:28:12-03","IAP","PACA-AGP","39098","PreservedSpecimen","Plantae","Campanulaceae","Pratia","hederacea","Pratia hederacea","(Cham.) G. Don","Emrich-Rambo","1954","05","20","Rambo, B.","1948","12","Brasil","RS","Porto Alegre","Itapoã","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"SEM MATERIAL Habitat: in arenosis humidis repens Fenofase: flor","PACA039098",NA,NA,"22",NA,NA,NA,NA,"Magnoliophyta","Campanulales","29946","auto","Magnoliatae",NA,NA,NA,NA
"47","2019-08-27 13:28:12-03","IAP","PACA-AGP","92307","PreservedSpecimen","Plantae","Campanulaceae","Pratia","cf. hederacea","Pratia cf. hederacea","(Cham.) G. Don","C. Mondin",NA,NA,NA,"J.M, Consoni","1999","03","Brasil","RS","Triunfo","Arroio Capivara","-51.7181015014648","-29.9433002471924",NA,NA,NA,NA,"HASU 12801 Habitat: curso médio (AS)","PACA092307",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Campanulales","41194","auto","Magnoliatae",NA,NA,NA,NA
