"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1099877","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","B. W. Nelson","1981","04","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099877","Magnoliophyta","Poales","P.Beauv.",NA,"1132","Pará","Santarém","Scrub campo (grassland and fire resistent trees) 3 Km from new airport. Coarse sandy soil. Burned within last two years, but not cut or cleared; relatively indisturbed. Growing in clumps or hummocks, usually near trees; white hairy.","-54.7083","-2.44306","NY01099877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00861614","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","M. A. Chase","1925","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861614","Magnoliophyta","Poales","P.Beauv.",NA,"9069","Minas Gerais",NA,"Serra do Curral, Southeast of Bello Horizonte",NA,NA,"NY00861614_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00861548","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","D. R. Hunt","1966","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861548","Magnoliophyta","Poales","P.Beauv.",NA,"5634","Mato Grosso","Ribeirão Cascalheira","Xavantina-Cachimbo road, 200 km. from Xavantina","-51.8242","-12.9419","NY00861548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-27 08:27:00-03","NY","NYBG","629851","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","B. M. Boom","1985","10","15","South America","Venezuela","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629851","Magnoliophyta","Poales",NA,NA,"6374","Bolívar","Cedeño","Vicinity of Panare village of Corozal, 6 km from Maniapure toward Caicara","-66.5","6.92",NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02715613","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","A. M. Amorim","1992","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474134' target='other'> <mi>dwc_moreinfo</mi></a>","NY02715613","Magnoliophyta","Poales","P.Beauv.","S. A. Renvoize","724","Bahia","Itacaré","Estrada que liga Serra Grande, ramal 13 que leva ao Campinho Cheiroso. coletas entre o km 15 a 16 a partir do Distrito Serra Grande","-38.9967","-14.2775","NY02715613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1099889","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","J. M. Pires",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399730' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099889","Magnoliophyta","Poales","P.Beauv.",NA,"52077","Amapá",NA,NA,NA,NA,"NY01099889_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00861638","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","G. Davidse","1976","02","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861638","Magnoliophyta","Poales","P.Beauv.",NA,"10648","Minas Gerais","São Gonçalo do Sapucaí","21 km SW of the intersection of Highways 381 and 267 near Campanha (7 km W of)","-45.5953","-21.8922","NY00861638_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1099858","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","N. A. Rosa","1976","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099858","Magnoliophyta","Poales","P.Beauv.",NA,"896","Rondônia",NA,"Serra Pacas Novos; campina sobre pedra de arenito.","-63.816667","-10.766667","NY01099858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","629911","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","W. J. Burchell","1827","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629911","Magnoliophyta","Poales","P.Beauv.",NA,"4312","São Paulo",NA,"St. Paul's- northward 2 miles towards Agoa-Branca (Agua Branca)",NA,NA,"NY00629911_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00861525","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","W. W. Thomas","1988","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861525","Magnoliophyta","Poales","P.Beauv.","G. Davidse","5889","Minas Gerais","Paracatú","17 km E of Rio Paracatú","-46.72","-17.4","NY00861525_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1099886","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","R. Spruce",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099886","Magnoliophyta","Poales","P.Beauv.",NA,"613","Pará",NA,NA,NA,NA,"NY01099886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1018457","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","D. Sasaki","2003","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018457","Magnoliophyta","Poales","P.Beauv.","C. Santos","330","São Paulo","Pedregulho","Estreito. Usina de Estreito (Acampamento de Estreito).","-47.2772","-20.1578","NY01018457_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1099864","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","G. T. Prance","1971","06","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401281' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099864","Magnoliophyta","Poales","P.Beauv.",NA,"13779","Amazonas",NA,"Fortaleza Savanna, Rio Puciari tributary of Rio Ituxi, 20 km above mouth",NA,NA,"NY01099864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00861552","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","G. G. Hatschbach","1988","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861552","Magnoliophyta","Poales","P.Beauv.","S. A. Renvoize","51835","Goiás","Cristalina","Rod. BR-040, 5-10 km L de Cristalina","-47.6133","-16.7686","NY00861552_01","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","02714753","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","J. G. Jardim","2000","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572308' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714753","Magnoliophyta","Poales","P.Beauv.","H. M. Longhi-Wagner","2585","Bahia","Rio de Contas","Estrada para o Pico das Almas ca. 18 km W. Campo do Queiroz","-41.95","-13.5189","NY02714753_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1181637","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","J. Tannus","2003","03","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386908' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181637","Magnoliophyta","Poales","P.Beauv.","J. Tannus","665","São Paulo","Itirapina","Estação Ecologica de Itirapina.","-47.9239","-22.2161","NY01181637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00861634","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","H. S. Irwin","1966","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861634","Magnoliophyta","Poales","P.Beauv.",NA,"12300","Distrito Federal","Brasília","Fazenda Vargem Bonita, ca. 10 km S. of Brasília","-47.9167","-15.87367","NY00861634_01","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00861522","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","H. S. Irwin","1972","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861522","Magnoliophyta","Poales","P.Beauv.",NA,"34471","Goiás","Cocalzinho de Goiás","Falls of Rio Corumbá, ca. 12 km N. of Corumbá de Goiás","-48.7756","-15.7944","NY00861522_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","630651","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","W. Ganev","1992","07","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630651","Magnoliophyta","Poales","P.Beauv.",NA,"790","Bahia","Abaíra","Caminho Ribeirao de Baixo - quebradas, próxima a encosta da Serra do Atalho","-41.83","-13.25","NY00630651_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00861640","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","M. A. Chase","1925","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861640","Magnoliophyta","Poales","P.Beauv.",NA,"9169","Minas Gerais",NA,"Serra do Cipó (110 km. northeast of Bello Horizonte). Chapeo de Sol",NA,NA,"NY00861640_01","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1099873","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","N. A. Rosa","1976","09","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401287' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099873","Magnoliophyta","Poales","P.Beauv.",NA,"922","Pará","Salvaterra","Marajó, Campos de Joanes","-48.5123152","-0.875396","NY01099873_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1099862","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","P. B. Cavalcante",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400774' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099862","Magnoliophyta","Poales","P.Beauv.",NA,"2412","Pará",NA,NA,NA,NA,"NY01099862_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1099874","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","N. A. Rosa",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399777' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099874","Magnoliophyta","Poales","P.Beauv.",NA,"4189","Amapá",NA,NA,NA,NA,"NY01099874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1099880","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","L. Coradin",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401071' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099880","Magnoliophyta","Poales","P.Beauv.",NA,"608","Roraima",NA,NA,NA,NA,"NY01099880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","629914","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","B. J. Pickel","1935","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629914","Magnoliophyta","Poales","P.Beauv.",NA,"3772","Pernambuco",NA,"Frazeres",NA,NA,"NY00629914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1099870","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","N. A. Rosa","1980","04","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099870","Magnoliophyta","Poales","P.Beauv.","N. A. Rosa","3632","Pará","Salvaterra","Marajó, Joanes. Campo de terra firme.","-48.5123152","-0.875396","NY01099870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00861639","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","M. A. Chase","1925","02","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861639","Magnoliophyta","Poales","P.Beauv.",NA,"8643","Minas Gerais","Barbaçena","Barbacena, Serra Mantiqueira","-43.76926331","-21.21714431","NY00861639_01","1230","1230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1099881","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","G. Davidse","1980","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400717' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099881","Magnoliophyta","Poales","P.Beauv.",NA,"17624","Pará","Vigía","17 km southeast of Vigia along road (PA-140.) to Belém","-48.083333","-0.95","NY01099881_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00861619","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","H. S. Irwin","1968","03","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861619","Magnoliophyta","Poales","P.Beauv.",NA,"21725","Goiás","Alto Paraíso de Goiás","Ca. 27 km S. of Paraíso.","-47.53","-14.38","NY00861619_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","629913","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","W. R. Anderson","1972","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=53411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629913","Magnoliophyta","Poales","P.Beauv.",NA,"36716","Bahia",NA,"Espigao Mestre, ca. 100 km WSW of Barreiras",NA,NA,"NY00629913_01","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00861550","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","W. R. Anderson","1972","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934218' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861550","Magnoliophyta","Poales","P.Beauv.",NA,"35225","Minas Gerais",NA,"Ca. 10km SW of Diamantina.","-43.68585","-18.2801","NY00861550_01","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00861637","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","W. D. Clayton","1965","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861637","Magnoliophyta","Poales","P.Beauv.",NA,"4778","Distrito Federal","Brasília","17 km from Brasilia on Anapolis road","-47.9294","-15.7797","NY00861637_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00861523","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","J. A. Ratter","1968","06","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=934156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861523","Magnoliophyta","Poales","P.Beauv.",NA,"R1996","Mato Grosso",NA,"8 km. NE of the Base Camp of the Expedition. (Base Camp c. 270 km. N. of Xavantina)","-51.87","-12.9","NY00861523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","1099891","PreservedSpecimen","Plantae","Poaceae","Axonopus","aureus","Axonopus aureus","E. A. Goeldi",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400199' target='other'> <mi>dwc_moreinfo</mi></a>","NY01099891","Magnoliophyta","Poales","P.Beauv.",NA,"90","Pará",NA,NA,NA,NA,"NY01099891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
