"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","order","continentOcean","individualCount","dayIdentified"
"11","2021-03-15 18:28:45-03","USP","SPF","40093","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Martins, AB","1990","06","Daniel, TF","CFCR3700","1982","02","14","Brasil","Minas Gerais",NA,"Serra do Cipó, Rocky slopes in the vicinity of Alto dos Palácios along road from Chapeu do Sol to Conceição do Mato Dentro.",NA,NA,NA,NA,"Daniel 2294.","SPF00040093",NA,"holotype","1200","1400",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 18:28:45-03","USP","SPF","60125","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Santos, AKA","2007","10","Menezes, NL","CFSC10852","1988","01","16","Brasil","Minas Gerais",NA,"Serra do Cipó, Rodovia Belo Horizonte - Alto do Palacio, caminho para a Cachoeira.",NA,NA,NA,NA,NA,"SPF00060125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 18:28:45-03","USP","SPF","60323","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Santos, AKA","2007","10","Zappi, DC","CFSC10928","1988","03","31","Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,"SPF00060323",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA
"14","2021-03-15 18:28:45-03","USP","SPF","34937","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Santos, AKA","2007","10","Pirani, JR","CFCR6087","1984","11","16","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,"SPF00034937",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA
"15","2021-03-15 18:28:45-03","USP","SPF","41940","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Santos, AKA","1990","06","Chukr, NS","CFSC9624","1986","02","22","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,"SPF00041940",NA,"paratype",NA,NA,"26557","auto",NA,NA,NA,NA,NA
"16","2021-03-15 18:28:45-03","USP","SPF","216536","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","Kubo, MT","2012","12","Kubo, MT","136","2012","07","05","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Trilha para a Cachoeira da Capivara, acesso pela rodovia MG-010.","-43.7144012451172","-19.1688995361328",NA,NA,"Subarbusto, ca. 25 cm alt. crescendo em local sombreado por rochas. Ramos viscosos. Folhas levemente discolores, tenras e viscosas. Flores com cálice verde com ápice das sépalas roxo; corola rosa; anteras amarelas com ápice avermelha","SPF00216536",NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA,NA
"17","2019-10-07 09:34:20-03","UEFS","HUEFS","116877","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins",NA,NA,NA,"Santos, A.K.A.","1035","2007","02","08","Brasil","Minas Gerais","Serra do Cipó","Trilha para Cachoeira da Capivara, coleta na base de rochas, a sombra.","-43.553889","-19.239167","43W33'14''","19S14'21''","Campo rupestre.","HUEFS0116877","HUEFS0116877",NA,"1300","1300",NA,NA,"Rosanae","Myrtales",NA,NA,NA
"18","2019-10-07 09:34:20-03","UEFS","HUEFS","132027","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins",NA,NA,NA,"Menezes, N.L.","CFSC10852","1988","01","16","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia Belo Horizonte - Alto do Palácio - Caminho para Cachoeira. Na base da pedreira.","-43.7144012451172","-19.1688995361328",NA,NA,"Solo arenoso.","HUEFS0132027","HUEFS0132027",NA,NA,NA,"26557","auto","Rosanae","Myrtales",NA,NA,NA
"19","2019-10-07 09:34:20-03","UEFS","HUEFS","132026","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins",NA,NA,NA,"Pirani, J.R.","CFSC6087","1984","11","16","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia Belo Horizonte - Conceição do Mato Dentro, km 106.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"HUEFS0132026","HUEFS0132026",NA,NA,NA,"26557","auto","Rosanae","Myrtales",NA,NA,NA
"20","2019-07-02 15:55:56-03","UEM","HUEM","32932","S","Plantae",NA,"Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","R.Pacifico","2016","09","R.Pacifico; C.A.Rossi; D.L.Estevam","208","2016","09","02","Brasil","Minas Gerais","Congonhas do Norte","Serra do Cipó., Vale do rio Preto. Campo rupestre, ponto 219.","-43.748556","-18.849722","-43.748556","-18.849722","Arbusto, cerca de 30cm, ereto. Poucos indivíduos.","HUEM000016269","HUEM000016269",NA,"1285","1285",NA,NA,NA,NA,NA,NA,NA
"21","2008-10-09 12:44:03-03","CAS","CAS-BOT","2679","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins","F. Almeda",NA,NA,"Daniel, Thomas Franklin; Hensold, Nancy","2294","1982","2",NA,"Brazil","Minas Gerais",NA,"In the vicinity of Alto dos Palacios along road from Chapeu do Sol to Conceicao do Mato entro in the Serra do Cipo.",NA,NA,NA,NA,"Subshrub; colorra rose-purple.",NA,NA,"isotype",NA,NA,NA,NA,"Magnoliopsida","Myrtales","South America",NA,NA
"22","2017-08-17 11:20:31-03","CAS","CAS-BOT","560449","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Marcetia","semiriana","Marcetia semiriana","A.B.Martins",NA,NA,NA,"Pacifico, R.; Rossi, C. A.; Estevam, D. L.","208","2016","9",NA,"Brazil","Minas Gerais",NA,"Congohas do Norte: Serra do Cipó. Vale do rio Preto","-43.7483333333","-18.8497222222","43° 44' 54 W","18° 50' 59 S","Arbusto ca. 30 cm alt., ereto, poucos indivíduos observados.",NA,NA,NA,"1285",NA,NA,NA,"Magnoliopsida","Myrtales","South America",NA,NA
