"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","individualCount","relatedCatalogItem"
"11","2020-06-29 09:29:43-03","UFRRJ","RBR","35060","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"E.L. Jacques","1771","2011","06","25",NA,"Brasil","São Paulo","Iporanga","Rodovia Honório da Silva, 24° 31#?# 24,8' S, 48° 43#?# 33,2' 189m de altitude.","-48.5900001525879","-24.5799999237061",NA,NA,"RBR00035060",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38740","auto",NA,NA,NA
"12","2020-12-21 16:18:02-03","MBM","MBM","53215","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Smith, L.B.","Hatschbach, G.","8941","1962","02","18","Southern America","Brazil","Paraná","Campina Grande do Sul","Rod. BR-2, Ribeirão do Cedro","-49.0553016662598","-25.3055992126465",NA,NA,"MBM053215","MBM053215",NA,NA,NA,NA,NA,NA,NA,NA,"55154","auto",NA,NA,NA
"13","2020-12-21 16:18:02-03","MBM","MBM","145057","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Hatschbach, G.","Ribas, O.S.; Basílio, I.M.M.; Basílio, I.M.M.","214","1990","01","21","Southern America","Brazil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708",NA,NA,"MBM145057","MBM145057",NA,NA,NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA
"14","2020-12-21 16:18:02-03","MBM","MBM","106891","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Smith, S.M.","Cordeiro, J.; Silva, J.M.; Silva, J.M.","228","1986","02","05","Southern America","Brazil","Paraná","Morretes","Véu de Noiva","-48.834400177002","-25.476900100708",NA,NA,"MBM106891","MBM106891",NA,NA,NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA
"15","2020-12-21 16:18:01-03","MBM","MBM","10296","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Hatschbach, G.","Hatschbach, G.","21260","1969","03","14","Southern America","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092010498047","-25.5200004577637",NA,NA,"MBM010296","MBM010296",NA,NA,NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA
"16","2020-12-21 16:18:02-03","MBM","MBM","268599","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Smith, S.F.","Ribas, O.S.; Silva, J.M.; Vaz, J.; Silva, J.M.; Vaz, J.","4648","2002","04","06","Southern America","Brazil","São Paulo","Barra do Turvo","Bela Vista","-48.5046997070312","-24.7563991546631",NA,NA,"MBM268599","MBM268599",NA,NA,NA,NA,NA,NA,NA,NA,"38172","auto",NA,NA,NA
"17","2020-12-21 16:18:02-03","MBM","MBM","268600","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Smith, S.F.","Ribas, O.S.; Silva, J.M.; Vaz, J.; Silva, J.M.; Vaz, J.","4613","2002","04","06","Southern America","Brazil","São Paulo","Barra do Turvo","Bela Vista","-48.5046997070312","-24.7563991546631",NA,NA,"MBM268600","MBM268600",NA,NA,NA,NA,NA,NA,NA,NA,"38172","auto",NA,NA,NA
"18","2021-02-11 17:18:15-03","UFPR","UPCB","89601","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Kollman L.","Meyer, F.S.","2205","2016","02","09",NA,"Brasil","Paraná","Morretes","Parque Estadual do Marumbi","-48.914775","-25.446388",NA,"Planta coletada em Floresta Ombrófila Densa Altomontana, ca. 70 cm alt. Folhas verde-escuras na face adaxial, nervuras esbranquiçadas, face abaxial verde-avermelhada. Estípulas grandes. Flores com pétalas e sépalas brancas..","UPCB0030523","UPCB0030523",NA,"2016","02",NA,"-48.914775","-25.446388",NA,NA,NA,NA,NA,NA,NA
"19","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","49816",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"L. Kollmann","13103","2015","12","07",NA,"Brasil","Espírito Santo","Santa Teresa","Coleção de L.Kollmann","-40.587778","-19.940556",NA,"Arbusto 1m, folhas vinaceas na face abaxial, face adaxial verde com nervuras mais claras. Proveniente de Intervales, SP.","MBML049816","MBML049816",NA,NA,NA,NA,"40W35'16","19S56'26",NA,NA,NA,NA,NA,NA,NA
"20","2020-06-15 15:29:00-03","UNESP-RC","HRCB","24629","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, E.L.","Izar, P.","1614","1996","11","05",NA,"Brasil","São Paulo","Sete Barras","Parque Intervales","-47.9199981689453","-24.3799991607666",NA,"Hábito rasteiro, folhas verde-escuras alongadas, botões florais brancos, flores brancas com centro amarelo.",NA,NA,NA,"2002","01",NA,NA,NA,NA,NA,"34059","auto",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2589272","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"G. Hatschbach","8941","1962","2","18","South America","Brazil","Paraná","Campina Grande do Sul","Rod. br-2, ribeirao do cedro","-49.0553016662598","-25.3055992126465",NA,NA,"US00314374","US00314374_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"55154","auto",NA,"1",NA
"22","2020-09-12 05:00:02-03","US","US","3667848","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Smith, S. F., (US), NMNH","E. L. Barbosa, J. M. Silva & J. Vaz","903","2004","2","27","South America - Neotropics","Brazil","São Paulo",NA,"Cachoeira Dito Salu (Mun. Barra do Turvo).",NA,NA,NA,NA,"US01234864","US01234864_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"23","2020-09-12 05:00:02-03","US","US","3451209","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"O. S. Ribas, J. M. Silva & J. Vaz","4648","2002","4","6","South America - Neotropics","Brazil","São Paulo",NA,"Barra do Turvo, Bela Vista.",NA,NA,NA,NA,"US00765201","US00765201_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"24","2020-09-12 05:00:02-03","US","US","3668169","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Smith, S. F., (US), NMNH","E. L. Barbosa, J. M. Silva & J. Vaz","920","2004","2","28","South America - Neotropics","Brazil","São Paulo",NA,"Serra do Aleixo (Mun. Cajati).",NA,NA,NA,NA,"US01234917","US01234917_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2020-09-12 05:00:02-03","US","US","3238931","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"J. Cordeiro & J. M. Silva","228","1986","2","5","South America","Brazil","Paraná",NA,"Veu de Noiva",NA,NA,NA,NA,"US00424938","US00424938_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"26","2020-09-12 05:00:02-03","US","US","2195161","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"P. K. Dusén","7473","1909","1","4","South America","Brazil","Paraná",NA,"Desvio ypiranga",NA,NA,NA,NA,"US00314375","US00314375_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","3451210","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"O. S. Ribas, J. M. Silva & J. Vaz","4613","2002","4","6","South America - Neotropics","Brazil","São Paulo",NA,"Barra do Turvo, Bela Vista.",NA,NA,NA,NA,"US00765200","US00765200_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28","2020-09-12 05:00:02-03","US","US","3238932","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"J. Cordeiro & J. M. Silva","228","1986","2","5","South America","Brazil","Paraná",NA,"Veu de Noiva",NA,NA,NA,NA,"US00424939","US00424939_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"29","2019-11-13 11:16:42-03","USP","SPF","98447","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, EL","Souza, VC","5913","1994","04","22",NA,"Brasil","São Paulo","Iporanga",NA,"-48.681944","-24.551389",NA,NA,"SPF00098447",NA,NA,"1999","01",NA,"-48.681944","-24.551389","250","250",NA,NA,NA,NA,NA
"30","2019-11-13 11:16:42-03","USP","SPF","85472","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Anônimo","Sem coletor","s.n.",NA,NA,NA,NA,"Brasil","São Paulo","Juquiá",NA,"-47.6300010681152","-24.3199996948242",NA,NA,"SPF00085472",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32505","auto",NA,NA,NA
"31","2020-02-20 13:52:45-03","UEFS","HUEFS","189708","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"Amorim, A.M.","3306","2000","02","09",NA,"Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales. Trilha para o mirante antigo.","-48.3600006103516","-24.0900001525879",NA,"Floresta Ombrófila Densa.","HUEFS0189708","HUEFS0189708","Rosanae",NA,NA,NA,NA,NA,NA,NA,"25028","auto",NA,NA,NA
"32","2020-02-20 13:52:45-03","UEFS","HUEFS","57666","PreservedSpecimen","Plantae","Angiospermae","Cucurbitales","Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade",NA,"Ribas, O.S.","8141","2009","02","23",NA,"Brasil","São Paulo","Jacupiranga","Torre da Embratel, Vila do Tatu.","-48","-24.6900005340576",NA,NA,"HUEFS0057666","HUEFS0057666","Rosanae",NA,NA,NA,NA,NA,NA,NA,"35797","auto",NA,NA,NA
"33","2020-08-11 15:54:03-03","CEPLAC","CEPEC","101263","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis",NA,"E. L. Jacques","A. M. Amorim","3306","2000","02","09",NA,"Brasil","São Paulo","RIBEIRÃO GRANDE","Parque Estadual Intervales. Trilha para o Mirante antigo.","-48.3600006103516","-24.0900001525879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25028","auto",NA,NA,"30/08/2000"
"34","2021-02-23 13:21:57-03","MN","R-TIPOS","39909b","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Brade, A.C.","Dusén, P.K.H.","3310","1904","11","23",NA,"Brasil","Paraná",NA,"Serra do Mar",NA,NA,NA,NA,"R000039909b","R000039909b_001",NA,"1943",NA,NA,NA,NA,NA,NA,NA,NA,"Isoparatypus",NA,NA
"35","2021-02-23 13:21:57-03","MN","R-TIPOS","39909","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Brade, A.C.","Dusén, P.K.H.","3310","1904","11","23",NA,"Brasil","Paraná",NA,"Serra do Mar",NA,NA,NA,NA,"R000039909","R000039909_001 R000039909_002",NA,"1943",NA,NA,NA,NA,NA,NA,NA,NA,"Paratypus",NA,NA
"36","2021-02-23 13:21:57-03","MN","R-TIPOS","39909a","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Brade, A.C.","Dusén, P.K.H.","3310","1904","11","23",NA,"Brasil","Paraná",NA,"Serra do Mar",NA,NA,NA,NA,"R000039909a","R000039909a_001 R000039909a_002",NA,"1943",NA,NA,NA,NA,NA,NA,NA,NA,"Isoparatypus",NA,NA
"37","2021-02-23 13:21:57-03","MN","R-TIPOS","37105a","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Brade, A.C.","Dusén, P.K.H.","3642","1904","02","03",NA,"Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691",NA,NA,"R000037105a","R000037105a_001 R000037105a_002",NA,"1943",NA,NA,NA,NA,NA,NA,"31827","auto","Isotypus",NA,NA
"38","2021-02-23 13:21:57-03","MN","R-TIPOS","37105","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Brade, A.C.","Dusén, P.K.H.","3642","1904","02","03",NA,"Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691",NA,NA,"R000037105","R000037105_001",NA,"1943",NA,NA,NA,NA,NA,NA,"31827","auto","Holotypus",NA,NA
"39","2019-11-21 10:01:49-03","IBt","SP","278035","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, EL","Souza, VC; et al.","5913","1994","04","22",NA,"Brasil","São Paulo","Iporanga","Ca. 23km da cidade em direção a Apiaí. Arredores do Rio Bethary e da caverna Ouro Grosso","-48.681944","-24.551389",NA,"Erva, ca. 1,5m alt.; flores alvas",NA,NA,NA,"1999","09",NA,"-48.681944","-24.551389",NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:01:49-03","IBt","SP","359224","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, EL","Gomes da Silva, SJ; et al.","340","1992","08","25",NA,"Brasil","São Paulo","Capão Bonito","Fazenda Intervales. Trilha da Barra Grande","-48.3400001525879","-24",NA,"Erva ereta, ca. 70cm alt. em solo calcáreo. Folhas discolores: adaxial verde aveludada, abaxial verde claro a avermelhada com nervuras vináceas. Frutos velhos castanhos",NA,NA,NA,"1999","09",NA,NA,NA,NA,NA,"39505","auto",NA,NA,NA
"41","2019-11-21 10:01:49-03","IBt","SP","359223","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, EL","Gomes da Silva, SJ; et al.","346","1992","08","26",NA,"Brasil","São Paulo","Capão Bonito","Fazenda Intervales. Trilha das Pedrinhas","-48.3400001525879","-24",NA,"Erva ereya, 0,5m alt. Folhas discolores. Frutos velhos castanhos",NA,NA,NA,"1999","09",NA,NA,NA,NA,NA,"39505","auto",NA,NA,NA
"42","2019-11-21 10:01:49-03","IBt","SP","297936","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, EL","Hoch, AM; et al.","20","1996","05","22",NA,"Brasil","São Paulo","Iporanga","Fazenda Intervales. Área da base Barra Grande","-48.5900001525879","-24.5799999237061",NA,"Planta 1m alt. Flores alvas, estames amarelos; folhas discolores, abaxialmente vermelhas",NA,NA,NA,"1999","09",NA,NA,NA,NA,NA,"38740","auto",NA,NA,NA
"43","2019-11-21 10:01:49-03","IBt","SP","319051","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, EL","Matsumoto, K; et al.","211","1997","02","27",NA,"Brasil","São Paulo","Ribeirão Grande","Fazenda Intervales, trilha da cachoeira do Mirante","-48.3600006103516","-24.0900001525879",NA,NA,NA,NA,NA,"1999","09",NA,NA,NA,NA,NA,"25028","auto",NA,NA,NA
"44","2019-11-21 10:01:49-03","IBt","SP","370908","S","Plantae",NA,NA,"Begoniaceae","Begonia","paranaensis","Begonia paranaensis","Brade","Jacques, EL","Amorim, AM; Vieira, S; Garcia, RF","3306","2000","02","09",NA,"Brasil","São Paulo","Ribeirão Grande","Parque Estadual Intervales, Trilha para o mirante antigo","-48.3600006103516","-24.0900001525879",NA,NA,NA,NA,NA,"2011","07","19",NA,NA,NA,NA,"25028","auto",NA,NA,NA
