"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","class","order","locality","occurrenceRemarks","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"11","2020-12-11 11:37:04-03","UFMG","BHCB","6235","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.",NA,"Grandi, TSM; et al.","1844","1985","06","29","Brasil","Minas Gerais","Caeté","-43.666667","-19.816667",NA,"BHCB046391",NA,NA,NA,"Serra da Piedade","arbóreo; Campo","-43.666667","-19.816667",NA,"1986",NA,NA,"Southern America","1720","1720",NA
"12","2020-12-11 11:37:04-03","UFMG","BHCB","18608","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.",NA,"Costa, LVC","453","1989",NA,NA,"Brasil","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169","BHCB046393","auto",NA,NA,"Mineração Tejucana.",NA,NA,NA,NA,"1989",NA,NA,"Southern America",NA,NA,NA
"13","2020-06-15 15:30:56-03","UNESP-RC","HRCB","20807","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Baitello, J.B.","Godoy",NA,NA,NA,NA,"Brasil","São Paulo","Parelheiros","-46.735","-23.835556",NA,NA,NA,NA,NA,"Jd. Novo Parelheiros",NA,"46º44'06W","23º50'08S",NA,NA,NA,NA,NA,NA,NA,NA
"14","2018-10-09 16:31:35-03","UFLA","ESAL","24486","S","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Pedralli, G","Castro, AZ","67","1999","09","20","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,"auto",NA,NA,"P.E.Itacolomi, Área do camping, borda da mata que vai para o forno abandonado.","Doação OUPR 83; Arbusto ca. 3m. Borda de mata com solo encharcado com muitas Myrtaceae e cipós.",NA,NA,NA,"2002","01",NA,NA,NA,NA,NA
"15","2019-11-13 11:21:11-03","USP","SPF","103191","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Baitello, JB","Godoy, SAP","625","1995","06","23","Brasil","São Paulo","São Paulo","-46.735","-23.835556",NA,"SPF00103191",NA,NA,NA,"Parelheiros. Sítio do sr. José Guilguer Reimberg (José Toco), à direita na Estrada Eng. Marsila, após o entroncamento com a Estada da Colônia. Trilha em aclive acentuado.",NA,"-46.735","-23.835556",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-13 11:21:11-03","USP","SPF","82486","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Baitello, JB","Charlier, F","s.n.","1937","03","04","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","SPF00082486","auto",NA,NA,NA,"SP33380.",NA,NA,NA,"1997","03","10",NA,NA,NA,"isotype"
"17","2021-03-04 15:44:10-03","IF","SPSF","20056","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teixeira","J.B.Baitello","S.A.P.Godoy","625","1995","06","23","Brasil","SP","São Paulo","-46.735","-23.835556",NA,NA,NA,"Magnoliopsida","Laurales","Parelheiros","COLETA: XLS: SPSFAntigo; GEOGRAFIA: trilha em aclive acentuado&nf;;",NA,NA,NA,"1997","05","15","América do Sul",NA,NA,NA
"18","2021-03-04 15:44:10-03","IF","SPSF","45819","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teixeira","J.B.Baitello","R.N.C.Teixeira & M.M.M.Lopes","07","2005","07","23","Brasil","ES","Santa Maria de Jetibá","-40.696111","-20.045278",NA,NA,NA,"Magnoliopsida","Laurales",NA,"COLETA: Árvore de 30m de altura, coletada no interior de mata.; GEOGRAFIA: Fragmento Florestal a 5 km do Município de Santa Maria de Jetibá, propriedade do Senhor Paulo Sick.;",NA,NA,NA,"2012","08","10","América do Sul",NA,NA,NA
"19","2021-03-04 15:44:10-03","IF","SPSF","50395","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teixeira","J.B.Baitello","E.H.P. Barretto & R.J.F.Garcia & F.F. Pascalicchio & L.Granato","440","2015","01","29","Brasil","SP","São Paulo","-46.6300010681152","-23.5400009155273","53584",NA,"auto","Magnoliopsida","Laurales","Marsilac, Estrada das Arapongas.","COLETA: Árvore de 8m de altura com flores verde-amareladas.; GEOGRAFIA: Borda de mata;",NA,NA,NA,"2015","02","01","América do Sul",NA,NA,NA
"20","2019-11-21 10:07:29-03","IBt","SP","291867","S","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Baitello, JB","Godoy, SAP; et al.","625","1995","06","23","Brasil","São Paulo","São Paulo","-46.735","-23.835556",NA,"SP054707",NA,NA,NA,"Jardim Novo Parelheiros, sítio do Sr. José Guilguer Reimberg (José Toco), á direita na Estrada Eng°Marsilac, após o entrocamento com a estrada da Colônia, trilha em aclive acentuado",NA,"-46.735","-23.835556","SP054707","2003",NA,NA,NA,NA,NA,NA
"21","2019-11-21 10:07:29-03","IBt","SP","33380","S","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Rohwer, JG","Charlier, F","s.n.","1937","03","04","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","SP000840","auto",NA,NA,NA,NA,NA,NA,"SP000840 SP000840_01","1983",NA,NA,NA,NA,NA,"Holotype"
"22","2019-11-21 10:07:29-03","IBt","SP","33380a","Extra","Plantae",NA,"Lauraceae","Ocotea","felix","Ocotea felix","Coe-Teix.","Rohwer, JG","Charlier, F","s.n.","1937","03","04","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","SP000841","auto",NA,NA,NA,NA,NA,NA,"SP000841","1983",NA,NA,NA,NA,NA,"Holotype"
