"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-04-05 14:34:03-03","UNESC","CRI","1551","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","R. Negrelle","R. R. B. Negrelle; C. Fava",NA,"1993","01","20","Brasil","Santa Catarina","Itapoá",NA,"-48.616389","-26.1175","48º36'59''W","26º7'3''S",NA,NA,"CRI009084","CRI009084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:43:03-03","E","E","187282","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis",NA,NA,"Kollmann, L.","123","1998","06","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00187282",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00187282 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:193341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:43:03-03","E","E","161304","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis",NA,NA,"Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","24","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00161304",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161304 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:168683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:43:03-03","E","E","187293","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis",NA,NA,"Kollmann, L.","123","1998","06","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00187293",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00187293 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","fruit collection/cone collecti","BGBASE:193330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01060496","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","A. S. L. da Silva","227","1977","11","17","Brazil","Pará",NA,"Cuiabá-Santarém, km 1180. Forest on terra firme.","-55.5863518","-6.3184123",NA,NA,NA,NA,"NY01060496","NY01060496_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266937' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02674927","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","D. Piotto","D. Piotto","1492","2010","06","10","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42",NA,NA,"120","300","NY02674927",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671091' target='other'> <mi>dwc_moreinfo</mi></a>","South America","Sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","40876","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","J. Bosco","286","1999","05","12","Brazil","Acre","Plácido de Castro","Rio Abuna, margem direita.","-67.1856","-10.3356",NA,NA,NA,NA,"NY00040876",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76479' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","799044","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","R. Reitz","1412","1953","12","26","Brazil","Santa Catarina","Presidente Nereu","Sabia, Presidente Nereu","-49.3903","-27.2772",NA,NA,"600","600","NY00799044","NY00799044_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76499' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","949004","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","D. C. Zappi","B. Dubs","2028","1995","12","28","Brazil","Mato Grosso",NA,"BR-364, ca 30 km SE of Pontes e Lacerda","-59.17","-15.38",NA,NA,NA,NA,"NY00949004","NY00949004_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022845' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","130817","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis macrantha","Steyerm.","J. A. Steyermark","B. Maguire","42025","1957","11","11","Venezuela","Amazonas",NA,"Cerro de la Neblina, Río Yatua. At Camp 3.",NA,NA,NA,NA,"700","700","NY00130817","NY00130817_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89490' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales","macrantha","holotype",NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","482516","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","L. A. de Lima","201","1991","12","04","Brazil","Acre","Brasiléia","Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 2.","-72.7","-9.12",NA,NA,NA,NA,"NY00482516",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76473' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","396595","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","L. A. Mattos Silva","2755","1989","05","18","Brazil","Bahia","Lençóis","Estrada que liga Lençois a BR 242, numa extensao de 12 km. Coletas ao longo da estrada","-41.3897","-12.5633",NA,NA,NA,NA,"NY00396595",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76471' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","403085","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","D. C. Daly","8405","1995","03","19","Brazil","Acre","Xapuri","Fazenda Bomfim.","-68.2311111","-10.7783333",NA,NA,NA,NA,"NY00403085",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76472' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","799041","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","R. Reitz","1664","1954","03","02","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"300","300","NY00799041","NY00799041_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76497' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","52712","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","S. A. Mori","S. A. Mori","24321","1996","01","08","French Guiana",NA,NA,"Saül and vicinity. La Fumée Mountain Trail, between entrance and junction of now defunct Antenne Nord.","-53.2","3.62",NA,NA,"300","350","NY00052712",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76468' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","612373","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","S. A. Mori","25488","2002","02","28","French Guiana",NA,NA,"Nouragues Field Station and vicinity, line H leading to Crique Cascade.","-52.679567","4.08815",NA,NA,NA,NA,"NY00612373",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76519' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","396590","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. E. B. Bremekamp","J. C. Lindeman","5763","1967","07","20","Brazil","Santa Catarina",NA,"Behind Pontal do Sul. restinga wood by road to Joinville",NA,NA,NA,NA,NA,NA,"NY00396590",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76451' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","396594","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","J. G. Jardim","641","1995","03","21","Brazil","Bahia","Uruçuca","Distrito de Serra Grnade. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto FaZENDA sANTA CRUZ","-39.0617","-14.4231",NA,NA,NA,NA,"NY00396594",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76470' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","949005","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","M. O. D. Pivari","093","2002","04","20","Brazil","Minas Gerais","Descoberto","Reserva Biológica do Grama.","-42.9672","-21.4597",NA,NA,NA,NA,"NY00949005","NY00949005_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022847' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1262252","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.",NA,"J. G. Jardim","4996","2007","05","03","Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica Estadual Nova Esperança; Trilha para do Rio Agua Vermelha","-39.7194","-13.5953",NA,NA,"415","450","NY01262252","NY01262252_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1505188' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1182755","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","J. G. Jardim","D. B. O. S. Cardoso","323","2005","03","24","Brazil","Bahia","Ruy Barbosa","Serra do Orobó, Riacho do Meio.","-40.4856","-12.3131",NA,NA,"758","758","NY01182755","NY01182755_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408932' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","482532","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","L. A. de Lima","263","1992","01","16","Brazil","Acre","Brasiléia","Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 1, M149.","-72.7","-9.12",NA,NA,NA,NA,"NY00482532",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76483' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","949001","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.",NA,"L. D. Meireles","CESJ31007","2000","01","16","Brazil","Minas Gerais","Descoberto","Descoberto- Reserva Biológica da Represa do Grama.","-42.9672","-21.4597",NA,NA,NA,NA,"NY00949001","NY00949001_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022821' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","396592","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","L. B. Smith","R. M. Klein","2422","1960","03","11","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf, Blumenau","-49.135663","-27.026808",NA,NA,"700","700","NY00396592",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76488' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","416471","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","W. W. Thomas","11816","1998","02","10","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso.","-39.58","-15.17",NA,NA,"450","800","NY00416471",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76502' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","663259","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","W. W. Thomas","12909","2002","03","11","Brazil","Bahia","Morro do Chapéu","4 km E of road from Bonito to Morro do Chapéu on road to Duas Barras (29.3 km S of Morro do Chapéu)","-41.14492","-11.806683",NA,NA,"960","960","NY00663259",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76505' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00191171","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","C. M. Taylor","S. Tiwari","227",NA,NA,NA,"Guyana",NA,NA,"Aravina, Demerara-Mahaica",NA,NA,NA,NA,NA,NA,"NY00191171",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=866789' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","799042","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","R. M. Klein","79","1951","12","19","Brazil","Santa Catarina","Brusque","Mata do Hoffman, Brusque","-48.9","-27.1",NA,NA,"50","50","NY00799042","NY00799042_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76498' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","755710","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","C. Ehringhaus","1025","1999","06","03","Brazil","Acre","Xapuri","Reserva Extrativista Chico Mendes, Seringal Dois Irmãos, Colocação Já Começa.","-68.3030556","-10.5644444",NA,NA,NA,NA,"NY00755710","NY00755710_01",NA,NA,NA,"#arvore: B707 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=909156' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","799039","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","R. Reitz","2054","1954","08","20","Brazil","Santa Catarina","Luis Alves","Braco Joaquim, Luis Alves","-48.941177","-26.748537",NA,NA,"450","450","NY00799039","NY00799039_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76496' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1033482","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","J. A. Rizzo","5789","1970","11","28","Brazil","Goiás","Caldas Novas","Alto da Serra de Caldas Novas.","-48.6247","-17.7419",NA,NA,NA,NA,"NY01033482","NY01033482_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220735' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","949002","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","P. G. Delprete","F. R. G. Salimena","CESJ31426","2000","10","21","Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama.","-42.9672","-21.4597",NA,NA,NA,NA,"NY00949002","NY00949002_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022840' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","777303","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","S. M. Silva","M. Borgo","328","1998","12","19","Brazil","Paraná","Guaratuba","Rio dos Meros","-48.68","-25.82",NA,NA,NA,NA,"NY00777303","NY00777303_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76467' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-02-01 11:36:00-02","NY","NYBG","396555","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis",NA,"B. M. Boom","E. Stijfhoorn","678","1991","06","24","Bolivia","El Beni","Vaca Díez","Vicinity of the Chácobo village Alto Ivón","-66.03","-11.85",NA,NA,"200","200","NY00396555",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76464' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","1181473","PreservedSpecimen","Plantae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","D. C. Zappi","D. C. Zappi","963","2008","01","30","Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino. Extremo NE do parque, próximo à divisa com a Base da Força Aérea no Pará.","-55.14633","-9.488486",NA,NA,"380","380","NY01181473","NY01181473_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1375673' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
