"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","county","class","fieldNumber","individualCount","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude"
"11","2014-01-19 18:02:00-02","MO","MOBOT","1810844","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.","Francisco J. Roldán","Roldán 122","1985","4","13","South America","Colombia","Camino Encarnación Parque de Las Orquídeas. Sector desembocadura Ríos Calles y Polo.","-76.3","6.53333",NA,NA,NA,NA,"Antioquia","1300.00000000",NA,"W. Rodriguez (JAUM)","Urrao",NA,NA,NA,NA,NA,NA,NA
"12","2014-01-27 21:13:00-02","MO","MOBOT","1818039","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.","Linda K. Albert de Escobar|Javier Vallejo|Francisco J. Roldán","Escobar 5895","1985","10","11","South America","Colombia","Vereda Santa Rita.","-75.15","6.3",NA,NA,NA,NA,"Antioquia","1850.00000000",NA,"F. J. Roldan","Guatapé",NA,NA,NA,NA,NA,NA,NA
"13","2013-08-23 04:12:00-03","MO","MOBOT","1818040","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.","Ricardo Callejas","Callejas Posada 10232","1991","6","20","South America","Colombia","Vereda La Viborita.","-75.33333","5.86666",NA,NA,NA,NA,"Antioquia","2100.00000000","2600.00000000","W. D. Rodriguez","Carmen de Viboral",NA,NA,NA,NA,NA,NA,NA
"14","2013-05-29 05:39:00-03","MO","MOBOT","20977","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.","Alan E. Brant|Julio C. Betancur B.","Brant 1609","1987","11","1","South America","Colombia","road to La Magdalena; 9.0 km SW of Urrao-Betulia road; disturbed secondary forest ca 0.5 km W of road.","-76.13333","6.23333",NA,NA,NA,NA,"Antioquia","2060.00000000",NA,"A. Smith (UC)","Urrao",NA,"87-50","2",NA,NA,NA,NA
"15","2011-06-09 18:12:00-03","MO","MOBOT","3322279","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.","Abundio Sagástegui A.","Sagástegui Alva 6180","1966","7","19","South America","Peru","Laguana La Victoria. Stgp Chuco. Ladera húmeda.",NA,NA,NA,NA,NA,NA,NA,"4000.00000000",NA,"B. Øllgaard",NA,NA,NA,NA,NA,NA,NA,NA
"16","2009-06-29 10:10:00-03","MO","MOBOT","3327907","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.","Julian A. Steyermark","Steyermark 126770","1982","10","29","South America","Venezuela","Selva nublada, 15 kms al Este de Chabasquén, 67 kms al NNO de Guanare.","-69.91527","9.44083",NA,NA,NA,NA,"Portuguesa","1450.00000000","1520.00000000","B. Øllgaard",NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3328827","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.","Leandro Aristeguieta","Aristeguieta 1779","1953","6",NA,"South America","Venezuela","Road between Santa Teresa and Altagracia de Orituco.",NA,NA,NA,NA,NA,NA,NA,"600.00000000","700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","1303193","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Lycopodium","aqualupianum","Lycopodium aqualupianum","Spring","Ronald L. Liesner|Mario Guariglia","Liesner 11845","1981","5","6","South America","Venezuela","Cerro Las Minas, 18 km SE of Santa Ana. Pasture with forest along steep alopes leading to Cerro Azul of Cerro Las Minas.","-72.21666","7.6",NA,NA,NA,NA,"Táchira","1200.00000000","1380.00000000","A.Smith",NA,NA,"93",NA,NA,NA,NA,NA
"19","2009-11-25 21:27:00-02","MO","MOBOT","3344321","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Lycopodium","aqualupianum","Lycopodium aqualupianum","Spring","Paul C. Hutchison|Jesús M. Idrobo","Hutchison 3063","1963","11","18","South America","Colombia","Native forest of Finca Kyburz, eastern slope above the Bitaco River, Bitaco Valley 1 km. above and east of Bitaco, Pacific slope of the western cordillera.",NA,NA,NA,NA,NA,NA,"Valle del Cauca","1371.60000000",NA,"B. Ollgaard",NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-12-09 08:57:39-02","F","FMNH-PTERIDOPHYTES","C0659174F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.",NA,NA,NA,NA,NA,"South America","Colombia",NA,"-76.5","3.75",NA,NA,"C0659174F","C0659174F_01","Valle del Cauca",NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA
"21","2015-12-09 08:57:38-02","F","FMNH-PTERIDOPHYTES","C0659173F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","aqualupiana","Huperzia aqualupiana","(Spring) Rothm.",NA,NA,NA,NA,NA,"South America","Colombia",NA,"-76.5","3.75",NA,NA,"C0659173F","C0659173F_01","Valle del Cauca",NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA
"22","2015-12-09 08:57:39-02","F","FMNH-PTERIDOPHYTES","C0659175F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Lycopodium","aqualupianum","Lycopodium aqualupianum","Spring",NA,NA,NA,NA,NA,"South America","Venezuela",NA,"-69.8333","11",NA,NA,"C0659175F","C0659175F_01","Falcón",NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA
"23","2015-12-09 08:57:39-02","F","FMNH-PTERIDOPHYTES","C0659176F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Lycopodium","aqualupianum","Lycopodium aqualupianum","Spring",NA,NA,NA,NA,NA,"South America","Venezuela",NA,"-63","9.3333",NA,NA,"C0659176F","C0659176F_01","Monagas",NA,NA,NA,NA,"Lycopsida",NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2016278","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","J. M. Idrobo & R. E. Schultes","994","1951","1","6","South America - Neotropics","Colombia","Cordillera La Macarena (extreme nordeste), macizo Renjifo, cumbre y alrededores",NA,NA,NA,NA,"US01381639","US01381639_01","Meta","1300","1900",NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","1915327","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","J. A. Steyermark","62005","1945","4","11","South America - Neotropics","Venezuela","Forested summit of Cerro de Guácharo, northeast of Guácharo",NA,NA,NA,NA,"US01381634",NA,"Monagas","1500",NA,NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","2593736A","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","J. A. Steyermark, G. S. Bunting & J. G. Wessels Boer","100338","1967","11","11","South America - Neotropics","Venezuela","Selva nublada en la fila y las laderas superiores, entre Salon y Temería",NA,NA,NA,NA,"US01381632","US01381632_01","Yaracuy","1000",NA,NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","2016362","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","W. R. Philipson & J. M. Idrobo","2012","1949","12","30","South America - Neotropics","Colombia","Sierra de La Macarena: Central Mountains, North Ridge",NA,NA,NA,NA,"US01381641","US01381641_01","Meta","1500",NA,NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","1144975","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","E. P. Killip","11383","1922","9","11","South America - Neotropics","Colombia","La Cumbre, forest, on ridge of cordillera. Cordillera Occidental.",NA,NA,NA,NA,"US01381637",NA,"Valle del Cauca","2100","2400",NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","2153972","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","H. A. Allard","20935","1949","10","30","South America - Neotropics","Peru","Tingo María",NA,NA,NA,NA,"US01381642",NA,"San Martin","625","1100",NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","1853459","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","J. Cuatrecasas","15611","1943","12","10","South America - Neotropics","Colombia","Cordillera Occidental; vertiente occidental: Hoya del río, lado izquierdo, La Laguna",NA,NA,NA,NA,"US01381640",NA,"Valle del Cauca","1250","1400",NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","1705801","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","O. L. Haught","1954","1936","7","26","South America - Neotropics","Colombia","Cerro Armas",NA,NA,NA,NA,"US01381636","US01381636_01","Santander","1200","1900",NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"32","2020-09-12 05:00:02-03","US","US","601675","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","H. F. Pittier","5958","1913","3","19","South America - Neotropics","Venezuela","Guinand Estate (Cárdenas), Siquire Valley",NA,NA,NA,NA,"US01381629",NA,"Miranda","500","1000",NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","2083318","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","L. Aristeguieta","1779","1953","6",NA,"South America - Neotropics","Venezuela","Carretera Sta. Teresa-Altagracia de Ortiuco",NA,NA,NA,NA,"US01381633",NA,NA,"600","700",NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","2295099","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","J. A. Steyermark & S. Nilsson","481","1960","4","23","South America - Neotropics","Venezuela","Pendent epiphyte along stream in forested area, top of ridge in vicinity of km. 134, bordering headwater of Río Cuyuni, NE of Luepa",NA,NA,NA,NA,"US01381635",NA,"Bolivar","1300",NA,NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"35","2020-09-12 05:00:02-03","US","US","1499116","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","O. Buchtien","41","1926","11","19","South America - Neotropics","Bolivia","Mapiri Región: San Carlos, auf Báumen",NA,NA,NA,NA,"US01381643",NA,NA,"950",NA,NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"36","2020-09-12 05:00:02-03","US","US","2552192","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","P. C. Hutchison & J. M. Idrobo","3063","1963","11","18","South America - Neotropics","Colombia","Native forest of Finca Kyburz, eastern slope above the Bitaco River, Bitaco Valley 1 km. above and east of Bitaco, Pacific slope of the western cordillera",NA,NA,NA,NA,"US01381638",NA,"Valle del Cauca","1372",NA,NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","1351189","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B. Øllg.","E. P. Killip & A. C. Smith","15287","1926","12","11","South America - Neotropics","Colombia","Eastern Cordillera, Mesa de los Santos",NA,NA,NA,NA,"US01381628",NA,"Santander","1500",NA,NA,NA,"Pteridophyte",NA,"1",NA,NA,NA,NA
"38","2021-01-12 15:24:19-03","UFMG","BHCB-SL","85273","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","Salino, A; Mota, RC; Mota, NFO; Melo, PHA","9192","2003",NA,NA,"América","Brasil","Distrito de Talimã; Fazenda Duas Barras, Próximo a divisa com o estado da Bahia. Floresta Ombrófila Densa Montana.","-40.057611","-16.404583",NA,"Epífita a 1,5 de altura, na mata.",NA,NA,"Minas Gerais","750","850","Øllgaard, BO","Santa Maria do Salto",NA,NA,NA,"2014","02","-40.057611","-16.404583"
"39","2021-01-12 15:24:19-03","UFMG","BHCB-SL","99363","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","aqualupianus","Phlegmariurus aqualupianus","(Spring) B.Øllg.","Salino, A; Lombardi, JA; Mota, RC; Stehmann, JR","10052","2005","02","23","América","Brasil","Distrito de Talimã; Fazenda Duas Barras, Floresta Ombrófila Densa Montana.","-40.057394","-16.404139",NA,"Planta caída sobre arbustos. Planta parece ter caído do dossel da floresta.","BHCB001836","BHCB001836","Minas Gerais","850","1000","Øllgaard, BO","Santa Maria do Salto",NA,NA,NA,"2014","02","-40.057394","-16.404139"
