"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","previousCatalogNumber","fieldNumber","individualCount","typeStatus"
"12","2020-11-04 11:20:20-03","ESALQ","ESA","26283","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L. M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9020.0","1995","09","03","Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Trilha entre a Cachoeira do Araçá e a área conhecida como descampado. Área de rochas calcáreas. Mata Atlântica","-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"Arbusto, até 3 m alt.; flores alvo-esverdeadas. Subosque. Próximo à cachoeira.","ESA026283","ESA026283","2010",NA,NA,"Magnoliophyta",NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:20:20-03","ESALQ","ESA","21779","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Rodrigues, R.R. et al.","185.0","1995","09","04","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,NA,"ESA021779","ESA021779","2010",NA,NA,"Magnoliophyta",NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:20:20-03","ESALQ","ESA","93270","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Oriani, A.","Oriani, A. et al.","497.0","2005","03","22","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,NA,"ESA093270","ESA093270",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:20:20-03","ESALQ","ESA","22570","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Barreto, K.D. et al.","3052.0","1994","10","18","Brasil","São Paulo","Tapiraí",NA,"-47.5","-23.9599990844727",NA,NA,NA,NA,NA,"ESA022570","ESA022570",NA,NA,NA,"Magnoliophyta",NA,NA,NA,"41034","auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:20:20-03","ESALQ","ESA","21623","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L. M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9083.0","1995","09","04","Brasil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Trilha para o mirante mais alto. Mata Atlântica com transição para campo de altitude.","-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,"Arbusto, ca. 1,5 m alt.; flores alvas. Transição mata/campo de altitude.","ESA021623","ESA021623","2010",NA,NA,"Magnoliophyta",NA,NA,NA,"38804","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-12-19 08:15:33-03","FPS","FPS","2136","MachineObservation","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Cabral, F.S.","Schwirkowski, P.","1613","2016","02","27","Brasil","Santa Catarina","São Bento do Sul","Rio Natal, próximo à CEPA Rugendas, em mata ao lado dos trilhos","-49.308246","-26.320716","-49.308246","-26.320716",NA,NA,"<ll>dwc_commonname:</ll> Fura-parede","FPS02136,MBM423805,FURB49681","FPS02136_v01 FPS02136_v02 FPS02136_v03 FPS02136_v04 FPS02136_v05 FURB49681","2017","03","14",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 49681, MBM 423805",NA,NA,NA,NA
"18","2019-12-19 08:15:33-03","FPS","FPS","2497","MachineObservation","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Cabral, F.S.","Schwirkowski, P.","1931","2016","10","15","Brasil","Santa Catarina","São Bento do Sul","Localidade de Rio Natal.","-49.269824","-26.326217","-49.269824","-26.326217",NA,NA,"<ll>dwc_commonname:</ll> Fura-parede","FPS02497,FURB52035","FPS02497_v01 FPS02497_v02 FPS02497_v03 FPS02497_v04 FPS02497_v05 FPS02497_v06 FPS02497_v07 FURB52035","2017","03","14",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 52035",NA,NA,NA,NA
"19","2019-02-15 11:51:37-02","IPA","IPA","32258","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.",NA,"Santos, T.S.","1435","1971","01","27","Brasil","Bahia","Camacan","estrada a Rio Branco. Margem de água. Plantação de cacau.","-39.4958000183105","-15.4191999435425",NA,NA,NA,NA,"Planta de 20cm de altura; flor branca.","IPA0032258",NA,NA,NA,NA,"Plantae",NA,"Southern America",NA,"22686","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-12-20 21:19:38-03","UFV","VIC","010843","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.",NA,"Vieira, M.F.","639","1989","10","10","Brasil","Minas Gerais","Viçosa","Centro de Pesquisas de Florestas Naturais","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Erva de cerca de 1 m, flores inconspícuas verde esbranquiçadas.","VIC010843","VIC010843",NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-12-20 21:19:38-03","UFV","VIC","001051","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.",NA,"Mexia, Y.","5365","1930","11","26","Brasil","Minas Gerais","Viçosa","Fazenda do Paraiso","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Perennial herb 1 m, high, with whip-like branches;white flower, freguent.","VIC001051","VIC001051",NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-12-20 21:19:38-03","UFV","VIC","002082","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.",NA,"Kulhmann","s.n.","1935","10","21","Brasil","Minas Gerais","Viçosa","Fazenda Criciúma","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"VIC002082","VIC002082",NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-02-27 16:44:26-03","UFSC","CTBS","2050","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Verdi, M.; Martins, E.M. & Veiga, O.N.","5482","2010","08","24","Brasil","Paraná","Morretes","Olimpo/Parque Estadual Pico Marumbi","-48.923333","-25.442222","48°55'24W","25°26'32S","600","600","Floreta Ombrófila Densa; Estágio Avançado; erva terrícola; flor botão floral creme;",NA,NA,"2011","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FURB 32426",NA,NA,NA
"24","2021-03-01 16:42:35-03","UNICAMP","UEC","15294","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Davis, PH; Shepherd, GJ; Sakane, M","D.60836","1976","09","09","Brazil","São Paulo","Eldorado","Caverna do Diabo, limestone","-48.391944","-24.658611","-48.391944","-24.658611","400","400","rain forest. Terrestrial herb, ascending. Flowers greenish or reddish.","UEC088222",NA,"2011","01","19","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:42:35-03","UNICAMP","UEC","188318","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.",NA,"Cadorin, TJ; Clemes, SM; Oliveira, CPL","752","2009","11","23","Brazil","Santa Catarina","Blumenau","parque nacional da serra do itajai","-48.133333","-27.083333","-48.133333","-27.083333",NA,NA,"epifita; floresta ombrofila densa","UEC118096","UEC118096",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:42:35-03","UNICAMP","UEC","76741","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Souza, VC; Souza, JP; Rodrigues, RR; Ivanauskas, NM; Arzolla, FARDP","9083","1995","09","04","Brazil","São Paulo","Eldorado","Núcleo da Caverna do Diabo, Trilha para o mirante mais alto. Mata Athântica com transição para campo de altitude.","-48.403611","-24.630556","-48.403611","-24.630556",NA,NA,"arbusto, ca. 1,5m alt.; flores alvas.","UEC007011",NA,"2010","06","29","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:42:35-03","UNICAMP","UEC","88587","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Rodrigues, RR; Souza, VC; Souza, JP; Scalon, VR; Ivanauskas, NM; Arzolla, FARDP","185","1995","09","04","Brazil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo, trilha do abismo, mata atlântica de encosta","-48.400333","-24.638139","-48.400333","-24.638139",NA,NA,"sobre rochas, flores róseas","UEC088232",NA,"2010","06","29","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:42:35-03","UNICAMP","UEC","52330","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.",NA,"Vieira, MF","639","1989","10","10","Brazil","Minas Gerais","Viçosa","Centro de Pesq. de Florestas Naturais, trilha à direita no final da estrada principal.","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"erva, flores inconspícuas verde-esbranquiçadas nas axilas foliares.","UEC007038",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:42:35-03","UNICAMP","UEC","110095","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Kozera, C; Dittrich, VAO","904","1999","01","23","Brazil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"herbácea, com ca. de 25cm de altura. Flores brancas. Sub-bosque, Floresta Ombrófila Densa de Encosta.","UEC088207",NA,"2011","01","19","Magnoliopsida",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:42:35-03","UNICAMP","UEC","85594","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Rossi, L; Cordeiro, I; Pastore, JFB; Silva, EL","1481","1994","03","31","Brazil","São Paulo","Pindamonhangaba","Ribeirão Grande - Fazenda São Sebastião, mata pluvial montana, mata de encosta.","-45.4599990844727","-22.9200000762939",NA,NA,"900","900","Herbácea, barranco próximo ao riacho; inflorescências verdes.","UEC088230",NA,"2010","06","29","Magnoliopsida",NA,NA,NA,"24176","auto",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:42:35-03","UNICAMP","UEC","67916","S","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Ponte, ACE; et al.","29809","1993","11","13","Brazil","São Paulo","Ubatuba","Núcleo de Picinguaba, trilha do Corisco, mata de encosta.","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"arbusto 2m de altura, folhas brilhantes, membranáceas, flores brancas, axilares.","UEC088233",NA,"2010","06","29","Magnoliopsida",NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-06 09:57:50-03","UFOP","OUPR","4471","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Lisboa, M.A.","Lisboa, M.A.","s.n.","1975","02","01","Brasil","Rio de Janeiro","Serra do Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1975","02","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-06 09:57:50-03","UFOP","OUPR","8015","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,"Brasil","Rio de Janeiro",NA,"Cachoeira do Maromba, Parque Nacional do Itatiaia",NA,NA,NA,NA,NA,NA,"Mata úmida. Erva. Flores pálidas",NA,NA,"1975","01","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-04 13:19:46-03","UDESC","LUSC","8535","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Stival-Santos, A.; Legal, E. & Silveira, S.","1338","2009","11","23","Brasil","Santa Catarina","Blumenau","Área virgem do Parque Nacional da Serra do Itajaí.","-49.0661010742188","-26.9193992614746",NA,NA,NA,NA,NA,"LUSC001531","LUSC001531","2010","08","15",NA,NA,NA,NA,"34291","auto",NA,NA,NA,NA,NA,NA,NA
"35","2020-12-04 13:19:46-03","UDESC","LUSC","8582","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, A.L.","Korte, A.; Kniess, A.","4896","2010","11","09","Brasil","Santa Catarina","Camboriú","Cobra Fria.","-48.6543998718262","-27.0252990722656",NA,NA,NA,NA,NA,"LUSC001536","LUSC001536","2010","01","25",NA,NA,NA,NA,"19854","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 10:06:59-03","FURB","FURB","17368","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Funez, L.A.","Dreveck, S.; Carneiro, F.E.","1351","2009","12","15","Brasil","Santa Catarina","Joinville","Serra Dona Francisca - SC-301.","-49.0477777","-26.1925","-49.0477777","-26.1925000","27","27","Florística IFFSC 1048 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: erva terrícola; flor branca","FURB03680","FURB03680","2013","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-10-14 10:06:59-03","FURB","FURB","17813","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Gasper, A.L. de; Cadorin, T.J. & Schmitt, J.","2331","2009","09","14","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Spitzkopf.","-49.1180556","-27.0069444","-49.1180556","-27.0069444","249","249","Florística IFFSC e8001a (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; mata ciliar Habito: arbustiva; flor branca","FURB45177","FURB45177","2011","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 10:06:59-03","FURB","FURB","18851","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.","752","2009","11","23","Brasil","Santa Catarina","Blumenau","Área Virgem do Parque Nacional da Serra do Itajaí.","-49.1394444","-27.0969444","-49.1394444","-27.0969444","660","660","Epífita IFFSC e578a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: epífita;","FURB03686","FURB03686","2011","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-10-14 10:06:59-03","FURB","FURB","18864","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Stival-Santos, A.; Legal, E. & Silveira, S.","1338","2009","11","23","Brasil","Santa Catarina","Blumenau","Área Virgem do Parque Nacional da Serra do Itajaí.","-49.1394444","-27.0969444","-49.1394444","-27.0969444","660","660","Florística IFFSC 578 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: herbácea; flor branca","FURB45172","FURB45172","2011","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:06:59-03","FURB","FURB","19562","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Funez, L.A.","Stival-Santos, A.; Legal, E. & Silveira, S.","1089","2009","10","28","Brasil","Santa Catarina","Guabiruba","Aymoré.","-49.0494444","-27.09","-49.0494444","-27.0900000","256","256","Florística IFFSC 579 (Erva Terrícola) Habitat: Floresta Ombrófila Densa Submontana; Estágio Avançado; interior do fragmento Habito: erva terrícola; flor esbranquiçada","FURB45173","FURB45173","2013","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:06:59-03","FURB","FURB","27569","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","F.S. Cabral","Korte, A.; Kniess, A.","1524","2010","01","27","Brasil","Santa Catarina","Mirim Doce","Pinhalzinho.","-50.1308334","-27.1802778","-50.1308334","-27.1802778","596","596","Florística IFFSC 508 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: erva terrícola; flor verde","FURB03687","FURB03687","2017","03","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-10-14 10:06:59-03","FURB","FURB","32426","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Verdi, M.; Martins, E.M. & Veiga, O.N.","5482","2010","08","24","Brasil","Paraná","Morretes","Olimpo / Parque Estadual Pico Marumbi.","-48.9233334","-25.4422222","-48.9233334","-25.4422222","600","600",NA,"FURB45174","FURB45174","2011","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-10-14 10:06:59-03","FURB","FURB","33098","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Funez, L.A.","Korte, A.","5076","2010","11","24","Brasil","Santa Catarina","Garuva","Estrada Bonita (Serra do Quiriri).","-48.9605556","-26.1002778","-48.9605556","-26.1002778","800","800","Florística IFFSC 1066b (Rupícola) Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: rupícola;","FURB45171","FURB45171","2013","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-10-14 10:06:59-03","FURB","FURB","33138","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Gaglioti, AL","Korte, A.; Kniess, A.","4896","2010","11","09","Brasil","Santa Catarina","Camboriú","Cobra Fria.","-48.7805556","-27.09","-48.7805556","-27.0900000","341","341","Florística IFFSC 582 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbusto; flor branca","FURB45176","FURB45176","2011","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-10-14 10:06:59-03","FURB","FURB","38970","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Funez, L.A.","Funez, L.A.","806","2012","08","18","Brasil","Santa Catarina","Rodeio","Eremitério Frei Egídio.","-49.4013889","-26.8758334","-49.4013889","-26.8758334","770","770",NA,"FURB45175","FURB45175","2013","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-08 08:56:53-03","FURB","FURB","39205","PreservedSpecimen","Plantae","Urticaceae","Pilea","rhizobola","Pilea rhizobola","Miq.","Funez, L.A.","Funez, L.A.","1016","2012","10","08","Brasil","Santa Catarina","Blumenau","Spitzkopf.","-49.1230556","-27.0263889","-49.1230556","-27.0263889","673","673",NA,"FURB45169","FURB45169","2013","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
