"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","continentOcean","imagecode","class","order","relatedCatalogItem","typeStatus"
"22","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","40032",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","M.L. Dan; Ita & W.M. Aguiar","2","2007","09","15","Brasil","Rio de Janeiro","Campos dos Goytacazes","Distrito de Ibitioca, Maciço do Itaoca, Morro do Macaco","-41.453889","-21.794444",NA,"Erva rupícola, paisagem de moitas rupícolas. Habitat: Vegetação rupícola. Hábito/Forma de Vida: Erva","MBML040032",NA,"41W27'14","21S47'40","20","200",NA,NA,NA,NA,NA,"MBML040032",NA,NA,NA,NA
"23","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","44850",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","A. M. Assis; M. D. S. Demuner & M. B. Redighieri","2489","2010","04","26","Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante","-40.457611","-18.767",NA,"Rupícola, flores brancas, frutos jovens","MBML044850",NA,"40W27'27,4","18S46'1,2","630","630","A.A. Assis",NA,NA,NA,NA,"MBML044850",NA,NA,NA,NA
"24","2021-01-19 14:30:51-03","MBML","MBML-HERBARIO","54422",NA,"Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","P.M. Gonella; T.H. Condez, C.N. Fraga & D.R. Couto","1122","2019","10","17","Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante. Pedra do Elefante, no topo do afloramento.","-40.456806","-18.768306",NA,"Inselberg. Ilhas de vegetação sobre o afloramento rochoso. Ervas eretas com folhas discolores. Botões esbranquiçados.","MBML054422",NA,"40W27'24,5","18S46'5,9","600","600","L. Kollmann, 17.XII.2020",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-09 10:12:17-03","UENF","HUENF","12049","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","D.R. Couto; H. Viana","4675","2019","08","31","Brasil","Rio de Janeiro","Campos dos Goytacazes","Ibitioca, Maciço do Itaoca. Morro do Rato, afloramento rochoso com Vellozia, Selaginella sellowii, Coleocephalocereus e Anthurium.","-41.455","-21.7925",NA,"Arbusto rupícola (saxícola), semi-heliófila, ca. 1,3 m altura. Lâmina verde discolor, com face abaxial mais clara. Pedúnculo vermelho com lanugem bege. Flores alvas, estames amarelos. Frutos verdes. Na parte alta do inselberg, em l","HUENF00012881",NA,"41º27'18''W","21º47'33''S","240","240","D.R. Couto","2019","08","31",NA,NA,NA,NA,NA,NA
"26","2019-10-07 09:24:03-03","UEFS","HUEFS","190638","PreservedSpecimen","Plantae","Angiospermae","Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","Kollmann, L.","4305","2001","08","09","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho.","-40.6002998352051","-19.9356002807617","23813",NA,"HUEFS0190638","auto",NA,NA,NA,NA,"B.S.Gregório","2013","04",NA,NA,"HUEFS0190638","Rosanae","Cucurbitales",NA,NA
"27","2020-07-23 11:59:43-03","CEPLAC","CEPEC","130890","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis",NA,"P. H. Labiak","5111","2009","01","14","Brasil","Espírito Santo","NOVA VENÉCIA","APA da Pedra do Elefante. Afloramento à direita na subida para a Pedra do Elefante.","-40.4475","-18.770278",NA,NA,NA,NA,"40W26'51","18S46'13",NA,NA,"L. Kollmann",NA,NA,NA,NA,NA,NA,NA,"24/03/2014",NA
"28","2020-07-23 11:59:43-03","CEPLAC","CEPEC","129929","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis",NA,"L. Kollmann","10707",NA,NA,NA,"Brasil","Espírito Santo","NOVA VENÉCIA",NA,"-40.4006004333496","-18.710599899292","42400","<ll>dwc_commonname:</ll>",NA,"auto",NA,NA,NA,NA,"L. Kollmann",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-07-23 11:59:43-03","CEPLAC","CEPEC","129936","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis",NA,"C. N. Fraga","2089",NA,NA,NA,"Brasil","Espírito Santo","NOVA VENÉCIA",NA,"-40.4006004333496","-18.710599899292","42400","<ll>dwc_commonname:</ll>",NA,"auto",NA,NA,NA,NA,"C. N. Fraga",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-07-23 11:59:43-03","CEPLAC","CEPEC","130260","PreservedSpecimen","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis",NA,"L. Kollmann","11396",NA,NA,NA,"Brasil","Espírito Santo","NOVA VENÉCIA",NA,"-40.4006004333496","-18.710599899292","42400","<ll>dwc_commonname:</ll>",NA,"auto",NA,NA,NA,NA,"L. Kollmann",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-19 09:28:48-03","IBt","SP","370162","S","Plantae",NA,"Begoniaceae","Begonia","ibitiocensis","Begonia ibitiocensis","E.L.Jacques & Mamede","Braga, JMA","666","1993","10","09","Brasil","Rio de Janeiro","Campos dos Goytacazes","Distrito de Ibitioca. Fazenda Pedra Negra. Mata secundária na base de costão rochoso íngreme","-41.3244018554688","-21.7541999816895","62761","Arbusto ca. 1,5 m alt., rupícola e umbrófilo. Flores alvacentas. Frutos imaturos esverdeados","SP000042","auto",NA,NA,NA,NA,"Jacques, EL","2002",NA,NA,NA,"SP000042",NA,NA,NA,"Isotype"
