"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","identifiedBy","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"11","2021-03-01 16:34:28-03","UNICAMP","UEC","143936","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, AKA; Nunes, TS; Jardim, JG; Machado, MC","2006","01","08",NA,"Brazil",NA,NA,"Arbusto pouco ramificado, até 1,7m alt. Folhas verdes discolores, face abaxial mais clara. Folhas viscosas. Cálice verde a levemente vináceo. Pétalas magenta, estames amarelos, gineceu róseo. Fruto vináceo. População coletada para DNA.","UEC080455","Magnoliopsida",NA,"Wurdack","557","Bahia","Piatã","Serra de Santana","-41.833333","-11.333333",NA,NA,"UEC080455","Santos, AKA",NA,"2006","06","-41.833333","-11.333333",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:34:28-03","UNICAMP","UEC","143949","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, AKA; Borba, EL; Cruz, DT; Schndelbach, AS; Carvalho, PD","2005","04","08",NA,"Brazil",NA,NA,"Arbusto, ca. 60cm. Folhas crassas discolores, face supeior verde brilhante, face inferior verde claro, nervuras castanhas a ferrugíneas. Flores com pétalas magenta, anteras amarelas, filetes brancos. Frutos castanhos. (As folhas não sã","UEC080457","Magnoliopsida",NA,"Wurdack","327","Bahia","Piatã","Serra de Santana, Trilha para o Cruzeiro.","-41.764167","-14.511111","1303","1303","UEC080457","Santos, AKA",NA,"2006","06","-41.764167","-14.511111",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:34:28-03","UNICAMP","UEC","105300","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, RM; Stannard, BL; Pirani, JR; Furlan, A","1988","12","13",NA,"Brazil",NA,NA,"Arbusto até 1,7m de altura, muito ramificado. Folhas discolores, brilhantes, verdes na face superior. Frutos vermelhos. Córtice dos caules destacando-se em pequenas placas.; Campo rupestre. Em solo brejoso com muito Sphagnum.","UEC080451","Magnoliopsida",NA,"Wurdack","27171","Bahia","Rio de Contas","Pico das Almas, Vertente leste. Trilho Faz. Silvina - Campo do Queiroz.","-41.933333","-13.533333","1425","1425","UEC080451",NA,NA,NA,NA,"-41.933333","-13.533333",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:34:28-03","UNICAMP","UEC","105361","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, RM; Prado, J; Fothergill, JM; Mayo, AK","1988","12","20",NA,"Brazil",NA,NA,"Entre pedras.","UEC080447","Magnoliopsida",NA,"Wurdack","27617","Bahia","Rio de Contas","Arredores da cidade. Cachoeira da Fraga.","-41.766667","-13.616667","1000","1000","UEC080447","Martins, AB",NA,NA,NA,"-41.766667","-13.616667",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:34:28-03","UNICAMP","UEC","122173","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Romero, R; Almeda, F; Martins, AB; Belinello, R","1999","05","20",NA,"Brazil",NA,NA,"Arbusto, ca. 1m. Frutos secos.; Campo rupestre.","UEC080453","Magnoliopsida",NA,"Wurdack","5870","Bahia","Rio de Contas","Trilha para o Campo de Queiróz.","-41.947694","-13.515389","1440","1440","UEC080453",NA,NA,NA,NA,"-41.947694","-13.515389",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:34:28-03","UNICAMP","UEC","134310","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, AKA; Nascimento, FHF","2004","01","07",NA,"Brazil",NA,NA,"Arbusto pouco ramificado. Folhas discolores, viscosas, face abaxial mais clara. Frutos cápsulas castanhos, apenas com alguns estames, já passados amarelos e algumas pétalas já secas de cor rósea. Prensada em álcool. Foto.; Coletada pró","UEC080461","Magnoliopsida",NA,"Wurdack","198","Bahia","Rio de Contas","Subida Mato Grosso - Itoibira.","-41.8625","-13.396389",NA,NA,"UEC080461","Santos, AKA",NA,"2004","05","-41.8625","-13.396389",NA,NA,"21",NA,NA,NA,NA
"17","2021-03-01 16:34:28-03","UNICAMP","UEC","134317","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, AKA; Silva, TRS; Andrade, MJG; Nascimento, FHF; et al.","2003","11","10",NA,"Brazil",NA,NA,"Arbusto, ca 80 cm, pouco ramificado, ramos castanhos. Folhas discolores, mambranáceas, viscosas, cálice castanho, hipanto verde. Pétalas lilás, filetes brancos, anteras amarelas, gineceu branco. Botões com pétalas creme. Prensada em ál","UEC080459","Magnoliopsida",NA,"Wurdack","163","Bahia","Rio de Contas","Campo do Queiroz, Trilha para o Pico das Almas. Campo do Queiroz.","-41.943889","-13.519444","1504","1504","UEC080459","Santos, AKA",NA,"2004","05","-41.943889","-13.519444",NA,NA,"21",NA,NA,NA,NA
"18","2021-03-01 16:34:28-03","UNICAMP","UEC","94497","S","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, RM; Prado, J; Fothergill, JM; Mayo, AK","1988","12","20",NA,"Brazil",NA,NA,"Arbusto delgado até 1,8m de altura. Caules jovens, hipanto e sépalas muito viscosos. Folhas verde-escuro na face superior, mais claras na face inferior com pilosidade amarelada. Pétalas alvas, estilete e filetes dos estames alvos. Ante","UEC080449","Magnoliopsida",NA,"Wurdack","27617","Bahia","Rio de Contas","Arredores da cidade. Cachoeira da Fraga.","-41.766667","-13.616667","1000","1000","UEC080449","Martins, AB",NA,NA,NA,"-41.766667","-13.616667",NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:34:27-03","MBM","MBM","254565","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, R.M.; et al.; et al.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM254565",NA,NA,"J.J. Wurdack","50517","Bahia","Abaíra","Estrada para Inúbia","-41.6636009216309","-13.2496995925903",NA,NA,"MBM254565","Woodyer, E.M.",NA,NA,NA,NA,NA,NA,NA,NA,"26531","auto",NA,NA
"20","2020-12-11 11:38:17-03","UFMG","BHCB","154476","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Rocha, MJR; Guimarães, PJF; Freitas, JG; Santos, AKA","2012","02","14","Southern America","Brasil",NA,NA,"Subarbusto ca de 60 cm. Ramos viscosos, frutos avermelhados imaturos.",NA,"Dicotyledon",NA,"Wurdack","334","Bahia","Rio de Contas","Pico das Almas, Trilha para o Pico das Almas.","-41.943611","-13.5175","1490","1490",NA,NA,NA,NA,NA,"-41.943611","-13.5175",NA,NA,NA,NA,NA,NA,NA
"21","2015-08-13 05:50:00-03","MO","MOBOT","3230296","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","R.M. Harley","1988","12","20","South America","Brazil",NA,NA,NA,NA,NA,NA,"Wurdack","Harley 27617","Bahia",NA,"Mun.: Rio de Contas. Arredores da cidade. Cachoeira da Fraga. Entre pedras.","-41.76666","-13.61666","1000.00000000",NA,NA,"J.J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-08-13 05:50:00-03","MO","MOBOT","3229533","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","R.M. Harley","1991",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Wurdack","Harley 50517","Bahia",NA,"Mun. AbaÌra: Salão, 9 km de Catolés na estrada para Inúbia. Carrascal entre rochas areníticas.","-41.88333","-13.25","1100.00000000","1200.00000000",NA,"E.M Woodgyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2018-02-25 05:30:00-03","MO","MOBOT","3229768","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","R.M. Harley|Rosângela Simão-Bianchini|David J.N. Hind|J.M. Fothergill","1988","10","24","South America","Brazil",NA,NA,NA,NA,NA,NA,"Wurdack","Harley 25359","Bahia",NA,"Mun.: Rio de Contas. Povaso de Mato Grosso, arredores. Campo rupestre. Entre pedras em solo arenoso.","-41.83333","-13.46666","1260.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-08 13:25:35-03","UFBA-IMS","HVC","643","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","A.P.G. Oliveira; P.S, Almeida e G.P.G, Ramos","2014","05","16",NA,"Brasil",NA,NA,"Arbustivo, folhas verdes, face abaxial mais clara. Flores ausentes. Frutos e sementes amarronzados.","HVC00000643",NA,NA,"Wurdack","3","Bahia","Rio de Contas","Trilha Serra do Torre. Trilha Serra do Torre.","-41.812222","-13.580833","1097","1097","HVC00000643_v1 HVC00000643_v2","A.K.A. Santos",NA,"2019","12","41º48'44''W","13º34'51''S",NA,NA,"17",NA,NA,NA,NA
"25","2021-02-08 13:25:35-03","UFBA-IMS","HVC","1327","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","A.K.A. Santos; J.O. Cruz","2015","03","14",NA,"Brasil",NA,NA,"Folhas verdes escuro na face superior e verde claro na face inferior","HVC00001327",NA,NA,"Wurdack","1373","Bahia","Rio de Contas","Trilha Pico das Almas. Trilha Pico das Almas.","-41.948611","-13.514722","1936","1936",NA,NA,NA,NA,NA,"41º56'55''W","13º30'53''S",NA,NA,NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","3180894","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","R. M. Harley, J. Prado & J. Fothergill","1988","12","20","South America - Neotropics","Brazil",NA,NA,NA,"US01901047",NA,"Myrtales","Wurdack","27617","Bahia","Rio de Contas","Arredores da cidade. Cachoeira do Fraga","-41.77","-13.62","1000",NA,"US01901047_01 US01901047_02",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","2754340","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","R. M. Harley","1974","1","17","South America - Neotropics","Brazil",NA,NA,NA,"US00120311",NA,"Myrtales","Wurdack","15162","Bahia",NA,"Serra do Rio de Contas.",NA,NA,NA,NA,"US00120311_01",NA,"Isotype",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA
"28","2019-11-13 11:25:29-03","USP","SPF","164219","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, RM","1988","12","20",NA,"Brasil",NA,NA,NA,"SPF00164219",NA,NA,"Wurdack","27617","Bahia","Rio de Contas",NA,"-41.766667","-14.166667","1000","1000",NA,"Wurdack, JJ",NA,"1999",NA,"-41.766667","-14.166667",NA,NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:25:29-03","USP","SPF","111711","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1993","11","07",NA,"Brasil",NA,NA,NA,"SPF00111711",NA,NA,"Wurdack","2450","Bahia","Abaíra","Serra dos Frios","-41.866667","-13.333333","1630","1630",NA,NA,NA,NA,NA,"-41.866667","-13.333333",NA,NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:25:29-03","USP","SPF","111785","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1993","11","12",NA,"Brasil",NA,NA,NA,"SPF00111785",NA,NA,"Wurdack","2464","Bahia","Abaíra","Serra dos Frios","-41.883333","-13.333333","1700","1800",NA,"Woodgyer, EM",NA,"1999",NA,"-41.883333","-13.333333",NA,NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:25:29-03","USP","SPF","164141","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, RM","1988","10","24",NA,"Brasil",NA,NA,NA,"SPF00164141",NA,NA,"Wurdack","25359","Bahia","Rio de Contas","povoado de Mato Grosso","-41.833333","-13.466667","1260","1260",NA,"Santos, AKA",NA,"2007","10","-41.833333","-13.466667",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-13 11:25:29-03","USP","SPF","88630","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1992","12","16",NA,"Brasil",NA,NA,NA,"SPF00088630",NA,NA,"Wurdack","1660","Bahia","Abaíra","Catolés","-41.866667","-13.3","1150","1150",NA,"Woodgyer, EM",NA,"1999",NA,"-41.866667","-13.3",NA,NA,NA,NA,NA,NA,NA
"33","2019-11-13 11:25:29-03","USP","SPF","88921","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1992","09","22",NA,"Brasil",NA,NA,NA,"SPF00088921",NA,NA,"Wurdack","1143","Bahia","Abaíra",NA,"-41.85","-13.316667","1250","1250",NA,"Woodgyer, EM",NA,"1999",NA,"-41.85","-13.316667",NA,NA,NA,NA,NA,NA,NA
"34","2019-11-13 11:25:29-03","USP","SPF","90790","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Harley, RM","1991","12","28",NA,"Brasil",NA,NA,NA,"SPF00090790",NA,NA,"Wurdack","H50517","Bahia","Abaíra",NA,"-41.883333","-13.25","1100","1200",NA,"Woodgyer, EM",NA,"1999",NA,"-41.883333","-13.25",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-13 11:25:29-03","USP","SPF","82815","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W","1993","09","02",NA,"Brasil",NA,NA,NA,"SPF00082815",NA,NA,"Wurdack","2189","Bahia","Rio de Contas",NA,"-42.35","-13.833333","1325","1325",NA,"Woodgyer, EM",NA,"1999",NA,"-42.35","-13.833333",NA,NA,NA,NA,NA,NA,NA
"36","2019-10-07 09:34:23-03","UEFS","HUEFS","116790","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2007","01","10",NA,"Brasil",NA,NA,"Área de Cerrado com rochas. Entre rochas.","HUEFS0116790","Angiospermae","Myrtales","Wurdack","946","Bahia","Abaíra","Catolés. Salão ca. 9 km de Catolés.","-41.901944","-13.252222",NA,NA,NA,NA,NA,NA,NA,"41W54'7''","13S15'8''","Rosanae",NA,NA,NA,NA,NA,NA
"37","2019-10-07 09:34:23-03","UEFS","HUEFS","113524","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","08","20",NA,"Brasil",NA,NA,"Campo rupestre.","HUEFS0113524","Angiospermae","Myrtales","Wurdack","912","Bahia","Rio de Contas","Catolés, trilha do Guarda Mor.","-41.858056","-13.303056","1245","1245","HUEFS0113524",NA,NA,NA,NA,"41W51'29''","13S18'11''","Rosanae",NA,NA,NA,NA,NA,NA
"38","2019-12-13 13:54:04-03","UEFS","HUEFS","15989","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","formosa x viscida","Marcetia formosa x viscida","Ganev, W.","1993","11","07",NA,"Brasil",NA,NA,"Campo rupestre com mata ciliar em solo arenoso com rochas.","HUEFS0015989","Angiospermae","Myrtales","Wurdack","2450","Bahia","Abaíra","Caminho Guarda Mor - Serra dos Frios (Covoão).","-41.866667","-13.333333","1630","1630","HUEFS0015989","A.B.Martins",NA,"2004","09","41W52'","13S20'","Rosanae",NA,NA,NA,NA,NA,NA
"39","2019-10-07 09:34:23-03","UEFS","HUEFS","12925","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Ganev, W.","1992","12","16",NA,"Brasil",NA,NA,NA,"HUEFS0012925","Angiospermae","Myrtales","Wurdack","1660","Bahia","Abaíra",NA,"-41.866667","-13.3","1150","1150","HUEFS0012925","A.K.A.Santos",NA,"2002","12","41W52'","13S18'","Rosanae",NA,NA,NA,NA,NA,NA
"40","2019-10-07 09:34:23-03","UEFS","HUEFS","106718","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","02","08",NA,"Brasil",NA,NA,"Área de campo rupestre.","HUEFS0106718","Angiospermae","Myrtales","Wurdack","757","Bahia",NA,"Catolés/Abaíra, trilha para o Guarda-Mor.","-41.858056","-13.303056","1245","1245","HUEFS0106718","A.K.A.Santos",NA,"2006","06","41W51'29''","13S18'11''","Rosanae",NA,NA,NA,NA,NA,NA
"41","2019-10-07 09:34:23-03","UEFS","HUEFS","106726","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","02","08",NA,"Brasil",NA,NA,NA,"HUEFS0106726","Angiospermae","Myrtales","Wurdack","765","Bahia",NA,"Catolés/Abaíra, trilha para o Guarda-Mor. Campo do Bicota.","-41.85","-13.326389","1511","1511","HUEFS0106726","A.K.A.Santos",NA,"2006","06","41W51'0''","13S19'35''","Rosanae",NA,NA,NA,NA,NA,NA
"42","2019-10-07 09:34:23-03","UEFS","HUEFS","106767","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","02","18",NA,"Brasil",NA,NA,"próximo a área de escavação de areia e pedras.","HUEFS0106767","Angiospermae","Myrtales","Wurdack","803","Bahia","Rio de Contas","Arredores de Mato Grosso, ponte após Capoeira, afloramentos rochosos ao lado da sede de torrefação de café.","-41.840278","-13.47",NA,NA,"HUEFS0106767","A.K.A.Santos",NA,"2006","06","41W50'25''","13S28'12''","Rosanae",NA,NA,NA,NA,NA,NA
"43","2019-10-07 09:34:23-03","UEFS","HUEFS","106774","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","02","18",NA,"Brasil",NA,NA,NA,"HUEFS0106774","Angiospermae","Myrtales","Wurdack","810","Bahia","Rio de Contas","Trilha para o Pico das Almas.","-41.947778","-13.515278",NA,NA,"HUEFS0106774",NA,NA,NA,NA,"41W56'52''","13S30'55''","Rosanae",NA,NA,NA,NA,NA,NA
"44","2019-10-07 09:34:23-03","UEFS","HUEFS","111823","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","08","16",NA,"Brasil",NA,NA,NA,"HUEFS0111823","Angiospermae","Myrtales","Wurdack","844","Bahia","Rio de Contas","Serra da Marsalina (Morro da Torre).","-41.8","-13.55",NA,NA,"HUEFS0111823",NA,NA,NA,NA,"41W48'","13S33'","Rosanae",NA,NA,NA,NA,NA,NA
"45","2019-10-07 09:34:23-03","UEFS","HUEFS","111848","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","08","19",NA,"Brasil",NA,NA,NA,"HUEFS0111848","Angiospermae","Myrtales","Wurdack","870","Bahia","Rio de Contas","Povoado de Mato Grosso, área de campo rupestre, próximo ao Centro de torrefação.","-41.840556","-13.473611","1291","1291","HUEFS0111848",NA,NA,NA,NA,"41W50'26''","13S28'25''","Rosanae",NA,NA,NA,NA,NA,NA
"46","2019-10-07 09:34:23-03","UEFS","HUEFS","114434","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","09",NA,NA,"Brasil",NA,NA,"Área de campo rupestre.","HUEFS0114434","Angiospermae","Myrtales","Wurdack","913","Bahia","Rio de Contas","Povoado de Mato Grosso, próximo ao centro de torrefação.","-41.840556","-13.473611","1291","1291","HUEFS0114434",NA,NA,NA,NA,"41W50'26''","13S28'25''","Rosanae",NA,NA,NA,NA,NA,NA
"47","2019-10-07 09:34:23-03","UEFS","HUEFS","116776","PreservedSpecimen","Plantae","Melastomataceae","Marcetia","viscida","Marcetia viscida","Santos, A.K.A.","2006","12","14",NA,"Brasil",NA,NA,NA,"HUEFS0116776","Angiospermae","Myrtales","Wurdack","931","Bahia","Rio de Contas","Trilha para o Pico do Itoibira.","-41.884722","-13.370833","1930","1930","HUEFS0116776",NA,NA,NA,NA,"41W53'5''","13S22'15''","Rosanae",NA,NA,NA,NA,NA,NA
