"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus"
"11","2020-12-20 21:18:06-03","UFV","VIC","169","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.","Andreata, R.H.P.","Mexia, Y.","4709-a",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"VIC000169","VIC000169",NA,NA,NA,"1998","02","13",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:18:06-03","UFV","VIC","1085","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.","Andreata, R.H.P.","Mexia, Y.","5229",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"VIC001085","VIC001085",NA,NA,NA,"1998","02","13",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:18:06-03","UFV","VIC","758","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.","Andreata, R.H.P.","Mexia, Y.","4592","1930",NA,NA,NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,"VIC000758","VIC000758",NA,NA,NA,"1998","02","12","13937","auto",NA,NA,NA,NA,NA
"14","2020-12-20 21:18:06-03","UFV","VIC","3170","PreservedSpecimen","Plantae",NA,NA,"Liliaceae","Smilax","lutescens","Smilax lutescens","Vell.","Andreata, R.H.P.","Mexia, Y.","5271","1930","09","07",NA,"Brasil","Minas Gerais","Viçosa","Estrada para Cajuri","-42.8819007873535","-20.7539005279541",NA,NA,"VIC003170","VIC003170",NA,NA,NA,"1998","02","13","13937","auto",NA,NA,NA,NA,NA
"15","2019-08-20 10:01:46-03","UNICAMP","UEC","17452","S","Plantae","Liliopsida",NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Duarte, MM; Assumpção, S","957","1978","11","05",NA,"Brazil","Mato Grosso","Cuiabá","Margem esquerda. Córrego loteamento., Solo argiloso arenoso seco.","-56.103056","-15.598889",NA,"Cipó escandente; fruto imaturo; comportamento terrestre; muito frequente.","UEC006826","UEC006826","165","165",NA,NA,NA,NA,NA,NA,"-56.103056","-15.598889",NA,NA,NA
"16","2015-09-03 20:04:48-03","MNHN","RECOLNAT_MNHN_P","P02060271","PreservedSpecimen",NA,NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"Mexia, Y.",NA,"1930","11","28",NA,"Brasil","Minas Gerais",NA,"Districto Rio Branco. Fazenda Bom Jardim; Cambusca.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02060271' target='other'> <mi>dwc_moreinfo</mi></a>","P02060271","P02060271_01","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5375",NA,NA
"17","2020-12-11 11:45:23-03","UFMG","BHCB","49745","PreservedSpecimen","Plantae","Monocotyledon",NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:45:23-03","UFMG","BHCB","47982","PreservedSpecimen","Plantae","Monocotyledon",NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-11 11:45:23-03","UFMG","BHCB","49746","PreservedSpecimen","Plantae","Monocotyledon",NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:45:23-03","UFMG","BHCB","53815","PreservedSpecimen","Plantae","Monocotyledon",NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Lombardi, JA","4097","2000","10","18","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.340833","-18.0125",NA,"Cerrado. Liana, folhas coriáceas, flores verdes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.340833","-18.0125",NA,NA,NA
"21","2020-12-11 11:45:23-03","UFMG","BHCB","51303","PreservedSpecimen","Plantae","Monocotyledon",NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Lombardi, JA; et al.","3702",NA,NA,NA,"Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.3908004760742","-18.0041999816895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26697","auto",NA,NA,NA,NA,NA
"22","2009-07-31 07:05:00-03","MO","MOBOT","3032233","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","R. Liesner","George Eiten|Liene T. Eiten","Eiten 8469","1968","8","31","South America","Brazil","Mato Grosso do Sul",NA,"Serra do Roncador, Município de Barra do Garcas: 235 km along new road NNE of village of Xavantina. (25 km due S of Royal Society-Royal Geographic Society Base Camp. At Lagoa do Sucuri. On circular grove a few meters wide of cerrado scrub on raised drained gray silt soil. (This hummock is at lower edge of a saturated grassy campo that borders a gallery forest).","-51.75","-12.85",NA,NA,NA,NA,"450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-26 06:12:00-03","MO","MOBOT","1151185","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.","M. Menacho","Ademar Soto|S.N. Panfil|Moore|Soliz","Soto 530","1997","1","5","South America","Bolivia","Santa Cruz","Velasco","Parque Nacional Noel Kempff Mercado colectas generales de Huanchaca I","-60.81277","-13.89472",NA,NA,NA,NA,"500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","1766132","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"J.A. Carrasco|Rosa Ortiz","Carrasco 013",NA,NA,NA,"South America","Bolivia","Cochabamba","Carrasco","Valle Sajta serca de las parcelas permanentes de FOMABO Bosque secundario, con muchas Lecytidaceae y lianas, con presencia de ganado.","-64.76666","-17.1",NA,NA,NA,NA,"256.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2011-06-08 11:53:00-03","MO","MOBOT","1801949","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"José Schunke V.","Schunke Vigo 7358","1974","7","12","South America","Peru","San Martín","Mariscal Cáceres","Dtto. Tocache Nuevo, Camino a Shunté, al E del Punte de Palo Blanco",NA,NA,NA,NA,NA,NA,"500.00000000","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2011-06-08 11:53:00-03","MO","MOBOT","1801956","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"José Schunke V.","Schunke Vigo 6642","1973","8","2","South America","Peru","San Martín","Mariscal Cáceres","Dtto. Tocache Nuevo, Quebrada Luís Sálas, 5 km NE de Puerto Pizana.",NA,NA,NA,NA,NA,NA,"350.00000000","370.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2015-08-22 05:41:00-03","MO","MOBOT","1907773","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.","R. Liesner (MO)","Ronald L. Liesner|Ángel C. González|R.C. Wingfield","Liesner 7885","1979","6","23","South America","Venezuela","Falcón",NA,"Parque Nacional Quebrada de la Cueva El Toro. Trail to water tank and trail along pipe down to valley pumping station. Secondary vegetation with remnants of primary forest. Slope.","-69.11666","10.83333",NA,NA,NA,NA,"600.00000000","900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"148",NA,NA
"28","2013-05-07 06:03:00-03","MO","MOBOT","3028559","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.","Audreata","Ynés Mexia","Mexia 5271","1930","11","7","South America","Brazil","Minas Gerais",NA,"Vicosa. Road to Cajury; beyond Casinhas; cut-over woods on hill.",NA,NA,NA,NA,NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2013-05-07 06:03:00-03","MO","MOBOT","3028719","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.","Audreata","Ynés Mexia","Mexia 5375","1930","11","28","South America","Brazil","Minas Gerais",NA,"Distsricto Rio Branco; Fazenda Bom Jardim; Cambusca; in open, cut-over woods.",NA,NA,NA,NA,NA,NA,"720.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2013-05-07 06:03:00-03","MO","MOBOT","3029993","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.","Regina Audreata","Ynés Mexia","Mexia 5229","1930","10","28","South America","Brazil","Minas Gerais",NA,"Dirstricto Rio Branco. Road Vicosa to Barroso; Fazenda de Reserva; open space in forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2013-10-05 06:35:00-03","MO","MOBOT","3030218","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.","R.L. Liesner","Ángel C. González|Francisco J. Ortega","González 1392","1977","9","7","South America","Venezuela","Miranda",NA,"Dto. Paéz: Carretera San Juan - Montevideo;","-65.75","10.06666",NA,NA,NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-09-12 05:00:02-03","US","US","2570174","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Y. Mexia","4888","1930","11","7","South America - Neotropics","Brazil","Minas Gerais","Viçosa","Road to Cajury, beyond Casinhas","-42.8819007873535","-20.7539005279541",NA,NA,"US01327018","US01327018_01",NA,NA,"Monocotyledonae",NA,NA,NA,"13937","auto",NA,NA,NA,"1",NA
"33","2020-09-12 05:00:02-03","US","US","2221081","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"A. Macedo","613","1988","8","20","South America - Neotropics","Brazil","Minas Gerais","Campina Verde","S. José do Lajeado","-49.486400604248","-19.5356006622314",NA,NA,"US01327015","US01327015_01",NA,NA,"Monocotyledonae",NA,NA,NA,"79993","auto",NA,NA,NA,"1",NA
"34","2020-09-12 05:00:02-03","US","US","1443739","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"A. Macedo","11262","1988","12","18","South America - Neotropics","Brazil","Minas Gerais","Campina Verde","S. José do Lajeado","-49.486400604248","-19.5356006622314",NA,NA,"US01327016","US01327016_01",NA,NA,"Monocotyledonae",NA,NA,NA,"79993","auto",NA,NA,NA,"1",NA
"35","2020-09-12 05:00:02-03","US","US","3181769","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Y. Mexia","7972","1930","4","9","South America - Neotropics","Brazil","Minas Gerais","Viçosa","Agricultural College lands","-42.8819007873535","-20.7539005279541",NA,NA,"US01327012","US01327012_01",NA,NA,"Monocotyledonae",NA,NA,NA,"13937","auto",NA,NA,NA,"1",NA
"36","2020-09-12 05:00:02-03","US","US","3276325","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Y. Mexia","691","1930","11","28","South America - Neotropics","Brazil","Minas Gerais",NA,"Districto Rio Branco. Fazenda Bom Jardim; Cambusca",NA,NA,NA,NA,"US01327017","US01327017_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"37","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"T. S. Filgueiras, M. Fonseca & J. H. Kirkbride","3050","1994","11","7","South America - Neotropics","Brazil","Goiás","Niquelândia","Fonte da Bica, ca.5km leste Macedo","-48.4597015380859","-14.4738998413086",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,"74171","auto",NA,NA,NA,"1",NA
"38","2020-09-12 05:00:02-03","US","US","2625370","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"R. Marquete, A. M. S. F. Vaz, R. C. Mendonça, M. Fonseca & G. N. Jesus","33576","1996","10","21","South America - Neotropics","Brazil","Goiás","Alto Paraíso de Goiás","Vale da Lua, Rio São Miguel","-47.5099983215332","-14.1324996948242",NA,NA,"US01327013","US01327013_01",NA,NA,"Monocotyledonae",NA,NA,NA,"44724","auto",NA,NA,NA,"1",NA
"39","2020-09-12 05:00:02-03","US","US","3115207","PreservedSpecimen","Plantae",NA,"Liliales","Liliaceae (Smilacaceae)","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Y. Mexia","904","1930","10","28","South America - Neotropics","Brazil","Minas Gerais",NA,"Districto Rio Branco. Road Viçosa to Barroso; fazenda de reserva",NA,NA,NA,NA,"US01327019","US01327019_01",NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"40","2019-09-04 20:03:12-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora",NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"41","2019-06-24 08:14:00-03","IAC","IAC","48715","S","Plantae",NA,NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.","R.B. Torres & T.S. Moraes","L.C. Ming; S.M.P. Silva; L.C.P. Barros; G.A. Macedo; G.C. Cruz; M.A.L. Silva & A.M. Silva","724","2006","01","25",NA,"Brasil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande, Serra da Mantiqueira","-45.4617","-22.9239",NA,"Coordenadas medidas:-22.44717,-45.27906",NA,NA,NA,NA,NA,"2008","02","14",NA,NA,"-45.4617","-22.9239",NA,NA,NA
"42","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Brasilia meridionali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Brasilia meridionali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Habitat in regione montana inter saxa et ad sepes Serro Frio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:14:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Smilacaceae","Smilax","ramiflora","Smilax ramiflora","Griseb.",NA,"Martius, CFP","s.n.",NA,NA,NA,NA,NA,NA,NA,"Habitat in regione montana inter saxa et ad sepes Serro Frio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-10-08 08:53:42-03","IBt","SP","335742","S","Plantae",NA,NA,"Smilacaceae","Smilax","lutescens","Smilax lutescens","Vell.",NA,"Simão Bianchini, R","1191","1998","01","02",NA,"Brasil","Minas Gerais","Alpinópolis",NA,"-46.3880996704102","-20.8635997772217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22010","auto",NA,NA,NA,NA,NA
