"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","day","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"17","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0000111","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","christii","Huperzia christii","(Alv.Silveira) J.Holub","V.A. de O. Dittrich","J. Cordeiro; J. M. Cruz & L. A. Ferreira","1639","1999","11",NA,"Brazil","Parana","Serra dos Orgaos, morro Tucum (Mun. Campina Grande do Sul) Parana","-49.0833","-25.3",NA,NA,NA,"111; Ereta. Campo de altitude.",NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,"Lycopodiopsida",NA,NA,NA
"18","2019-11-21 14:50:28-03","UFJF","CESJ","24178","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","B. Øllgaard","L. Krieger; et al.","CESJ24178","1989","04","América do Sul","Brasil","Minas Gerais","Parque Nacional do Caparaó, Caminho p/ Terreirão - 2400msm. Terrestre, local muito úmido. Solo turfoso.",NA,NA,NA,NA,NA,NA,"CESJ024178","CESJ024178","2014","08",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 14:50:28-03","UFJF","CESJ","24197","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","B. Øllgaard","L. Krieger; et al.","CESJ24197","1989","04","América do Sul","Brasil","Minas Gerais","Parque Nacional do Caparaó, Trilha p/ Macieira - 1820msm. No barranco, terrestre. Em campo montano.",NA,NA,NA,NA,NA,NA,"CESJ024197","CESJ024197","2014","08",NA,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:50:28-03","UFJF","CESJ","3070","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","B. Øllgaard","A.C. Brade","s.n.","1952",NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,"CESJ003070","CESJ003070","2014","09","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:50:28-03","UFJF","CESJ","64662","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","B. Øllgaard","L. Krieger; et al.","CESJ64662","1988","09","América do Sul","Brasil","Minas Gerais","Parque Nacional do Caparaó, Vale Encantado",NA,NA,NA,NA,NA,"à beira de rio, em tufos densos, no meio de gramíneas.","CESJ064662","CESJ064662","2014","09","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:50:28-03","UFJF","CESJ","25503","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","B. Øllgaard","R.F. Novelino; P. Windisch; A. Santos","229","1984","06","América do Sul","Brasil","São Paulo","Represa Izabel, No barranco, heliófila, associado a <em>Gleichenia nervosa</em>, <em>Lycopodium clavatum</em> entre outros.","-45.4599990844727","-22.9200000762939",NA,NA,NA,NA,"CESJ025503","CESJ025503","2014","08",NA,"03","Pindamonhangaba",NA,NA,"24176","auto",NA,NA,NA,NA
"23","2021-03-01 16:43:48-03","UNICAMP","UEC","121133","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Ollg.","Gissi, DS","Meireles, LD; et al.","685","2001","10",NA,"Brazil","Minas Gerais","Camanducaia - Monte Verde. Afloramento do Platô.",NA,NA,NA,NA,NA,"Erva, 20-30 cm, esporófitos amarelos; Sobre substrato úmido.","UEC091741","UEC091741","2015","09",NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:43:48-03","UNICAMP","UEC","57658","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Ollg.","Gissi, DS","Salino, A; et al.","25788","1989","04",NA,"Brazil","Minas Gerais","Parque Nacional do Caparaó, Caminho para a Macieira.","-41.9043998718262","-20.523099899292","1800","1800",NA,"Terrestre, em barranco, no campo.","UEC052405","UEC052405","2015","09",NA,"29","Caparaó",NA,NA,"15056","auto",NA,NA,NA,NA
"25","2021-03-01 16:43:48-03","UNICAMP","UEC","36163","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Ollg.","Gissi, DS","Oliveira, LMQ; Kinoshita, LS; Semir, J; et al.","16541","1984","09",NA,"Brazil","São Paulo","Est. entre Reserva do I.F. a S. José dos Alpes, Aproximadamente 6km.","-45.5900001525879","-22.7299995422363","1700","1700",NA,"Planta ereta.; Em mata de encosta e campo de altitude.&nf;Em barranco.","UEC052399","UEC052399","2015","09",NA,"29","Campos do Jordão",NA,NA,"21048","auto",NA,NA,NA,NA
"26","2021-03-01 16:43:48-03","UNICAMP","UEC","17774","S","Plantae","Pteridophyta",NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Ollg.","Gissi, DS","Davis, PH; Cruz, ND; Semir, J; Felippe, GM; Kinoshita, LS; Shepherd, GJ","3011","1976","09",NA,"Brazil","São Paulo","Reserva do Insituto Florestal, São José dos Alpes.","-45.5900001525879","-22.7299995422363","1900","1900",NA,"Campo Limpo.","UEC052401","UEC052401","2015","09",NA,"29","Campos do Jordão",NA,NA,"21048","auto",NA,NA,NA,NA
"27","2019-11-19 14:08:15-03","UFRPE","PEUFR","6000","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silv.) Cranfill","I.C. Leão Barros","Andrade-Lima",NA,"1972","12",NA,"Brasil","Pernambuco",NA,"-36.0442008972168","-7.90305995941162",NA,NA,NA,"Epífita","PEUFR006000",NA,"1994","10","18","28","Taquaritinga do Norte",NA,NA,"25558","auto",NA,NA,NA,NA
"28","2019-11-19 14:08:15-03","UFRPE","PEUFR","5383","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silv.) Cranfill","I.C. Leão Barros","I. Pontual","1439","1977","01",NA,"Brasil","Pernambuco",NA,"-36.0442008972168","-7.90305995941162",NA,NA,NA,"Epífita na mata","PEUFR005383",NA,"1994","10","18","10","Taquaritinga do Norte",NA,NA,"25558","auto",NA,NA,NA,NA
"29","2021-03-16 17:56:29-03","UCS","HUCS","48790","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","Gonzatti, F.","Gonzatti, F.","3722","2017","07",NA,"Brasil","Santa Catarina","Serra do Tabuleiro","-48.897389","-27.821833","1201","1201",NA,"Erva ereta em meio à vegetação campestre de latitude","HUCS002197","HUCS002197","2018","11",NA,"29","São Bonifácio","-48.897389","-27.821833",NA,NA,NA,NA,NA,NA
"30","2021-03-16 17:56:29-03","UCS","HUCS","51456","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","Gonzatti, F.","Gonzatti, F.","2970","2016","11",NA,"Brasil","Paraná","Pico Paraná","-48.847722","-25.230083","1350","1350",NA,"Erva ereta firme em bordo de regato, entre a vegetação campestre. Campo de altitude. Pico do Getúlio.","HUCS007031",NA,"2021","01",NA,"15","Campina Grande do Sul","-48.847722","-25.230083",NA,NA,NA,NA,NA,NA
"31","2021-03-16 17:56:29-03","UCS","HUCS","48791","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","Gonzatti, F.","Gonzatti, F.","4033","2017","11",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia","-44.732778","-22.361111","2200","2200",NA,"Erva ereta em face rochosa úmida. Caminho para Prateleiras, solo turfoso","HUCS002222","HUCS002222","2018","11",NA,"19","Itatiaia","-44.732778","-22.361111",NA,NA,NA,NA,NA,NA
"32","2021-03-16 17:56:29-03","UCS","HUCS","51529","PreservedSpecimen","Plantae","Pteridophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","Gonzatti, F.","Gonzatti, F.","5356","2019","12",NA,"Brasil","São Paulo","Serra dos Marins, trilha para o Pico dos Marins a partir do acampamento base.","-45.147778","-22.508611","1580","1580",NA,"Ereta em formação rochosa, nebular.","HUCS007692",NA,"2021","01",NA,"10","Cruzeiro","-45.147778","-22.508611",NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:32:02-03","MBM","MBM","18680","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","Morton, C.V.","Hatschbach, G.","6364","1959","10","Southern America","Brazil","Paraná","Estrada RioTaquari - Rio divisa do Sul","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM018680","MBM018680",NA,NA,NA,"18","Campina Grande do Sul",NA,NA,"55154","auto",NA,NA,NA,NA
"34","2020-12-21 16:32:02-03","MBM","MBM","239185","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","Smith, A.R.","Cruz, J.M.; Cordeiro, J.; Barboza, E.; Cordeiro, J.; Barboza, E.","156","1999","12","Southern America","Brazil","Paraná","Morro Camacuã","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM239185","MBM239185",NA,NA,NA,"03","Campina Grande do Sul",NA,NA,"55154","auto",NA,NA,NA,NA
"35","2020-12-21 16:32:02-03","MBM","MBM","244030","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","Dittrich, VA de O","Ribas, O.S.; Cordeiro, J.; Barboza, E.; Cordeiro, J.; Barboza, E.","3066","2000","02","Southern America","Brazil","Paraná","Serra Ibitiraquire, Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM244030","MBM244030",NA,NA,NA,"03","Campina Grande do Sul",NA,NA,"55154","auto",NA,NA,NA,NA
"36","2020-12-21 16:32:02-03","MBM","MBM","3515","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","Sehnem, A.","Hatschbach, G.","16713","1967","07","Southern America","Brazil","Paraná","Purgatório","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"MBM003515","MBM003515",NA,NA,NA,"19","São José dos Pinhais",NA,NA,"45291","auto",NA,NA,NA,NA
"37","2020-12-21 16:32:02-03","MBM","MBM","241426","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","Dittrich, VA de O","Cordeiro, J.; Cruz, J.M.; Ferreira, L.A.; Cruz, J.M.; Ferreira, L.A.","1639","1999","11","Southern America","Brazil","Paraná","Serra dos Órgãos, Morro Tucum","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM241426","MBM241426",NA,NA,NA,"19","Campina Grande do Sul",NA,NA,"55154","auto",NA,NA,NA,NA
"38","2020-12-21 16:32:02-03","MBM","MBM","244031","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","christii","Huperzia christii","(Silveira) Holub","Dittrich, VA de O","Ribas, O.S.; Cordeiro, J.; Barboza, E.; Cordeiro, J.; Barboza, E.","3057","2000","02","Southern America","Brazil","Paraná","Serra Ibitiraquire, Morro Camapuã","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM244031","MBM244031",NA,NA,NA,"03","Campina Grande do Sul",NA,NA,"55154","auto",NA,NA,NA,NA
"39","2020-12-21 16:32:08-03","MBM","MBM","396102","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B. Øllg.","Barboza, E.","Engels, M.E.; Lozano, E.D.; Reginato, M.; Lozano, E.D.; Reginato, M.","2341","2014","01","Southern America","Brazil","Paraná","Serra do Ibitiraquire, trilha da base para morro Getúlio até pico Itapiroca","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Terrícola. Micrófilos verdes. Esporângios verde amarelados.; Ecótono entre Floresta Ombrófila Densa e Floresta Ombrófila Mista. Em campo de altitude.","MBM396102","MBM396102","2015","04","14","22","Campina Grande do Sul",NA,NA,"55154","auto",NA,NA,NA,NA
"40","2020-02-28 16:43:52-03","PUC-RIO","FCAB","0461","PreservedSpecimen","Plantae",NA,"Pteridophyta","Lycopodiaceae","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.","J. Condack","P. Capell S.J.","s.n.","1951","08",NA,"Brasil","Rio de Janeiro","Duas Pedras","-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,"000461",NA,"2016","01","22","15","Nova Friburgo",NA,NA,"33190","auto",NA,NA,NA,NA
"41","2020-09-25 16:25:21-03","MNHN","RECOLNAT_MNHN_P","P01235097","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Glaziou",NA,"1869","12",NA,"Brasil","Rio de Janeiro","Brésil. Crête des Org. (Petra açú)",NA,NA,NA,NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01235097' target='other'> <mi>dwc_moreinfo</mi></a>","P01235097","P01235097_01",NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"4477",NA
"42","2020-09-25 16:25:21-03","MNHN","RECOLNAT_MNHN_P","P01235098","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01235098' target='other'> <mi>dwc_moreinfo</mi></a>","P01235098","P01235098_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6404",NA
"43","2017-12-15 10:49:36-02","MNHN","RECOLNAT_MNHN_P","P00559229","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Silveira, A.A. da",NA,"1897","11",NA,"Brésil",NA,"Minas : Serra do Papagais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559229' target='other'> <mi>dwc_moreinfo</mi></a>","P00559229","P00559229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2605",NA
"44","2016-01-07 18:01:42-02","MNHN","RECOLNAT_MNHN_P","P00559234","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Silveira, A.A. da",NA,"1897","11",NA,"Brésil",NA,"Minas : Serra do Papagais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559234' target='other'> <mi>dwc_moreinfo</mi></a>","P00559234","P00559234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2609",NA
"45","2020-09-25 16:25:21-03","MNHN","RECOLNAT_MNHN_P","P01235096","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Glaziou, A.",NA,"1869","12",NA,"Brasil","Rio de Janeiro","Sommet des Orgues",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01235096' target='other'> <mi>dwc_moreinfo</mi></a>","P01235096","P01235096_01",NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"4477",NA
"46","2020-09-25 16:25:21-03","MNHN","RECOLNAT_MNHN_P","P01235099","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Glaziou, A.",NA,"1872","10",NA,"Brasil","Rio de Janeiro","Brésil. R.J. Sommet de la Pedra Açú",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01235099' target='other'> <mi>dwc_moreinfo</mi></a>","P01235099","P01235099_01",NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,"6404",NA
"47","2020-09-25 16:25:22-03","MNHN","RECOLNAT_MNHN_P","P01235100","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Glaziou, A.",NA,"1876","2",NA,"Brasil","Rio de Janeiro","Source du Rio Parahyba",NA,NA,"1600",NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01235100' target='other'> <mi>dwc_moreinfo</mi></a>","P01235100","P01235100_01",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,"7964",NA
"48","2020-09-18 16:04:27-03","MNHN","RECOLNAT_MNHN_P","P01235101","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","christii","Phlegmariurus christii","(Silveira) B.Øllg.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil",NA,"Brésil.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01235101' target='other'> <mi>dwc_moreinfo</mi></a>","P01235101","P01235101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7964",NA
