"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","685999","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"W. W. Thomas","5232","1986","06","28","South America","Brazil","Amazonas","Cacaupereira. Savanna ca. 1-2 km inland. S of high water ferry.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685999","NY00685999_01",NA,NA,"-60.12","-3.18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:52:15-03","EAO","IAN","145783","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","(Poir.) Vahl",NA,"Ribeiro, BGS","796","1975","02","28","Southern America","Brasil","Amazonas","Próximo a fronteira da Venezuela. Proj. FADAM, ponto 22, quadrícula NA-19-ZD.","1200","1200",NA,"Planta sobre canga de pedra. Flor marrom.","IAN145783",NA,"Araújo, AC",NA,NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:52:15-03","EAO","IAN","145849","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","(Poir.) Vahl",NA,"Ribeiro, BGS","862","1975","03","07","Southern America","Brasil","Amazonas","Uaupés, Proj. RADAM, ponto 22. Quad. NA-19-ZD. Rio Negro.",NA,NA,NA,"Planta de 1m de altura. Flor marrom.","IAN145849",NA,"Araújo, AC",NA,NA,NA,"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:52:15-03","EAO","IAN","149226","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","(Poir.) Vahl",NA,"Anderson, WR","9314","1973","04","21","Southern America","Brasil","Minas Gerais","Rio Pandeiros, ca. 52 km by road W of Januária near road to Serra das Araras.","520","520",NA,NA,"IAN149226",NA,"Koyama, T",NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:52:15-03","EAO","IAN","85095","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","(Poir.) Vahl",NA,"Black, GA; Klien","17162","1954","10","22",NA,"Guiana Francesa",NA,"Pariacabo, Prufsammulung; Pripri (Igapó0.",NA,NA,NA,NA,"IAN085095",NA,"Eiten, LT",NA,NA,NA,"1970",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:52:15-03","EAO","IAN","132267","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","(Poir.) Vahl",NA,"Pena, BS da","218","1970","10","23","Southern America","Brasil","Pará","Campo úmido próximo a fazenda Espírito Santo.",NA,NA,NA,NA,"IAN132267",NA,"Cordeiro, MR","Muaná","-49.2167015075684","-1.52832996845245","1982","07","72451","auto",NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:52:15-03","EAO","IAN","132267","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","(Poir.) Vahl",NA,"Pena, BS da","218","1970","10","23","Southern America","Brasil","Pará","Campo úmido próximo a fazenda Espírito Santo.",NA,NA,NA,NA,"IAN132267",NA,"Cordeiro, MR","Muaná","-49.2167015075684","-1.52832996845245","1982","07","72451","auto",NA,NA,NA,NA,NA,NA
"18","2020-02-08 10:14:51-03","NBC","NL-BOTANY","L.3781552","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Raynal-Roques AM",NA,"1978","01","19","Southern America","French Guiana",NA,"Savane de Corossony, région littorale.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3781552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3781552","NL-L3781552",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"19","2020-02-08 10:14:51-03","NBC","NL-BOTANY","U.1280295","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Anderson WR; et al.",NA,"1973","04","21","Southern America","Brazil",NA,"Estado de Minas Gerais. Rio Pandeiros, ca. 52 km by road W of Januária near road to Serra das Araras. Sandy beach and adjacent woods and cerrado. Wet sand near river.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1280295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1280295","NL-U1280295",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"20","2021-04-02 02:00:29-03","UFPI","TEPB","10294","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"M. LUCEÑO","550","1996","06","27",NA,"Brasil","Bahia","Mimoso, rio D'Ouro",NA,NA,NA,"Frequente, solo alagado",NA,NA,"R. Grether","Barreiras","-45.633333","-11.45","1978","08",NA,NA,NA,"25","45°38'W","11°27'S",NA,NA
"21","2020-11-19 10:23:23-03","CPAP","CPAP","9452","PreserverdSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Salis, S. M.","691","1992","07","21",NA,"Brasil","MS","Fazenda Fazendinha, Pantanal - invernada São Bento","90","90",NA,"Erva cespitosa. FLOR: seca.. FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Pouco frequente. AMBIENTE: Lagoa temporaria. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,"E. R. Guaglianona","Aquidauana","-56.383333","-19.483333","2001","07",NA,NA,NA,NA,"56°23' W","19°29' S",NA,NA
"22","2020-12-21 16:22:34-03","MBM","MBM","175803","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Dombrowski, L.T.; et al.; et al.","2804","1968","01",NA,"Southern America","Brazil","Paraná","Mananciais da Serra",NA,NA,NA,NA,"MBM175803","MBM175803","Pedersen, T.M.","Piraquara","-49.0633010864258","-25.4416999816895",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA
"23","2020-12-21 16:22:34-03","MBM","MBM","114433","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Steyermark, Julian A; Ronald Liesner; Ronald Liesner","127518","1982","12","02","Southern America","Venezuela",NA,NA,NA,NA,NA,NA,"MBM114433","MBM114433","Davidse, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:22:34-03","MBM","MBM","14856","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Hatschbach, G.","23879","1970","02","20","Southern America","Brazil","Mato Grosso","Terenos",NA,NA,NA,NA,"MBM014856","MBM014856","Koyama, T.","Terenos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:22:34-03","MBM","MBM","71240","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Davidse, G.","5231","1973","12","26","Southern America","Colombia",NA,NA,NA,NA,NA,NA,"MBM071240","MBM071240","Koyama, T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:22:34-03","MBM","MBM","294817","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","77094","2004","03","13","Southern America","Brazil","Mato Grosso do Sul","Lajeado",NA,NA,NA,NA,"MBM294817","MBM294817","Strong, M.T.","Bela Vista","-56.5210990905762","-22.1089000701904",NA,NA,"66197","auto",NA,NA,NA,NA,NA,NA
"27","2015-09-03 22:21:05-03","MNHN","RECOLNAT_MNHN_P","P01708135","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Hassler, E.",NA,"1901","1","1",NA,"Paraguai",NA,". Paraguai",NA,NA,"hb","Plantae Paraguarienses. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01708135' target='other'> <mi>dwc_moreinfo</mi></a>","P01708135","P01708135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8181",NA
"28","2016-04-13 14:39:45-03","MNHN","RECOLNAT_MNHN_P","P01708131","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Hassler, E.",NA,"1901","12","1",NA,"Paraguai",NA,"In regione cursus superioris fluminis Apa. Paraguai",NA,NA,"hb","Plantae Paraguariense. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01708131' target='other'> <mi>dwc_moreinfo</mi></a>","P01708131","P01708131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8181",NA
"29","2015-09-03 22:18:01-03","MNHN","RECOLNAT_MNHN_P","P01708132","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Schnell, R.",NA,"1961","8","12",NA,"Guyane française",NA,"Guyane Française. Matiti. Guiana Francesa",NA,NA,"hb","Plantes de Guyane Française récoltées par R. Schnell (Août-Septembre 1961). . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01708132' target='other'> <mi>dwc_moreinfo</mi></a>","P01708132","P01708132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11051",NA
"30","2017-10-12 15:11:26-03","MNHN","RECOLNAT_MNHN_P","P01708133","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Schnell, R.",NA,"1961","8","12",NA,"Guyane française",NA,"Matiti. Guiana Francesa",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01708133' target='other'> <mi>dwc_moreinfo</mi></a>","P01708133","P01708133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11051",NA
"31","2015-09-03 21:48:24-03","MNHN","RECOLNAT_MNHN_P","P01765603","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Raynal-Roques, A.",NA,"1978","1","19",NA,"Guiana",NA,"Guyane. Savane de Corossony, sur la piste de St. Elie; a à 7 km à l´WSW de Sinnamary. Mare à Eleocharis, à 2km de la route Sinnamary-Iracoubo. Guiana , América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01765603' target='other'> <mi>dwc_moreinfo</mi></a>","P01765603","P01765603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AR 19868",NA
"32","2015-09-03 21:35:21-03","MNHN","RECOLNAT_MNHN_P","P01949823","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Spruce",NA,"1851","1","1",NA,"Brasil","Amazonas","Barra. Campo de Jauauari.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01949823' target='other'> <mi>dwc_moreinfo</mi></a>","P01949823","P01949823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1267",NA
"33","2020-12-11 11:43:53-03","UFMG","BHCB","15174","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Torres, GE","s.n.","1987","08","17","Southern America","Brasil","Minas Gerais","Rio Claro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:43:53-03","UFMG","BHCB","15175","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Rocha, LA","s.n.","1987","09","15","Southern America","Brasil","Minas Gerais","Rio Claro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-05-25 15:13:54-03","FSU","FSU","000072067","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"R. Souza, R. Reis dos Santos, P. A. Fryxell, S. R. Hill, W. R. Anderson",NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","264227","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"David R. Brunner|S. Caballero","Brunner 1897","1986","4","18","South America","Paraguay","Alto Paraná","Reserva Biológica Limoy de Itaipu Binacional. Turbera de Sphagnum rodeada por bosque bajo, inundado, de trancición al bosque de suelo alto.",NA,NA,NA,NA,NA,NA,"W.W. Thomas (NY)",NA,"-54.55","-25.85",NA,NA,NA,NA,NA,NA,NA,NA,"86-11","3"
"37","2014-02-25 05:40:00-03","MO","MOBOT","100346556","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Ángel Fernández","Fernández 5754","1989","6",NA,"South America","Venezuela","Bolívar","Municipio Raul Leoni. Bosque y arbustales sobre lateritas bauxíticas. Cabeceras río Túriba y Caño La Miel, 45 km al Este de Pijiguaos.","800.00000000",NA,NA,NA,NA,NA,"W. Thomas",NA,"-66.3833333","6.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","2013-07-29 11:21:00-03","MO","MOBOT","100612014","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"R. Ortiz|Mauricio Ramia","Ortiz 3595","1996","12","16","South America","Venezuela","Guárico","A 27 km al sur de Santa Rita, carretera Las Mercedes - Cabruta.","40.00000000",NA,NA,NA,NA,NA,"G. Moore (BKL)",NA,"-66.25","7.8833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"39","2019-12-31 13:45:00-03","MO","MOBOT","100903002","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Reina Gonto|Ángel Fernández|Bruno J. Manara","Gonto 3667","2010","3","5","South America","Venezuela","Trujillo","Entre Jajó y Tuñame.","1845.00000000","2000.00000000",NA,NA,NA,NA,"W.W. Thomas (NY)","Urdaneta","-70.6488889","9.0633333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"40","2014-04-13 05:22:00-03","MO","MOBOT","1244618","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Gerrit Davidse|Fany Llanos","Davidse 5231","1973","12","26","South America","Colombia","Vichada","Ca. 51 E of Las Gaviotas along the unimproved dirt road to Santa Rita. In area around a lake.","200.00000000",NA,NA,NA,NA,NA,"Guaglianone, Darwiniana 39:304",NA,"-70.45","4.43333",NA,NA,NA,NA,NA,NA,NA,NA,"909","1"
"41","2009-12-11 12:42:00-02","MO","MOBOT","1474148","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Howard S. Irwin|Ghillean T. Prance|Thomas R. Soderstrom|Noel H. Holmgren","Irwin 57627","1963","9","26","South America","Suriname",NA,"Exploration of the Wilhelmina Gebergte; Zuid Rivier. Kayser Air strip, 45 km above confluence with Lucie Rivier","270.00000000",NA,NA,NA,NA,NA,"W. Thomas",NA,"-56.81666","3.33333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2008-05-27 22:02:00-03","MO","MOBOT","1790941","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Jean Petitbon","Petitbon 496","2002","7","5","South America","French Guiana","Cayenne","Canton de Macouria. Savane Marivat.",NA,NA,NA,NA,NA,NA,"Gerrit Davidse, 2002 (MO)",NA,"-52.46666","4.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2011-01-13 14:15:00-02","MO","MOBOT","2065120","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"R. Haase","Haase 356",NA,NA,NA,"South America","Bolivia","La Paz",NA,NA,NA,NA,NA,NA,NA,"E. Guaglianone","Abel Iturralde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"44","2009-07-21 23:34:00-03","MO","MOBOT","2455420","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Per Dusén","Dusén 10082",NA,NA,NA,"South America","Brazil","Paraná","Jaguariaiva. Jaguariahyva, in forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2011-12-22 05:01:00-02","MO","MOBOT","2490096","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Teodoro Rojas|Émile Hassler","Rojas 10030",NA,NA,NA,"South America","Paraguay","Amambay","In altiplanitie et declivibus Sa. de Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2009-11-14 22:34:00-02","MO","MOBOT","272881","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Julian A. Steyermark|Victor Carreño E.|G.C.K. Dunsterville|E. Dunsterville","Steyermark 115625","1978","2","22","South America","Venezuela","Bolívar","Gran Sabana; alrededores del Salto del Aponguao, 42.5 km al noreste de la Misión de Santa Teresita de Kavanayén. Along streamlet in rocky open chaparral area on plateau above falls.","1220.00000000",NA,NA,NA,NA,NA,"E.R. Guaglianone, 2001 (SI)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2009-06-25 13:32:00-03","MO","MOBOT","3131559","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"William R. Anderson","Anderson 9552","1973","5","1","South America","Brazil","Goiás","Serra do Caiapó. Ca. 16 km (straight line) S of Caiapônia; forest traversed by stream and adjacent cerrado. Brejo near stream.","800.00000000",NA,NA,NA,NA,NA,"G. Moore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2013-10-05 06:35:00-03","MO","MOBOT","3131563","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Robert Kral|Ángel C. González","Kral 70532","1983","7","27","South America","Venezuela","Bolívar","1.5 kms E of Cavanayen; sand rocky seeps, rapateaceous bog, S side of road, Gran Sabana.",NA,NA,NA,NA,NA,NA,"E.R. Guaglianone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2009-07-17 07:41:00-03","MO","MOBOT","3131564","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Basil Stergios","Stergios 7089","1984","9","6","South America","Venezuela","Portuguesa","Dtto. Guanare, terrenos de la UNELLEZ.",NA,NA,NA,NA,NA,NA,"E.R. Guaglianone",NA,"-69.81666","9.06666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2009-07-17 07:37:00-03","MO","MOBOT","3131566","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Rhynchospora","triflora","Rhynchospora triflora","Vahl",NA,"Julian A. Steyermark|Ronald L. Liesner","Steyermark 127518","1982","12","2","South America","Venezuela","Bolívar","Distrito Roscio: sabana pantanosa al borde de un morichal seco, al margen de la carretera principal (mano izquierda saliendo al Norete desde Santa Elena de Uairén), 13 kms al Noreste de Santa Elena de Uairén. Around water hole in wet open sedgy part.","900.00000000",NA,NA,NA,NA,NA,"G. Moore",NA,"-61.08333","4.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
