"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","recordNumber","coordinatePrecision","geoFlag","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters"
"11","2019-11-13 11:26:59-03","USP","SPF","215048","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Santos, MF","2012","11","16","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso","-47.924722","-25.069167","-47.924722","-25.069167",NA,"SPF00215048",NA,NA,"851",NA,NA,NA,NA,"5","5"
"12","2019-11-13 11:26:59-03","USP","SPF","202743","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Grande, DA","1979","11","14","Brasil","São Paulo","Cananéia","Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,"SPF00202743",NA,NA,"346","37574","auto",NA,NA,NA,NA
"13","2021-03-15 18:28:59-03","USP","SPF","202739","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Barros, F","1990","05","10","Brasil","São Paulo","Cananéia","Ilha do Cardoso, Estrada para o morro da captação.","-47.9199981689453","-25.0100002288818",NA,NA,"Árvore ca. 10 m alt., crescendo nas partes mais altas da mata de restinga. Frutos verde-amarelados até avermelhados. Madeira muito dura utilizada na confecção de ferramentas. N.V. vamirim.; Partes mais altas da mata de restinga.","SPF00202739",NA,NA,"1848","37574","auto",NA,NA,NA,NA
"14","2019-11-13 11:26:59-03","USP","SPF","212110","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Staggemeier, VG","2012","06","08","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,"SPF00212110",NA,NA,"823","37574","auto",NA,NA,NA,NA
"15","2019-11-13 11:26:59-03","USP","SPF","173530","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Mazine, FF","2002","12","08","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,"SPF00173530",NA,NA,"750","37574","auto",NA,NA,NA,NA
"16","2019-11-13 11:26:59-03","USP","SPF","166672","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Sandrini, MP","2004","11","12","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso","-47.9199981689453","-25.0100002288818",NA,NA,NA,"SPF00166672",NA,NA,"s.n.","37574","auto",NA,NA,NA,NA
"17","2021-03-15 18:28:59-03","USP","SPF","214527","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Souza, VC","2003","02","25","Brasil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Área do projeto de parcelas permanentes.","-47.9199981689453","-25.0100002288818",NA,NA,"Árvore; ca. 8 m alt. Frutos imaturos verdes.; Floresta de restinga.","SPF00214527",NA,NA,"29024","37574","auto",NA,NA,NA,NA
"18","2019-11-13 11:26:59-03","USP","SPF","199839","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Catharino, ELM","1990","11","22","Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins","-47.5499992370605","-24.7000007629395",NA,NA,NA,"SPF00199839",NA,NA,"1541","55628","auto",NA,NA,NA,NA
"19","2021-03-15 18:28:59-03","USP","SPF","214526","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","Santos, MF","2015",NA,NA,"Sztutman, M","1999","05","28","Brasil","São Paulo","Pariquera-Açu","Parque Estadual da Campina do Encantado","-47.8800010681152","-24.7099990844727",NA,NA,"Árvore ca. 8m. Frutos maduros.; Floresta Ombrófila Densa. Floresta de Turfeira (Floresta Paludosa de Restinga)","SPF00214526",NA,NA,"313","17990","auto",NA,NA,NA,NA
"20","2021-03-25 13:52:56-03","UNIVILLE","JOI","1641","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","costeira","Myrcia costeira","M.F.Santos","F.C.S Vieira","1905","07","11","F.C.S. Vieira","2004","11","01","Brasil","Santa Catarina","Itapoá","Samambaial.","-48.6161003112793","-26.1168994903564",NA,NA,"; HABITAT: próximo ao leito do rio Saí Mirim; HABITO: arvoreta; TIPO VEGETACIONAL: Floresta ombrófila Densa de Restinga","JOI001641","JOI001641",NA,"578","18121","auto",NA,NA,"5","5"
