"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","dayIdentified","sex"
"11","2019-10-09 11:19:09-03","UFBA","ALCB","55594","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Guedes, ML","Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","479","2001","07","02","Southern America","Brasil","Bahia","Oeste, Assentamento Thainá","-44.833333","-12.583333",NA,NA,NA,"escandente. Folhas cartáceas, discolores, buladas. Flores amarelas, cálice com oleoforos amarelos, brácteas verdes manchadas de vinho, pubescente. Frequente.","ALCB041162",NA,"São Desidério",NA,"2001","12","-44.833333","-12.583333",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:19:09-03","UFBA","ALCB","83949","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","L. Anderson","Guedes, ML; Prates, ARS","Guedes, ML; Gomes, FS","14455","2008","05","22","Southern America","Brasil","Bahia","Serra Geral, Brejinho das Ametistas, caminho para o Bloco III","-42.540278","-14.305278","1032","1032",NA,"Folhas cartáceas, discolores, com a face abaxial esbranquiçada. Inflorescência com botões de sépalas verdes e elaeóforos verdes, corola com pétalas amarelas. Frutos imaturos com alas verdes. Ocasional.","ALCB041161",NA,"Caetité",NA,"2008","06","-42.540278","-14.305278",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:55:33-03","NBC","NL-BOTANY","U.1367808","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson",NA,"Harley RM",NA,"1980","04","25","Southern America","Brazil",NA,"Chapadão Ocidental da Bahia ca 15km SW of Correntina on teh road to Goías. Cerrado on sand.","-44.716667","-13.483333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1367808 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1367808","NL-U1367808",NA,NA,NA,NA,"-44.716667","-13.483333","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"14","2019-02-15 11:45:01-02","IPA","IPA","32527","S","Plantae","Plantae",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson","Anderson, C.","Harley, R.M.","21781","1980","04","25","Southern America","Brasil","Bahia","Chapadão Ocidental, ca. 15 km SW of Correntina on the road to Goiás.","-44.716667","-13.483333","600","600",NA,"Shrub to 2-3 m. Leaves rugose, dull dark green above, grey green beneath sepals grey green with pale shining green glands. Petals golden yellow. Anthers cream.; Cerrado on sand.","IPA0032527",NA,NA,NA,"1983",NA,"-44.716667","-13.483333",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-08-20 10:17:40-03","UNICAMP","UEC","39514","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","Anderson, C","Harley, RM","21781","1980","04","25",NA,"Brazil","Bahia","Chapadão Ocidental da Bahia. Ca. 15 km S","-44.716667","-13.483333","600","600",NA,"flor, Cerrado on sand. Shryb to 2 - 3 m. leaves rugose, dull dark green above, grey green with pale shining green glands. Petals golden yellow. Anthers cream.",NA,NA,"Correntina",NA,NA,NA,"-44.716667","-13.483333",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:32:51-03","MBM","MBM","216915","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson","Anderson, C.","Jardim, J.G.; et al.; et al.","905",NA,NA,NA,"Southern America","Brazil","Bahia","Ca. 17km W na Rod. BA-349, sentido Brasília","-44.6366996765137","-13.3432998657227",NA,NA,NA,NA,"MBM216915","MBM216915","Correntina",NA,NA,NA,NA,NA,NA,"182507","auto",NA,NA,NA,NA,NA
"17","2020-12-21 16:32:51-03","MBM","MBM","77151","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson",NA,"Irwin, H.S.; Grear, J.W.; Souza, R.; Reis dos Santos, R.; Grear, J.W.; Souza, R.; Reis dos Santos, R.","14889","1966","04","15","Southern America","Brazil","Bahia","Ca. 5 km of Rio Roda Velha. Ca. 150 km SW of Barreiras",NA,NA,"900","900",NA,"Shrub ca. 2.5 m tall. Corolla yellow. Cerrado; Shrub ca. 2,5m tall. corolla yellow.; Cerrado.","MBM077151","MBM077151",NA,"ISOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:32:51-03","MBM","MBM","216600","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson","Anderson, C.","Jardim, J.G.; et al.; et al.","905",NA,NA,NA,"Southern America","Brazil","Bahia","Rod. BA-349, 17km","-44.6366996765137","-13.3432998657227",NA,NA,NA,NA,"MBM216600","MBM216600","Correntina",NA,NA,NA,NA,NA,NA,"182507","auto",NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","1824484","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson","Christiane Anderson (MICH)","Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital","Davidse 12208","1976","4","8","South America","Brazil","Bahia","39 km NE of the Goiás-Bahia border along Highway BR-020. Cerrado.",NA,NA,"930.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1241",NA,NA,NA,NA
"20","2010-10-07 15:27:00-03","MO","MOBOT","1844617","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson",NA,"Howard S. Irwin|J.W. Grear, Jr.|R. Souza|R. Reis dos Santos","Irwin 14889","1966","4","15","South America","Brazil","Bahia","Cerrado, ca. 5 km. S. of Rio Roda Velha, ca. 150 km. S.W. of Barreiras.",NA,NA,"900.00000000",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-04 11:05:39-03","UFRB","HURB","2863","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C. Anderson","P.D.Carvalho","Martins, M.L.L.; Carvalho, P.C.L.","1813","2011","07","26",NA,"Brasil","Bahia",NA,"-44.6366996765137","-13.3432998657227",NA,NA,NA,"2 exsicatas.","HURB000002863",NA,"Correntina",NA,"2014","10",NA,NA,NA,"182507","auto",NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2961295","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson",NA,"R. M. Harley, G. Browley, A. M. Carvalho, A. M. Carvalho & H. S. Brito","21781","1980","4","25","South America - Neotropics","Brazil",NA,"Chapadão Ocidental da Bahia. Ca. 15 km S.W. of Correntina on the road to Goiás","-44.72","-13.48",NA,NA,NA,NA,"US01870930","US01870930_01 US01870930_02",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","3106104","PreservedSpecimen","Plantae",NA,"Polygalales","Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E. Anderson",NA,"H. S. Irwin","14889","1966","4","15","South America - Neotropics","Brazil","Bahia","Cerrado, ca. 5 km S of Rio Roda Vehla,ca. 150 km SW of Barreiras, drainage of Rio Corrente, western Bahia.",NA,NA,"900","900",NA,NA,"US00151851","US00151851_01",NA,"Isotype",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA
"24","2020-06-15 07:53:30-03","UEFS","HUEFS","99218","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","M.C.H.Mamede","Rapini, A.","1248","2005","08","12",NA,"Brasil","Bahia","Fazenda Natureza","-38.433889","-10.003889","427","427",NA,NA,"HUEFS0099218","HUEFS0099218 HUEFS0099218_e1","Jeremoabo",NA,NA,NA,"38W26'2''","10S0'14''","Rosanae",NA,NA,NA,NA,NA,NA,NA
"25","2020-07-23 12:11:47-03","CEPLAC","CEPEC","71801","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana",NA,"A. M. Amorim","L. G. Viollati","256","2004","02","05",NA,"Brasil","Bahia","Fazenda Jatobá.","-46.25","-13.233333",NA,NA,NA,NA,NA,NA,"CORRENTINA",NA,NA,NA,"46W15'","13S14'",NA,NA,NA,NA,NA,"30/12/1998",NA,NA
"26","2020-07-23 12:11:47-03","CEPLAC","CEPEC","28389","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana",NA,"A. M. Amorim","R. M. Harley","21781","1980","04","25",NA,"Brasil","Bahia","Chapadão Ocidental da Bahia, ca. 15Km SW cidade, Rod. Para Goias.","-44.716667","-13.483333",NA,NA,NA,NA,NA,NA,"CORRENTINA",NA,NA,NA,"44W43'","13S29'",NA,NA,NA,NA,NA,"30/12/1992",NA,NA
"27","2020-07-23 12:11:47-03","CEPLAC","CEPEC","71206","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana",NA,"C. Anderson","J. G. Jardim","905","1996","08","10",NA,"Brasil","Bahia","Ca. de 17Km W da sede do município, na Rod. BA-349 Correntina/Brasilia.","-44.733333","-13.416667",NA,NA,NA,NA,NA,NA,"CORRENTINA",NA,NA,NA,"44W44'","13S25'",NA,NA,NA,NA,NA,"30/12/1997",NA,NA
"28","2020-07-23 12:11:47-03","CEPLAC","CEPEC","55281","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana",NA,"A. M. Amorim","A. M. de Carvalho","4008","1992","06","11",NA,"Brasil","Bahia","Estrada para o Aeroporto de Barreiras. Coletas entre 5 a 15Km apartir da sede do municpio.","-44.9900016784668","-12.1527996063232",NA,NA,NA,NA,NA,NA,"barreiras",NA,NA,NA,NA,NA,NA,"152720","auto",NA,NA,"30/08/1992",NA,NA
"29","2021-04-05 12:35:35-03","UNIVASF","HVASF","15671","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","M.C.H. Mamede","N.M.P. Braga","125","2012","06","14","América do Sul","Brasil","Bahia","Povoado Alegre, margem do riacho do Alegre",NA,NA,"1110","1110",NA,"Arbusto ca. de 1,2m alt.. Folhas simples, opostas. Flores amarelas. Frutos verdes a vermelhos.","HVASF015671","HVASF015671_01 HVASF015671_02","Sento Sé",NA,"2016","10","9999.000000","9999.000000",NA,NA,NA,NA,NA,NA,"06","U"
"30","2019-11-21 10:09:05-03","IBt","SP","161760","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","Anderson, CE","Davidse, G; Ramamoorthy, TP; Vital, DM","12208","1976","04","08",NA,"Brasil","Bahia","39 km NE of the Goiás-Bahia border along highway BR-020. Cerrado",NA,NA,"930","930",NA,"Flowers yellow, shrub","SP000250","SP000250",NA,"Paratype","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-21 10:09:05-03","IBt","SP","330504","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","Mamede, MCH","Ganev, W","2003","1993","08","05",NA,"Brasil","Bahia","Capão da Mata de Zé do Amambica (Marques). Caminho Outeiro-Marques","-42.366667","-13.766667","1100","1100",NA,NA,"SP020318","SP020318","Rio do Pires",NA,"1999",NA,"-42.366667","-13.766667",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:09:05-03","IBt","SP","330460","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","Mamede, MCH","Ganev, W","3021","1994","02","21",NA,"Brasil","Bahia","Garimpo do Emgenho","-41.816667","-13.3","1000","1000",NA,NA,"SP020319","SP020319","Abaíra",NA,"1997","05","-41.816667","-13.3",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:09:05-03","IBt","SP","471975","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson",NA,"Rapini, A; Miranda, EB; Carvalho Sobrinho, JG; Rodrigues, AC","1248","2005","08","12",NA,"Brasil","Bahia","Fazenda Natureza","-38.433889","-10.003889","427","427",NA,NA,NA,NA,"Jeremoabo",NA,NA,NA,"-38.433889","-10.003889",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:09:05-03","IBt","SP","254143","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","bahiana","Peixotoa bahiana","C.E.Anderson","Amorim, AM","Carvalho, AM; Santos, TS; Amorim, AM; Sant'Ana, SC; Jardim, JG","4008","1992","06","11",NA,"Brasil","Bahia","Estrada para o Aeroporto de Barreiras, entre 5 a 15 km a partir da sede do município","-44.9900016784668","-12.1527996063232",NA,NA,NA,NA,"SP020321","SP020321","Barreiras",NA,"1992",NA,NA,NA,NA,"152720","auto",NA,NA,NA,NA,NA
