"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","locality","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","493644","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","T. M. Pedersen",NA,NA,NA,"P. J. M. Maas","3356","1977","10","20","Brazil","Rio de Janeiro","Teresópolis","-42.9656","-22.4122",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493644","NY00493644_01","Parque Nacional da Serra dos Orgaos, Rio Beijaflor","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1182146","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","B. C. Kurtz",NA,NA,NA,"L. Sylvestre","749","1992","02","06","Brazil","Rio de Janeiro","Guapimirim","-42.883","-22.483",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397902' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182146","NY01182146_01","Estação Ecológica Estadual de Paraíso. Caminho próximo..represa da CEDAE. Área FP10.","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","493641","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"R. M. Klein","1201","1955","03","10","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493641","NY00493641_01","Cunhas","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","493640","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","J. F. de Toledo",NA,NA,NA,"M. Kuhlmann","s.n.","1926","04","01","Brazil","São Paulo","Cubatao","-46.4197","-23.89",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493640","NY00493640_01","Raiz da Serra","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1198333","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","X. Cornejo",NA,NA,NA,"H. O. Pengel","21","1998","02","05","Brazil","Bahia","Jussari","-39.58","-15.17",NA,NA,"300","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410957' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198333","NY01198333_01","Km 8 na estrada Jussari/Palmira. Faz. Teimoso. Reserva Natural da Serra do Teimoso","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02098723","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Determiner unspecified",NA,NA,NA,"W. W. Thomas","13359","2003","03","15","Brazil","Bahia","Jussari","-39.5425","-15.0956",NA,NA,"750","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61298' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098723","NY02098723_01","Fazenda Serra do Teimoso, Reserva Serra do Teimoso. Near top of mountain, in area near source of the Riberao da Bica.","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","493642","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","R. E. Fries",NA,NA,NA,"P. K. H. Dusén","14713","1914","01","16","Brazil","Paraná","Ipiranga","-50.5842","-25.0242",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493642","NY00493642_01",NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","493645","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","T. M. Pedersen",NA,NA,NA,"G. G. Hatschbach","42537","1979","11","06","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493645","NY00493645_01","Caminho dos Jesuitas","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","777778","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","I. Isernhagen",NA,NA,NA,"I. Isernhagen","244","2000","01","09","Brazil","Paraná","Adrianópolis","-49","-24.68",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777778","NY00777778_01","Parque Estadual das Lauráceas","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-02-01 13:21:00-02","NY","NYBG","493639","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia",NA,"R. L. Liesner",NA,NA,NA,"B. A. Stein","2825","1985","05","18","Ecuador","Morona-Santiago",NA,"-78.42","-2.95",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493639",NA,"Limon (General Plaza) to Macas road, c. 8 km N of Limon","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02461006","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"P. M. Andrade","119","1984","02","19","Brazil","Minas Gerais","Caratinga","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2689800' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461006","NY02461006_01","Faz. Montes Claros.","Magnoliophyta","Caryophyllales","South America","sheet","49886","auto",NA,NA,NA,NA,NA,NA
"22","2020-06-29 11:28:43-03","UFRJ","RFA","5436","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","T. M. Pedersen",NA,NA,NA,"P. Occhioni","741","1946","10","29","Brasil","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,"Subarbusto","RFA25706",NA,"Serra dos Órgãos, Morro do Assú",NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA
"23","2020-11-13 09:18:43-03","UFRJ","RFA","25694","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Josafá C. de Siqueira","2002",NA,NA,"A. Quinet","nov-54","2000","11","24","Brasil","Rio de Janeiro","Magé","-43.124444","-22.573333","43º7'28''W","22º34'24''S","290","290","Herbáceo,folha verde discolor.","RFA32257",NA,"Distrito de Piabetá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-13 09:18:43-03","UFRJ","RFA","32364","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Drª Inês Cordeiro",NA,NA,NA,"Sama de Freitas","s.n.","2006","02","22","Brasil","Rio de Janeiro","Teresópolis","-42.983333","-22.416667","42º59'W","22º25'S","1300","1300",NA,"RFA21003",NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:28:43-03","UFRJ","RFA","18849","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Nahya Paola S. de Souza","2004","01","12","P. Occhioni","8462","1978","05","25","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Flor esverdeada","RFA15801",NA,"Estrada para Paranaguá, Grota Funda",NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"26","2020-11-13 09:18:43-03","UFRJ","RFA","27132","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Josafá C. de Siqueira","2002",NA,NA,"A. Quinet","55/79","2001","03","15","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","42º21'63''W","22º21'80''S","600","600","Erva,folha discolor verde,fruto com cálice persistente verde.","RFA32267",NA,"Lumiar, Flor das Andorinhas.",NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:28:43-03","UFRJ","RFA","15139","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Nahya Paola S. de Souza","2004","01","12","P. Occhioni","5974","1974","04","00","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Herbácea; flor verde.","RFA13238",NA,"Serra dos Órgãos, loc. Limoeiro",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:33:14-03","EAO","IAN","132900","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","L, BS","1969",NA,NA,"Lourteig, A","2302","1967","12","17","Brasil",NA,NA,NA,NA,NA,NA,"350","350",NA,"IAN132900",NA,"Rio do Sul. Matador, selva. En lugares muy húmedos.","Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-26 18:06:51-03","CPAN-UFMS","COR","8933","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","G. Hatschbach",NA,NA,NA,"O S. Ribas & E. Barbosa","4325","2002","02","20","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"Com Flor: alva",NA,NA,"Morro Inglês. Floresta atlântica, encosta do morro ; ;.",NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"30","2021-02-08 21:31:36-03","UFBA","ALCB","115756","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Borges, RL","2014","09",NA,"Borges, RL","s/n","2012","04",NA,"Brasil","Bahia","Iguaí","-40.089167","-14.756389","-40.089167","-14.756389",NA,NA,"ca. 40 cm. Folhas discolores. Inflorescência passada, apresentando frutos com deiscência circuncisa. Brácteas enegrescidas.",NA,NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:08:14-03","UFBA","ALCB","132150","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Siqueira, J","2002",NA,NA,"Quinet, A","1154","2000","11","24","Brasil","Rio de Janeiro","Magé","-43.124444","-22.573333","-43.124444","-22.573333","290","290","Folha verde discolor, ca 0,8cm de altura.; Mta de encosta.","ALCB049039","ALCB049039","Distrito de Piabetá.","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 08:54:18-03","NBC","NL-BOTANY","L.1690375","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Rambo B",NA,"1950","05","01","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1690375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1690375","NL-L1690375","RGS, Osório, In silva umbrosa humida.",NA,"Caryophyllales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"33","2020-02-08 08:54:18-03","NBC","NL-BOTANY","L.1690376","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Hatschbach GG",NA,"1960","12","27","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1690376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1690376","NL-L1690376","Est Parana, Mun S. José dos Pinhaes. Serra do Mar, Morro do Campinho.",NA,"Caryophyllales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 08:54:18-03","NBC","NL-BOTANY","L.1690377","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Herb Persoon",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1690377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1690377","NL-L1690377","in monte corcova ! Am! in humidis.",NA,"Caryophyllales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 08:54:18-03","NBC","NL-BOTANY","U.1049052","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Pedersen TM",NA,NA,NA,"Pedersen TM",NA,"1979","12","12","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"Dense woodland on moist ground by a little waterfall.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1049052 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1049052","NL-U1049052","Viaduto do Padre, on the road from Curitiba to Paranaguß.",NA,"Caryophyllales","Southern America",NA,NA,NA,"Magnoliopsidae","U 0124890",NA,NA,NA,NA
"36","2020-02-08 08:54:18-03","NBC","NL-BOTANY","U.1049053","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Maas PJM; Martinelli G",NA,"1977","10","20","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1049053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1049053","NL-U1049053","Flora Brasiliensis. Edo. Rio de Janeiro, Mun. Terezopolis, Parque Nacional da Serra dos Orgaõs, Rio Beijaflor.",NA,"Caryophyllales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"37","2020-02-08 08:54:18-03","NBC","NL-BOTANY","U.1049054","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Lourteig A",NA,"1967","12","17","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1049054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1049054","NL-U1049054","Mun. Rio do Sul. Matador.",NA,"Caryophyllales","Southern America",NA,NA,NA,"Magnoliopsidae","U 0092544",NA,NA,NA,NA
"38","2020-02-08 08:54:18-03","NBC","NL-BOTANY","U.1049055","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas H",NA,"1966","01","04","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1049055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1049055","NL-U1049055","Usina Eletrica Marumbi (Morretes).",NA,"Caryophyllales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-11-04 10:59:01-03","ESALQ","ESA","80028","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Capretz, R.","2002","01","01","Bortoleto, S.; Araújo, A.O.; Freire, R.A.P.; Capretz, R.L.; Castellen, M.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","47.0","2002","04","20","Brasil","São Paulo","São Miguel Arcanjo","-475.808","-240.403","-475,808","-240,403",NA,NA,"Erva de 45 cm. Flor verde-claro.","ESA080028","ESA080028","Parque Estadual Carlos Botelho, Núcleo S.M.Arcanjo. Floresta Estacional Semidecidual/Floresta Ombrófila Densa Montana. Interior de floresta, próximo ao curso d'água .","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 10:59:01-03","ESALQ","ESA","84452","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Souza, V.C.",NA,NA,NA,"Urbanetz, C.; Déstro, G.F.G.; Moreira-Coneglian, I.R.; Harder, I.C.F.; Muniz, M.R.A.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","74.0","2003","04","19","Brasil","São Paulo","Ribeirão Grande","-48.21","-24.18","-48.21","-24.18","790","790","Erva de 20-30cm com frutos maduros verdes","ESA084452","ESA084452","Parque Estadual Intervales, Trilha saindo 500m antes da sede do Núcleo Barra Grande em direção à E.E.Xituê. Vegetação bem conservada de Floresta Ombrófila Densa Montana, com escorregamentos naturais e com exploração de palmito","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 10:59:01-03","ESALQ","ESA","128138","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia",NA,NA,NA,NA,NA,"Delfini, C.","912.0","2013","03","31","Brasil","São Paulo","Tapiraí","-47.34643","-24.02923","-47.34643","-24.02923","422","422","Erva, até 50cm alt., pecíolos avermelhados, frutos verdes.","ESA128138",NA,"UHE Barra, trilha da vila dos moradores em direção à caixa d'água, aproximadamente 2km. Floresta Ombrófila Densa.","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 10:59:01-03","ESALQ","ESA","123329","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia",NA,"Souza, V.C.",NA,NA,NA,"Delfini, C.","1007.0","2013","04","03","Brasil","São Paulo","Tapiraí","-47.37022","-24.03098","-47.37022","-24.03098","422","422","Erva, ca. 20cm alt., pecíolos levemente avermelhados, frutos imaturos verdes, sementes negras.","ESA123329",NA,"UHE Barra, trilha da Pedreira - Barra. Floresta Ombrófila Densa com trechos degradados (próximos a estradas antigas) e áreas conservadas (áreas mais íngremes).","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 10:59:01-03","ESALQ","ESA","68656","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia",NA,"Hatschbach, G.",NA,NA,NA,"Kozera, C. et al.",NA,"1999","01","23","Brasil","Paraná","Morretes","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"ESA068656","ESA068656",NA,"Magnoliophyta",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"44","2020-11-04 10:59:01-03","ESALQ","ESA","35788","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Souza, V.C.",NA,NA,NA,"Souza, J.P. et al.","799.0","1996","12","12","Brasil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,"ESA035788","ESA035788",NA,"Magnoliophyta",NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA
"45","2020-11-04 10:59:01-03","ESALQ","ESA","17380","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Souza, V.C.",NA,NA,NA,"Moraes, P.L.R. et al.","1099.0","1995","01","17","Brasil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA017380","ESA017380",NA,"Magnoliophyta",NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA,NA
"46","2020-11-04 10:59:01-03","ESALQ","ESA","84451","PreservedSpecimen","Plantae","Amaranthaceae","Celosia","grandifolia","Celosia grandifolia","Moq.","Souza, V.C.",NA,NA,NA,"Medeiros, D.A.; Silva, D.G.R.; Damasceno, A.C.F; França, E.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.R.A.","58.0","2003","04","17","Brasil","São Paulo","Ribeirão Grande","-48.3600006103516","-24.0900001525879","-48,416,667","-24,266,667","820","820","Erva, inflorescência verde","ESA084451","ESA084451","Trilha da Bocaina em direção à gruta da Mãozinha e gruta do Minotauro. Vegetação secundária de Floresta Ombrófila Densa Montana com intensa exploração (área total),porém com trechos mais preservados sobre rochas cársticas (calcáreas).","Magnoliophyta",NA,NA,NA,"25028","auto",NA,NA,NA,NA,NA,NA
