"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","410918","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","R. Vásquez Martínez","10750","1988","06","09","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410918","Magnoliophyta","Malvales","L.","Loreto","Maynas","Iquitos, Río Nanay, alrededores de Puerto Almedras","-73.42","-3.8",NA,NA,"122","122","P. A. Fryxell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","2102709","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","M. J. P. Pires-O'Brien","1279","1986","07","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245557' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102709","Magnoliophyta","Malvales","L.","Pará","Almeirim","Monte Dourado, área 08-81","-52.539719","-0.8678545","NY02102709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02102701","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","B. Maguire","40179","1954","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245547' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102701","Magnoliophyta","Malvales","L.","Roraima",NA,"Serra Tepequem.",NA,NA,"NY02102701_01",NA,"610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","410930","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","G. G. Hatschbach","46714","1983","08","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410930","Magnoliophyta","Malvales","L.","Espírito Santo","Cariacica","Rio da Vitória","-40.4197","-20.2642","NY00410930_01",NA,"10","30","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","371847","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata lobata","G. G. Hatschbach","43886","1981","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371847","Magnoliophyta","Malvales","L.","Paraná","Paranaguá","Pontal do Poço","-48.5092","-25.5203","NY00371847_01","lobata","3","5","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","2102716","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","W. A. Archer","7893","1942","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245597' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102716","Magnoliophyta","Malvales","L.","Pará","Belém","Roads and fields of the I.A.N.","-48.4447503","-1.4380977","NY02102716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2102729","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","G. T. Prance","14099","1971","07","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245623' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102729","Magnoliophyta","Malvales","L.","Amazonas",NA,"Rio Ituxi, lake west of Boca do Curuquetê.","-65.6833","-8.3167","NY02102729_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2102739","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","A. Krapovickas","37172","1981","01","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245633' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102739","Magnoliophyta","Malvales","L.","Pará","Belém","Embrapa.","-48.5042","-1.4558","NY02102739_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02102714","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata reticulata","M. J. P. Pires-O'Brien","1254","1986","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245563' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102714","Magnoliophyta","Malvales","(Cav.) Gürke","Pará","Almeirim","Monte Dourado, Munguba, area 22.","-52.4281526","-0.9089303","NY02102714_01","reticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00942980","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","P. Clausen","107","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942980","Magnoliophyta","Malvales","L.","Minas Gerais",NA,NA,NA,NA,"NY00942980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","2102745","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","C. A. Cid Ferreira","3436","1982","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245638' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102745","Magnoliophyta","Malvales","L.","Amazonas","Maraã","Rio Japurá, afluente do rio Solimões, atrás da cidade.","-65.5","-1.833333","NY02102745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00942969","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata lobata","H. S. Irwin","6877","1964","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942969","Magnoliophyta","Malvales","L.","Mato Grosso",NA,"Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","-52.22","-15.4","NY00942969_01","lobata","300","400","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02102713","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata trilobata","M. J. P. Pires-O'Brien","1105","1986","05","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245561' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102713","Magnoliophyta","Malvales","Gürke","Pará","Almeirim","Monte Dourado, Bloco Bananal.","-52.539719","-0.8678545","NY02102713_01","trilobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","2102728","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","G. T. Prance","14364","1971","07","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245622' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102728","Magnoliophyta","Malvales","L.","Amazonas",NA,"Rio Curuquetê, vicinity of Cachoeira Santo Antonio","-65.67","-8.33","NY02102728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","410923","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","P. K. H. Dusén","17067","1915","06","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410923","Magnoliophyta","Malvales","L.","Paraná","Paranaguá",NA,"-48.5092","-25.5203","NY00410923_01",NA,NA,NA,"P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02102715","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","B. A. Krukoff","1228","1931","09",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245572' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102715","Magnoliophyta","Malvales","L.","Pará",NA,"Fordlandia, Tapajós River region","-55.4091999","-3.6703539","NY02102715_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00942976","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata lobata","G. G. Hatschbach","24301","1970","05","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942976","Magnoliophyta","Malvales","L.","Mato Grosso do Sul","Aquidauana","Col. Paxixi.","-55.7869","-20.4711","NY00942976_01","lobata",NA,NA,"A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","2102747","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","S. A. Mori","21753","1991","07","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245640' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102747","Magnoliophyta","Malvales","L.","Amazonas",NA,"Rio Solimoes, Lago Janauaca. Blackwater.","-60.283333","-3.466667","NY02102747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","2102719","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","G. H. H. Tate","28","1928","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245603' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102719","Magnoliophyta","Malvales","L.","Amazonas","Manaus",NA,"-60.025","-3.1019","NY02102719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","410917","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata lobata","A. Schinini","20649","1980","08","25","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410917","Magnoliophyta","Malvales","L.","Amambay",NA,"Bella vista, Río Apa",NA,NA,NA,"lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","410926","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","R. P. Belém","2144","1966","05","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410926","Magnoliophyta","Malvales","L.","Bahia","Maraú",NA,"-39.0144","-14.1033","NY00410926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","02102725","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","S. A. Mori","21312","1990","06","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245619' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102725","Magnoliophyta","Malvales","L.","Amazonas",NA,"Rio Negro, Paraná de Jutaí.","-61.075","-2.3","NY02102725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","2102732","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","G. T. Prance","6818","1968","08","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245626' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102732","Magnoliophyta","Malvales","L.","Rondônia",NA,"Rio Bananeiras at crossing with road Guajará-Mirim to Abunã",NA,NA,"NY02102732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","2102720","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","G. T. Prance","58674","1964","08","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245605' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102720","Magnoliophyta","Malvales","L.","Pará",NA,"5 km north of Gurupi, Belém-Brasília",NA,NA,"NY02102720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1522322","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","J. Freitas","144","2007","03","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1295672' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522322","Magnoliophyta","Malvales","L.","Acre","Rio Branco","Parque Municipal Chico Mendes, Rodovia AC-40 Km 10.","-67.7905133","-10.036803","NY01522322_01",NA,"150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","410934","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","W. Hoehne",NA,"1955","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410934","Magnoliophyta","Malvales","L.","São Paulo","Sao Vicente","Sao Vicente","-46.3897","-23.96","NY00410934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02102742","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","S. Tsugaru","B-289","1987","07","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245635' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102742","Magnoliophyta","Malvales","L.","Pará",NA,"The suburbs of Belém.","-48.4555221","-1.2849922","NY02102742_01",NA,"50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","02102741","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata reticulata","N. T. da Silva","2110","1969","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245650' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102741","Magnoliophyta","Malvales","(Cav.) Gürke","Pará","Jari","Estrada entre Bandeira e Pilão km 39.",NA,NA,"NY02102741_01","reticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","2102718","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","R. Spruce","2255","1852","01",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245601' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102718","Magnoliophyta","Malvales","L.","Amazonas",NA,"Prope San [São] Gabriel da Cachoeira, ad Rio Negro, Brasilae borealis",NA,NA,"NY02102718_01 NY02102718_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00942970","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","H. S. Irwin","14266","1966","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942970","Magnoliophyta","Malvales","L.","Goiás","Formosa","Serra Geral de Goiás, Rio Paraná, ca. 35 km N. of Formosa, on road to São Gabriel","-47.38","-15.3","NY00942970_01",NA,"950","950","A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","2102707","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","J. M. Pires","50976","1961","09","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245555' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102707","Magnoliophyta","Malvales","L.","Amapá",NA,"Rio Araguari, downriver from Porto Platón","-51.37","0.73","NY02102707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","371849","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata lobata","A. Krapovickas","14366","1968","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00371849","Magnoliophyta","Malvales","L.","Paraná","Paranaguá","Paranaguá","-48.538452","-25.547645","NY00371849_01","lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","2102710","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","M. J. P. Pires-O'Brien","963","1986","05","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2245558' target='other'> <mi>dwc_moreinfo</mi></a>","NY02102710","Magnoliophyta","Malvales","L.","Pará","Almeirim","Mt Dourado Pacanari, area 47, centro.","-52.75","-0.583","NY02102710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","410925","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","J. C. A. Lima","139","1984","07","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=203319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00410925","Magnoliophyta","Malvales","L.","Bahia","Prado","Estrada Prado/Itamaraju. Folha SE.24-V-D. Ponto 10 (F.101).","-39.32","-17.3","NY00410925_01",NA,NA,NA,"H. P. Bautista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","00942975","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","E. P. Heringer","6917","1981","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942975","Magnoliophyta","Malvales","L.","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu. Altos do Ribeirão da Papuda.","-47.9294","-15.7797","NY00942975_01",NA,NA,NA,"P. A. Fryxell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","00942979","PreservedSpecimen","Plantae","Malvaceae","Urena","lobata","Urena lobata","P. Clausen","107","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061667' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942979","Magnoliophyta","Malvales","L.","Minas Gerais",NA,NA,NA,NA,"NY00942979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
