"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"11","2016-09-27 08:16:00-03","NY","NYBG","01116597","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. A. Michelangeli","F. A. Michelangeli","696","2001","01","16","South America","Venezuela","Táchira","Carretera Siberia-San Joaquín de Navay. 3-8 km al S de la central de San Agatón.","-71.7053","7.8336","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1239848' target='other'> <mi>dwc_moreinfo</mi></a>","NY01116597","NY01116597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","164713","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","J. A. Silva","551","1986","07","31","South America","Brazil","Roraima","Estrada do Cantá.","-60.67","2.83",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00164713","NY00164713_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01038823","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","H. R. Wullschlaegel","2079",NA,NA,NA,"South America","Brazil","Pará","L'regione Pará.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1563746' target='other'> <mi>dwc_moreinfo</mi></a>","NY01038823","NY01038823_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3165780","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"M. J. Jansen-Jacobs","4794","1995","08","23","South America","Guyana","Upper Takutu-Upper Essequibo","Rupununi District, Shea Village. In the savanna.","-59.1","2.85","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416607' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165780",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-27 08:16:00-03","NY","NYBG","01796389","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. A. Michelangeli; C. V. Martin","H. D. Clarke","9944","2003","06","16","South America","Guyana","Potaro-Siparuni","New Ayanganna airstrip, vic.","-59.83105556","5.301388889","640","640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021008' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796389","NY01796389_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01796397","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","B. M. Boom","6293","1985","10","07","South America","Venezuela","Bolívar","Vicinity of Panare village of Corozal, 6 km from Maniapure toward Caicara.","-66.5","6.92","90","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021017' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796397","NY01796397_01","D.Don","Cedeño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-27 08:16:00-03","NY","NYBG","01117474","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. A. Michelangeli","F. A. Michelangeli","324","1996","06","13","South America","Venezuela","Amazonas","Campamento Yutajé.",NA,NA,"150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1239587' target='other'> <mi>dwc_moreinfo</mi></a>","NY01117474","NY01117474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-27 08:16:00-03","NY","NYBG","01467297","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. A. Michelangeli","R. T. Pennington","1902","2007","09","23","South America","Peru","Junín","Road La Merced - Satipo","-75.2497","-10.9497","1000",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1708728' target='other'> <mi>dwc_moreinfo</mi></a>","NY01467297","NY01467297_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","3165775","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"G. T. Prance","27962","1982","04","17","South America","Colombia","Chocó","Vicinity of Quibdo, disturbed secondary forest.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416602' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165775",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","3165790","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"K. M. Redden","4255","2006","09","15","South America","Guyana","Potaro-Siparuni","Micobe road outside of village.","-58.9808","5.3414","22","22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416736' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165790",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1017888","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. A. Michelangeli","A. Ramos","8","2003","09","19","South America","Brazil","Pernambuco","Refúgio, Charles Darwin.","-34.9633026","-7.8023304",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233188' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017888","NY01017888_01","D.Don","Igarassu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","3165774","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"J. L. Luteyn","4922","1976","01","17","South America","Colombia","Caquetá","43 km from Florencia towards El Doncello; dry sandy pastureland.",NA,NA,"430","430","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416601' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165774",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02104196","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","R. Goldenberg","R. Goldenberg","1807","2014","02","24","South America","Brazil","Bahia","Ponte sobre o Rio Cumbuca","-41.35031","-12.99078","900","925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2299332' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104196","NY02104196_01","D.Don","Mucugê",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","3165797","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"O. Huber","916","1977","07","20","South America","Venezuela","Amazonas","alrededores de Puerto Ayacucho, ±12 km to S, a la derecha de la carretera Ayacucho-Samariapo.","-67.58","5.57","90","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416743' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165797",NA,"D.Don","Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00836947","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","Determiner unspecified","A. M. Amorim","3161","1999","11","15","South America","Brazil","Amazonas","Km 64 em direção a Itacoatiara, AM 101. Ramal para Acampamento Betel, ca. 2 km da Rodovia.","-59.6994","-2.6994",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=923870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836947","NY00836947_01","D.Don","Rio Preto da Eva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","3165803","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"A. H. Gentry","14723","1975","06","30","South America","Venezuela","Amazonas","ca 30 km N of Puerto Ayacucho",NA,NA,"100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416749' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165803",NA,"D.Don","Atures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 10:15:00-03","NY","NYBG","01796392","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. Almeda; D. S. Penneys","T. W. Henkel","3853","1994","05","22","South America","Guyana","Upper Takutu-Upper Essequibo","South Rupununi savanna; Komirwana Tau area, 4 km SE of Aishalton","-59.25","2.5","250","250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021012' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796392","NY01796392_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","3165802","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"J. A. Steyermark","124352","1981","02","15","South America","Venezuela","Amazonas","Alto Rio Orinoco, selva macrotérmica húmeda a lo largo de la pista de aterrizaje de Ocamo, Santa María de los Guaicas","-65.22","2.87","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416748' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165802",NA,"D.Don","Atabapo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","3165788","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"T. W. Henkel","662","1992","12","24","South America","Guyana","Cuyuni-Mazaruni","W bank of Essequibo River, 0-2 km south of Wolga settlement.","-58.63","6.45",NA,"15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416734' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165788",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","3165782","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"G. W. Browne","WB67Record No. 5640","1948","09","01","South America","Guyana",NA,"Sand ck. Rupununi R.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416728' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165782",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-27 08:16:00-03","NY","NYBG","01796388","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. Almeda; D. S. Penneys","H. D. Clarke","2109","1996","07","02","South America","Guyana","Upper Takutu-Upper Essequibo","Lethem, 0-1 km SE","-59.66666667","3.466666667","120","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021007' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796388","NY01796388_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1289561","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","C. A. Todzia","2248","1983","06","25","South America","Brazil","Amazonas","Borba on the rio Madeira. Campinarana 5 km east of town.","-59.583333","-4.383333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759012' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289561","NY01289561_01","D.Don","Borba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","3165791","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"J. J. Pipoly","9477","1986","12","20","South America","Guyana","East Berbice-Corentyne","Cow Savanna along S bank of Canje River, W of Digitima Creek.","-57.58","5.6","1","25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416737' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165791",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-27 08:16:00-03","NY","NYBG","1653272","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","C. V. Martin","C. V. Martin","575","2007","05","08","South America","French Guiana",NA,"Trou Poisson",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434505' target='other'> <mi>dwc_moreinfo</mi></a>","NY01653272","NY01653272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-01-26 16:28:00-02","NY","NYBG","01404496","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","F. A. Michelangeli","B. G. Stergios D.","8874","1986","02","14","South America","Venezuela","Bolívar","Expedicion botanica al Bajo Caura, limite entre Dtto. Cedeno y Dtto. Sucre. Selva de galeria del rio Urbani, carretera hacia Las Trincheras","-65.08","7.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447443' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404496","NY01404496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","478008","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","J. J. Pipoly","9323","1986","12","17","South America","Guyana","East Berbice-Corentyne","Awara Savanna, ±85 miles S of Canje R. mouth, ± 35 miles S of Torani Canal","-57.53","5.72","20","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478008","NY00478008_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","3165786","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"W. Hahn","5560","1989","03","11","South America","Guyana","Potaro-Siparuni","Kato","-59.92","4.67","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3416732' target='other'> <mi>dwc_moreinfo</mi></a>","NY03165786",NA,"D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1289564","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","G. T. Prance","29972","1986","04","20","South America","Brazil","Amazonas","Campo Amélia (Fazenda Belo Horizonte), entre Ig. Acajatuba e margem direita do Rio Negro","-60.58","-3.03",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759015' target='other'> <mi>dwc_moreinfo</mi></a>","NY01289564","NY01289564_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","478011","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","S. A. Mori","15742","1983","07","31","South America","Brazil","Amapá","near Parque Florestal da Fazendinha, 10-12 km S of Macapá","-51.09569","-0.04072",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478011","NY00478011_01","D.Don","Macapá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-27 08:16:00-03","NY","NYBG","478007","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"B. M. Boom","6688","1986","05","22","South America","Venezuela","Bolívar","Vicinity of Panare village of Corozal, 6 km from Maniapure toward Caicara","-66.5","6.92","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478007","NY00478007_01",NA,"Cedeño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01796398","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","J. G. Wessels Boer","760","1963","02","24","South America","Suriname",NA,"Ad rivulum Palaime, flum Sipaliwini trib, on Palaime savanna.","-56.2","2.13",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2021018' target='other'> <mi>dwc_moreinfo</mi></a>","NY01796398","NY01796398_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","478010","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"L. Coradin","799","1977","10","20","South America","Brazil","Roraima","Northeastern Roraima ca. 110 km NE of Boa Vista, 8 km SW of Bonfim. Fazenda Valparaiso",NA,NA,"133","133","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478010","NY00478010_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-11-07 14:01:00-02","NY","NYBG","02530470","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea",NA,"A. M. Raynal-Roques","18319","1976","03","01","South America","Guyana",NA,"Mont Mahury, env. 8 km SE de Cayanne. Sommet près du lac Rorota.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2809047' target='other'> <mi>dwc_moreinfo</mi></a>","NY02530470","NY02530470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","478012","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","J. J. Wurdack","J. E. de Paula","1296","1979","08","03","South America","Brazil","Alagoas","Tabuleiro dos Martins, (área do aeroporto) Maceió",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478012","NY00478012_01","D.Don",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","1596660","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Clidemia","sericea","Clidemia sericea","M. K. Caddah","M. K. Caddah","874","2011","10","16","South America","Brazil","Roraima","Parque Nacional do Viruá, Estrada Perdida.","-60.9778547","1.3342891","64",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1883680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01596660","NY01596660_01","D.Don","Caracaraí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
