"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","00891642","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","H. S. Irwin","17394","1966","06","18","South America","Brazil","Mato Grosso",NA,"Ca. 96 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.18","-15.47","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891642","NY00891642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00891620","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"D. R. Hunt","5610","1966","05","27","South America","Brazil","Mato Grosso","Ribeirão Cascalheira","Xavantina -Cachimbo road, 215 km. from Xavantina. Camp site at end of abandoned stretch of road","-51.8242","-12.9419","600","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959355' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891620","NY00891620_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00891624","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","W. R. Anderson","9418","1973","04","29","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó, ca. 30 km (straight line) S of Caiapônia","-51.8167","-17.2167","950","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891624","NY00891624_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00891617","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","H. S. Irwin","16449","1966","06","02","South America","Brazil","Mato Grosso",NA,"Ca. 84 km. N. of Xavantina. Serra do Roncador.","-52.1","-13.93","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891617","NY00891617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00891643","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","G. Davidse","12155","1976","04","09","South America","Brazil","Goiás",NA,"7 km E of the Goias-Distrito Federal border along Highway BR-020-030",NA,NA,"870","870","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891643","NY00891643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00891619","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","P. M. Peterson","J. R. Swallen","3980","1934","03","20","South America","Brazil","Maranhão",NA,"Carolina to San Antonio de Balsas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891619","NY00891619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00891621","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","T. de S. Filgueiras","A. G. Burman","399","1979","04","07","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, 10 km Cocalzinho (Fabrica de Cimento)","-48.8083","-15.9236","1150","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891621","NY00891621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00891651","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"J. A. Ratter","R830","1968","04","03","South America","Brazil","Mato Grosso",NA,"7 km SW of Xavantina.","-52.33","-14.73","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891651","NY00891651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00891622","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","M. A. Chase","9274","1925","03","28","South America","Brazil","Minas Gerais",NA,"West of Vaccaria, Serra do Cipó (110 km. northeast of Bello Horizonte)",NA,NA,"800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891622","NY00891622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00864999","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","H. S. Irwin","14200","1966","03","28","South America","Brazil","Goiás","Formosa","Serra Geral de Goiás, Rio Paraná, ca. 35 km N. of Formosa on road to São Gabriel","-47.38","-15.33","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864999","NY00864999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00891648","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","W. R. Anderson","9704","1973","05","04","South America","Brazil","Mato Grosso",NA,"Ca. 35 km (straight line) ENE of Barra do Garças","-51.94808","-15.7622","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891648","NY00891648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00891645","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"A. F. M. Glaziou","22594","1896",NA,NA,"South America","Brazil","Goiás",NA,"Brazil: Chiefly Province of Goyaz",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891645","NY00891645_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00865000","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","G. Davidse","H. S. Irwin","16055","1966","05","25","South America","Brazil","Mato Grosso",NA,"Ca. 60 km. N. of Xavantina. Serra do Roncador.","-52.15","-14.13","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865000","NY00865000_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1148023","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","R. C. da S. Oliveira","T. C. Plowman","8985","1980","02","21","South America","Brazil","Pará","Conceição do Araguaia","Redenção. Área of cerrado vegetation about 4 Km west of town center along highway PA-150","-50.066667","-8.033333","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401566' target='other'> <mi>dwc_moreinfo</mi></a>","NY01148023","NY01148023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:54:05-03","EAO","IAN","100379","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Swallen, JR","3846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN100379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:54:05-03","EAO","IAN","119187","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, RC","Sucre, D","519","1965","06","03","Southern America","Brasil","Distrito Federal",NA,"Campos universitário, Colonia. Brasília.",NA,NA,NA,NA,NA,"Formando moitas.","IAN119187",NA,"2001","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:54:05-03","EAO","IAN","155168","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Davidse, G","Anderson, WR","9809","1973","05","06","Southern America","Brasil","Mato Grosso",NA,"Top and eastern slope of mountain ca. 9km NE of Barra de Graças; elev. 500-700 m; sandstone and sandy soil with cerrado. Among rocks.",NA,NA,NA,NA,NA,NA,"IAN155168",NA,"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:54:05-03","EAO","IAN","157701","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Davidse, G","Davidse, G; Ramamoorthy, TP","12155","1976","04","09","Southern America","Brasil","Goiás",NA,"7 km E of the Goias-Distrito federal border along highway BR-020-030. weedy cerrado; elev. 870 m.",NA,NA,NA,NA,NA,"Caespitose perennial.","IAN157701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:54:05-03","EAO","IAN","63035","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Kuhlmann, JG","1693","1918","04",NA,"Southern America","Brasil","Mato Grosso",NA,"Entre Macaco e Rio Lacre.",NA,NA,NA,NA,NA,NA,"IAN063035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:54:05-03","EAO","IAN","63635","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Hackel","Pires, JM; Black, GA","3084","1951","01",NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"IAN063635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:54:05-03","EAO","IAN","79821","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Fróes, RL","30044","1953","06","16","Southern America","Brasil","Pará",NA,"Igarapé gameleirinha; campo gerais do Araguáia.",NA,NA,NA,NA,NA,"Capim.","IAN079821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:54:05-03","EAO","IAN","131450","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, RC","Lima, N; Heringer, EP","187","1968","04",NA,"Southern America","Brasil","Distrito Federal","Brasilia","Estação Experimental do Instituto Central de Biologia. Cerrado.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"IAN131450",NA,"2001","10","70570","auto",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:54:05-03","EAO","IAN","131444","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, RC","Lima, N; Heringer, EP","164","1968","04","10","Southern America","Brasil","Distrito Federal","Brasilia","Estação Experimental do Instituto Central de Biologia. Cerrado.","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"IAN131444",NA,"2001","10","70570","auto",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:54:05-03","EAO","IAN","63003","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Chase, A","11849","1930","04","06","Southern America","Brasil","Goiás","Santa Rita do Araguaia",NA,"-53.2052993774414","-17.3255996704102",NA,NA,NA,NA,"IAN063003",NA,NA,NA,"61711","auto",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:54:05-03","EAO","IAN","58962","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Pires, JM; Black, GA","2542","1950","06","01","Southern America","Brasil","Maranhão","Carolina","Carolina, campo. Entre pedras.","-47.4693984985352","-7.33277988433838",NA,NA,NA,NA,"IAN058962",NA,NA,NA,"99438","auto",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:54:05-03","EAO","IAN","67823","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, RC","Barreto, M","11481","1942","04","21","Southern America","Brasil","Minas Gerais","Corinto","Corinto.","-44.4564018249512","-18.3808002471924",NA,NA,NA,NA,"IAN067823",NA,"2001","10","49021","auto",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:54:05-03","EAO","IAN","64766","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Chase, A","Mexia, Y","5520","1931","04","02","Southern America","Brasil","Minas Gerais","Corinto","Corinto, fazendo Diamante.","-44.4564018249512","-18.3808002471924",NA,NA,NA,NA,"IAN064766",NA,NA,NA,"49021","auto",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:54:05-03","EAO","IAN","62989","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, RC","Kuhlmann, JG","1694","1918","03",NA,"Southern America","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"IAN062989",NA,"2001","10","101169","auto",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:54:05-03","EAO","IAN","90837","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Macedo, A","4499","1956","03","10","Southern America","Brasil","Minas Gerais","Ituiutaba","São Vicente.","-49.4650001525879","-18.968900680542",NA,NA,NA,"Campestre com folhas um tanto ergenteas.","IAN090837",NA,NA,NA,"50022","auto",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:54:05-03","EAO","IAN","62467","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Chase, A","11189","1930","03","14","Southern America","Brasil","Minas Gerais","Uberlândia","Uberlândia, entre Sucupira e Omega.","-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,"IAN062467",NA,NA,NA,"58223","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 10:19:22-03","NBC","NL-BOTANY","WAG.1394268","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.",NA,"Anderson WR",NA,"1973","04","06","Southern America","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Goiás. Rio Cristal, 44 km by road SE of Cristalina.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1394268 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1394268","NL-WAG1394268",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"42","2020-11-04 12:18:51-03","ESALQ","ESA","44713","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, R.C.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","16589.0","1997","05","20",NA,"Brasil","Mato Grosso","Alto Paraguai","Crista da Serra da Bocaina. 15 Km SW (em linha reta) de Alto Paraguai. Estrada para Tira Sentido. Savana arborizada (cerrado) entre rochas.","-56.35","-14.37",NA,NA,NA,"Erva, ca. 1 m alt.; espiguetas verdes.","ESA044713","ESA044713",NA,NA,NA,NA,NA,"-56.35","-14.37",NA,NA,NA,NA
"43","2020-11-04 12:18:51-03","ESALQ","ESA","44712","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, R.C.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","17212.0","1997","05","24",NA,"Brasil","Mato Grosso","Nobres","Gleba Coqueiral. Cerca de 43 Km ENE (em linha reta) de Nobres. Savana arborizada (cerrado).","-55.57","-14.35",NA,NA,NA,"Erva; espiguetas verdes.","ESA044712","ESA044712",NA,NA,NA,NA,NA,"-55.57","-14.35",NA,NA,NA,NA
"44","2019-02-15 11:48:15-02","IPA","IPA","15814","S","Plantae","Plantae",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Oliveira, R.P.","Andrade-Lima","4649","1966","06","25","Southern America","Brasil","Amapá","Humaitá","Campos ao sul do Km8 da estrasa Humaitá- Lábrea, acompahhado a picada para Pôrto-Velho. Pontual do Cruz. Campo baixo, um pouco úmido.",NA,NA,NA,NA,NA,NA,"IPA0015814",NA,"2006","02",NA,NA,NA,NA,NA,"14",NA,NA,NA
"45","2019-11-21 14:42:54-03","UFJF","CESJ","30080","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Stendel","R.C.de Oliveira","A.L.Brochado; T.S.Filgueiras","287","1992","05","26","América do Sul","Brasil","Distrito Federal","Brasília","Parque Nacional de Brasília","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Cerrado ss. Solo concrecionado. Planta ca. 1 m de altura, ereta.","CESJ030080",NA,"2000","12","70570","auto",NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 14:42:54-03","UFJF","CESJ","46635","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Stendel","F.M. Ferreira","F.M. Ferreira","898","2005","12","27","América do Sul","Brasil","Minas Gerais","Baependi","Toca dos Urubus","-44.8899993896484","-21.9589004516602",NA,NA,NA,"Erva ereta no cerrado.","CESJ046635",NA,"2006","03","29865","auto",NA,NA,NA,"22",NA,NA,NA
"47","2019-11-21 14:42:54-03","UFJF","CESJ","7546","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Stendel","R.M.Pereira","L. Krieger","CESJ7546","1969","12",NA,"América do Sul","Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,"No campo úmido (brejo). As folhas de tom verde-azulado, colocadas em um só plano.","CESJ007546",NA,"1976","07","46557","auto",NA,NA,NA,"20",NA,NA,NA
"48","2019-11-21 14:42:54-03","UFJF","CESJ","47539","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Stendel","S.A.Renvoize","L.T. Dombrowski","5885","1976","10","25","América do Sul","Brasil","Paraná","Curitiba","Capão da Imbuia","-49.2731018066406","-25.4277992248535",NA,NA,NA,"Forma touceira, frequente. Em campo arenoso, seco.","CESJ047539",NA,"1978",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"49","2021-03-16 17:54:35-03","UCS","HUCS","28940","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Paspalum","geminiflorum","Paspalum geminiflorum","Steud.","Renvoize, S.A.","Dombrowski, L.T.","6876","1977","01","10",NA,"Brasil","Paraná","Ponta Grossa","próximo de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"campo em touceiras",NA,NA,"1978",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA
