"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","minimumElevationInMeters","individualCount","typeStatus","fieldNumber","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"11","2019-01-18 12:33:00-02","MO","MOBOT","1179980","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Thomas B. Croat",NA,NA,NA,"PINHEIRO","PINHEIRO 127","1992","10","8","Brazil","Goiás",NA,"Jruacu",NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","1591269","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Croat",NA,NA,NA,"Ghillean T. Prance|et al.","Prance 19220","1973","10","19","Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,"720.00000000",NA,NA,NA,NA,NA,NA
"13","2017-08-03 13:19:00-03","MO","MOBOT","1599112","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","T. Croat",NA,NA,NA,"Yaneth Roca|Agreda|B. Taborga|V. Pessoa","Roca de Saldias 1434","2001","12","6","Bolivia","Santa Cruz","Chiquitos","Progresiva del Entre San Juan y el Campamento Don Mario.KP 164+800-164+900.Bosque de 15mt. de alto. Sotobosque de 4mtd. de alto y de 50cm. de alto.sp.soto, verdolago, curapau, momoqui, coca de monte,bromelia garabata. Suelo franco arenoso.","-59.70972","-17.40833",NA,NA,NA,"South America",NA,NA,"427.00000000",NA,NA,NA,NA,NA,NA
"14","2012-03-16 08:50:00-03","MO","MOBOT","2132173","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby",NA,NA,NA,NA,"Martín Cárdenas","Cárdenas Hermosa 1436","1921","11",NA,"Bolivia",NA,NA,"In corpses on the pampas near Lake Rogagua",NA,NA,NA,NA,NA,"South America",NA,NA,"304.80000000","1","Holotype",NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","2189488","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby",NA,NA,NA,NA,"R. Schreiter","Schreiter 11504","1941",NA,NA,"Argentina","Salta","San Martín","Las Tablillas a San Pedrito",NA,NA,NA,NA,NA,"South America",NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","2914749","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","E.G. Gonçalves",NA,NA,NA,"E.G. Gonçalves","Gonçalves 684","2000","12","29","Brazil","Tocantins",NA,"Arraias, na estrada para Combinado, 32 km do entroncamento. Cerradão.",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","2914750","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","E.G. Gonçalves",NA,NA,NA,"E.G. Gonçalves","Gonçalves 669","2000","12","28","Brazil","Tocantins",NA,"Conceição do Tocantins, 6 km na estrada para Taipas do Tocantins. Floresta mesofitica.",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2012-04-12 05:10:00-03","MO","MOBOT","965767","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","A. Fuentes",NA,NA,NA,"Alfredo F. Fuentes","Fuentes Claros 467","1995","3","14","Bolivia","Santa Cruz","Nuflo de Chavez","Estancia San Miguelito, 200 km NE de Santa Cruz, puesto La Pascana. Bosque alto-medio higrófilo semideciduo de piedemonte. Inmediatamente al N de campamento Pascana WCS.","-61.78333","-17.75",NA,NA,NA,"South America",NA,NA,"270.00000000","1",NA,NA,NA,NA,NA
"19","2013-01-28 05:13:00-02","MO","MOBOT","965904","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","T. Croat",NA,NA,NA,"René Guillén V.|V. Roca","Guillén Villarroel 3041","1995","1","24","Bolivia","Santa Cruz","Velasco","Reserva Ecológica El Refugio; en los alrededores del campamento; en un barbecho con suelos franco arcillosos.","-61.03527","-14.76583",NA,NA,NA,"South America",NA,NA,"250.00000000","6",NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","968903","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","A. Fuentes (USZ)",NA,NA,NA,"Antony Jardim","Jardim 1910","1995","3","29","Bolivia","Santa Cruz","Nuflo de Chavez","Las Trancas, Lomerio cerca de las parcelas de Bolfor. Bosque seco chiquitano de Anadenanthera con afloramientos grandes de laja.","-61.83916","-16.54583",NA,NA,NA,"South America",NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA
"21","2012-03-16 09:15:00-03","MO","MOBOT","2132174","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby",NA,NA,NA,NA,"Martín Cárdenas","Cárdenas Hermosa 1693","1921","11","7","Bolivia","Beni",NA,"On the pampas near Lake Rogagua","-66.8702778","-13.9661111",NA,NA,NA,"South America",NA,NA,"304.80000000",NA,NA,NA,NA,NA,NA
"22","2018-06-19 11:33:00-03","MO","MOBOT","1450026","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","E.G. Goncalves",NA,NA,NA,"Timothy C. Plowman|Gerrit Davidse|Nelson A. Rosa|Carlos S. Rosário|M.R. dos Santos","Plowman 8440","1980","2","8","Brazil","Pará","Conceição do Araguaia","Conceição de Araguaia. Range of low hills 20 km west of Redencão, near Corrego São João and Troncamento Santa Teresa.","-50.1819445","-8.0722223",NA,NA,NA,"South America",NA,NA,"350.00000000","1",NA,"10","620.00000000",NA,NA
"23","2019-06-10 10:10:08-03","FZB-BH","BHZB","10342","S","Plantae",NA,NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium",NA,NA,NA,NA,NA,"Ferreira Junior, C.A. et al.","1237","2013","12","11","Brasil","MG","Belo Horizonte","FZBJB - Coleção de Cerrado e Campo rupestre","-43.937801361084","-19.9207992553711","17082","Cultivado. Originalmente coletada em Santana do Riacho, próximo a Lapinha da Serra sobre calcário. Exsicata A-B. Planta tuberosa com folhas verdes.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-01 15:13:03-03","UnB","UB","34622","PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Gonçalves, EG","268","1999","01","20","Brasil","Mato Grosso","Pontes e Lacerda","Pontes e Lacerda","-59.107222","-15.4375",NA,NA,NA,"Southern America","UB0002214","UB0002214",NA,NA,NA,NA,NA,"-59.107222","-15.4375"
"25","2019-11-01 15:13:03-03","UnB","UB","34624","PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Gottsberger, IS","11-191193","1993","11","19","Brasil","Mato Grosso",NA,"São Lucas, 120km ao N de Cuiaba","-55.833333","-14.6",NA,NA,NA,"Southern America","UB0002211","UB0002211 UB0002211_1",NA,NA,NA,NA,NA,"-55.833333","-14.6"
"26","2019-11-01 15:13:03-03","UnB","UB","34626","PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Ratter, JA","4020","1976","12","12","Brasil","Goiás","Padre Bernardo","Padre Bernardo","-48.583333","-15.5",NA,NA,NA,"Southern America","UB0002209","UB0002209",NA,NA,NA,NA,NA,"-48.583333","-15.5"
"27","2019-11-01 15:13:03-03","UnB","UB","8003","PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Gonçalves, EG","180","1998","01","22","Brasil","Goiás","Posse","Estrada Posse - Alvorada do Norte","-46.365","-14.257222",NA,"Pecíolo maculado. Estéril.; Erva tuberosa; Afloramento calcário perturbado.",NA,"Southern America","UB0002212","UB0002212",NA,NA,NA,NA,NA,"-46.365","-14.257222"
"28","2019-11-01 15:13:03-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Ratter, JA","4020","1976","12","12","Brasil","Goiás","Padre Bernardo","Padre Bernardo","-48.583333","-15.5",NA,NA,NA,"Southern America","UB0002219","UB0002219",NA,NA,NA,NA,NA,"-48.583333","-15.5"
"29","2019-11-01 15:13:03-03","UnB","UB","34623","PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2001","06",NA,"Gonçalves, EG","278","1999","01","22","Brasil","Goiás","Arenópolis","Arenópolis","-51.209722","-16.302778",NA,NA,NA,"Southern America","UB0002213","UB0002213",NA,NA,NA,NA,NA,"-51.209722","-16.302778"
"30","2019-11-01 15:13:03-03","UnB","UB","34625","PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Ratter, JA","3961","1976","11","12","Brasil","Mato Grosso",NA,"80km ao N de Aragarças","-52.333333","-15.233333",NA,NA,NA,"Southern America","UB0002210","UB0002210",NA,NA,NA,NA,NA,"-52.333333","-15.233333"
"31","2019-11-01 15:13:03-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Gonçalves, EG","268","1999","01","20","Brasil","Mato Grosso","Pontes e Lacerda","Pontes e Lacerda","-59.107222","-15.4375",NA,NA,NA,"Southern America","UB0002215","UB0002215",NA,NA,NA,NA,NA,"-59.107222","-15.4375"
"32","2019-11-01 15:13:03-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Gonçalves, EG","663","2000","12","27","Brasil","Tocantins",NA,"Estrada Arraias - Paranã, 39km do trevo para Conceição do Tocantins",NA,NA,NA,"Algumas plantas com a base do pecíolo atropurpúreo. Espata verde com a base ao redor da inserção da espata atropurpúreo. Estigma amarelo",NA,"Southern America","UB0002218","UB0002218",NA,NA,NA,NA,NA,NA,NA
"33","2019-11-01 15:13:03-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Gonçalves, EG","684","2000","12","29","Brasil","Tocantins","Arraias","Na estrada para Combinado, 32km do entroncamento","-46.9383010864258","-12.9314002990723","66446","Túbera 2-3x2,5-4cm, com pequenos tubérculos na superfície. Espata verde por fora, mais clara por dentro, vinácea na região da adnação espata-espádice; Cerradão","auto","Southern America","UB0002217","UB0002217",NA,NA,NA,NA,NA,NA,NA
"34","2019-11-01 15:13:03-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,NA,"Araceae","Xanthosoma","syngoniifolium","Xanthosoma syngoniifolium","Rusby","Gonçalves, EG","2000","12",NA,"Gonçalves, EG","647","2000","12","27","Brasil","Tocantins","Arraias","Rio Arraias, 12km depois do trevo da entrada da cidade em direção à Paranã","-46.9383010864258","-12.9314002990723","66446","Terrestre. espata verde por dentro e por fora, eventualmente vinácea muito próximo à adnação da espata com o espádice. Estigmas amarelos; Fragmento de floresta de galeria","auto","Southern America","UB0002216","UB0002216",NA,NA,NA,NA,NA,NA,NA
