"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","occurrenceRemarks","imagecode"
"11","2019-10-07 09:18:43-03","UEFS","HUEFS","104908","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","582","2005","11","16","Brasil","Rio Grande do Sul","Quevedos","ca. 2 km de Quevedos na estrada em direção a Toropi.","-54.09","-29.351111","54W5'24''","29S21'4''","374","374","HUEFS0104908",NA,"HUEFS0104908"
"12","2019-10-07 09:18:43-03","UEFS","HUEFS","135188","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","937","2006","11","22","Brasil","Rio Grande do Sul",NA,"Road from Toropi to Jari, after 13.4km is the location.","-54.3575","-29.377778","54W21'27''","29S22'40''","401","401","HUEFS0135188","sandstone / mudstone.","HUEFS0135188"
"13","2019-10-07 09:18:43-03","UEFS","HUEFS","104882","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","555","2005","11","11","Brasil","Rio Grande do Sul","Santana do Livramento","ca. 15.2 km a leste da entrada de Santana do Livramento na BR-293, topo plano de morro em forma de meseta, com encostas íngremes, rochosas.","-55.348889","-30.823889","55W20'56''","30S49'26''","302","302","HUEFS0104882",NA,NA
"14","2019-10-07 09:18:43-03","UEFS","HUEFS","105003","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","677","2005","12","03","Brasil","Rio Grande do Sul","Santana do Livramento","BR-293, 49.2 km a oeste de Dom Pedrito em direção a Santana do Livramento (6 km a leste do entroncamento da BR-293 com a BR-158), afloramentos de granito ao norte da estrada.","-55.134444","-30.811389","55W8'4''","30S48'41''","170","170","HUEFS0105003",NA,"HUEFS0105003"
"15","2019-10-07 09:18:43-03","UEFS","HUEFS","105013","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","687","2005","12","05","Brasil","Rio Grande do Sul","Santana do Livramento","BR-293 de Santana do Livramento em direção a Quaraí, ca. 3.6 km da entrada oeste de Santana do Livramento (8.3 km da entrada leste de Santana do Livramento), dobra-se à direita (norte) em estrada para Cerros Verdes, após 19.4 km afloramento rochoso ao lado da estrada.","-55.518333","-30.713889","55W31'6''","30S42'50''","287","287","HUEFS0105013",NA,"HUEFS0105013"
"16","2019-10-07 09:18:43-03","UEFS","HUEFS","105054","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","728","2005","12","10","Brasil","Rio Grande do Sul","Caxias do Sul","de Criúva pega-se estrada de terra para Mulada, após 2.6 km há uma bifurcação - dobra-se à esquerda, após mais 2.5 km chega-se a um camping, dirija-se até a margem do rio e siga uma trilha à esquerda que margeia o rio seguindo na mesma direção da correnteza. Após ca. 1 km chega.se em uma grande cachoeira em um cânion no rio, com afloramentos e paredões rochosos.","-50.941389","-28.868056","50W56'29''","28S52'5''","704","704","HUEFS0105054",NA,"HUEFS0105054"
"17","2019-10-07 09:18:43-03","UEFS","HUEFS","135156","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","877","2006","11","11","Brasil","Rio Grande do Sul",NA,"at the entrance of Larvas do Sul, take a turn to the right (east) on unpaved road towards Três Passos. After 6.4Km take left at fork. After 9.7Km take left a fork. After 0.5Km is the location.","-53.773056","-30.856389","53W46'23''","30S51'23''","258","258","HUEFS0135156","Granitc rock.","HUEFS0135156"
"18","2019-10-07 09:18:43-03","UEFS","HUEFS","135165","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","890","2006","11","13","Brasil","Rio Grande do Sul","São Sepé","Ca. 13Km to the north of Vila Nova Sul in unpaved road, flat rock outcrops to the right of the road, nearby there is a telecomunications tower.","-53.823611","-30.248333","53W49'25''","30S14'54''","251","251","HUEFS0135165","Sandstone / mudstone.","HUEFS0135165"
"19","2019-10-07 09:18:43-03","UEFS","HUEFS","135191","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","934","2006","11","22","Brasil","Rio Grande do Sul",NA,"Road from Toropi to Jari, after 13.4km is the location.","-54.241944","-29.376389","54W14'31''","29S22'35''","401","401","HUEFS0135191","sandstone / mudstone.","HUEFS0135191"
"20","2019-10-07 09:18:43-03","UEFS","HUEFS","135194","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Parodia","oxycostata","Parodia oxycostata","(Buining & Brederoo) Hofacker","Machado, M.","930","2006","11","21","Brasil","Rio Grande do Sul",NA,"Nova Esperança do Sul. 21.4km southeast of the easternmost entrance to Santiago on the BR 287, take a right turn in the road to Nova Esperança. After 5.9km take left a fork, on unpaved road towards the gruta Nossa Senhora de Fárima. After 2.1km take left at fork. After 1.4km in the location.","-54.763889","-29.392778","54W45'50''","29S23'34''","221","221","HUEFS0135194","sandstone / mudstone.","HUEFS0135194"
