"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","recordNumber","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","class","fieldNumber","typeStatus","relatedCatalogItem","sex"
"11","2019-12-12 15:31:38-03","UFABC","HUFABC","000688","PreservedSpecimen","Plantae","Angiospermas",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Ivanauskas, N",NA,NA,"Amaral, BC; Teixeira-Costa, L","2014","08",NA,"Brasil","São Paulo","São Paulo","Horto Oswaldo Cruz, Horto botânico dentro da área do Instituto Butantan","-46.717222","-23.566667",NA,NA,NA,NA,"-46.717222","-23.566667",NA,NA,NA,"66",NA,NA,"HUFABC000688","HUFABC000688",NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:27:41-03","UFBA","ALCB","73094","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Wanderley, MGL","2007","02","Guedes, ML; Carvalho, G; Valadão, RM; Santos, JS; Alunos de Botânica III","2006","04","30","Brasil","Bahia","Catolés","Chapada Diamantina, Abaíra, subida para a Serra do Barbado","-41.833333","-13.283333",NA,"de ca 1,20m. Folhas rosuladas sem espinhos na margem. Inflorescência com escapo longo vermelho-vináceo. Frutos imaturos.",NA,"27","-41.833333","-13.283333",NA,NA,NA,"12336","Southern America",NA,"ALCB010411","ALCB010411 ALCB010411_1",NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:27:41-03","UFBA","ALCB","107595","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Guedes, ML","2013","06","Guedes, ML; Alunos do PARFOR","2013","01","19","Brasil","Bahia","Morro do Chapéu","Morrão, próximo da Torre.","-41.15","-11.55",NA,"robusta. Folhas formando rosetas, de 56-65cm de comprimento. Inflorescência espiga, com flores dísticas , densamente imbricadas quando jovens.",NA,NA,"-41.15","-11.55",NA,NA,NA,"20301","Southern America",NA,"ALCB035951","ALCB035951",NA,NA,NA,NA,NA,NA
"14","2020-11-04 10:55:10-03","ESALQ","ESA","142038","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Souza, V.C.","2019","02","Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","2015","10","09","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina. Ao longo da estrada de acesso à Pedra da Macela.","-44.815278","-23.141111",NA,"Bromélia terrestre, frutos imaturos verdes.",NA,"12","44°48'55W","23°08'28S","1760","1760",NA,"302.0",NA,NA,"ESA142038",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:03:57-03","ESALQ","ESA","41144","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa",NA,"Coffani-Nunes, J.V.","2007","06","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","1998","04","05","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807","101169",NA,"auto","28",NA,NA,NA,NA,NA,"20963.0",NA,NA,"ESA041144","ESA041144_1 ESA041144_2 ESA041144_3",NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:03:57-03","ESALQ","ESA","35886","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Forzza, R.C.",NA,NA,"Souza, J.P. et al.","1996","12","17","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242","38855",NA,"auto",NA,NA,NA,NA,NA,NA,"1069.0",NA,NA,"ESA035886",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:03:57-03","ESALQ","ESA","84605","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Forster, W.","2003","01","Medeiros, D.A.; Silva, D.G.R.; Damasceno, A.C.F; França, E.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.R.A.","2003","04","19","Brasil","São Paulo","Ribeirão Grande","BLOQUEADO","-48.3600006103516","-24.0900001525879","25028","epífita coletada em borda de mata, brácteas verdes","auto","01",NA,NA,"788","788",NA,"97.0",NA,NA,"ESA084605","ESA084605",NA,NA,NA,NA,NA,NA
"18","2021-02-07 08:35:08-03","MN","R","214783","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,NA,"1977","10","24","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010010963",NA,NA,NA,NA,NA,NA,NA
"19","2021-04-07 17:00:40-03","MN","R","214026","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Moura, R.","2011","07","Moura, R. 492; Vianna-Filho, M.D.M. & Carrijo, T.T.","2008","01","19","Brasil","Espírito Santo","Castelo","estrada de Castelinho para São Bento de Urânia","-40.957939","-20.499594",NA,NA,NA,NA,"40°57'28.58W","20°29'58.54S",NA,NA,NA,NA,NA,NA,"R010010970",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-24 16:39:42-03","MN","R","106775","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Costa, A.","1992",NA,"Castellanos, A.","1959","02","09","Brasil","São Paulo",NA,"Serra da Bocaina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22370",NA,NA,"R010010965",NA,NA,NA,NA,NA,NA,NA
"21","2021-04-07 17:00:40-03","MN","R","116368","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Mello Filho, L.E. 2190; Andrade, A. 2094; Nobre de Mello; Lessa, E. & Medeiros, F.","1966","07","23","Brasil","Minas Gerais",NA,"Pico do Itabirito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010010971",NA,NA,NA,NA,NA,NA,NA
"22","2021-04-07 17:00:40-03","MN","R","214028","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Moura, R.","2011","07","Moura, R. 475; Vianna-Filho, M.D.M. & Carrijo, T.T.","2008","01","17","Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul","-41.019069","-20.399864",NA,NA,NA,NA,"41°1'8.65W","20°23'59.51S","1475","1475",NA,NA,NA,NA,"R010010962",NA,NA,NA,NA,NA,NA,NA
"23","2021-04-07 17:00:40-03","MN","R","214807","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Moura, R. 998; Guimarães, A.R.; Woods, R.; Dummond, R. & Alves, R.J.V.","2010","11","10","Brasil","Rio de Janeiro","Rio Claro","Morro do Bispo","-44.174653","-22.6667",NA,NA,NA,NA,"44°10'28.75W","22°40'0.12S","1200","1200",NA,NA,NA,NA,"R010010964",NA,NA,NA,NA,NA,NA,NA
"24","2021-02-07 08:35:08-03","MN","R","222687","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Costa, A.F. 931; Uribbe, F.P.; Zanella, C.M. & Gonçalves, L.F.","2010","06","01","Brasil","Rio de Janeiro","Rio Claro",NA,"-44.174653","-22.733367",NA,NA,NA,NA,"44°10'28.75W","22°44'0.12S","1200","1200",NA,NA,NA,NA,"R010010966",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-24 16:39:42-03","MN","R","230276","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Almeida, M.M.","2014","12","Almeida, M.M. 227; Santos, S. & Mendes, A.","2014","12",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçú, REGUA","-42.747972","-22.389278",NA,NA,NA,NA,"42°44'52.7W","22°23'21.4S","958","958",NA,NA,NA,NA,"R010034402,R010034403,R010034404",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-24 16:39:42-03","MN","R","32319","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Foster, M.B.",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"Herbario M.B. Foster nº 37",NA,NA,NA,NA,NA,NA,NA,"37",NA,NA,"R010010976",NA,NA,NA,NA,NA,NA,NA
"27","2021-02-07 08:35:08-03","MN","R","214022","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Moura, R.","2008","01","18","Brasil","Espírito Santo","Castelo",NA,"-41.184700012207","-20.6035995483398","23588",NA,"auto",NA,NA,NA,NA,NA,NA,"482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-07 08:35:08-03","MN","R","214019","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Moura, R.","2008","06","02","Brasil","Minas Gerais","Araponga",NA,"-42.5208015441895","-20.6667003631592","16385",NA,"auto",NA,NA,NA,NA,NA,NA,"581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-07 08:35:08-03","MN","R","214021","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Moura, R.","2008","01","05","Brasil","Rio de Janeiro","Guapimirim",NA,"-42.9818992614746","-22.5372009277344","21463",NA,"auto",NA,NA,NA,NA,NA,NA,"447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-07 08:35:08-03","MN","R","214020","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Moura, R.","2008","05",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648",NA,"auto",NA,NA,NA,NA,NA,NA,"579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-07 08:35:08-03","MN","R","214016","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Moura, R.","2008","12","29","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344","38539",NA,"auto",NA,NA,NA,NA,NA,NA,"446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-07 08:35:08-03","MN","R","214015","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Moura, R.","2008","04","02","Brasil","São Paulo","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363","21048",NA,"auto",NA,NA,NA,NA,NA,NA,"551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-07 08:35:08-03","MN","R","218907","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Alves, R.J.V.","2006","06","07","Brasil","São Paulo","Santos",NA,"-46.3300018310547","-23.9599990844727","26836",NA,"auto",NA,NA,NA,NA,NA,NA,"7791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-24 16:39:42-03","MN","R","213288","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Somner, G.V.; et al.","1994","02","10","Brasil","Rio de Janeiro","Nova Iguaçu","estrada para Boa-Esperança, após a entrada (portão) da Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561","25743","Universidade Federal Rural do Rio de Janeiro - RBR 22219","auto",NA,NA,NA,NA,NA,NA,"786",NA,NA,"R010010974",NA,NA,NA,NA,NA,NA,NA
"35","2021-04-07 17:00:40-03","MN","R","213344","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Kessous, I.M.",NA,NA,"Kessous, I.M. 35; Neves, B.; Uribbe, F.P.; Schittini, C. & Gonçalves, L.F.","2012","09","05","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos.","-42.9655990600586","-22.4122009277344","38539",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010010975",NA,NA,NA,NA,NA,NA,NA
"36","2021-04-07 17:00:40-03","MN","R","233596","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Kessous, I.M.","2014","11","Kessous, I.M. 179; Rossini, J. & Lírio E.J.","2014","11","19","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos.","-42.9655990600586","-22.4122009277344","38539",NA,"auto","19",NA,NA,NA,NA,NA,NA,NA,NA,"R010049103","R010049103",NA,NA,NA,NA,NA,NA
"37","2021-02-07 08:35:08-03","MN","R","232904","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Gomes-da-Silva, J.","2010","08","25","Brasil","Rio de Janeiro","Petrópolis","Parque Nacional da Serra dos Orgãos, trilha para o Véu da Noiva.","-43.1786003112793","-22.5049991607666","36524",NA,"auto",NA,NA,NA,NA,NA,NA,"83",NA,NA,"R010043426",NA,NA,NA,NA,NA,NA,NA
"38","2019-02-15 11:35:41-02","IPA","IPA","16481","S","Plantae","Plantae",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Smith, L.B.","1970","08","Andrade-Lima","1968","02","16","Brasil","Ceará",NA,"Alto da Serra de Pacatuba. Sitio Pitaguari. Sobre ramos altos, expostos ao sol, de Myrtaceae arborea(12-15M de altura).",NA,NA,NA,"Bract. am. acastanh.",NA,NA,NA,NA,NA,NA,NA,"68-5280","Southern America",NA,"IPA0016481",NA,NA,NA,NA,NA,NA,NA
"39","2019-02-15 11:35:41-02","IPA","IPA","28941","S","Plantae","Plantae",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Siqueira-Filho, J.A.","1998","03","Andrade-Lima","1972","06","01","Brasil","Ceará",NA,"Serra do Baturité",NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,"72-6893","Southern America",NA,"IPA0028941",NA,NA,NA,NA,NA,NA,NA
"40","2019-02-15 11:35:41-02","IPA","IPA","28942","S","Plantae","Plantae",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Siqueira-Filho, J.A.","1998","03","Andrade-Lima","1972","06","01","Brasil","Ceará",NA,"Serra do Baturité, Serra do Baturité.",NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,"72-6893","Southern America",NA,"IPA0028942",NA,NA,NA,NA,NA,NA,NA
"41","2019-02-15 11:35:41-02","IPA","IPA","45552","S","Plantae","Plantae",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Siqueira-Filho, J.A.","1998","03","Andrade-Lima","1972","02","28","Brasil","Pernambuco","Taquaritinga do Norte","Sítio Cafundó","-36.0442008972168","-7.90305995941162","25558",NA,"auto","05",NA,NA,NA,NA,NA,"72-8275","Southern America",NA,"IPA0045552",NA,NA,NA,NA,NA,NA,NA
"42","2019-02-15 11:35:41-02","IPA","IPA","45553","S","Plantae","Plantae",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra","Siqueira-Filho, J.A.","1998","03","Andrade-Lima","1972","02","28","Brasil","Pernambuco","Taquaritinga do Norte","Sítio Cafundó","-36.0442008972168","-7.90305995941162","25558",NA,"auto","05",NA,NA,NA,NA,NA,"72-8275","Southern America",NA,"IPA0045553",NA,NA,NA,NA,NA,NA,NA
"43","2020-12-20 21:16:28-03","UFV","VIC","32748","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Pereira, T A R; et al.","2010","01","27","Brasil","Minas Gerais","Araponga","Pico do Grama, Setor sede do Parque Estadual da Serra do Brigadeiro","-42.5208015441895","-20.6667003631592","16385","Planta terrestre/epífita, escapo+ inflorescência aprox. 1 m, mucilagem nas brácteas escapais e florais.","auto",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,"VIC032748","VIC032748",NA,NA,NA,NA,NA,NA
"44","2020-12-20 21:16:28-03","UFV","VIC","32747","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Pereira, T A R; Guimarães, C. .F.","2009","12","18","Brasil","Minas Gerais","Araponga","trilha do Pico do Boné, Parque Estadual da Serra do Brigadeiro","-42.5208015441895","-20.6667003631592","16385","Epífita, sobre tronco caído, escapo + inflorescência atingindo aprox. 1,2 m.","auto",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,"VIC032747","VIC032747 VIC032747_1",NA,NA,NA,NA,NA,NA
"45","2020-12-20 21:16:28-03","UFV","VIC","23658","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Paula, C.C. de; Goldschmidt, A.","1999","06","30","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Pico do Itacolomi","-43.5080986022949","-20.2875003814697","44599","Plantas epífitas ou rupícolas. Em frutificação; poucas plantas com inflorescência.","auto",NA,NA,NA,"1700","1700",NA,"7",NA,NA,"VIC023658","VIC023658",NA,NA,NA,NA,NA,NA
"46","2020-12-20 21:16:28-03","UFV","VIC","15689","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Paula, C.C. de","1995","12","23","Brasil","Minas Gerais",NA,"PESB. Serra do Brigadeiro, Fazenda do Brigadeiro, margem do córrego do ouro",NA,NA,NA,"Epífita, esciófila isolada, inflorescência marrom brilhosa com abundante secreção junto à flor.",NA,NA,NA,NA,"1300","1300",NA,"1108",NA,NA,"VIC015689","VIC015689",NA,NA,NA,NA,NA,NA
"47","2020-12-20 21:16:28-03","UFV","VIC","3969","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Alvim, P.","1941","11","01","Brasil",NA,NA,"Fazenda Estouro",NA,NA,NA,"Epífita, flor vermelha, folhas basilares c/ 0,5 m",NA,NA,NA,NA,"1200","1200",NA,"s.n.",NA,NA,"VIC003969","VIC003969",NA,NA,NA,NA,NA,NA
"48","2020-12-20 21:16:28-03","UFV","VIC","32754","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Pereira, T A R; Pasini, S. .D.","2009","06","25","Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, Sede do Parque, próximo à casa de hóspedes","-42.5208015441895","-20.6667003631592","16385","Planta terrestre, escapo+inflorescência atingindo aproximadamente 1m.","auto",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,"VIC032754","VIC032754",NA,NA,NA,NA,NA,NA
"49","2020-12-20 21:16:28-03","UFV","VIC","23657","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"Paula, C.C. de; Goldschmidt, A.","1999","06","30","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi (PEI), Serra do Itacolomi","-43.5080986022949","-20.2875003814697","44599","Planta rupícola, epífitas ou saxícolas. Folhas com tonalidade de esverdeada a avermelhada. Plantas em fase de frutificação, liberando sementes. Plano da inflorescência disperso no sentido leste-oeste. Colônias numerosas, com ca. De trê","auto",NA,NA,NA,"1500","1500",NA,"3",NA,NA,"VIC023657","VIC023657",NA,NA,NA,NA,NA,NA
"50","2020-12-20 21:16:28-03","UFV","VIC","15683","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa minor","L. B. Smith",NA,NA,NA,"Paula, C.C. de","1995","12","23","Brasil","Minas Gerais",NA,"PESB. Serra do Brigadeiro, Fazenda do Brigadeiro, margem do córrego do ouro",NA,NA,NA,"Epífita, esciófila isolada, inflorescência marrom brilhosa com abundante secreção junto à flor. (cultivada no horto botânico da UFV)",NA,NA,NA,NA,"1300","1300",NA,"1076",NA,NA,"VIC015683","VIC015683","minor",NA,NA,NA,NA,NA
"51","2019-11-21 14:32:59-03","UFJF","CESJ","60386","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra",NA,NA,NA,"F.C. Favoreto; Pereira; R.M; João","2012","07","20","Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama","-41.369389","-20.680056",NA,"Epífita, meia-sombra à margem da estrada do Canta Galo. Folhas verdes com ponto negro na ponta. Escapo verde, brácteas do escapo verdes com ápice negro. Raque, brácteas florais e sépalas totalmente verdes. Pétalas amarelas.",NA,NA,"-41.369389","-20.680056","420","420",NA,"184","América do Sul",NA,"CESJ060386",NA,NA,NA,NA,NA,NA,NA
