"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","locality","occurrenceRemarks","barcode","recordNumber","day","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","coordinatePrecision","geoFlag","class","order","typeStatus","individualCount"
"11","2019-11-21 14:32:59-03","UFJF","CESJ","47652","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","C.N. Matozinhos",NA,NA,NA,"N.L. Abreu; L. Menini Neto; C.N. Matozinhos; F.S. Souza","2006","07","Brasil","Minas Gerais","Serra Negra, Burro de Ouro.","Rupícola no campo, face adaxial da folha verde, bainha vinácea, flores amarelas.","CESJ047652","107","27",NA,"Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Angiosperma","América do Sul","20815","auto",NA,NA,NA,NA
"12","2019-11-21 14:32:59-03","UFJF","CESJ","46727","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","T.Trindade","2007","09","28","F.S. Souza; P.L. Viana; N.L. Abreu; L. Menini Neto; C.N. Matozinhos; T. Mota; T.U.P. Konno","2006","01","Brasil","Minas Gerais","Serra Negra, Burro de Ouro.","Planta rupícola em campo graminoso.","CESJ046727","134","21",NA,"Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Angiosperma","América do Sul","20815","auto",NA,NA,NA,NA
"13","2019-11-21 14:32:59-03","UFJF","CESJ","58856","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.",NA,"2011","09",NA,"R.J.V. Alves; N.L. Abreu","2011","09","Brasil","Minas Gerais","Serra Negra, crista da serra, região do Burro de Ouro","sobre rocha, encosta norte","CESJ058856","8802",NA,NA,"Rio Preto","-43.8278007507324","-22.0891990661621",NA,NA,NA,NA,"Angiosperma","América do Sul","20815","auto",NA,NA,NA,NA
"14","2020-12-21 16:19:33-03","MBM","MBM","277099","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B. Sm.","Pifano, D.S.",NA,NA,NA,"R.C.; et al.; et al.","2002","11","Brazil","Minas Gerais","Parque Estadual do Ibitipoca",NA,"MBM277099","s.n.","19","MBM277099","Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,NA,"Southern America","30417","auto",NA,NA,NA,NA
"15","2020-12-11 11:43:35-03","UFMG","BHCB","63481","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis",NA,NA,NA,NA,NA,"Krieger, L",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"9298",NA,NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Monocotyledon","Southern America","30417","auto",NA,NA,NA,NA
"16","2020-12-11 11:43:35-03","UFMG","BHCB","13727","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis",NA,NA,NA,NA,NA,"Souza, HC","1987","10","Brasil","Minas Gerais","Parque Est. do Ibitipoca entre o Cruzeiro e a Lombada",NA,NA,"s.n.","08",NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Monocotyledon","Southern America","30417","auto",NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","2519307","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B. Sm.",NA,NA,NA,NA,"C. A. W. Schwacke","1896","8","Brazil","Minas Gerais","Summit of Mount Serrinha near Ibitipoca.",NA,"US00091162","12296",NA,"US00091162_01",NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Monocotyledonae","Bromeliales","Isotype","1"
"18","2019-11-21 10:02:50-03","IBt","SP","392004","S","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","Versieux, LM","2007","01",NA,"Versieux, LM; Calvente, AM; Trindade, T","2007","01","Brasil","Minas Gerais","Parque Estadual do Ibitipoca","Prensado em álcool. DNA amostrado.","SP053345","345","13","SP053345","Lima Duarte","-43.879139","-21.698361","-43.879139","-21.698361","1428","1428",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:02:50-03","IBt","SP","392005","S","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","Versieux, LM","2007","01",NA,"Versieux, LM; Calvente, AM; Trindade, T","2007","01","Brasil","Minas Gerais","Parque Estadual do Ibitipoca","Prensado em álcool. DNA amostrado.","SP053344","346","13","SP053344","Lima Duarte","-43.879139","-21.698361","-43.879139","-21.698361","1428","1428",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:02:50-03","IBt","SP","391956","S","Plantae","Bromeliaceae","Vriesea","cacuminis","Vriesea cacuminis","L.B.Sm.","Monteiro, RF","2004","02",NA,"Monteiro, RF; et al.","2003","10","Brasil","Minas Gerais","Parque Estadual do Ibitipoca, Trilha para o Pico do Pão, na borda da mata da Gruta do Peão.",NA,"SP053346","1","18","SP053346","Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA
