"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","typeStatus","relatedCatalogItem"
"11","2019-11-01 15:28:22-03","PUC-RIO","FCAB","1742","PreservedSpecimen","Plantae",NA,"Angiospermae","Malpighiaceae","Banisteria","sepium","Banisteria sepium","Mart.","P. Capell S.J.","P. Capell S.J.","s.n.","1953","05","16",NA,"Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,"001742",NA,NA,NA,NA,NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA
"12","2019-11-01 15:28:22-03","PUC-RIO","FCAB","3676","PreservedSpecimen","Plantae",NA,"Angiospermae","Malpighiaceae","Banisteria","sepium","Banisteria sepium","Mart.","J.C. Siqueira","J.C. Siqueira","2090","1985","12","07",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Parque Furnas do Catete","-42.5311012268066","-22.2819004058838",NA,"Trepadeira.","003676",NA,NA,NA,"1985","12",NA,NA,NA,"33190","auto",NA,NA,NA,NA
"13","2016-06-21 12:35:00-03","MO","MOBOT","100914192","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A. Juss.) W.R. Anderson & C. Davis","A.M. Amorim","W. Wayt Thomas|Sérgio C. de Sant'Ana","Thomas 12501","2001","5","18","South America","Brazil","Bahia","Boa Nova","Fazenda Cotermaia (owner Alipe Maia) entrance 1.2 km E of Boa Nova on road to Dario Meira.","-40.1833333","-14.3666667",NA,NA,NA,NA,"810.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"14","2019-02-07 15:13:00-02","MO","MOBOT","3283911","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A. Juss.) W.R. Anderson & C. Davis",NA,"W. Wayt Thomas","Thomas 12645","2001","10","25","South America","Brazil","Bahia",NA,"Mun. Boa Nova: Fazenda Cotermaia (owner Alipe Maia); entrance 1.2 km E of Boa Nova on road to Dario Meira.","-40.1833333","-14.3666667",NA,NA,NA,NA,"790.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"15","2019-11-13 11:24:29-03","USP","SPF","229705","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A.Juss.) W.R.Anderson & C.Davis","Amorim, AMA","Thomas, WW","s.n.","2001","10","25",NA,"Brasil","Bahia","Boa Nova",NA,"-40.191917","-14.377472",NA,NA,"SPF00229705",NA,"790","790","2019",NA,NA,"-40.191917","-14.377472",NA,NA,NA,NA,NA,NA
"16","2019-10-07 09:31:58-03","UEFS","HUEFS","42560","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Diplopterys","sepium","Diplopterys sepium","(A.Juss.) W.R.Anderson & C.C.Davis","P.D.Carvalho","Melo, E.","3215","1999","12","05",NA,"Brasil","Bahia","Lagedo do Tabocal","Ca. 7 km W da sede do município na estrada para Maracás. Entre as fazendas de Sinhô e a de Alírio.","-40.281111","-13.4825",NA,"Mata de cipó antropizada.","HUEFS0042560","HUEFS0042560","845","845","2006","08",NA,"40W16'52''","13S28'57''",NA,NA,NA,"Rosanae",NA,NA
"17","2019-09-04 20:00:53-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Banisteria","sepium","Banisteria sepium",NA,NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Holotype",NA
"18","2020-07-23 12:11:17-03","CEPLAC","CEPEC","1293","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","R. P. Belém","1219","1965","06","25",NA,"Brasil","Bahia",NA,"Rod. BR-4, 60Km a N da divisa com o estado de Minas Gerais.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/02/2012"
"19","2020-07-23 12:11:17-03","CEPLAC","CEPEC","89596","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","W. W. Thomas","12501","2001","05","18",NA,"Brasil","Bahia","BOA NOVA","Faz. Cotermaia (Sr. Alipio Maia) entrada a E de Boa Nova Rod. para Dário Meira.","-40.183333","-14.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W11'","14S22'",NA,NA,NA,NA,NA,"30/12/2012"
"20","2020-07-23 12:11:17-03","CEPLAC","CEPEC","92026","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","W. W. Thomas","12645","2001","10","25",NA,"Brasil","Bahia","BOA NOVA","Fazenda Cotermaia (Alipio Maia), entroncamento 1,2Km a E de Boa Nova, Rod. para Dário Meira.","-40.183333","-14.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W11'","14S22'",NA,NA,NA,NA,NA,"30/12/2003"
"21","2020-07-23 12:11:17-03","CEPLAC","CEPEC","95974","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","P. Fiaschi","1418","2003","03","08",NA,"Brasil","Bahia","BOA NOVA","Fazenda Cotermaia (Prop. Alipe Maia), entrada à esq., ca. 1,2Km a E de Boa Nova, na estrada para Dário Meira.","-40.1875","-14.373611",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W11'15","14S22'25",NA,NA,NA,NA,NA,"30/12/2012"
"22","2020-07-23 12:11:17-03","CEPLAC","CEPEC","96567","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","E. de Melo","3215","1983","01","08",NA,"Brasil","Bahia","LAGEDO DO TABOCAL","Ca. 7Km a W da sede do município na estrada para Maracás. Entre as Fazs. De Sinhô e a Alirio.","-40.281111","-13.4825",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W16'52","13S28'57",NA,NA,NA,NA,NA,"30/12/2012"
"23","2020-07-23 12:11:17-03","CEPLAC","CEPEC","16056","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","T. S. dos Santos","3446","1979","02","13",NA,"Brasil","Bahia","ITIRUÇÚ","Km 18 Rod. Itiruçú/Maracás (BA-554).","-40.1502990722656","-13.5317001342773",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","22271","auto",NA,NA,NA,"30/12/2012"
"24","2020-07-23 12:11:17-03","CEPLAC","CEPEC","5184","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","J. A. de Jesus","401","1969","05","21",NA,"Brasil","Bahia","ITIRUÇÚ","Saída de Itiruçu/Maracás.","-40.1502990722656","-13.5317001342773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22271","auto",NA,NA,NA,"30/12/2012"
"25","2020-07-23 12:11:17-03","CEPLAC","CEPEC","15302","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Diplopterys","sepium","Diplopterys sepium",NA,"A. M. Amorim","S. A. Mori","11148","1978","11","18",NA,"Brasil","Bahia","MARACÁS","Rod. BA-250, 13-25Km a E de Maracás.","-40.4308013916016","-13.4411001205444",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0","50558","auto",NA,NA,NA,"30/12/2012"
