"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"11","2021-03-30 12:37:19-03","EAO","IAN","141624","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Pires, JM","13809","1972","12",NA,"Southern America","Brasil","Pará",NA,"Levantamento Florestal Itaituba-Santarém.&nf;Árvore nº 39-1-12.",NA,NA,NA,NA,"IAN141624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:37:19-03","EAO","IAN","162614","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Oliveira, E; César, R","7218","1985","05",NA,"Southern America","Brasil","Pará","Belém","Bosque Rodrogues Alves. Mata alta de terra firme.&nf;Proj. de identificação, mapeamento e enriquecimento da vgetação arbórea do Bosque Rodrigues Alves.","-48.483333","-1.433333",NA,"Árvore de 13m de altura, por 2,120mm de circunferência.","IAN162614",NA,NA,NA,NA,NA,"Oliveira, E","1985","08","-48.483333","-1.433333",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:37:19-03","EAO","IAN","72747","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Maguire, B; Politi, L","27370","1948","11","24","Southern America","Venezuela",NA,NA,"Dense low elevation forests, vicibnity Base Camp.&nf;Cerro Sipapo (Paráque, Territorio Amazonas.",NA,NA,NA,"Buttressed tree 30 m high, 40 cm diameter.","IAN072747",NA,NA,NA,NA,NA,"Alwan, AA","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-08 17:38:11-03","EAO","IAN","XILO5704X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","sc","s.n.","1992","08","31","Southern America","Brasil","Pará",NA,"Jari",NA,NA,NA,NA,"IANXILO5704X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-08 17:38:11-03","EAO","IAN","XILO5704X","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","sc","s.n.","1992","08","31","Southern America","Brasil","Pará",NA,"Jari",NA,NA,NA,NA,"IANXILO5704X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:37:19-03","EAO","IAN","59738","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Fróes, RL","26580","1950","09","10","Southern America","Brasil","Amazonas","Manaus","Rio Tarumã; terra firme, alta; floresta alta.","-60.0250015258789","-3.10193991661072",NA,"Árvore de 18m x 40cm.","IAN059738",NA,NA,NA,"138090","auto","Stace, CA","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:37:19-03","EAO","IAN","52918","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Guedes, TN","233","1950","01","07","Southern America","Brasil","Pará","Belém","Bosque Municipal.","-48.5043983459473","-1.4558299779892",NA,"Árvore de 18 metros.","IAN052918",NA,NA,NA,"48462","auto","Stace, CA","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:37:19-03","EAO","IAN","169468","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Cordeiro, MR","4606","1999","09","29","Southern America","Brasil","Pará","Belém","Bosque Rodrigues Alves; terra firme. Inventário de 1998. Árvore B-2977.","-48.5043983459473","-1.4558299779892",NA,NA,"IAN169468",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:37:19-03","EAO","IAN","169547","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Cordeiro, MR","4685","1999","09","30","Southern America","Brasil","Pará","Belém","Bosque Rodrigues Alves; terra firme. Inventário de 1998. Árvore B-3632.","-48.5043983459473","-1.4558299779892",NA,NA,"IAN169547",NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:37:19-03","EAO","IAN","52924","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Guedes, TN","239","1950","01","08","Southern America","Brasil","Pará","Belém","Cafezal do IAN; terra firme.","-48.5043983459473","-1.4558299779892",NA,"Árvore grande.","IAN052924",NA,NA,NA,"48462","auto","Stace, CA","1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:37:19-03","EAO","IAN","163644","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Cordeiro, MR","2043","1986","11","10","Southern America","Brasil","Pará","Belém","Mata de terra firme.&nf;Embrapa, Reserva Mocambo, linha 06-22.","-48.5043983459473","-1.4558299779892",NA,"Árvore de 12m de altura, estéril.","IAN163644",NA,NA,NA,"48462","auto","Cordeiro, MR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-08 17:38:11-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Nascimento, MP do; Hopkins, MJG; Carvalho, ACM; Lima, APR de; Ribeiro, JS; Santos, IS","s.n.","2003","10","08","Southern America","Brasil","Pará","Belterra","Rodovia Santarém-Cuiabá, Km 83., B-6.","-54.937198638916","-2.63638997077942",NA,"Árvore; base com sapopemas finas; tronco cilindrico; ritidoma marrom claro, presença de musgos; casca morta marrom; casca viva amarela; alburno creme; cheiro doce.",NA,NA,NA,NA,"74752","auto","Cordeiro, MR","2003","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:37:19-03","EAO","IAN","179618","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Pereira, JR; RA","47","2004","04","24","Southern America","Brasil","Pará","Paragominas","Fazenda Andiroba. T6-Q3. Mata primária de solo arenoso.","-47.3527984619141","-2.99583005905151",NA,"Árvore de 30m de altura, base com sapopemas com 2m de altura. Ritidoma marrom com lenticelos cinza, casca marrom claro.","IAN179618",NA,NA,NA,"186685","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:37:19-03","EAO","IAN","168812","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Cordeiro, MR; Moraes, NJ","3991","1999","06","16","Southern America","Brasil","Pará","Santarém","Reserva Curuá-Una, Parque Fenológico. Mata alta de terra firme.","-54.7083015441895","-2.44305992126465",NA,NA,"IAN168812",NA,NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:37:19-03","EAO","IAN","168759","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Cordeiro, MR; Moraes, NJ","3938","1999","06","15","Southern America","Brasil","Pará","Santarém","Reserva Curuá-Una, Parque Fenológico. Mata alta de terra firme.","-54.7083015441895","-2.44305992126465",NA,NA,"IAN168759",NA,NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:37:19-03","EAO","IAN","168669","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Cordeiro, MR","3848","1999","04","20","Southern America","Brasil","Pará","Santarém","Reserva Curuá-Una, Parque Fenológico. Mata alta de terra firme.","-54.7083015441895","-2.44305992126465",NA,NA,"IAN168669",NA,NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 10:01:17-03","NBC","NL-BOTANY","L.3747969","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Dulmen A van",NA,"1993","03","06","Southern America","Colombia","Amazonas",NA,"Colombia, Caqueta, Zone Araracuara. Bosque secundarias en terraza y varzea. Orilla norte del rio Caqueta.","-72.383333","-0.616667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3747969 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3747969","NL-L3747969",NA,NA,NA,NA,NA,NA,NA,"-72.383333","-0.616667","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"28","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U 0001187","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Ducke A",NA,"1922","09","23","Southern America","Brazil","Pará",NA,"Rio Tapajoz (civ. Pará) loeo Villa Braga",NA,NA,NA,"silva non inundata<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001187 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001187","NL-U0001187",NA,NA,NA,NA,"Stace CA",NA,NA,NA,NA,"Magnoliopsidae","isolectotype","63539",NA,NA,NA,NA
"29","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223782","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Dulmen A van",NA,"1993","03","06","Southern America","Colombia","Amazonas",NA,"Colombia, Caqueta, Zone Araracuara. Bosque secundarias en terraza y varzea. Orilla norte del rio Caqueta.","-72.383333","-0.616667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223782","NL-U1223782",NA,NA,NA,NA,NA,NA,NA,"-72.383333","-0.616667","Magnoliopsidae",NA,"U 0025509 | 83444",NA,NA,NA,NA
"30","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223816","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Pacheco M; Palheta E; Souza S de",NA,"1989","01","11","Southern America","Brazil",NA,NA,"Amazonas: Destrito Agropecuario,Reserva 1501 of the WWF? INPA MCS project.","-59.740833","-2.413083",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223816 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223816","NL-U1223816",NA,NA,NA,NA,NA,NA,NA,"-59.740833","-2.413083","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"31","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223817","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Prance GT; Rodrigues WA; Ramos JF; Farias LG",NA,"1968","11","17","Southern America","Brazil",NA,NA,"Brazilian Amazonia. Territory of Rondonia. Basin of Rio Madeira. N. Bank of Rio Abuna. Above Fortaleza.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223817","NL-U1223817",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"32","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223818","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Prance GT; Rodrigues WA; Ramos JF; Farias LG",NA,"1968","11","24","Southern America","Brazil",NA,NA,"Brazilian Amazonia. territory of Rondonia. Basin of Rio Madeira. Road Mutumparana to Porto Velho, east of Mutumparana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223818","NL-U1223818",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"33","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223819","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Ducke A",NA,"1933","06","14","Southern America","Brazil",NA,NA,"Procedencia mandos (Amymas), estado de Alecio sibra non inmardable.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223819 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223819","NL-U1223819",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"34","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223820","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Assunção PACL",NA,"1997","01","17","Southern America","Brazil","Amazonas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223820 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223820","NL-U1223820",NA,NA,NA,NA,"Ferreira NM","1998","04",NA,NA,"Magnoliopsidae",NA,"U 0020819","01",NA,NA,NA
"35","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223822","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Oldeman RAA",NA,"1969","07","05","Southern America","French Guiana",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223822","NL-U1223822",NA,NA,NA,NA,"Mori SA",NA,NA,NA,NA,"Magnoliopsidae",NA,"U 0137940",NA,NA,NA,NA
"36","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223823","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Henkel TW; Williams (Guyana) R; James V",NA,"1993","10","03","Southern America","Guyana","Upper Takutu-Upper Essequibo",NA,"U. Takutu-U. Essequibo region, Upper Essequibo river, 1-4 km upstream from mouth of Kuyuwini river, E. and W of banks.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223823 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223823","NL-U1223823",NA,NA,NA,NA,"Stace CA",NA,NA,NA,NA,"Magnoliopsidae",NA,"U 0146170",NA,NA,NA,NA
"37","2020-02-08 10:01:17-03","NBC","NL-BOTANY","U.1223821","PreservedSpecimen","Plantae",NA,"Myrtales","Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Assunção PACL",NA,"1996","09","17","Southern America","Brazil","Amazonas",NA,NA,"-59.966667","-2.883333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223821 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223821","NL-U1223821",NA,NA,NA,NA,"Ferreira NM","1998","04","-59.966667","-2.883333","Magnoliopsidae",NA,"U 0062968","01",NA,NA,NA
"38","2019-11-21 14:33:25-03","UFJF","CESJ","47410","PreservedSpecimen","Plantae","Angiosperma",NA,"Combretaceae","Buchenavia","rabelloana","Buchenavia rabelloana","Mattos","K. Antunes; M. Sobral; N.L. Abreu; L. Menini Neto; P.L. Viana; F.S. Souza","228","2006","04","17","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Estrada de acesso para o Funil","-43.8278007507324","-22.0891990661621",NA,"Árvore, beira de estrada próximo a um paredão rochoso. Flores e botões creme-amarelados","CESJ047410",NA,NA,NA,"20815","auto","N.MArquete","2008","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:28:28-03","UNICAMP","UEC","113257","S","Plantae","Magnoliopsida",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Ribeiro, JELS; Pereira, EC; Assunção, PACL","1657","1995","06","19",NA,"Brazil","Amazonas","Manaus","Manaus-Itacoatiara Reserva Florestal Ducke, Km 26","-59.966667","-2.883333",NA,"Floresta Platô. Árvore. Solo argiloso. 25 alt. DAP=25cm. Caule cilíndrico. Sapopemas côncovas, A>C (1,0m x 0,8m), ramificadas. Ritidoma marron-claro (cor de terra), estriado, frágil, desprendimento em placas papiráceas, quase retangula","UEC098576","UEC098576",NA,NA,NA,NA,"Ribeiro, JELS",NA,NA,"-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:28:28-03","UNICAMP","UEC","28595","S","Plantae","Magnoliopsida",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Aloísio, J","174","1968","09","24",NA,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Local pique 3 canto com o pique 13, próximo à estrada do Acará. Mata de terra firme; solo argiloso. TANIMBUCA FOLHA MIUDA",NA,NA,NA,"Árvore de 16m de altura x 20cm de diâmetro.","UEC098575","UEC098575",NA,NA,NA,NA,"Rodrigues, W","1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:28:28-03","UNICAMP","UEC","33041","S","Plantae","Magnoliopsida",NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Aloísio, J","273","1969","05","08",NA,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, HB-1; Mata de terra firme; solo argiloso.",NA,NA,NA,"Árvore de 15m de altura x 20cm de diâmetro; frutos novos. TANIMBUCA","UEC098578","UEC098578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:28:28-03","UNICAMP","UEC","87475","S","Plantae","Magnoliopsida",NA,"Combretaceae","Buchenavia","rabelloana","Buchenavia rabelloana","Mattos","Kuhlmann, M","4335","1958","03","15",NA,"Brazil","São Paulo","Salesópolis","Boracéia","-45.8400001525879","-23.5300006866455",NA,"arbusto","UEC106017","UEC106017",NA,NA,"18032","auto","Marquete, N","2001","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-06-25 17:37:11-03","UNEMAT","HERBAM","0282","S","Plantae",NA,NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","Soares, C.R.A.; Rodrigues, L.; Cabral, F.F.; Pedroga, J.A.; Piva, J.H.; Ribeiro, I.L.; Duarte, J","2839","2010","08","01",NA,"Brasil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino","-55.198299407959","-9.95028018951416",NA,NA,"HERBAM000282",NA,NA,NA,"93610","auto","Soares, CRA; Pedroga, JA; Piva, JH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-06-25 17:37:11-03","UNEMAT","HERBAM","19573","S","Plantae",NA,NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","ZORTÉA, M.; Rocha Filho, J. .A. & Da Silva, D. .R.","288","2017","07","07",NA,"Brasil","Mato Grosso","Alta Floresta","Fazenda Serra Azul, Cerrado (lato sensu), fisionomia florestal (Cerradão). Região de transição entre Cerrado e Amazônia.","-56.0861015319824","-9.87555980682373",NA,NA,"HERBAM019573",NA,NA,NA,"109392","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-06-25 17:37:11-03","UNEMAT","HERBAM","19573","S","Plantae",NA,NA,"Combretaceae","Buchenavia","parvifolia","Buchenavia parvifolia","Ducke","ZORTÉA, M.; Rocha Filho, J. .A. & Da Silva, D. .R.","288","2017","07","07",NA,"Brasil","Mato Grosso","Alta Floresta","Fazenda Serra Azul, Cerrado (lato sensu), fisionomia florestal (Cerradão). Região de transição entre Cerrado e Amazônia.","-56.0861015319824","-9.87555980682373",NA,NA,"HERBAM019573",NA,NA,NA,"109392","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
