grupo,familia,especie_autor,genero,epiteto_especifico,taxon_rank,epiteto_infraespecifico,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_cr_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,fontes,id,accepted_name,taxon_status,especie,threat_status,notes,original_search,occurrence,name_status,notas_dupl,especies_originais
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Hibiscus linearis,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,EX,EX,NA,NA,NA,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,not found,Hibiscus urticifolius,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Holocheilus schulzii,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Hypericum cordiforme var. Kleinii,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,VU,NA,NA,NA,VU,NA,sima-SP_oficial-mpoSP,NA,NA,NA,NA,NA,check +1 accepted,Maytenus ilicifolia,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Ossaea australis,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Paepalanthus melaleucus var. epilosus,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Parodia schumanniana,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,EX,EX,NA,NA,NA,NA,NA,sima-SP_oficial,NA,NA,NA,NA,NA,not found,Peperomia cooperi,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Peperomia sessilifolia,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Poikilacanthus guillesii,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Portulaca cryptopetala var. poellniztiana,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Rhipsalis hileiabaiana subsp. hileiabaiana,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Schwenckia grandiflora var. hatschbachiana,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EX,NA,mpoSP,NA,NA,NA,NA,NA,not found,Spananthe Jacq.,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Syngonanthus caulescens var. epapillosus,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Trichilia lepidota var. schumanniana,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sima,NA,NA,NA,NA,NA,not found,Zexmenia viguerioides,NA,NA,,Achimenes ichtyostoma;Aeschynomene montevidensis var. microphylla;Alternanthera malmeana;Aniba rosaeodora;Athyrium filix-femina;Austroblechnum lechleri;Begonia diaphones;Begonia glabrescens;Begonia klydophylla;Begonia succulenta;Begonia tibagiensis;Cedrela angustifolia;Chaetoclamys psammina;Dyckia commixta;Dyckia julianae;Echinodorus rhombifolia;Elaphoglossum jamesonii;Enhydra sessilis;Epidendrum polyanthum;Erythrophyllastrum andinum;Evolvulus elegans subsp. confertifolius;Ficus velutina;Hibiscus linearis;Hibiscus urticifolius;Holocheilus schulzii;Hypericum cordiforme var. Kleinii;Maytenus ilicifolia;Ossaea australis;Paepalanthus melaleucus var. epilosus;Parodia schumanniana;Peperomia cooperi;Peperomia sessilifolia;Poikilacanthus guillesii;Portulaca cryptopetala var. poellniztiana;Rhipsalis hileiabaiana subsp. hileiabaiana;Schwenckia grandiflora var. hatschbachiana;Spananthe Jacq.;Syngonanthus caulescens var. epapillosus;Trichilia lepidota var. schumanniana;Zexmenia viguerioides
