"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","typeStatus","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","infraspecificEpithet","individualCount","dayIdentified","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","02038475","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","M. A. Sundue","M. A. Sundue","3191","2012","09","04","South America","Colombia","Antioquia","Frontino","Corregimiento Carauta, Parque Nacional Natural Las Orquídeas, sector Tres Bocas, río Tercero, cerca a la desembocadura en el río Carauta, finca La Pradera","-76.2258","6.6356","1640","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1950613' target='other'> <mi>dwc_moreinfo</mi></a>","NY02038475","NY02038475_01","1680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 09:59:16-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","10359","S","Plantae","Tracheophyta","Polypodiales","Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","P.H. Labiak","Cremers G.","10256","1989","01","16","América do Sul","Guiana Francesa","Mont Atachi Bacca","Région de l'Inini","arredores",NA,NA,NA,NA,"GEOGRAFIA: epiphyte herbacée;",NA,NA,NA,NA,"Polypodiopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:36:07-03","IAP","PACA-AGP","99105","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","taxifolium","Polypodium taxifolium","L.",NA,"G.R. Proctor","21707","1960","12","07",NA,"Martinica",NA,NA,"Morene Calebasse, north of Morne Rouge",NA,NA,"650",NA,"SMITHSONIAN INSTITUTION&nf;From the UNITED STATES NATIONAL HERBARIUM&nf;ASSL 10161 Habitat: common epiphyte on mossy trees","PACA099105","PACA099105","700","Topotipo","Filicopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-27 13:36:07-03","IAP","PACA-AGP","99106","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","taxifolium","Polypodium taxifolium","L.",NA,"J.A. Shafer","3620","1914","08","10",NA,"Porto Rico",NA,NA,NA,NA,NA,NA,NA,"United States national Museum&nf;The New York Botanical Garden&nf;Exploration of Porto Rico, Sierra de Naguabo, Rio Prieto and adjacent hills; alt. 690 to 1035 m. Habitat: wet rocks in ravine","PACA099106",NA,NA,NA,"Filicopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-16 17:56:50-03","UCS","HUCS","50079","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","Gonzatti, F.","Gonzatti, F.","4722a","2018","12","09",NA,"Brasil","Bahia","Arataca","Parque Nacional da Serra das Lontras, Serra do Peito de Moça","-39.346389","-15.180556","760",NA,"Erva epífita em troncos de arvoretas na mata nebular","HUCS003827","HUCS003827","760",NA,NA,"2019","08","-39.346389","-15.180556",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:29:18-03","MBM","MBM","125833","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Smith","Kramer, K.U.","Sneidern, K. von","2168","1939","03","22","Southern America","Colombia",NA,NA,NA,NA,NA,NA,NA,NA,"MBM125833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:29:18-03","MBM","MBM","287410","PreservedSpecimen","Plantae",NA,NA,"Grammitidaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Smith","Labiak, P.","Labiak, P.","963","1999","02","14","Southern America","Brazil","São Paulo","Salesópolis","Estação Biológica","-45.8400001525879","-23.5300006866455",NA,NA,NA,"MBM287410",NA,NA,NA,NA,NA,NA,NA,NA,"18032","auto",NA,NA,NA,NA,NA
"18","2004-08-09 17:42:31-03","MNHN","RECOLNAT_MNHN_P","P00355092","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue",NA,"Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil",NA,NA,"Sierra de Piedade, prov. Minas Geraes",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00355092' target='other'> <mi>dwc_moreinfo</mi></a>","P00355092","P00355092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Voyage d'Auguste de Saint-Hilaire de 1816 à 1821/2257",NA,NA,NA,NA
"19","2015-09-03 17:04:50-03","MNHN","RECOLNAT_MNHN_P","P01375876","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","taxifolium","Polypodium taxifolium","L.",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01375876' target='other'> <mi>dwc_moreinfo</mi></a>","P01375876","P01375876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-03 17:04:50-03","MNHN","RECOLNAT_MNHN_P","P01375879","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","taxifolium","Polypodium taxifolium","L.",NA,"Riegel, W.",NA,"1902","8",NA,NA,"Brésil",NA,NA,"Brasilia. St. Catharina",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01375879' target='other'> <mi>dwc_moreinfo</mi></a>","P01375879","P01375879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-09-03 17:04:50-03","MNHN","RECOLNAT_MNHN_P","P01375880","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","taxifolium","Polypodium taxifolium","L.",NA,"Riegel, W.",NA,"1902","8",NA,NA,"Brésil",NA,NA,"Brasilia. St. Catharina",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01375880' target='other'> <mi>dwc_moreinfo</mi></a>","P01375880","P01375880_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-03 17:04:50-03","MNHN","RECOLNAT_MNHN_P","P01375888","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","taxifolium","Polypodium taxifolium","L.",NA,"Miers, J.",NA,"1878","7",NA,NA,"Brésil","Rio de Janeiro",NA,"Rio",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01375888' target='other'> <mi>dwc_moreinfo</mi></a>","P01375888","P01375888_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-04 12:22:27-03","MNHN","RECOLNAT_MNHN_P","P00557852","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","taxifolium","Polypodium taxifolium fragillimum","Christ",NA,"Moquin-Tandon",NA,NA,NA,NA,NA,"Brasilia",NA,NA,"In monte Dicta Serra Heyn ad fine provinciarum Nbina, Rio de janeiro",NA,NA,NA,"hb","avec P00557854 et P00557853 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00557852' target='other'> <mi>dwc_moreinfo</mi></a>","P00557852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fragillimum",NA,NA,NA
"24","2015-09-04 14:33:29-03","MNHN","RECOLNAT_MNHN_P","P00557853","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Polypodium","taxifolium","Polypodium taxifolium fragillimum","Christ",NA,"Riedel, L.",NA,NA,NA,NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"hb","avec P00557854 et P00557852. Ex herbario horti Petropolitani <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00557853' target='other'> <mi>dwc_moreinfo</mi></a>","P00557853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fragillimum",NA,NA,NA
"25","2020-09-29 14:53:42-03","UFPR","UPCB","57834","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","Matos, F.B.","Labiak, P.H.","4018","2007","07","11",NA,"Brasil","Espírito Santo","Santa Teresa","BLOQUEADO",NA,NA,"600",NA,"Rupícola à beira do rio. Frondes arqueadas. Floresta de Encosta, próximo ao rio Timbuí..","UPCB0008236","UPCB0008236","600",NA,NA,"2016",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA
"26","2020-09-29 14:53:42-03","UFPR","UPCB","68753","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","Matos, F.B.","Matos, F.B.","773","2005","07","22",NA,"Brasil","Bahia","Arataca","Serra do Peito de Moça. Estrada Arataca - Una, com entrada no assentamento Santo Antônio, ca. 22,4Km de Arataca. RPPN Caminho das Pedras. Trilha para a Serra.","-39.341944","-15.173889","1000",NA,"Rupícola associada à briófitas, à beira de riacho na base do morro. Frondes arqueadas. Floresta Ombrófila Densa.","UPCB0008233","UPCB0008233","1000",NA,NA,"2016",NA,"-39.341944","-15.173889",NA,NA,NA,NA,NA,NA,NA
"27","2020-09-29 14:53:42-03","UFPR","UPCB","68799","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","Matos, F.B.","Matos, F.B.","1345","2007","04","12",NA,"Brasil","Bahia","Arataca","Serra do Peito-de-Moça. Estrada que liga Arataca a Una, ramal ca. 22,4 km de Arataca, com entrada no assentamento Sto. Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611","1000",NA,"Rupícola à beira de riacho, no interior da mata. Frondes arqueadas. Floresta Ombrófila Densa.","UPCB0008234","UPCB0008234","1000",NA,NA,"2016",NA,"-39.341667","-15.173611",NA,NA,NA,NA,NA,NA,NA
"28","2020-09-29 14:53:42-03","UFPR","UPCB","68938","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","Matos, F.B.","Matos, F.B.","1564","2008","07","31",NA,"Brasil","Bahia","Camacan","Fazenda Serra Bonita, Reserva Serra Bonita, 9,7 km W de Camacan, na estrada para Jacarecí, daí 6 km SW na estrada para RPPN Serra Bonita e Torre da Embratel. Trilha da Bapeba.","-39.565278","-15.391667","900",NA,"Epífita a 2m do solo, no interior da mata. Frondes arqueadas a pendentes. Floresta Ombrófila Densa.","UPCB0008232","UPCB0008232","900",NA,NA,"2016",NA,"-39.565278","-15.391667",NA,NA,NA,NA,NA,NA,NA
"29","2020-09-29 14:53:42-03","UFPR","UPCB","69143","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","Matos, F.B.","Labiak, P.H.","3639","2006","08","06",NA,"Brasil","Bahia","Arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22,4 Km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611",NA,NA,"Rupícola à beira de riacho. Floresta Ombrófila Densa Montana..","UPCB0008231","UPCB0008231",NA,NA,NA,"2016",NA,"-39.341667","-15.173611",NA,NA,NA,NA,NA,NA,NA
"30","2020-09-29 14:53:42-03","UFPR","UPCB","69167","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","Matos, F.B.","Labiak, P.H.","3686","2006","08","06",NA,"Brasil","Bahia","Arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22,4 Km de Arataca com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611",NA,NA,"Rupícola às margens de riacho, em local ensolarado. Floresta Ombrófila Densa Montana..","UPCB0008230","UPCB0008230",NA,NA,NA,"2016",NA,"-39.341667","-15.173611",NA,NA,NA,NA,NA,NA,NA
"31","2020-09-29 14:53:42-03","UFPR","UPCB","68413","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R.Sm.","Matos, F.B.","Matos, F.B.","385","2005","02","08",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada. 13,7Km de Barro Preto, na estrada que passa pela fazenda São Miguel, em direção à serra.","-39.202778","-14.770278","600",NA,"Epífita em Cyatheaceae no interior da mata. Floresta Montana..","UPCB0008235","UPCB0008235","900",NA,NA,"2016",NA,"-39.202778","-14.770278",NA,NA,NA,NA,NA,NA,NA
"32","2016-11-30 08:42:00-02","MO","MOBOT","100940288","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Mycopteris","taxifolia","Mycopteris taxifolia","(L.) Sundue",NA,"Alexander C. Brade","Brade 8396","1925","10",NA,"South America","Brazil","São Paulo","Iguape","Serra de Paranapiacaba, Rio Temível.","-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,"55628","auto",NA,NA,"1",NA,NA
"33","2009-07-20 21:22:00-03","MO","MOBOT","2767891","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Polypodium","taxifolium","Polypodium taxifolium","L.","W.R. Maxon & C.V. Morton","Bassett Maguire","Maguire 24568","1944","8","29","South America","Suriname",NA,NA,"Tafelberg (Table Mountain). 1 km east of Camp No. II",NA,NA,"740.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2012-03-02 05:16:00-03","MO","MOBOT","2555917","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A.R. Smith (UC)","H. van der Werff|Bruce Gray|Juan C. Ronquillo|Wilson Quizhpe","van der Werff 19003A","2004","10","29","South America","Ecuador","Zamora-Chinchipe",NA,"In the vicinity of the mining camp at the Río Tundaime. Along road from mining camp to military base El Condor. Montane rain forest.","-78.44055","-3.62527","1770.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"358",NA,"5",NA,NA
"35","2012-03-02 05:15:00-03","MO","MOBOT","2403996","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A.R. Smith (UC)","H. van der Werff|Bruce Gray|Juan C. Ronquillo|Wilson Quizhpe","van der Werff 19488","2004","11","11","South America","Ecuador","Zamora-Chinchipe",NA,"In the vicinity of the mining camp at the Río Tundaime. Along trail above botanical garden. Montane forest, low on ridges.","-78.44055","-3.62527","1400.00000000",NA,NA,NA,NA,"1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"371",NA,"4",NA,NA
"36","2012-03-02 05:15:00-03","MO","MOBOT","2379131","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A.R. Smith (UC)","H. van der Werff|Bruce Gray|Juan C. Ronquillo|Wilson Quizhpe","van der Werff 18949","2004","10","28","South America","Ecuador","Zamora-Chinchipe",NA,"In the vicinity of the mining camp at the Río Tundaime. Along trail from military base El Condor to the look-out point. Low forest and scrub on sandy soil with occasional sandstone rocks.","-78.39333","-3.64222","1800.00000000",NA,NA,NA,NA,"2000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"357",NA,"3",NA,NA
"37","2014-04-04 05:50:00-03","MO","MOBOT","1241626","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A. Smith (UC)","H. van der Werff|Bruce Gray|Rodolfo Vásquez|Rocío Rojas","van der Werff 15646","1998","3","25","South America","Peru","San Martín","Rioja","Along road Rioja-Pedro Ruiz, ceja de la montaña. El Mirador.","-77.77361","-5.67472","1850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238",NA,"1",NA,NA
"38","2014-04-04 05:50:00-03","MO","MOBOT","1241643","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A. Smith (UC)","H. van der Werff|Bruce Gray|Rodolfo Vásquez|Rocío Rojas","van der Werff 15663","1998","3","25","South America","Peru","San Martín","Rioja","Along road Rioja-Pedro Ruiz, ceja de la montaña. El Mirador.","-77.77361","-5.67472","1850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238",NA,"1",NA,NA
"39","2015-03-12 06:15:00-03","MO","MOBOT","100232667","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A.R. Smith","H. van der Werff|Rodolfo Vásquez|César Rojas","van der Werff 22626","2009","10","18","South America","Peru","Pasco","Oxapampa","Navarra, near Huancabamba.","-75.4327778","-10.4505556","2300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"516",NA,"5",NA,NA
"40","2020-11-10 04:40:00-03","MO","MOBOT","100313313","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","F. Matos","Pedro L. R. de Moraes","Moraes 2743","2009","8","12","South America","Brazil","Bahia","Arataca","Serra do Peito-de-Moça.","-39.4080556","-15.2027778","900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"41","2020-11-10 04:40:00-03","MO","MOBOT","100313317","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","F. Matos","Pedro L. R. de Moraes","Moraes 2754","2009","8","13","South America","Brazil","Bahia",NA,"RPPN Serra Bonita.","-39.5652778","-15.3916666","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"42","2014-06-26 10:55:00-03","MO","MOBOT","1338900","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A.R. Smith (UC)","John L. Clark|Edwin Narváez|T. Pauchi","Clark 5460","1998","5","1","South America","Ecuador","Napo","Archidona","Reserva Ecologica Antisana. Sector Guacamayos. Sendero Jumandy - La Virgen (km 30). Path follows potential oil pipe-line. Ends near Río Urcusiqui.","-77.8166667","-0.6333333","1700.00000000",NA,NA,NA,NA,"1800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"59",NA,"2",NA,NA
"43","2019-09-03 04:36:00-03","MO","MOBOT","1426415","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Terpsichore","taxifolia","Terpsichore taxifolia","(L.) A.R. Sm.","A. Smith (UC)","Homero Vargas|Edwin Narváez","Vargas López 3373","1999","1","6","South America","Ecuador","Napo","Quijos","Reserva Ecológica Antisana, Cordillera de los Guacamayos, cruce del oleoducto de la compañía ARCO. Colecciones en El Mirador. Bosque pluvial montano bajo, vegetación primaria, suelo colinado bien drenado.","-77.85","-0.63333","2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
