"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber"
"12","2020-07-21 14:50:00-03","MO","MOBOT","406450","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","T. Pennington (K)","Walter A. Palacios","Palacios Cuenca 963","1986","1","25","South America","Ecuador","Napo","Tena","Estación Biológica Jatun Sacha, 8 km al este de Misahuallí. Bosque muy húmedo tropical.","-77.6","-1.0666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86-17","400.00000000","6",NA,NA,NA,NA,NA
"13","2011-06-09 16:54:00-03","MO","MOBOT","406458","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","C. Cerón (QCNE)","Carlos E. Cerón","Cerón Martínez 7852","1989","11","28","South America","Ecuador","Napo",NA,"Cantón Archidona. Carretera Hollín-Loreto, entre Avila y Loreto. Huiruno, comunidad Quichua. Bosque muy húmedo Tropical. Bosque primario y chacras. Informante: Alberto Siquihua Grefa.","-77.31666","-0.71666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89-51","450.00000000","4",NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","406673","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","D. Neill","Carlos E. Cerón|Carlos Iguago|Zaldumbide, Edy","Cerón Martínez 8337","1990","1","20","South America","Ecuador","Napo",NA,"Cantón Tena. Estación Biológica Jatun Sacha. 8 km al este de Misahuallí. Bosque huy húmedo Tropical. Bosque primario, cerca al riachuelo Chinguipino. Parcela Permanente 03.","-77.6","-1.06666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90-3","400.00000000","4",NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","406679","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","D. Neill","Carlos E. Cerón|Carlos Iguago|Zaldumbide, Edy","Cerón Martínez 8443","1990","1","20","South America","Ecuador","Napo",NA,"Cantón Tena. Estación Biológica Jatun Sacha. 8 km al este de Misahuallí. Bosque huy húmedo Tropical. Bosque primario, cerca al riachuelo Chinguipino. Parcela Permanente 03.","-77.6","-1.06666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90-3","400.00000000","4",NA,NA,NA,NA,NA
"16","2014-04-04 05:45:00-03","MO","MOBOT","407237","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","O. Phillips","Alwyn H. Gentry|Rodolfo Vásquez|Nestor Jaramillo","Gentry 42764","1983","7","8","South America","Peru","Loreto","Maynas","Yanamono. Explorama Tourist Camp, Río Amazonas halfway between Indiana and mouth of Río Napo, mature forest on yellowish lateritic soil. Tree Plot","-72.83333","-3.46666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83-172","130.00000000","4",NA,NA,NA,NA,NA
"17","2014-04-04 05:45:00-03","MO","MOBOT","407322","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","T.D. Pennington (K)","Rodolfo Vásquez|et al.","Vásquez Martínez 14379","1990","9","12","South America","Peru","Loreto","Maynas","Dtto. Iquitos, Allpahuayo, Estación Experiø mental del Instituto de Investigaciones de la Amazonía Peruana (IIAP). Bosque primario (suelo arcilloso).","-73.43","-4.00416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"214",NA,"3",NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","407625","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","T.D. Pennington (K)","Fernando Hurtado","Hurtado 2966","1991","12","1","South America","Ecuador","Pastaza","Pastaza","Pozo petrolero Villano 2 de ARCO. Bosque húmedo Tropical. Bosque primario. Arboles cortados por las obras petroleras. Informante: Dalmacio Molina.","-77.33333","-1.41666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA
"19","2011-06-10 15:20:00-03","MO","MOBOT","407938","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","A. Rudas (COL)","John James Pipoly, III","Pipoly 16381","1991","11","18","South America","Colombia","Amazonas","Leticia","Parque Nacional Natural Amacayacu. Quebrada de Agua Pudre, ca. 1.5 km NE de desemboca dura sobre el río Amacayacu; Muestreo Permanente Estratégica del MO. Bosque muy húmedo.","-70.25","-3.78333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","200.00000000","4","220.00000000",NA,NA,NA,NA
"20","2018-12-29 04:34:00-02","MO","MOBOT","757124","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","A. Rudas (COL)","Agustin Rudas L.|Adriana Prieto|C. Rodríguez","Rudas Lleras 5320","1992","7","13","South America","Colombia","Amazonas","Tarapacá","Corregimiento de Tarapacá. Parque Nacional Natural Amaycayacu. Sector Lorena (R. Cotuhé) bosque de terra-firme. Parcela permanente #2. Cuadrado U9.","-70","-3.03333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"216","100.00000000","4",NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","910179","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","C. Díaz (MO)","Ernesto Ancuash Atsut","Ancuash Atsut 1353","1978","8","10","South America","Peru","Amazonas","Condorcanqui","Río Cenepa. Vicinity of Huampami, ca. 5 km. east of Chávez Valdívia. El camino de Etseketa- Río Cenepa. En bosque primario.","-78.63333","-4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45","200.00000000","3","250.00000000",NA,NA,NA,NA
"22","2018-09-06 09:16:00-03","MO","MOBOT","987691","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.","R. Vasquez (MO)","Rodolfo Vásquez|Nestor Jaramillo|Ricardo Apanú|R. Kugkumas","Vásquez Martínez 19871","1995","2",NA,"South America","Peru","Amazonas","Bagua","Distrito Imaza: Región del Marañon. Comunidad de Yamayakat, Quebrada Kusu - Chapi, Río Marañon.","-78.3166667","-4.9166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"544","550.00000000","4",NA,NA,NA,NA,NA
"23","2010-11-22 14:40:00-02","MO","MOBOT","2381023","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D. Penn.",NA,"Bolívar Freire|Diego Naranjo","Freire 695","2004","5","9","South America","Ecuador","Orellana","Loreto","Reserva Étnica Huaorani. Comunidad Miwaguno a 140 km al sur del Coca, vía al Pindo, Bloque 14 (ENCAN). Río Shiripuno. Bosque muy húmedo tropical. Bosque intervenido. Suelo arcilloso amarillento. Proyecto Etnobotánico del Herbario Nacional, co-financiado por PetroEcuador.","-76.7266667","-0.7255556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250.00000000","3",NA,NA,NA,NA,NA
"24","2020-08-31 08:54:57-03","INPA","INPA","60373","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D.Penn.","Alves-Araújo, A","Mota, CDA da","INPA60373","1976","06","22","Southern America","Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"INPA0060373","INPA0060373 INPA0060373_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","12","05",NA
"25","2020-08-31 08:54:57-03","INPA","INPA","105366","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T.D.Penn.","Pennington, TD","Ferreira, AJC","1202.2912","1980","02","07","Southern America","Brasil","Amazonas","Manaus","Distrito Agropecuário, ZF3., Distrito Agropecuario da Suframa, Estrada ZF-3, km 24, Reserva nº 1202","-59.79","-2.45",NA,NA,NA,"INPA0105366","INPA0105366 INPA0105366_e",NA,NA,NA,NA,"-59.79","-2.45",NA,NA,NA,NA,"1986",NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","1741884","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Franchetella","pubescens","Franchetella pubescens","Aubrév. & Pellegr.",NA,"B. A. Krukoff","8763","1936","10","26","South America - Neotropics","Brazil","Amazonas","São Paulo de Olivença","Basin of Solimoes, basin of Creek Belem.","-68.8724975585938","-3.37832999229431","362329",NA,NA,"US00323731","US00323731_01","auto","Dicotyledonae","Isotype",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"27","2015-02-26 09:30:29-03","NHMLondon","NHM-LONDON-BOT","BM000796448","S","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubr.& Pellegrin) Pennington",NA,"Boris Alexander Krukoff; b.1898; d.1983; Krukoff","8763",NA,NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4989502"
"28","2014-09-23 10:59:41-03","G","G","G00439504","S","Plantae",NA,NA,"Sapotaceae","Pouteria","pubescens","Pouteria pubescens","(Aubrév. & Pellegr.) T. D. Penn.","Pennington, T. D.","Krukoff, B. A.","8763","1936",NA,"00","AMERIQUE DU SUD","Brazil","Amazonas","São Paulo de Olivença",NA,"-68.96444444","-3.47277778",NA,NA,"Coordinate uncertainty: Precision undefined Image URL: No picture available on the institution's web site","G00439504",NA,NA,NA,"ISOTYPUS of Franchetella pubescens Aubrév. & Pellegr.",NA,"-68.96444444","-3.47277778",NA,NA,NA,NA,"1986","01","01",NA
