"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","continentOcean","phylum","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","infraspecificEpithet","class","order","monthIdentified","dayIdentified"
"11","2020-12-11 11:45:03-03","UFMG","BHCB","131201","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Viana, PL; Mota, NFO; Giacomin, LL","4188","2009","04","08","Brasil","São Paulo","Bananal","Estação Biológica de Bananal","-44.3199996948242","-22.6800003051758","26795","Colmos arqueados, abundante; Em beira de riacho","BHCB045928",NA,"auto",NA,"2018",NA,NA,"Southern America","Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:45:03-03","UFMG","BHCB","36966","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll",NA,"s.n.",NA,NA,NA,"Brasil","Paraná","Tibagi","Quartelá","-50.4136009216309","-24.5093994140625","56988",NA,NA,NA,"auto",NA,NA,NA,NA,"Southern America","Monocotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2018-08-21 08:20:00-03","MO","MOBOT","101064199","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lynn G. Clark|M. Morel","Clark 707","1990","2","25","Brazil","Minas Gerais","São Miguel do Anta","Municipal road from Viçosa to Araponga, about 6 km before São Miguel do Anta.","-42.7833333","-20.7333333",NA,NA,NA,NA,NA,"L.G. Clark (ISC)",NA,"770.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"14","2017-11-02 14:30:00-02","MO","MOBOT","101008195","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Anders F. Regnell","Regnell III 1426","1862","7","18","Brazil","Minas Gerais",NA,"Caldas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1","Lectotype",NA,NA,NA,NA,NA
"15","2018-08-21 07:57:00-03","MO","MOBOT","101064193","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lynn G. Clark|Paulo G. Windisch","Clark 734","1991","1","13","Brazil","Minas Gerais","Camanducaia","Road to Monte Verde, Serra da Mantiqueira.","-46.15","-22.7833333",NA,NA,NA,NA,NA,"L.G. Clark (ISC)",NA,"1180.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"16","2018-08-21 09:09:00-03","MO","MOBOT","101064212","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lynn G. Clark|Paulo G. Windisch","Clark 1058","1992","3","3","Brazil","São Paulo","Cunha","Road Cunha to Campos da Cunha (Campos Novos), about 12 km from Cunha.","-44.8666667","-23.0333333",NA,NA,NA,NA,NA,"L.G. Clark (ISC)",NA,"960.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"17","2018-08-21 09:39:00-03","MO","MOBOT","101064219","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lynn G. Clark|M. Morel","Clark 839","1991","2","27","Brazil","Minas Gerais","Poços de Caldas","Serra de São Domingo, about 3 km along the road to Leite Sta. Marina, about 1.1 km beyond the fork leading to the Cascata das Antas. Also seen along the drive to Cascata das Antas.","-46.6166667","-21.7666667",NA,NA,NA,NA,NA,"L.G. Clark (ISC)",NA,"1110.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"18","2018-08-21 10:02:00-03","MO","MOBOT","101064227","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lynn G. Clark|M. Morel","Clark 706","1990","2","25","Brazil","Minas Gerais","Viçosa","Municipal road from Viçosa to Araponga, sitio Mundial, before São Jose do Triunfo.","-42.8166667","-20.75",NA,NA,NA,NA,NA,"L.G. Clark (ISC)",NA,"730.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"19","2018-08-21 10:10:00-03","MO","MOBOT","101064233","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lynn G. Clark|Paulo G. Windisch","Clark 864","1991","3","5","Brazil","Santa Catarina","Petrolândia","Road Ituporanga-Petrolândia, 3 km before Petrolândia.","-49.65","-27.5",NA,NA,NA,NA,NA,"L.G. Clark (ISC)",NA,"530.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"20","2017-04-18 08:58:00-03","MO","MOBOT","2833314","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Thomas R. Soderstrom|Dimitri Sucre","Soderstrom 1918","1972","3","23","Brazil","Rio de Janeiro",NA,"Guanabara. Estrada Rio de Janeiro-Grumarí.",NA,NA,NA,NA,NA,NA,NA,"Lynn G. Clark (ISC)",NA,"100.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"21","2018-08-21 08:04:00-03","MO","MOBOT","101064195","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lynn G. Clark|M. Morel","Clark 762","1991","1","26","Brazil","Minas Gerais","Santa Luzia","Between Santa Luzia and BR-262 at the km 299 entrance, about 2 km from BR-262, near Dist. Industrial Simão da Cunha.","-43.9166667","-19.8333333",NA,NA,NA,NA,NA,"L.G. Clark (ISC)",NA,"670.00000000",NA,"South America",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"22","2017-11-02 14:51:00-02","MO","MOBOT","101008199","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis laxiuscula","Döll","J.E.B. Warming","Warming s.n.","1865","5",NA,"Brazil","Minas Gerais",NA,"Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1","Lectotype","laxiuscula",NA,NA,NA,NA
"23","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","06039","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Doell","L. Clark",NA,NA,NA,NA,"Brasil","São Paulo","Cunha","12 km from Cunha","-44.9599990844727","-23.0699996948242","38855","In a disturbed forest remnant, on ...;",NA,NA,"auto",NA,NA,NA,NA,"América do Sul","Tracheophyta",NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA
"24","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","04544","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Doell","L. Clark",NA,NA,NA,NA,"Brasil","Santa Catarina","Petrolândia","3 km before Petrolândia","-49.6981010437012","-27.5352993011475","12593","In secondary vegetation along roadside.;",NA,NA,"auto",NA,NA,NA,NA,"América do Sul","Tracheophyta",NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA
"25","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02766","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Doell","L. Clark",NA,NA,NA,NA,"Brasil","Minas Gerais","São Miguel do Anta","6 km before São Miguel","-42.7188987731934","-20.7071990966797","14588","Along a creek in secondary vegetation, area mostly farmed.;",NA,NA,"auto",NA,NA,NA,NA,"América do Sul","Tracheophyta",NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA
"26","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","04442","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Doell","L. Clark",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Luzia","BR 262","-43.8513984680176","-19.7696990966797","19939","Fairly large, diffuse colony along road in secondaryu vegetation.;",NA,NA,"auto",NA,NA,NA,NA,"América do Sul","Tracheophyta",NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA
"27","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","04413","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Doell","L. Clark",NA,NA,NA,NA,"Brasil","Minas Gerais","Camanducaia","monte verde","-46.1446990966797","-22.7553005218506","22140","In disturbed upper montane forest with Araucaria.;",NA,NA,"auto",NA,NA,NA,NA,"América do Sul","Tracheophyta",NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA
"28","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","02765","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Doell","L. Clark",NA,NA,NA,NA,"Brasil","Minas Gerais","Viçosa","sentido Araponga","-42.8819007873535","-20.7539005279541","13937","Along a small creek at the entrance to a farm.;",NA,NA,"auto",NA,NA,NA,NA,"América do Sul","Tracheophyta",NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA
"29","2020-08-01 18:19:29-03","UNESP-IBILCE","SJRP","04519","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Doell","L. Clark",NA,NA,NA,NA,"Brasil","Minas Gerais","Poços de Caldas","serra de são domingo","-46.5614013671875","-21.7877998352051","23696","Along roadbank in secondary vegetation.;",NA,NA,"auto",NA,NA,NA,NA,"América do Sul","Tracheophyta",NA,NA,NA,NA,NA,"Liliopsida","Poales",NA,NA
"30","2020-08-31 09:21:10-03","INPA","INPA","70113","S","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Soderstrom, TR","1918","1972","03","23","Brasil","Rio de Janeiro",NA,"Estrada Rio de Janeiro-Grumarí. Dominant vegetation in secondary forest; forming thickets over rocky slopes.",NA,NA,NA,NA,"INPA0070113","INPA0070113 INPA0070113_1 INPA0070113_1e INPA0070113_2 INPA0070113_2e INPA0070113_e",NA,"Clark, JG","2017","100","100","Southern America","Monocotyledon",NA,NA,NA,NA,NA,NA,"Poales","05","29"
"31","2020-09-12 05:00:02-03","US","US","2725288","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis",NA,"T. R. Soderstrom & D. Sucre","1918","1972","3","23","Brazil","Rio de Janeiro",NA,"Rio de janeiro, grumari. [in former guanabara state]",NA,NA,NA,NA,"US00010828","US00010828_01",NA,"Clark, L. G., (ISC), Iowa State University",NA,"100","100","South America - Neotropics",NA,NA,NA,"1",NA,NA,"Monocotyledonae","Cyperales",NA,NA
"32","2020-09-12 05:00:02-03","US","US","2725286","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis",NA,"T. R. Soderstrom & D. Sucre","1918","1972","3","23","Brazil","Rio de Janeiro",NA,"Rio de janeiro, grumari. [in former guanabara state]",NA,NA,NA,NA,"US00010826","US00010826_01",NA,"Clark, L. G., (ISC), Iowa State University",NA,"100","100","South America - Neotropics",NA,NA,NA,"1",NA,NA,"Monocotyledonae","Cyperales",NA,NA
"33","2020-09-12 05:00:02-03","US","US","2725285","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis",NA,"T. R. Soderstrom & D. Sucre","1918","1972","3","23","Brazil","Rio de Janeiro",NA,"Rio de janeiro, grumari. [in former guanabara state]",NA,NA,NA,NA,"US00010825","US00010825_01",NA,"Clark, L. G., (ISC), Iowa State University",NA,"100","100","South America - Neotropics",NA,NA,NA,"1",NA,NA,"Monocotyledonae","Cyperales",NA,NA
"34","2020-09-12 05:00:02-03","US","US","1126711","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis",NA,"A. F. M. Glaziou","6442",NA,NA,NA,"Brazil","Minas Gerais",NA,"[Minas Gerais is probably dubious for most of the catalog records attached to this collection event record, and locality data should be confirmed from individual specimens]",NA,NA,NA,NA,"US00010628","US00010628_01",NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,"1",NA,NA,"Monocotyledonae","Cyperales",NA,NA
"35","2020-09-12 05:00:02-03","US","US","1021592","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis",NA,"A. F. Regnell","1426","1862","3","17","Brazil","Minas Gerais",NA,"Caldas",NA,NA,NA,NA,"US00010629","US00010629_01",NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,"1",NA,NA,"Monocotyledonae","Cyperales",NA,NA
"36","2020-09-12 05:00:02-03","US","US","2725287","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis",NA,"T. R. Soderstrom & D. Sucre","1918","1972","3","23","Brazil","Rio de Janeiro",NA,"Rio de janeiro, grumari. [in former guanabara state]",NA,NA,NA,NA,"US00010827","US00010827_01",NA,"Clark, L. G., (ISC), Iowa State University",NA,"100","100","South America - Neotropics",NA,NA,NA,"1",NA,NA,"Monocotyledonae","Cyperales",NA,NA
"37","2020-09-12 05:00:02-03","US","US","83006","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis laxiuscula","Döll","E. Warming","s.n.","1865","5",NA,"Brazil","Minas Gerais",NA,"Lagoa Santa",NA,NA,NA,"Fragmentary material of type (?) specimen ex herb. Haun.","US00009925","US00009925_01",NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,"1","Isolectotype; Type collection","laxiuscula","Monocotyledonae","Cyperales",NA,NA
"38","2020-09-12 05:00:02-03","US","US","209550","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis subcylindrica","Döll in Mart.","A. F. Regnell","---","1862",NA,NA,"Brazil","Minas Gerais",NA,"Ad Caldas, minarum. [To Caldas, silver mines?]",NA,NA,NA,NA,"US00036601","US00036601_01",NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,"1","Type fragment","subcylindrica","Monocotyledonae","Cyperales",NA,NA
"39","2020-03-13 15:43:49-03","UEFS","HUEFS","232989","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Mota, A.C.","312A","2009","09","29","Brasil","Rio de Janeiro","Salesopolis","Rodovia de Salesopolis p/ Biritiba-mirim.","-45.676389","-23.555833",NA,NA,"HUEFS0232989",NA,NA,NA,NA,"1024","1024",NA,"Angiospermae","45W40'35''","23S33'21''",NA,NA,NA,"Lilianae","Poales",NA,NA
"40","2020-03-13 15:43:49-03","UEFS","HUEFS","232990","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Mota, A.C.","312A","2009","09","29","Brasil","Rio de Janeiro","Salesópolis","Rodovia de Salesopolis p/ Biritiba-mirim.","-45.676389","-23.555833",NA,NA,"HUEFS0232990",NA,NA,NA,NA,"1024","1024",NA,"Angiospermae","45W40'35''","23S33'21''",NA,NA,NA,"Lilianae","Poales",NA,NA
"41","2019-10-07 09:21:48-03","UEFS","HUEFS","118819","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Lombardi, J.A.","5824","2004","03","04","Brasil","Minas Gerais","Salto da Divisa","Fazenda Santana.","-40.056389","-16.061389",NA,NA,"HUEFS0118819","HUEFS0118819",NA,"L.G.Clark","2009","150","150",NA,"Angiospermae","40W3'23''","16S3'41''",NA,NA,NA,"Lilianae","Poales","07",NA
"42","2019-10-07 09:21:48-03","UEFS","HUEFS","142382","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Ferreira, F.M.","1946","2008","05","03","Brasil","Minas Gerais","Baependi","Toca dos Urubus. Face leste da Serra de Santa Maria do Baependi","-44.9375","-21.9375",NA,"Mata Semidecídua na grota","HUEFS0142382","HUEFS0142382 HUEFS0142382_01 HUEFS0142382_02 HUEFS0142382_03",NA,"L.G.Clark","2014",NA,NA,NA,"Angiospermae","44W56'15''","21S56'15''",NA,NA,NA,"Lilianae","Poales","10",NA
"43","2019-10-07 09:21:48-03","UEFS","HUEFS","158900","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L.G.","1058","1992","03","03","Brasil","São Paulo","Cunha","Road Cunha to Campos da Cunha(Campos Novos), about 12Km from Cunha.","-44.866667","-23.033333",NA,NA,"HUEFS0158900","HUEFS0158900",NA,NA,NA,"960","960",NA,"Angiospermae","44W52'","23S2'",NA,NA,NA,"Lilianae","Poales",NA,NA
"44","2019-10-07 09:21:48-03","UEFS","HUEFS","158904","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L.","839","1991","02","27","Brasil","Minas Gerais","Poços de Caldas","Serra de São Domingo, about 3 Km along the road to Leite Sta. Marinak, about 1.1 Km beyond the fork leading to the Cascata das Antas.","-46.616667","-21.766667",NA,NA,"HUEFS0158904","HUEFS0158904",NA,NA,NA,NA,NA,NA,"Angiospermae","46W37'","21S46'",NA,NA,NA,"Lilianae","Poales",NA,NA
"45","2019-10-07 09:21:48-03","UEFS","HUEFS","229810","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Mota, A.C.","279","2009","06","05","Brasil","Rio de Janeiro","Volta Redonda","Parque Municipal Faz. Santa Cecilia do Ingá.","-44.1041984558105","-22.523099899292","16209",NA,"HUEFS0229810",NA,"auto",NA,NA,NA,NA,NA,"Angiospermae",NA,NA,NA,NA,NA,"Lilianae","Poales",NA,NA
"46","2020-08-20 14:59:37-03","UFSC","FLOR","64016","PreservedSpecimen","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Romaniuo Neto , S.; Godoi, J.G.; Pereira, D.F.; Lohmann, C.E.O.","1358","1992","07","22","Brasil","São Paulo","São José do Rio Preto","Fazenda Tubaga, Margem do Rio Pardo.","-49.3699989318848","-20.8199996948242","20305","Inflorescências verdes","FLOR0064016","FLOR0064016","auto","Shirasuna, R.T.","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poales","02",NA
"47","2017-09-11 17:12:39-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis laxiuscula","Döll","Warming, JEB","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Lagoa Santa","in prov. Minarum prope Lagoa Santa","-43.8897","-19.6272","12338",NA,NA,NA,"auto",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,"laxiuscula",NA,NA,NA,NA
"48","2017-09-11 17:12:39-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis laxiuscula","Döll","Warming, JEB","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Lagoa Santa","in prov. Minarum prope Lagoa Santa","-43.8897","-19.6272","12338",NA,NA,NA,"auto",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,"laxiuscula",NA,NA,NA,NA
"49","2017-09-11 17:12:39-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis subcylindrica","Döll","Regnell, AF","III1426",NA,NA,NA,"Brazil","Minas Gerais","Caldas","ad Caldas prov. Minarum","-46.3861","-21.9236","25710",NA,NA,NA,"auto",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,"subcylindrica",NA,NA,NA,NA
"50","2019-11-21 10:15:09-03","IBt","SP","238277","S","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L; Morel, M","706","1990","02","25","Brasil","Minas Gerais","Viçosa","Municipal road from Viçosa to Araponga, sitio Mundial, before São José do Triunfo.","-42.816667","-20.75",NA,NA,NA,NA,NA,"Clark, LG","1994","730","730",NA,NA,"-42.816667","-20.75",NA,NA,NA,NA,NA,"01","14"
"51","2019-11-21 10:15:09-03","IBt","SP","249416","S","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L; Windisch, P","734","1991","01","13","Brasil","Minas Gerais","Camanducaia","Road to Monte Verde, Serra da Mantiqueira.","-46.15","-22.783333",NA,NA,NA,NA,NA,NA,NA,"1180","1180",NA,NA,"-46.15","-22.783333",NA,NA,NA,NA,NA,NA,NA
"52","2019-11-21 10:15:09-03","IBt","SP","249469","S","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L; Morel, M","839","1991","02","27","Brasil","Minas Gerais","Poços de Caldas","Serra de São Domingo, About 3km along the road to Leite Sta. Marina, about 1,1km beyond the fork leading to the Cascata das Antas","-46.616667","-21.766667",NA,NA,"SP042507","SP042507",NA,NA,NA,"1110","1110",NA,NA,"-46.616667","-21.766667",NA,NA,NA,NA,NA,NA,NA
"53","2019-11-21 10:15:09-03","IBt","SP","249521","S","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L; Windisch, P","864","1991","03","05","Brasil","Santa Catarina","Petrolândia","SC-427, road Ituporanga-Petrolândia, 3 km before Petrolândia.","-49.65","-27.5",NA,NA,"SP042510","SP042510",NA,NA,NA,"530","530",NA,NA,"-49.65","-27.5",NA,NA,NA,NA,NA,NA,NA
"54","2019-11-21 10:15:09-03","IBt","SP","373320","S","Plantae","Poaceae","Chusquea","tenuiglumis","Chusquea tenuiglumis","Döll","Clark, L; Windisch, P","1058","1992","03","03","Brasil","São Paulo","Cunha","Road Cunha to Campos da Cunha (Campos Novos), about 12 km from Cunha","-44.866667","-23.033333",NA,NA,"SP042509","SP042509",NA,NA,NA,"960","960",NA,NA,"-44.866667","-23.033333",NA,NA,NA,NA,NA,NA,NA
