"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-04-24 11:30:00-03","MO","MOBOT","101190957","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","G. Raddi","Raddi s.n.","1818","4",NA,"South America","Brazil","Rio de Janeiro",NA,"Brasil, Rio de Janeiro, sulle montagne d'Estrella (ex protologue; = Serra da Estrela)","-43.1666667","-22.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"12","2020-04-24 12:12:00-03","MO","MOBOT","101190965","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","Hugh A. Weddell","Weddell 577","1843",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Brasil, Rio de Janeiro, environs de Rio-Janeiro","-43.2166667","-22.9666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"13","2020-04-24 12:26:00-03","MO","MOBOT","101190967","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","A. Saint-Hilaire","Saint-Hilaire 375","1818","10",NA,"South America","Brazil","Espírito Santo",NA,"Brasil, Espirito Santo, Province de Espir. Santo, [collected in the area along the lower Rio Doce, near Linhares]","-40.0833333","-19.3833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","2020-04-24 12:38:00-03","MO","MOBOT","101190968","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","João Geraldo Kuhlmann","Kuhlmann 507","1920","11","10","South America","Brazil","Rio de Janeiro",NA,"Brasil, Rio de Janeiro, ad urbem loco Mundo Novo","-43.1833333","-22.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"15","2020-04-24 13:56:00-03","MO","MOBOT","101191163","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","Pedro Fiaschi|W. Wayt Thomas|André M. Amorim|Sérgio C. de Sant'Ana|J. Lima da Paixão","Fiaschi 1826","2003","11","2","South America","Brazil","Bahia",NA,"Barro Preto, Serra da Pedra Lascada, 13,7 km de Barro Preto na estrada que passa pela Fazenda São Miguel e sobe até o acesso à serra, caminhada ao topo da serra","-39.5361111","-14.7702778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"16","2020-04-24 14:07:00-03","MO","MOBOT","101191164","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","F.M. Ferreira","Ferreira 1382","2007","9","22","South America","Brazil","Bahia","Arataca","Arataca, Serra do Peito-de-Moça/Serra das Lontras, estrada Arataca/Una, ramal 22,4 km de Arataca, assentamento Sto. Antônio, RPPN Caminho das Pedras, trilha para o pico, após casa do Sr. Mormaço","-39.3416666","-15.1736111","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"17","2020-04-24 14:12:00-03","MO","MOBOT","101191165","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","R.A.X. Borges|André M. Amorim|R. Perdiz|W.D. Rocha|L. C. Magnavita","Borges 346","2006","12","9","South America","Brazil","Bahia","Camacan","Camacan (= Camacã), RPPN Serra Bonita, 9,7 km de Camacan na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel","-39.5652778","-15.3916666","900.00000000","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"18","2020-04-24 14:17:00-03","MO","MOBOT","101191166","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","R.A.X. Borges|André M. Amorim|R. Perdiz|W.D. Rocha|L. C. Magnavita","Borges 702","2007","1","23","South America","Brazil","Bahia","Camacan","Camacan (= Camacã), RPPN Serra Bonita, 9,7 km de Camacan na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel","-39.5652778","-15.3916666","835.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2020-04-24 14:25:00-03","MO","MOBOT","101191168","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","M. M. M. Lopes|L.C. da J. Gomes","Lopes 787","2006","6","5","South America","Brazil","Bahia","Camacan","Camacan (= Camacã), RPPN Serra Bonita, 9,7 km de Camacan na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel","-39.5652778","-15.3916666","850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"20","2020-04-24 14:32:00-03","MO","MOBOT","101191172","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","M. M. M. Lopes","Lopes 1032","2006","8","11","South America","Brazil","Bahia","Camacan","10 km W de Camaca na estrada para Jacareci 6 km SW na estrada para a RPPN e Torre de transmissao, Trilha do Mirante","-39.5652778","-15.3916666","850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","2020-04-24 14:37:00-03","MO","MOBOT","101191173","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","André M. Amorim|J. Paixão|Fernando B. Matos","Amorim 6959","2007","3","25","South America","Brazil","Bahia","Camacan","10 km W [NW!] de Camacan na estrada para Jacarecí, 6 km SW na estrada para a RPPN e Torre de transmissão, trilha de acesso à RPPN","-39.5647222","-15.3930555","850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"22","2020-04-24 15:17:00-03","MO","MOBOT","101191177","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","A.G. Oliveira","Oliveira 757","2010","2","5","South America","Brazil","Espírito Santo","Conceição da Barra","Espirito Santo, Conceição da Barra, Itaúnas,","-39.7166667","-18.4166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"23","2020-04-24 15:25:00-03","MO","MOBOT","101191178","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Rafaela C. Forzza","Forzza 5103","2008","2","19","South America","Brazil","Espírito Santo","Nova Venécia","Nova Venécia, Serra de Baixo, Área de Proteção Ambiental da Pedra do Elefante","-40.4438889","-18.7769445","313.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"24","2020-04-24 15:31:00-03","MO","MOBOT","101191179","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","A.P. Fontana|et al.","Fontana 5249","2008","5","10","South America","Brazil","Espírito Santo","Nova Venécia","Nova Venécia, Serra de Baixo, Área de Proteção Ambiental da Pedra do Elefante, estrada para Pedra do Elefante","-40.4333333","-18.7666667","329.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2020-04-24 15:38:00-03","MO","MOBOT","101191180","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","D.A. Folli","Folli 2197","1994","1","31","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Natural Vale (Reserva Natural da CVRD [= Companhia Vale do Rio Doce]), estrada Aceiro com Bragato, ao lado do aceiro, Córrego Tamanduá,","-40","-19.1166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","2020-04-24 15:42:00-03","MO","MOBOT","101191181","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","D.A. Folli","Folli 3055","1997","6","17","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Natural Vale (Reserva Natural da CVRD [= Companhia Vale do Rio Doce]), estrada Peroba Amarela, km 0,8","-40","-19.1166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","2020-04-24 15:46:00-03","MO","MOBOT","101191182","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","D.A. Folli","Folli 5572","2007","5","9","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Natural Vale (Reserva Natural da CVRD [= Companhia Vale do Rio Doce]), estrada Flamengo, km 0,4","-40","-19.1166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","2020-04-24 16:39:00-03","MO","MOBOT","101191183","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Renato de Mello-Silva|E. M. Nic Lughadha|B.L. Stannard|M.C. Assis|D.A. Folli","Mello-Silva 1545","1999","2","9","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Natural Vale (Reserva Natural da CVRD [= Companhia Vale do Rio Doce]); estrada Farinha Seca, km 1,1","-40","-19.1166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","2020-04-24 16:48:00-03","MO","MOBOT","101191184","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Renato de Mello-Silva","Mello-Silva 3278","2010","12","2","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Natural Vale,","-40.0731111","-19.1621111","48.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"30","2020-04-24 16:54:00-03","MO","MOBOT","101191185","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","I.A. Silva","Silva 353","1982","10","20","South America","Brazil","Espírito Santo",NA,"Linhares, Reserva Natural Vale (Reserva Natural da CVRD [= Companhia Vale do Rio Doce]), estrada Farinha Seca, ant. 221, km 4,604, lado direito, floresta alta; mata de tabuleiro.","-40","-19.1166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"31","2020-04-24 17:00:00-03","MO","MOBOT","101191187","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","R.S. Pinheiro|Talmon S. dos Santos","Pinheiro 2315","1973","11","27","South America","Brazil","Espírito Santo","Linhares","Mun. de Linhares, km 15 da rodovia Linhares para Povoação,","-39.9166667","-19.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"32","2020-04-24 17:05:00-03","MO","MOBOT","101191188","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","R.S. Pinheiro|Talmon S. dos Santos","Pinheiro 2269","1973","11","23","South America","Brazil","Espírito Santo","Linhares","Mun. de Linhares, km 8 da rodovia Linhares/Vitória,","-40.1","-19.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"33","2020-04-24 17:13:00-03","MO","MOBOT","101191189","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","J.M.L. Gomes|R. Valadares","Gomes 4047","2014","4","14","South America","Brazil","Espírito Santo",NA,"Delta do Rio Doce","-39.8","-19.5833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"34","2020-04-24 17:16:00-03","MO","MOBOT","101191190","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","R.R. Vervloet","Vervloet 1111","2002","10","1","South America","Brazil","Espírito Santo","Santa Teresa","Município de Santa Teresa, Nova Lombardia, Reserva Biológica Augusto Ruschi,","-40.55","-19.9","850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"35","2020-04-24 17:21:00-03","MO","MOBOT","101191191","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","V. Demuner|et al.","Demuner 1355","2000","8","8","South America","Brazil","Espírito Santo","Santa Teresa","Mun. Santa Teresa, Valsugana Velha, propriedade Ebi José Bringhenth,","-40.5666667","-19.9666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"36","2020-04-24 17:42:00-03","MO","MOBOT","101191195","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","Ludwig Riedel|Peter W. Lund","Riedel 1971","1834","2",NA,"South America","Brazil","São Paulo","Itu","Iter Brasiliensis São Paulo, opp. Itú (mun. São Paulo),","-47.3","-23.2666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"37","2020-04-24 17:50:00-03","MO","MOBOT","101191197","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","G.M. Nunez","Nunez EFCB 58","1931",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Rio de Janeiro, Avelar, mata do Dr. Antonio V. de Avellar,","-43.4","-22.3166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","2020-04-24 17:56:00-03","MO","MOBOT","101191198","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (B)","Pedro Occhioni","Occhioni 6097","1974","9",NA,"South America","Brazil","Rio de Janeiro",NA,"Serra dos Orgãos próximo ao Morro Garrafão,","-43.0333333","-22.4666667","600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"39","2020-04-24 18:03:00-03","MO","MOBOT","101191199","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","T.M. Scarponi","Scarponi 97","2014","8","20","South America","Brazil","Rio de Janeiro","Macaé","Macaé, Conglomerado 202-1-2-14, Conglomerado situado na localidade do Sana/São Bento,","-42.2166667","-22.3166667","700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"40","2020-04-24 18:09:00-03","MO","MOBOT","101191200","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Dimitri Sucre|Gerald F. Guala II","Sucre 11420","1992","3","23","South America","Brazil","Rio de Janeiro","Rio Bonito","Município de Rio Bonito, Reserva Botânica das Aguas Claras, Rio Bonito,","-42.6166667","-22.6666667","70.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"41","2020-04-24 18:14:00-03","MO","MOBOT","101191201","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","D. Fernandes","Fernandes 960","2003","8","17","South America","Brazil","Rio de Janeiro","Cabo Frio","Município de Cabo Frio, Segundo Distrito (Tamoios), Parque Ecológico Municipal do Mico Leão Dourado,","-42.0175","-22.6058333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"42","2020-04-27 11:05:00-03","MO","MOBOT","101191228","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Pessoal do Horto Florestal","Pessoal do Horto Florestal 206","1927","11","17","South America","Brazil","Rio de Janeiro",NA,"Mata dos Paineiros [=Paineiras]/Corcovado/Río, Pessoal do Horto Florestal (Anterior) 206","-43.2166667","-22.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"43","2020-04-27 11:12:00-03","MO","MOBOT","101191231","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Apparicio P. Duarte|C. de Almeida","Duarte 3670","1954","2","14","South America","Brazil","Rio de Janeiro",NA,"Município de Rio de Janeiro (antiga Guanabara), Vista Chinesa","-43.25","-22.9666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"44","2020-04-27 11:20:00-03","MO","MOBOT","101191234","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","M.D. Campos","Campos 107","1999","6","4","South America","Brazil","Rio de Janeiro",NA,"Arboreto do Jardim Botânico do Rio de Janeiro, seção IX, canteiro D","-43.2166667","-22.9666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"45","2020-04-27 11:27:00-03","MO","MOBOT","101191239","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","R. Matheus|J.M. Assunção","Matheus s.n.","2002","7",NA,"South America","Brazil","Rio de Janeiro",NA,"Mun. Rio de Janeiro, Gávea, parque da cidade,","-43.2333333","-22.9833333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"46","2020-04-27 11:34:00-03","MO","MOBOT","101191247","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Dorothy Araujo|Ariane L. Peixoto","Araujo 777","1975","9","8","South America","Brazil","Rio de Janeiro",NA,"perto de Maricá, Lagoa do Padre,","-42.7666667","-22.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"47","2020-04-27 11:38:00-03","MO","MOBOT","101191251","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","Cyl Farney|B.C. Kurtz","Farney 4043","2000","4","5","South America","Brazil","Rio de Janeiro","Saquarema","Município de Saquarema, Jaconé, Sambaqui de Jaconé,","-42.6166667","-22.9166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"48","2020-04-27 12:13:00-03","MO","MOBOT","101191263","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","apeibacarpos","Diospyros apeibacarpos","Raddi","B. Wallnöfer (W)","C.D.M. Ferreira|T.B.S. Patusco","Ferreira 306","2016","7","30","South America","Brazil","Rio de Janeiro","Saquarema","Saquarema, ARIE Formigueiro do Litoral e adjacências, restinga de Jaconé, cresc. no interior da ARIE, porção norte;","-42.6052778","-22.9316667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
