"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","individualCount","fieldNumber","class"
"11","2008-05-27 22:02:00-03","MO","MOBOT","3367498","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Saúl Altamirano","Altamirano Azurduy 982","2003","6","19","South America","Bolivia","Cochabamba","Tiraque","El Limbo. Ladera con exposicion sudoeste con pendientes de hasta 35° de inclinacion. Mesobosque montano humedo, dominado por Weimannia multifuga.W. microphylla, Hedyosmun angustifolium, H. racemosum, Alchornea pearcei, Alchornea cf latifolia, Oreopanax cf trolli y Clethra scabra. El sotobosque dominado por Pteridophytos y Melastomataceae, presencia de muchas epifitas. Suelos poco profundos, pizarras y areniscas, se nota algunos afloramientos de rocas calizas.","-65.63027","-17.13694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2260.00000000",NA,NA,NA,NA,NA
"12","2011-03-24 19:01:00-03","MO","MOBOT","3367871","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Saúl Altamirano|Eneida Zurita|T. Camacho|M. Aliaga|Mariana Alem|Alejandra Lacaze","Altamirano Azurduy 1134","2003","8","17","South America","Bolivia","Cochabamba","Tiraque","El Limbo. Ladera con exposicion sudoeste con pendientes de hasta 35° de inclinacion. Bosque hiperhumedo, dominado por Hedyosmun angustifolium, Weinmannia cochabambensis y Clethra scabra.","-65.63027","-17.13694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2100.00000000",NA,NA,NA,NA,NA
"13","2011-03-24 19:01:00-03","MO","MOBOT","3367872","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Saúl Altamirano|Eneida Zurita|T. Camacho|M. Aliaga|Mariana Alem|Alejandra Lacaze","Altamirano Azurduy 1158","2003","8","18","South America","Bolivia","Cochabamba","Tiraque","El Limbo. Ladera con exposicion nor oeste con pendientes de hasta 22° de inclinacion. Mesobosque montano humedo, dominado por Weimannia bangii.W. microphylla, Hedyosmun angustifolium, H. racemosum, Alchornea pearcei, Alchornea cf latifolia, Didymopanax morototoni, Oreopanax cf trolli y Clethra scabra. El sotobosque dominado por Pteridophytos y Melastomataceae, presencia de muchas epifitas.","-65.62638","-17.13611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2050.00000000",NA,NA,NA,NA,NA
"14","2013-02-15 05:37:00-02","MO","MOBOT","3368608","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"César Patzi","Patzi 228","2003","9","22","South America","Bolivia","Cochabamba","Carrasco","Siberia Oeste, Sunchal. Mesobosque montano de yunga . Serie Mesotropical pluviestacional humeda de Blepharocalyx salicifolius - Prumnopitys exigua, entre algunas especies diferenciales: Myrcianthes callicoma, Weinmannia microphylla, W. sorbifolia, Clethra scabra, Oreopanax sp. y Dicksonia sellowiana. Sotobosque denso con melastomataceas y varias familias de pteridophytas","-64.70166","-17.84444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2800.00000000",NA,"Guido Mathieu",NA,NA,NA
"15","2013-08-23 04:12:00-03","MO","MOBOT","3369164","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Erika Fernández","Fernández Terrazas 3564","2005","4","16","South America","Bolivia","Cochabamba","Carrasco","Siberia. Bosques relictuales con algunas especies esparcidas de Prmnopitys exigua y Polylepis tomentella.","-64.77","-17.80305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2900.00000000",NA,"G. Mathieu (GENT)",NA,NA,NA
"16","2013-08-23 04:12:00-03","MO","MOBOT","3369170","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Erika Fernández","Fernández Terrazas 3456","2005","4","14","South America","Bolivia","Cochabamba","Carrasco","Siberia. Bosques relictuales con algunas especies esparcidas de Prumnopitys exigua","-64.79416","-17.78305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2700.00000000",NA,"Guido Mathieu",NA,NA,NA
"17","2013-08-23 04:12:00-03","MO","MOBOT","3369171","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Erika Fernández","Fernández Terrazas 3536","2005","4","16","South America","Bolivia","Cochabamba","Carrasco","Siberia. Bosques relictuales con algunas especies esparcidas de Prmnopitys exigua y Polylepis tomentella.","-64.77","-17.80305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2900.00000000",NA,"Guido Mathieu",NA,NA,NA
"18","2013-08-23 04:12:00-03","MO","MOBOT","3369172","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Erika Fernández","Fernández Terrazas 3593","2005","4","16","South America","Bolivia","Cochabamba","Carrasco","Siberia. Bosques relictuales con algunas especies esparcidas de Prmnopitys exigua y Polylepis tomentella.","-64.77","-17.80305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2900.00000000",NA,"G. Mathieu (GENT)",NA,NA,NA
"19","2013-08-23 04:12:00-03","MO","MOBOT","3369442","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Erika Fernández","Fernández Terrazas 1791","2003","6","15","South America","Bolivia","Santa Cruz","Manuel Maria Caballero","Chua Kocha. Mesobosque montano de yunga . Serie Mesotropical pluviestacional humeda de Blepharocalyx salicifolius - Prumnopitys exigua, entre algunas especies diferenciales: Myrcianthes callicoma, Weinmannia microphylla, W. sorbifolia, Clethra scabra, Oreopanax sp. y Dicksonia sellowiana. Sotobosque denso con melastomataceas y varias familias de pteridophytas","-64.61027","-17.82027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2360.00000000",NA,"Guido Mathieu",NA,NA,NA
"20","2014-01-01 14:11:00-02","MO","MOBOT","3460609","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"Jeaneth Villalobos|M. Paredes|D. Villalobos","Villalobos 490","2005","11","30","South America","Bolivia","Chuquisaca","Belisario Boeto","Comunidad Nuevo Mundo. Quebrada Nuevo Mundo. Cañón húmedo al sudoeste del pueblo. Bosque semihúmedo Tucumano-Boliviano. Piso superior. Rodales de Blepharocalyx salicifolius y Myrcianthes pseudomato.","-64.29888","-18.99194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2145.00000000",NA,"Guido Mathieu (GENT)",NA,NA,NA
"21","2014-02-12 09:32:00-02","MO","MOBOT","689700","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"James C. Solomon|Michael H. Nee","Solomon 18083","1988","3","10","South America","Bolivia","Cochabamba","Carrasco","5 km al NE de Monte Punco por el camino a Sihuenca. Bosque nuboso, muy tocado.","-65.25","-17.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2700.00000000",NA,NA,"4","88-65",NA
"22","2020-07-10 09:48:50-03","MBML","MBML-HERBARIO","22465",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"L. Kollmann; et al","6754","2004","06","12",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"Terrestre. Luz forte, folhas verdes adaxial, caule, pecíolo, lado abaxial folha vermelha.","MBML022465",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,"V.B. Sarnaglia Jr./2012",NA,NA,NA
"23","2020-07-10 09:48:50-03","MBML","MBML-HERBARIO","22687",NA,"Plantae",NA,NA,"Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.",NA,"L. Kollmann; et al","7019","2004","09","05",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"Epífita na sombra. Espiga verdes, caule avermelhado.","MBML022687",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,"V.B. Sarnaglia Jr./2012",NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","1177003","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","unduavina","Peperomia unduavina","C. DC.","Type collection","O. Buchtien","2790","1910","11",NA,"South America - Neotropics","Bolivia","La Paz","Nor Yungas","Nord-Yungas, Unduavi.",NA,NA,NA,NA,"US00104930",NA,NA,NA,NA,NA,NA,NA,"3300","3300",NA,"1",NA,"Dicotyledonae"
